Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"CS Kuai, Y Yuan, XF Wu","Emerging trends in CO carbonylation",2025,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(25)00093-2","",1,"2025-05-06 16:02:58","","","","",,,,,0,0.00,0,3,1,"… This review highlights key recent progresses in carbonylation methodologies, … DFT studies reveal that the mechanism differs from conventional transition-metal-catalyzed carbonylations. …","","https://scholar.google.com/scholar?q=related:DcOPYsPmprYJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"Z Xiong, G Qi, E Zhan, Y Chu, J Xu, J Wei, N Ta, A Hao…","Experimental identification of the active sites over a plate-like mordenite for the carbonylation of dimethyl ether",2023,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(22)00475-2","https://scholar.google.com/scholar?cites=12194814366249700581&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 16:02:58","HTML","","","",,,,,26,13.00,3,9,2,"… the active site on SSZ-13 for DME carbonylation, which locates within the plane of the 8-MR window. Indeed, our DFT calculations confirmed that DME carbonylation on the T4-O2 site is …","https://www.cell.com/chem/fulltext/S2451-9294(22)00475-2","https://scholar.google.com/scholar?q=related:5cwkIg6vPKkJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"L Lu, X Pei, Y Mei, Y Deng, H Zhang, L Zhang, A Lei","Carbon nanofibrous microspheres promote the oxidative double carbonylation of alkanes with CO",2018,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(18)30423-6","https://scholar.google.com/scholar?cites=11354664261439097555&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 16:02:58","HTML","","","",,,,,29,4.14,4,7,7,"… which stands out metal-catalyzed carbonylation. However, the … CNMs mediate oxidative double carbonylation of alkanes for … Notably, to our knowledge, oxidative double carbonylation of …","https://www.cell.com/chem/fulltext/S2451-9294(18)30423-6","https://scholar.google.com/scholar?q=related:04rmdvzek50J:scholar.google.com/&scioq=source:chem+%222451+9294%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"Z Zhao, G Gao, Y Xi, J Wang, P Sun, Q Liu, W Yan…","Selective and stable upgrading of biomass-derived furans into plastic monomers by coupling homogeneous and heterogeneous catalysis",2022,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00635-5","https://scholar.google.com/scholar?cites=4528601619420220883&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 16:02:58","HTML","","","",,,,,51,17.00,6,8,3,"… approach involving carbonylation and hydrogenation for the sustainable production of plastic monomers beyond the fossil feedstock-based process. The carbonylation provides a new …","https://www.cell.com/chem/fulltext/S2451-9294(21)00635-5","https://scholar.google.com/scholar?q=related:0w3N5i3T2D4J:scholar.google.com/&scioq=source:chem+%222451+9294%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
60,"B Wu, T Lin, Z Lu, X Yu, M Huang, R Yang, C Wang…","Fe binuclear sites convert methane to acetic acid with ultrahigh selectivity",2022,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(22)00086-9","https://scholar.google.com/scholar?cites=12659404875021821442&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 16:02:58","HTML","","","",,,,,60,20.00,8,8,3,"… techniques and density functional theory (DFT) calculations. It … traditionally produced by methanol carbonylation. Previously, … techniques and density functional theory (DFT) calculations. …","https://www.cell.com/chem/fulltext/S2451-9294(22)00086-9","https://scholar.google.com/scholar?q=related:AiaGU6k9r68J:scholar.google.com/&scioq=source:chem+%222451+9294%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
230,"C He, WG Whitehurst, MJ Gaunt","Palladium-catalyzed C (sp3)–H bond functionalization of aliphatic amines",2019,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(18)30580-1","https://scholar.google.com/scholar?cites=2731344136969777915&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 16:02:58","HTML","","","",,,,,230,38.33,77,3,6,"… Density functional theory (DFT) studies indicated that the … The C–H carbonylation of less substituted amines was also found … In accordance with the β-methyl carbonylation, the reaction …","https://www.cell.com/chem/fulltext/S2451-9294(18)30580-1","https://scholar.google.com/scholar?q=related:-_JtcwWv5yUJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
486,"Y Jing, Y Guo, Q Xia, X Liu, Y Wang","Catalytic production of value-added chemicals and liquid fuels from lignocellulosic biomass",2019,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(19)30232-3","https://scholar.google.com/scholar?cites=4370910028739152004&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 16:02:58","HTML","","","",,,,,486,81.00,97,5,6,"The efficient utilization of lignocellulosic biomass has tremendous potential to reduce the excessive dependence on fossil fuels. Here, we provide an overview on the recent …","https://www.cell.com/chem/fulltext/S2451-9294(19)30232-3","https://scholar.google.com/scholar?q=related:hIgwWIOXqDwJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
70,"M Liu, Y Wang, X Kong, RT Rashid, S Chu, CC Li…","Direct catalytic methanol-to-ethanol photo-conversion via methyl carbene",2019,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(19)30029-4","https://scholar.google.com/scholar?cites=2051245583550572069&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 16:02:58","HTML","","","",,,,,70,11.67,10,7,6,"… been achieved via three strategies, including carbonylation and hydrogenation (route 1), … The density functional theory (DFT) calculation also indicates the generated carbene to be …","https://www.cell.com/chem/fulltext/S2451-9294(19)30029-4","https://scholar.google.com/scholar?q=related:Jeaegv18dxwJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
107,"J Li, Y Luo, HW Cheo, Y Lan, J Wu","Photoredox-catalysis-modulated, nickel-catalyzed divergent difunctionalization of ethylene",2019,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(18)30486-8","https://scholar.google.com/scholar?cites=6388843107363069302&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 16:02:58","HTML","","","",,,,,107,17.83,21,5,6,"… To further reveal the Ni(I)-based mechanistic pathway for the selective generation of diarylethane product 2, density functional theory (DFT) method M11-L was applied. As shown in …","https://www.cell.com/chem/fulltext/S2451-9294(18)30486-8","https://scholar.google.com/scholar?q=related:dh0U5PS6qVgJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
79,"W Liu, LL Zhao, M Melaimi, L Cao, X Xu, J Bouffard…","Mesoionic carbene (MIC)-catalyzed H/D exchange at formyl groups",2019,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(19)30380-8","https://scholar.google.com/scholar?cites=12320627629426591389&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 16:02:58","HTML","","","",,,,,79,13.17,11,7,6,"H/D exchange at formyl groups is the most direct approach for the synthesis of deuterated aldehydes. Platinum-group metal complexes have been employed to catalyze this …","https://www.cell.com/chem/fulltext/S2451-9294(19)30380-8","https://scholar.google.com/scholar?q=related:ncbVLY2p-6oJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
