Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"JD Martín-Bernardos, K Golob, WW Chen, OA Luongo…","Polar π stacking for metal-free near, remote, and ultra-remote C–H coupling with aryliodanes",2025,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(25)00136-6","",1,"2025-05-06 14:24:58","","","","",,,,,0,0.00,0,5,1,"… Density functional theory (DFT) calculations show that the ortho selectivity is governed by a [3,3] sigmatropic rearrangement, while the para coupling occurs through a directional three-…","","https://scholar.google.com/scholar?q=related:XBdMgcv0I2IJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"TF Wu, YJ Zhang, Y Fu, FJ Liu, JT Tang, P Liu…","Zirconium-redox-shuttled cross-electrophile coupling of aromatic and heteroaromatic halides",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00311-9","https://scholar.google.com/scholar?cites=2332545869109422294&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 14:24:58","HTML","","","",,,,,24,6.00,3,7,4,"… In accord with density functional theory (DFT) calculations, a redox transmetallation between … Thus, cross-coupling selectivity using a single transition metal catalyst is controlled by the …","https://www.cell.com/chem/fulltext/S2451-9294(21)00311-9","https://scholar.google.com/scholar?q=related:1miSDhzeXiAJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"Y Zhang, P Du, Y Ji, S Wang, Y Zhu, Z Liu, Y He…","Catalytic cross-electrophile coupling of aryl chlorides with unactivated alkyl chlorides: The synergy of iron and Li",2023,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(23)00410-2","https://scholar.google.com/scholar?cites=4611668314260862661&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 14:24:58","","","","",,,,,20,10.00,3,8,2,"The example of iron-catalyzed cross-electrophile coupling of aryl chlorides with unactivated alkyl chlorides via an iron/B 2 pin 2 catalytic system has been developed. (Hetero)aryl …","https://www.cell.com/chem/pdfExtended/S2451-9294(23)00410-2","https://scholar.google.com/scholar?q=related:xXZx7eXv_z8J:scholar.google.com/&scioq=source:chem+%222451+9294%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"L Griego, JB Chae, LM Mirica","A bulky 1, 4, 7-triazacyclononane and acetonitrile, a Goldilocks system for probing the role of NiIII and NiI centers in cross-coupling catalysis",2024,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(23)00562-4","https://scholar.google.com/scholar?cites=13358014440989714167&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 14:24:58","","","","",,,,,17,17.00,6,3,1,"… cross-coupling. The presence of acetonitrile and other alkyl nitriles led to an increased yield of cross-coupled … Ni-catalyzed alkyl-alkyl cross-coupling reactions and suggest the presence …","https://www.sciencedirect.com/science/article/pii/S2451929423005624","https://scholar.google.com/scholar?q=related:9-a6O1wzYbkJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"M Feng, AJ Fernandes, R Meyrelles, N Maulide","Direct enantioselective α-amination of amides guided by DFT prediction of E/Z selectivity in a sulfonium intermediate",2023,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(23)00121-3","https://scholar.google.com/scholar?cites=14812590672002484866&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 14:24:58","HTML","","","",,,,,24,12.00,6,4,2,"Chiral amines are a highly important class of compounds for which powerful synthetic approaches remain in high demand. Herein, we report an unprecedented method for the …","https://www.cell.com/chem/fulltext/S2451-9294(23)00121-3","https://scholar.google.com/scholar?q=related:ggr5V7zkkM0J:scholar.google.com/&scioq=source:chem+%222451+9294%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
74,"Y Zhang, J Ma, J Chen, L Meng, Y Liang, S Zhu","A relay catalysis strategy for enantioselective nickel-catalyzed migratory hydroarylation forming chiral α-aryl alkylboronates",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00521-0","https://scholar.google.com/scholar?cites=13480444102793765010&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 14:24:58","HTML","","","",,,,,74,18.50,12,6,4,"… By synergistic combination of a known chain-walking ligand and a simple asymmetric cross-coupling ligand with the nickel catalyst, enantioenriched α-aryl alkylboronates could be …","https://www.cell.com/chem/fulltext/S2451-9294(21)00521-0","https://scholar.google.com/scholar?q=related:kiCIMX0oFLsJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
69,"Y Gao, C Yang, S Bai, X Liu, Q Wu, J Wang, C Jiang…","Visible-light-induced nickel-catalyzed cross-coupling with alkylzirconocenes from unactivated alkenes",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(19)30557-1","https://scholar.google.com/scholar?cites=5176955587584248826&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 14:24:58","HTML","","","",,,,,69,13.80,9,8,5,"… Transition-metal-catalyzed cross-coupling reactions between naturally abundant sp 3 -… widely employed in cross-couplings, sp 3 -hybridized organometallic coupling partners are less …","https://www.cell.com/chem/fulltext/S2451-9294(19)30557-1","https://scholar.google.com/scholar?q=related:-svun6092EcJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"SH Kim-Lee, P Mauleón, RG Arrayás, JC Carretero","Dynamic multiligand catalysis: A polar to radical crossover strategy expands alkyne carboboration to unactivated secondary alkyl halides",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00306-5","https://scholar.google.com/scholar?cites=13833257616716335682&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 14:24:58","HTML","","","",,,,,33,8.25,8,4,4,"We describe a dual strategy in Cu catalysis based on an unprecedented dynamic multiligand coordination pool that triggers cooperative polar/radical pathways in a single catalytic cycle…","https://www.cell.com/chem/fulltext/S2451-9294(21)00306-5","https://scholar.google.com/scholar?q=related:QgrYuoKa-b8J:scholar.google.com/&scioq=source:chem+%222451+9294%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"C Yang, S Bai, Y Gao, Q Wu, X Qi","Visible-light-induced enantioselective radical cross-coupling of C (sp3)-borazirconocene",2023,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(23)00186-9?uuid=uuid%3A8092911b-f5d7-4872-a0db-aaf4d8d37af6","https://scholar.google.com/scholar?cites=18341579997178338317&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 14:24:58","HTML","","","",,,,,9,4.50,2,5,2,"… Asymmetric cross-coupling involving sp 3 -hybridized carbon … , and magnesium) in asymmetric cross-couplings, more easily … -induced, Ni-catalyzed, asymmetric cross-coupling of gem-…","https://www.cell.com/chem/fulltext/S2451-9294(23)00186-9?uuid=uuid%3A8092911b-f5d7-4872-a0db-aaf4d8d37af6","https://scholar.google.com/scholar?q=related:DZw5X9Rhiv4J:scholar.google.com/&scioq=source:chem+%222451+9294%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"Y Huang, C Ma, S Liu, LC Yang, Y Lan, Y Zhao","Ligand coordination-and dissociation-induced divergent allylic alkylations using alkynes",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00098-X?uuid=uuid%3A0424b4bc-2dac-4da5-9f80-b705b7b013f2","https://scholar.google.com/scholar?cites=17110963628155537240&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 14:24:58","HTML","","","",,,,,24,6.00,4,6,4,"… To further probe the underlying causes of these divergent reactivities, we carried out DFT 27 … In nickel-catalyzed allylic alkylation or cross coupling of aryl ethers, both pathways of …","https://www.cell.com/chem/fulltext/S2451-9294(21)00098-X?uuid=uuid%3A0424b4bc-2dac-4da5-9f80-b705b7b013f2","https://scholar.google.com/scholar?q=related:WAfXFMNadu0J:scholar.google.com/&scioq=source:chem+%222451+9294%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
