Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
37,"L Liu, A Corma","Isolated metal atoms and clusters for alkane activation: Translating knowledge from enzymatic and homogeneous to heterogeneous systems",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00202-3","https://scholar.google.com/scholar?cites=942683609221823773&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 15:37:01","HTML","","","",,,,,37,9.25,19,2,4,"… In this review, we will summarize the recent achievements in different catalysis fields for … biocatalysis and homogeneous catalysis can be translated into heterogeneous catalysis based …","https://www.cell.com/chem/fulltext/S2451-9294(21)00202-3","https://scholar.google.com/scholar?q=related:Hf0_f78VFQ0J:scholar.google.com/&scioq=source:chem+%222451+9294%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
239,"X Shao, X Yang, J Xu, S Liu, S Miao, X Liu, X Su…","Iridium single-atom catalyst performing a quasi-homogeneous hydrogenation transformation of CO2 to formate",2019,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(18)30577-1","https://scholar.google.com/scholar?cites=15725033316238114197&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 15:37:01","HTML","","","",,,,,239,39.83,30,8,6,"… Spectral characterization and density functional theory … a homogeneous mononuclear Ir pincer complex catalyst. As a result, a catalytic mechanism similar to that over a homogeneous Ir …","https://www.cell.com/chem/fulltext/S2451-9294(18)30577-1","https://scholar.google.com/scholar?q=related:lT2Of3yKOtoJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
39,"H Shen, Q Wu, MSA Hazer, X Tang, YZ Han, R Qin…","Regioselective hydrogenation of alkenes over atomically dispersed Pd sites on NHC-stabilized bimetallic nanoclusters",2022,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(22)00215-7","https://scholar.google.com/scholar?cites=1366735670176137814&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 15:37:01","HTML","","","",,,,,39,13.00,6,7,3,"… 2 ), thereby enabling the catalytic hydrogenation of alkenes under mild conditions… density functional theory (DFT) calculations, are key factors in determining the selectivity of the catalysis…","https://www.cell.com/chem/fulltext/S2451-9294(22)00215-7","https://scholar.google.com/scholar?q=related:VkK0ytme9xIJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
63,"I Funes-Ardoiz, F Schoenebeck","Established and emerging computational tools to study homogeneous catalysis—from quantum mechanics to machine learning",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30358-2","https://scholar.google.com/scholar?cites=8346217943386481261&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 15:37:01","HTML","","","",,,,,63,12.60,32,2,5,"… The method has now been extended to the calculation of full catalytic cycles, especially for benchmarking different DFT functionals for the prediction of energy barriers. Recently, …","https://www.cell.com/chem/fulltext/S2451-9294(20)30358-2","https://scholar.google.com/scholar?q=related:beKK1f-403MJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
76,"X Li, Y Huang, B Liu","Catalyst: single-atom catalysis: directing the way toward the nature of catalysis",2019,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(19)30458-9","https://scholar.google.com/scholar?cites=7941105147878686082&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 15:37:01","HTML","","","",,,,,76,12.67,25,3,6,"… the catalytic mechanism of CO oxidation with a combination of density functional theory (DFT… At this point, we may take a new look at the significance of single-atom catalysis besides the …","https://www.cell.com/chem/fulltext/S2451-9294(19)30458-9","https://scholar.google.com/scholar?q=related:gr1V5w55NG4J:scholar.google.com/&scioq=source:chem+%222451+9294%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
183,"X Zhao, L Zhou, W Zhang, C Hu, L Dai, L Ren, B Wu…","Thiol treatment creates selective palladium catalysts for semihydrogenation of internal alkynes",2018,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(18)30072-X","https://scholar.google.com/scholar?cites=16717561139037771761&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 15:37:01","HTML","","","",,,,,183,26.14,23,8,7,"… More interestingly, our DFT calculations also predicted that the major hydrogenation … Pd NSs were used as the catalyst (Figure S30). Moreover, DFT calculations also indicated that …","https://www.cell.com/chem/fulltext/S2451-9294(18)30072-X","https://scholar.google.com/scholar?q=related:8Zc4U0i1AOgJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
558,"J Gao, H bin Yang, X Huang, SF Hung, W Cai, C Jia…","Enabling direct H2O2 production in acidic media through rational design of transition metal single atom catalyst",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(19)30555-8","https://scholar.google.com/scholar?cites=17978145969127864078&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 15:37:01","HTML","","","",,,,,558,111.60,80,7,5,"… Further kinetic analysis and operando X-ray absorption study combined with density functional theory (DFT) calculation demonstrated that the nitrogen-coordinated single Co atom was …","https://www.cell.com/chem/fulltext/S2451-9294(19)30555-8","https://scholar.google.com/scholar?q=related:Drf8sYE0f_kJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
94,"B Liu, Y Wang, N Huang, X Lan, Z Xie, JG Chen…","Heterogeneous hydroformylation of alkenes by Rh-based catalysts",2022,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(22)00379-5","https://scholar.google.com/scholar?cites=17798292861971990586&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 15:37:01","HTML","","","",,,,,94,31.33,13,7,3,"… bridge between heterogeneous and homogeneous catalysis, 37 , 38 and DFT calculations showed that atomically dispersed surface Rh atoms were similar to homogeneous sites. The …","https://www.cell.com/chem/fulltext/S2451-9294(22)00379-5","https://scholar.google.com/scholar?q=related:Ogg2_g49APcJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
156,"S Ding, Y Guo, MJ Hülsey, B Zhang, H Asakura, L Liu…","Electrostatic stabilization of single-atom catalysts by ionic liquids",2019,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(19)30461-9","https://scholar.google.com/scholar?cites=9792360517999083318&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 15:37:01","HTML","","","",,,,,156,26.00,22,7,6,"… atom Pt using density functional theory (DFT) calculation. Afterward, we extend the strategy to Pt 1 catalysts dispersed on various supports and single-atom Pd 1 catalyst loaded on HAP …","https://www.cell.com/chem/fulltext/S2451-9294(19)30461-9","https://scholar.google.com/scholar?q=related:Nj_lSwJ05YcJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
100,"WH Li, J Yang, D Wang, Y Li","Striding the threshold of an atom era of organic synthesis by single-atom catalysis",2022,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00536-2","https://scholar.google.com/scholar?cites=13280184987306197563&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 15:37:01","HTML","","","",,,,,100,33.33,25,4,3,"… catalytic cycle. The mechanism of synthesis is used as a bridge linking homogeneous catalytic … The author applied the density functional theory (DFT) calculations to show the difference …","https://www.cell.com/chem/fulltext/S2451-9294(21)00536-2","https://scholar.google.com/scholar?q=related:O4Lcb-KxTLgJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
