Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"J Corpas, E Rivera-Chao, EM Arpa…","Excited-state protonation and reduction enable the umpolung Birch reduction of naphthalenes",2025,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(24)00535-7?uuid=uuid%3A2b74a6fa-49df-4826-9d03-75605e9f4a01","https://scholar.google.com/scholar?cites=1670779166765259246&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 15:34:04","HTML","","","",,,,,3,3.00,1,4,1,"… It is interesting to note that OBn groups are generally cleaved under standard reductive Birch … Density function theory (DFT)-optimized structures are provided in a separate .zip file (Data …","https://www.cell.com/chem/fulltext/S2451-9294(24)00535-7?uuid=uuid%3A2b74a6fa-49df-4826-9d03-75605e9f4a01","https://scholar.google.com/scholar?q=related:7pkqzczMLxcJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"L Griego, JB Chae, LM Mirica","A bulky 1, 4, 7-triazacyclononane and acetonitrile, a Goldilocks system for probing the role of NiIII and NiI centers in cross-coupling catalysis",2024,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(23)00562-4","https://scholar.google.com/scholar?cites=13358014440989714167&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 15:34:04","","","","",,,,,17,17.00,6,3,1,"… stabilize a Ni I species while also preventing β-hydride elimination and promoting transmetalation and rapid reductive elimination from the Ni III species. Overall, these studies provide …","https://www.sciencedirect.com/science/article/pii/S2451929423005624","https://scholar.google.com/scholar?q=related:9-a6O1wzYbkJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
70,"Y Kuang, D Anthony, J Katigbak, F Marrucci…","Ni (I)-catalyzed reductive cyclization of 1, 6-dienes: mechanism-controlled trans selectivity",2017,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(17)30317-0?code=cell-site&innerTabgraphical_S2451929417303170=","https://scholar.google.com/scholar?cites=2837092790143615837&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 15:34:04","HTML","","","",,,,,70,8.75,14,5,8,"… Here, we report a reductive cyclization of dienes that proceeds via a mechanism distinct from those of previous reports. A well-defined Ni(I) intermediate mediates two-electron transfer …","https://www.cell.com/chem/fulltext/S2451-9294(17)30317-0?code=cell-site&innerTabgraphical_S2451929417303170=","https://scholar.google.com/scholar?q=related:XQNVb9xgXycJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"SK Zhang, A Del Vecchio, R Kuniyil, AM Messinis, Z Lin…","Electrocatalytic C–H phosphorylation through nickel (III/IV/II) catalysis",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00210-2","https://scholar.google.com/scholar?cites=16515917587529726817&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 15:34:04","HTML","","","",,,,,37,9.25,6,6,4,"… H phosphorylation, we carried out DFT studies of the key steps at … Moreover, reductive elimination from Ni IV -H7 to Ni II -H9 … stage for an oxidation-induced reductive elimination at Ni(IV) …","https://www.cell.com/chem/fulltext/S2451-9294(21)00210-2","https://scholar.google.com/scholar?q=related:YftVcIpTNOUJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
69,"Q Lin, EH Spielvogel, T Diao","Carbon-centered radical capture at nickel (II) complexes: Spectroscopic evidence, rates, and selectivity",2023,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(23)00080-3","https://scholar.google.com/scholar?cites=6883329099150393631&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 15:34:04","","","","",,,,,69,34.50,23,3,2,"… of rate constants reveals that previous density functional theory (DFT) calculations generally … be rate limiting in relation to fast reductive elimination; (3) contrasting reactivity between …","https://www.sciencedirect.com/science/article/pii/S2451929423000803","https://scholar.google.com/scholar?q=related:HwH4olh_hl8J:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
107,"J Li, Y Luo, HW Cheo, Y Lan, J Wu","Photoredox-catalysis-modulated, nickel-catalyzed divergent difunctionalization of ethylene",2019,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(18)30486-8","https://scholar.google.com/scholar?cites=6388843107363069302&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 15:34:04","HTML","","","",,,,,107,17.83,21,5,6,"… would preferentially undergo reductive elimination in the … product 2, density functional theory (DFT) method M11-L was … The following reductive elimination could take place from a …","https://www.cell.com/chem/fulltext/S2451-9294(18)30486-8","https://scholar.google.com/scholar?q=related:dh0U5PS6qVgJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"X Qi, J Wang, Z Dong, G Dong, P Liu","Compatibility score for rational electrophile selection in Pd/NBE cooperative catalysis",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30468-X","https://scholar.google.com/scholar?cites=15966130231914945117&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 15:34:04","HTML","","","",,,,,32,6.40,6,5,5,"… Our DFT calculations indicated the C–C reductive elimination from the neutral ANP-1 requires a relatively low activation free energy of 20.2 kcal/mol, which is 7.6 kcal/mol lower than the …","https://www.cell.com/chem/fulltext/S2451-9294(20)30468-X","https://scholar.google.com/scholar?q=related:XVrqjtoWk90J:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
91,"ZS Liu, PP Xie, Y Hua, C Wu, Y Ma, J Chen, HG Cheng…","An axial-to-axial chirality transfer strategy for atroposelective construction of C–N axial chirality",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00206-0","https://scholar.google.com/scholar?cites=6075887345985315200&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 15:34:04","HTML","","","",,,,,91,22.75,11,8,4,"… Additionally, the reaction mechanism and the chirality transfer process are elucidated by density functional theory calculations. …","https://www.cell.com/chem/fulltext/S2451-9294(21)00206-0","https://scholar.google.com/scholar?q=related:gOG-iFnjUVQJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"Y Huang, C Ma, S Liu, LC Yang, Y Lan, Y Zhao","Ligand coordination-and dissociation-induced divergent allylic alkylations using alkynes",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00098-X?uuid=uuid%3A0424b4bc-2dac-4da5-9f80-b705b7b013f2","https://scholar.google.com/scholar?cites=17110963628155537240&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 15:34:04","HTML","","","",,,,,24,6.00,4,6,4,"… reactivities, we carried out DFT 27 calculations to investigate the … The(alkynyl)-C(allyl internal) reductive elimination then took … product 4a, direct reductive elimination of intermediate D …","https://www.cell.com/chem/fulltext/S2451-9294(21)00098-X?uuid=uuid%3A0424b4bc-2dac-4da5-9f80-b705b7b013f2","https://scholar.google.com/scholar?q=related:WAfXFMNadu0J:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"J Yang, P Zhang, Z Shen, Y Zhou, ZX Yu","Unprecedented endo-oxidative cyclometallation and [4+ 3] cycloaddition of diene-vinylcyclopropanes",2023,"Chem","cell.com","https://www.cell.com/chem/abstract/S2451-9294(23)00044-X","https://scholar.google.com/scholar?cites=17784369791010487631&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 15:34:04","","","","",,,,,13,6.50,3,5,2,"… metallacycles, MC-I, which can undergo reductive elimination to give [m + n] cycloadducts. If … metal–carbon bond in MC-I, followed by reductive elimination, can give traditional [m + n + o…","https://www.cell.com/chem/pdfExtended/S2451-9294(23)00044-X","https://scholar.google.com/scholar?q=related:Tz1eaxnGzvYJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
87,"WY Ding, P Yu, QJ An, KL Bay, SH Xiang, S Li, Y Chen…","DFT-guided phosphoric-acid-catalyzed atroposelective arene functionalization of nitrosonaphthalene",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30250-3","https://scholar.google.com/scholar?cites=10474129723719689861&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-06 15:34:04","HTML","","","",,,,,87,17.40,11,8,5,"… Density functional theory (DFT) calculations provide further insights into the origins of enantioselectivity and the reaction mechanisms. The successful application in the synthesis of …","https://www.cell.com/chem/fulltext/S2451-9294(20)30250-3","https://scholar.google.com/scholar?q=related:hSasSX2VW5EJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
74,"Y Zhang, J Ma, J Chen, L Meng, Y Liang, S Zhu","A relay catalysis strategy for enantioselective nickel-catalyzed migratory hydroarylation forming chiral α-aryl alkylboronates",2021,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00521-0","https://scholar.google.com/scholar?cites=13480444102793765010&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-06 15:34:04","HTML","","","",,,,,74,18.50,12,6,4,"… However, a single ligand is generally used to promote all steps of the catalytic cycle (eg, oxidative addition, reductive elimination), a requirement that makes ligand design challenging …","https://www.cell.com/chem/fulltext/S2451-9294(21)00521-0","https://scholar.google.com/scholar?q=related:kiCIMX0oFLsJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
59,"X Li, M Yuan, F Chen, Z Huang, FL Qing, O Gutierrez…","Three-component enantioselective alkenylation of organophosphonates via nickel metallaphotoredox catalysis",2023,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(22)00493-4","https://scholar.google.com/scholar?cites=2501665735966390184&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-06 15:34:04","HTML","","","",,,,,59,29.50,8,7,2,"… Further, we used experimental mechanistic studies and dispersion-corrected DFT … /reductive elimination steps between the alkyl radical B and isomeric Ni(II) species. Exhaustive DFT …","https://www.cell.com/chem/fulltext/S2451-9294(22)00493-4","https://scholar.google.com/scholar?q=related:qPcKg7uztyIJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
69,"Y Gao, C Yang, S Bai, X Liu, Q Wu, J Wang, C Jiang…","Visible-light-induced nickel-catalyzed cross-coupling with alkylzirconocenes from unactivated alkenes",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(19)30557-1","https://scholar.google.com/scholar?cites=5176955587584248826&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-06 15:34:04","HTML","","","",,,,,69,13.80,9,8,5,"… LNi I Br and the subsequent reductive elimination of the LNi III … Subsequent reductive elimination via TS11 with a barrier of … investigations and thorough DFT calculations of each single …","https://www.cell.com/chem/fulltext/S2451-9294(19)30557-1","https://scholar.google.com/scholar?q=related:-svun6092EcJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
57,"B Xu, D Ji, L Wu, L Zhou, Y Liu, ZM Zhang, J Zhang","Palladium/Xu-Phos-catalyzed enantioselective cascade Heck/remote C (sp2)–H alkylation reaction",2022,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(21)00650-1","https://scholar.google.com/scholar?cites=17483753250351258238&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-06 15:34:04","HTML","","","",,,,,57,19.00,8,7,3,"… , alkene insertion, and C−I reductive elimination steps are reversible by experiments. … from reductive elimination. Nevertheless, σ-alkylpalladium species II through C–I elimination also …","https://www.cell.com/chem/fulltext/S2451-9294(21)00650-1","https://scholar.google.com/scholar?q=related:fprEw_LEovIJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
125,"SM Khake, N Chatani","Nickel-catalyzed C− H functionalization using a non-directed strategy",2020,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(20)30173-X","https://scholar.google.com/scholar?cites=14826701977582058231&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-05-06 15:34:04","HTML","","","",,,,,125,25.00,63,2,5,"… Perutz conducted a density functional theory (DFT… elimination of an alkene. Insertion of a second alkyne molecule to give a five-membered nickelacycle followed by reductive elimination …","https://www.cell.com/chem/fulltext/S2451-9294(20)30173-X","https://scholar.google.com/scholar?q=related:9zpctOQGw80J:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Wang, B Yuan, X Chang, L Ackermann","Ruthenaphoto-catalyzed ortho-C− H alkylation with secondary alkyl halides: SET-enabled ruthenium (II/III/IV) manifold",2025,"Chem","cell.com","https://www.cell.com/chem/fulltext/S2451-9294(24)00632-6","https://scholar.google.com/scholar?cites=3531825057725582326&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-05-06 15:34:04","HTML","","","",,,,,1,1.00,0,4,1,"… Density functional theory (DFT) calculations were then … oss ), whereas for reductive elimination a lower barrier of 8.5 kcal … lower affinity toward reductive elimination when compared with …","https://www.cell.com/chem/fulltext/S2451-9294(24)00632-6","https://scholar.google.com/scholar?q=related:9ouOdi2QAzEJ:scholar.google.com/&scioq=source:chem+%222451+9294%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
