Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
126,"J Hu, Y Li, Y Zou, L Lin, B Li, X Li","Transition metal single-atom embedded on N-doped carbon as a catalyst for peroxymonosulfate activation: A DFT study",2022,"Chemical Engineering Journal","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894722009317?casa_token=PI8XCLWjII8AAAAA:PDnSm7F2vDTsK-HL0y5IKRNd8TU_RodZyyXfelc2pcc3ETbRe0rZlqH51kblDb_yWkLJeFXneQ","https://scholar.google.com/scholar?cites=17262093495237452106&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 19:45:18","HTML","","","",,,,,126,42.00,21,6,3,"… In this study, we performed DFT calculations to investigate single-atom MeN@C as a catalyst for activating PMS to ROS. We simulated the electronic structures and stabilities of …","https://www.sciencedirect.com/science/article/pii/S1385894722009317?casa_token=PI8XCLWjII8AAAAA:PDnSm7F2vDTsK-HL0y5IKRNd8TU_RodZyyXfelc2pcc3ETbRe0rZlqH51kblDb_yWkLJeFXneQ","https://scholar.google.com/scholar?q=related:SqE1T5NGj-8J:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
193,"L Fu, R Wang, C Zhao, J Huo, C He, KH Kim…","Construction of Cr-embedded graphyne electrocatalyst for highly selective reduction of CO2 to CH4: A DFT study",2021,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894721004514?casa_token=AuMC8p0e6f8AAAAA:MbPWG0E6fZr4XwZmschpRketXd8Lcoj1aWStU93D3sq09Lxn5Ef06zQmdb4eVXtkB9LfYkwTLw","https://scholar.google.com/scholar?cites=17138816553989523857&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 19:45:18","HTML","","","",,,,,193,48.25,28,7,4,"… In this work, density functional theory (DFT) was employed to assess the efficiency of … activation energy barrier to more accurately determine the most favorable reaction direction of *CH …","https://www.sciencedirect.com/science/article/pii/S1385894721004514?casa_token=AuMC8p0e6f8AAAAA:MbPWG0E6fZr4XwZmschpRketXd8Lcoj1aWStU93D3sq09Lxn5Ef06zQmdb4eVXtkB9LfYkwTLw","https://scholar.google.com/scholar?q=related:kUkhu9lO2e0J:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
78,"S Mao, P Zhao, Y Wu, C Liu, M Xia, F Wang","Promoting charge migration of Co (OH) 2/g-C3N4 by hydroxylation for improved PMS activation: catalyst design, DFT calculation and mechanism analysis",2023,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894722039845?casa_token=fTeMy_ehf8QAAAAA:_P1Qm_M88G-HMaGO56FKQqLeKwYqvqqIweRlC8iION9Rv4YrkZ-U2feujoOKszt3rDs5nbvyBw","https://scholar.google.com/scholar?cites=6745176261835971847&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 19:45:18","HTML","","","",,,,,78,39.00,13,6,2,"… The PMS adsorption behavior on the catalyst surface was elucidated based on density functional theory (DFT) calculations. The degradation pathway of ERF was then analyzed by …","https://www.sciencedirect.com/science/article/pii/S1385894722039845?casa_token=fTeMy_ehf8QAAAAA:_P1Qm_M88G-HMaGO56FKQqLeKwYqvqqIweRlC8iION9Rv4YrkZ-U2feujoOKszt3rDs5nbvyBw","https://scholar.google.com/scholar?q=related:B10hmhKum10J:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"S Rong, L Zhang, Z Yue, Z Song, W Tang, X Zhu…","Directional introduction of pyridine nitrogen functional groups in activated carbon catalysts for the catalytic production of hydrogen: An experimental and DFT …",2023,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894722052238?casa_token=zfYYaHUVBI0AAAAA:Fy7fKRuW5VSybL68G75_DcFoPwMKb2KIfkQwlAPGFDkRzeWxJfDPuSJmDfOoWY5T9Bk03c6Cbg","https://scholar.google.com/scholar?cites=7410919063924275418&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 19:45:18","HTML","","","",,,,,13,6.50,2,7,2,"… from experiments and density functional theory (DFT) calculations … Using ammonia-carbon dioxide co-activation, the samples … According to the DFT calculations, the models for pyridine …","https://www.sciencedirect.com/science/article/pii/S1385894722052238?casa_token=zfYYaHUVBI0AAAAA:Fy7fKRuW5VSybL68G75_DcFoPwMKb2KIfkQwlAPGFDkRzeWxJfDPuSJmDfOoWY5T9Bk03c6Cbg","https://scholar.google.com/scholar?q=related:2nhguJ_f2GYJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
214,"K Zhou, W Ma, Z Zeng, X Ma, X Xu, Y Guo, H Li…","Experimental and DFT study on the adsorption of VOCs on activated carbon/metal oxides composites",2019,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894719310058?casa_token=XN9LID6lHyUAAAAA:Zwruf8Jrnweh-GDbNdnpdVWKZKNxS4T34hL1l3Avm9Q1aW8e8gmzwmh200i9N0G2YrsCs883aw","https://scholar.google.com/scholar?cites=14659463586683218162&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 19:45:18","HTML","","","",,,,,214,35.67,27,8,6,"… All density functional theory (DFT) calculations in this study were performed using the DMol 3 program package in Materials Studio. The detail information of computational parameter …","https://www.sciencedirect.com/science/article/pii/S1385894719310058?casa_token=XN9LID6lHyUAAAAA:Zwruf8Jrnweh-GDbNdnpdVWKZKNxS4T34hL1l3Avm9Q1aW8e8gmzwmh200i9N0G2YrsCs883aw","https://scholar.google.com/scholar?q=related:8ugGgnbgcMsJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"X Zou, M Zhai, D Yang, G Liu, T Wang, L Guo…","… into the mechanism of biomass char steam gasification process by oxygen-containing functional group as aromatic carbon boundaries: Experimental and DFT …",2023,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894723016789?casa_token=8HZh4CoF3dcAAAAA:4NhF1K23bHmvUtJwYYVzIunbXI38PAWKPm-pe1s9B7nqObWtS1lqj6Fj0lehVgKPtElN15sfcw","https://scholar.google.com/scholar?cites=16699155204218559889&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 19:45:18","HTML","","","",,,,,20,10.00,3,7,2,"… the gasification, thus reducing the activation energy of CO 2 … the NO-Char interaction using the DFT. The results were consistent … was performed using a density functional theory (DFT) to …","https://www.sciencedirect.com/science/article/pii/S1385894723016789?casa_token=8HZh4CoF3dcAAAAA:4NhF1K23bHmvUtJwYYVzIunbXI38PAWKPm-pe1s9B7nqObWtS1lqj6Fj0lehVgKPtElN15sfcw","https://scholar.google.com/scholar?q=related:kR2QrC5Rv-cJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"G Yu, Y Xie, Q Ge, Q Dai, J Xu, H Cao","Mechanism of ozone adsorption and activation on B-, N-, P-, and Si-doped graphene: A DFT study",2022,"Chemical Engineering Journal","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894721046908?casa_token=K_YozWQHu3sAAAAA:KVYxxQSlcoPPvNVyovtlWZWVHCIbU0smrP4J-RGFgta792Cf_0FKVzzMMIScmRzEBf-5buwjvw","https://scholar.google.com/scholar?cites=2482998374723740999&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 19:45:18","HTML","","","",,,,,54,18.00,9,6,3,"… Herein, we report a density functional theory study to … relationship (QSAR) with the activation energy barrier of O 3 … good linear relation with the activation energy barrier. This contribution …","https://www.sciencedirect.com/science/article/pii/S1385894721046908?casa_token=K_YozWQHu3sAAAAA:KVYxxQSlcoPPvNVyovtlWZWVHCIbU0smrP4J-RGFgta792Cf_0FKVzzMMIScmRzEBf-5buwjvw","https://scholar.google.com/scholar?q=related:R-VHx91hdSIJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
85,"H Chen, Y Guo, Y Du, X Xu, C Su, Z Zeng…","The synergistic effects of surface functional groups and pore sizes on CO2 adsorption by GCMC and DFT simulations",2021,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894721004198?casa_token=98dyf5_slEwAAAAA:b4fHyN7O8xAQkwbgLLMeGRQM0w-QsIrKffqrt8fApKl3WSnpNCx8P3Nq_gIBVcKyjVqFHbSF1Q","https://scholar.google.com/scholar?cites=17999630907922576808&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 19:45:18","HTML","","","",,,,,85,21.25,12,7,4,"… density functional theory (DFT). The synergistic effects of surface functional groups and pore sizes on the adsorption behavior of CO 2 on functionalized surfaces were elucidated. At low …","https://www.sciencedirect.com/science/article/pii/S1385894721004198?casa_token=98dyf5_slEwAAAAA:b4fHyN7O8xAQkwbgLLMeGRQM0w-QsIrKffqrt8fApKl3WSnpNCx8P3Nq_gIBVcKyjVqFHbSF1Q","https://scholar.google.com/scholar?q=related:qPXd0vGIy_kJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"S Huang, L Wang, Q He, L Sun, D Li, N Liu…","… activation by CuFe2S3 nanocrystal doped C/N catalyst for phenanthrene degradation: Experimental, mechanism, and density functional theory calculation",2023,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894723024063?casa_token=ncv31Tb97wUAAAAA:cKlhFAGbFF4ZsOrh-oSd01iBaT4rY5KxXodVFSSJ0pfs2vi4R8yCHeG2LrPmWLo5rue3X9qgOw","https://scholar.google.com/scholar?cites=11246696822477322849&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 19:45:18","HTML","","","",,,,,12,6.00,2,7,2,"… was elucidated using density functional theory (DFT) methods… Cu atoms dominated the PDS activation. This study expands … of electron transfer mechanisms underlying PDS activation. …","https://www.sciencedirect.com/science/article/pii/S1385894723024063?casa_token=ncv31Tb97wUAAAAA:cKlhFAGbFF4ZsOrh-oSd01iBaT4rY5KxXodVFSSJ0pfs2vi4R8yCHeG2LrPmWLo5rue3X9qgOw","https://scholar.google.com/scholar?q=related:YXpGKCxLFJwJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"J Li, E Liang, T Huang, X Zhao, T Wang","Insights into atrazine degradation by thermally activated persulfate: evidence from dual C–H isotope analysis and DFT simulations",2023,"Chemical Engineering Journal","Elsevier","https://www.sciencedirect.com/science/article/pii/S138589472205687X?casa_token=YtI2yIHL6wEAAAAA:pCzTI0E6X9sdeNMZvKmZQe6W7EoTCO6IBR1zqNisjznEet9qgr_nm5wgbS58_7tTX_1KcjTfIg","https://scholar.google.com/scholar?cites=6437964297771447735&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 19:45:18","HTML","","","",,,,,11,5.50,2,5,2,"… (ATZ) degradation by heat-activated PS, in order to provide fingerprinted … -activated PS oxidation at various pHs; and (iii) to infer the reaction mechanism combined with CSIA and DFT …","https://www.sciencedirect.com/science/article/pii/S138589472205687X?casa_token=YtI2yIHL6wEAAAAA:pCzTI0E6X9sdeNMZvKmZQe6W7EoTCO6IBR1zqNisjznEet9qgr_nm5wgbS58_7tTX_1KcjTfIg","https://scholar.google.com/scholar?q=related:t3VQRWs-WFkJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
