Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
24,"D Li, C Zhu, M Zhang, Y Wang, Z Kang, Y Liu…","1, 2-dimethyl-3-propylimidazolium iodide as a multiple-functional redox mediator for Li-O2 batteries: In situ generation of a “self-defensed” SEI layer on Li …",2021,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894720334598?casa_token=AurIROyDPbcAAAAA:O22T0Yew58hA_BPdhtUJeD5s4L1MWYZ4ivKb-A9MLWrEz1HXW30jxUeCjkMFfp3-fWqP9Qi-uQ","https://scholar.google.com/scholar?cites=5430552290642690307&as_sdt=2005&sciodt=0,5&hl=en",611,"2025-05-06 19:42:27","HTML","","","",,,,,24,6.00,3,7,4,"… Based on the experimental and density functional theory (DFT) calculation results, a working mechanism for a cell operation is also proposed. These results represent a promising …","https://www.sciencedirect.com/science/article/pii/S1385894720334598?casa_token=AurIROyDPbcAAAAA:O22T0Yew58hA_BPdhtUJeD5s4L1MWYZ4ivKb-A9MLWrEz1HXW30jxUeCjkMFfp3-fWqP9Qi-uQ","https://scholar.google.com/scholar?q=related:AwHxOYkyXUsJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"S Yang, M Hao, Z Wang, Z Xie, Z Cai, M Hu…","2, 2, 2-Trifluoroethyl trifluoroacetate as effective electrolyte additive for uniform Li deposition in lithium metal batteries",2022,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894722004041?casa_token=1OPz9TbXGBsAAAAA:H_eqJM-_y88leIjQJVZwulQ0PpqG9Dp7b0twAlIMT4r9fVqzdjVS9BGNpejAx4RhDfURMdy_JQ","https://scholar.google.com/scholar?cites=5985558625934925260&as_sdt=2005&sciodt=0,5&hl=en",959,"2025-05-06 19:42:27","HTML","","","",,,,,29,9.67,4,7,3,"… DFT calculations and a series of characterization results indicate that the additive greatly favors formation of more protective SEI layer on the Li anode and homogeneous Li deposition. …","https://www.sciencedirect.com/science/article/pii/S1385894722004041?casa_token=1OPz9TbXGBsAAAAA:H_eqJM-_y88leIjQJVZwulQ0PpqG9Dp7b0twAlIMT4r9fVqzdjVS9BGNpejAx4RhDfURMdy_JQ","https://scholar.google.com/scholar?q=related:zF0ggdv5EFMJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
83,"Z Xie, Z Wu, X An, X Yue, A Yoshida, X Du…","2-Fluoropyridine: A novel electrolyte additive for lithium metal batteries with high areal capacity as well as high cycling stability",2020,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894720307804?casa_token=Y1k0busfMXAAAAAA:ZA3YaLQwNZJFzmJVHgwOnxBlsKw48MVDWuD0v7aYLL2PxcJVumqVglpRD7vaEPwv-uftZ1G_Zg","https://scholar.google.com/scholar?cites=2801736561813918961&as_sdt=2005&sciodt=0,5&hl=en",754,"2025-05-06 19:42:27","HTML","","","",,,,,83,16.60,12,7,5,"… Meanwhile, based on our preliminary density functional theory (DFT) calculations, the fluorine atoms on the pyridine ring (fluoropyridine) are easily detached to participate the formation …","https://www.sciencedirect.com/science/article/pii/S1385894720307804?casa_token=Y1k0busfMXAAAAAA:ZA3YaLQwNZJFzmJVHgwOnxBlsKw48MVDWuD0v7aYLL2PxcJVumqVglpRD7vaEPwv-uftZ1G_Zg","https://scholar.google.com/scholar?q=related:8ZQkCY_E4SYJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"Y Zhang, Y Liu, J Zhou, D Wang, L Tan, C Yi","3D cubic framework of fluoride perovskite SEI inducing uniform lithium deposition for air-stable and dendrite-free lithium metal anodes",2022,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894721058393?casa_token=xh5zkP7qno0AAAAA:iZkk8iFxCnW1mop8VasI7GS6cNuLAiXnQjrEhwYNzwEJfLxwHJ0SSgFHnzCJekSghHk0dUQ4kg","https://scholar.google.com/scholar?cites=9539218139094421567&as_sdt=2005&sciodt=0,5&hl=en",831,"2025-05-06 19:42:27","HTML","","","",,,,,31,10.33,5,6,3,"… In order to reveal the protection mechanism of perovskite SEI, density functional theory (DFT) calculation was conducted to simulate the conduction process of Li + in the perovskite …","https://www.sciencedirect.com/science/article/pii/S1385894721058393?casa_token=xh5zkP7qno0AAAAA:iZkk8iFxCnW1mop8VasI7GS6cNuLAiXnQjrEhwYNzwEJfLxwHJ0SSgFHnzCJekSghHk0dUQ4kg","https://scholar.google.com/scholar?q=related:P5CvR1scYoQJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"F Liu, G Ding, Z Zheng, Z Du, J Sun, L Yang…","3D flower-like perylenetetracarboxylic-Zn (II) superstructures/Bi2WO6 step-scheme heterojunctions with enhanced visible light photocatalytic performance",2022,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894721039553?casa_token=HjneqJ4MFAUAAAAA:YGPPnT_kqAVaKCRz9JemJqko-aDp7LRVGklSiy9iCsVm4GbZqdh5MEHYaGYOWwvCLRyR9JhM5g","https://scholar.google.com/scholar?cites=6083344049049818264&as_sdt=2005&sciodt=0,5&hl=en",592,"2025-05-06 19:42:27","HTML","","","",,,,,45,15.00,6,7,3,"… In summary, the results of DFT calculation, KPFM, in situ irradiated XPS and free radical detection by ESR and using terephthalic acid as the fluorescent probe all prove the S-scheme …","https://www.sciencedirect.com/science/article/pii/S1385894721039553?casa_token=HjneqJ4MFAUAAAAA:YGPPnT_kqAVaKCRz9JemJqko-aDp7LRVGklSiy9iCsVm4GbZqdh5MEHYaGYOWwvCLRyR9JhM5g","https://scholar.google.com/scholar?q=related:mNQZgi5hbFQJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"L Gao, C Sun, X Li, Y An, J Li, Y Bai, X Bian","3D lithiophilic collector coated by amorphous g-C3N4 enabling Ultra-Stable cycling Li metal batteries",2024,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894724049337?casa_token=TpmkxFgz4doAAAAA:lSVZk5kNI7og5AyViOcqacV2devdyfUoMmdf66JNDzbxqnDga6iSAOtuxULLahR1xNAt_bQOVQ","https://scholar.google.com/scholar?cites=15387057106495516436&as_sdt=2005&sciodt=0,5&hl=en",681,"2025-05-06 19:42:27","HTML","","","",,,,,4,4.00,1,7,1,"… The density functional theory (DFT) calculations show that the reaction between CACM and Li atoms has a strong binding energy and a large amount of charge transfer. The lithiophilic …","https://www.sciencedirect.com/science/article/pii/S1385894724049337?casa_token=TpmkxFgz4doAAAAA:lSVZk5kNI7og5AyViOcqacV2devdyfUoMmdf66JNDzbxqnDga6iSAOtuxULLahR1xNAt_bQOVQ","https://scholar.google.com/scholar?q=related:FK9QC-rOidUJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
112,"M Zhang, K Yang, J Cui, H Yu, Y Wang, W Shan…","3D-agaric like core-shell architecture UiO-66-NH2@ ZIF-8 with robust stability for highly efficient REEs recovery",2020,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894720300140?casa_token=bU6Gc9MGT8QAAAAA:pOwpBYKiAgHPDPgzddYNj4eBcwTm5dPcrZv4LOlZazhQXO_w4uUrpzXGIjdFTmpf5ipJ7rk0-Q","https://scholar.google.com/scholar?cites=2206800627280833189&as_sdt=2005&sciodt=0,5&hl=en",489,"2025-05-06 19:42:27","HTML","","","",,,,,112,22.40,16,7,5,"… DFT model is more accurate than BET model in calculating the area of … of DFT model is more accurate than that of BET model which is the reason for the drastic change between DFT …","https://www.sciencedirect.com/science/article/pii/S1385894720300140?casa_token=bU6Gc9MGT8QAAAAA:pOwpBYKiAgHPDPgzddYNj4eBcwTm5dPcrZv4LOlZazhQXO_w4uUrpzXGIjdFTmpf5ipJ7rk0-Q","https://scholar.google.com/scholar?q=related:peoud3ohoB4J:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"F Xue, Z Quan, X Lei, J Mao, L Zhang, L Wang…","A biomimetic porous fibre bundle adsorbent for the rapid and complete removal of multiple low-level heavy metal ions",2023,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894722062209?casa_token=C3KBnWY6oVMAAAAA:XbsuDXy_KFmijADqEULhnhxYIA1TuKy9zdXdBVhlexrhXo5wzBI1RlUkP8-0_bDKUjSy87pffA","https://scholar.google.com/scholar?cites=5260074459305928718&as_sdt=2005&sciodt=0,5&hl=en",893,"2025-05-06 19:42:27","HTML","","","",,,,,21,10.50,3,7,2,"… adsorption process, the DFT calculation method was … density functional theory (DFT) calculations was simplified to improve the computational efficiency. Detailed information on the DFT …","https://www.sciencedirect.com/science/article/pii/S1385894722062209?casa_token=C3KBnWY6oVMAAAAA:XbsuDXy_KFmijADqEULhnhxYIA1TuKy9zdXdBVhlexrhXo5wzBI1RlUkP8-0_bDKUjSy87pffA","https://scholar.google.com/scholar?q=related:DugIB9qJ_0gJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
35,"M Lei, Y Tang, H Wang, L Zhu, G Zhang, Y Zhou…","A catalytic strategy for rapid cleavage of C-Cl bond under mild conditions: Effects of active hydrogen induced by Pd nanoparticles on the complete …",2021,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894721010974?casa_token=Xi9u82JsjuMAAAAA:fH65JZdK4W7itwEEZhtioRbuFIMYcV1EJx9NIntyp6LETyoDKm1tARON4G8zWzDGlneUZAOpRA","https://scholar.google.com/scholar?cites=10637281888514893693&as_sdt=2005&sciodt=0,5&hl=en",650,"2025-05-06 19:42:27","HTML","","","",,,,,35,8.75,5,7,4,"… DFT calculations DFT calculations concerning the geometrical optimization were performed … Optimization of PentaCB were obtained from DFT calculations using the Becke’s parameters …","https://www.sciencedirect.com/science/article/pii/S1385894721010974?casa_token=Xi9u82JsjuMAAAAA:fH65JZdK4W7itwEEZhtioRbuFIMYcV1EJx9NIntyp6LETyoDKm1tARON4G8zWzDGlneUZAOpRA","https://scholar.google.com/scholar?q=related:fWeg1IQ3n5MJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"S Yang, W Yu, B Du, G Fan, Z Zhang, G Pu…","A citrate-loaded nano-zero-valent iron heterogeneous Fenton system for steroid estrogens degradation under different acidity levels: The effects and …",2021,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894721015515?casa_token=UGastGkXIgoAAAAA:QWAJup9DmbD7MnxTsJlxBWcEDnjriJiEcdHCLjvodja0MveuvPP_3KP3AedOoTLkbhoEBQ5Whg","https://scholar.google.com/scholar?cites=8249994064086545933&as_sdt=2005&sciodt=0,5&hl=en",416,"2025-05-06 19:42:27","HTML","","","",,,,,12,3.00,2,7,4,"… Moreover, the effects and mechanisms of the 17β-E2 degradation process under the action of C-nZVI were further analyzed by a series of experiments and density functional theory (DFT…","https://www.sciencedirect.com/science/article/pii/S1385894721015515?casa_token=UGastGkXIgoAAAAA:QWAJup9DmbD7MnxTsJlxBWcEDnjriJiEcdHCLjvodja0MveuvPP_3KP3AedOoTLkbhoEBQ5Whg","https://scholar.google.com/scholar?q=related:Dbb1FOTdfXIJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
