Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"W Sun, H Cheng, J Zhang, X Fang, W Chen…","Allochroic platinum/carbon nitride with photoactivated ohmic contact for efficient visible-light photocatalytic hydrogen evolution",2023,"Chemical Engineering …","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1750244","https://scholar.google.com/scholar?cites=15659305070753469700&as_sdt=2005&sciodt=0,5&hl=en",438,"2025-05-06 22:25:47","","","","",,,,,8,4.00,1,6,2,"… Further insights into the formation of MCN intermediate layer and Pt/ CN ohmic junction are obtained by work function measurements and density functional theory (DFT) calculations. …","https://www.diva-portal.org/smash/get/diva2:1750244/FULLTEXT01.pdf","https://scholar.google.com/scholar?q=related:BNW7y_4GUdkJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"J Chen, H Wu, G Sheng, H Li, M Li, X Guo…","… oxide-mediated the reduction of U (VI), Re (VII), Se (VI) and Se (IV) by Fe (II) in aqueous solutions investigated via combined batch, DFT calculation and spectroscopic …",2022,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894721054176","https://scholar.google.com/scholar?cites=7168653061532070183&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 22:25:47","","","","",,,,,30,10.00,4,7,3,"… Fe(II) via a combined batch, DFT calculation and spectroscopic investigation. The kinetics for … reductive immobilization of radionuclides in a wide range of redox-stratified environments. …","","https://scholar.google.com/scholar?q=related:J7GicvorfGMJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
38,"J Blotevogel, RJ Giraud, T Borch","Reductive defluorination of perfluorooctanoic acid by zero-valent iron and zinc: A DFT-based kinetic model",2018,"Chemical Engineering Journal","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894717318478","https://scholar.google.com/scholar?cites=1194984269632235364&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 22:25:47","","","","",,,,,38,5.43,13,3,7,"… study is to estimate the kinetics for the reductive defluorination of PFOA by the widely used … based on density functional theory (DFT) to predict the kinetics of reductive dehalogenation …","","https://scholar.google.com/scholar?q=related:ZOebp9xvlRAJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
52,"G Zhao, J Ding, J Ren, Q Zhao, Q Gao, K Wang…","Insight into the visible light activation of sulfite by Fe/g-C3N4 with rich N vacancies for pollutant removal and sterilization: A novel approach for enhanced generation of …",2022,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894722011639","https://scholar.google.com/scholar?cites=12005799426102471669&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 22:25:47","","","","",,,,,52,17.33,7,7,3,"… Density functional theory (DFT) calculations indicated that NVs facilitated charge transfer from Fe to gC 3 N 4 substrate, accelerating the Fe 3+ /Fe 2+ and oxysulfur radical cycles. Fe/gC …","","https://scholar.google.com/scholar?q=related:9Stt9fcqnaYJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"H Ren, R Xu, T Chi, F Li, Y Zheng, J Tian…","Reductive dehalogenation pathways and inhibition mechanisms of 2, 5-dichloronitrobenzene in UV/sulfite advanced reduction process",2023,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894723002280","https://scholar.google.com/scholar?cites=2661002463313998609&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 22:25:47","","","","",,,,,13,6.50,2,7,2,"… In addition, the reduction pathways of 2,5 − DCNB during UV/sulfite ARPs were predicted by intermediates identification and density functional theory (DFT) calculation. Cyclohexanol …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4245379","https://scholar.google.com/scholar?q=related:ETNFTKTH7SQJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
86,"Z Cao, J Xu, H Li, T Ma, L Lou, G Henkelman…","Dechlorination and defluorination capability of sulfidized nanoscale zerovalent iron with suppressed water reactivity",2020,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894720320283","https://scholar.google.com/scholar?cites=13785644161286477678&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 22:25:47","HTML","","","",,,,,86,17.20,12,7,5,"… spin-polarization and explicit solvation model in DFT, we did not consider an explicit solvation … Both the experimental results (reaction with water) and the DFT calculations indicate that …","https://www.sciencedirect.com/science/article/pii/S1385894720320283","https://scholar.google.com/scholar?q=related:bhdrQVNyUL8J:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"J He, J Nie, X Liu, B Liu, Z Zhang","Mild and selective synthesis of imines and N-Heterocyclic compounds via formic acid-mediated reductive coupling strategy over Nitrogen-Coordinated cobalt Single …",2024,"Chemical Engineering Journal","Elsevier","https://www.sciencedirect.com/science/article/pii/S138589472404261X","https://scholar.google.com/scholar?cites=1850474526986015740&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 22:25:47","","","","",,,,,5,5.00,1,5,1,"… analyses and density functional theory (DFT) calculations. … DFT results reveal that the energy barrier for the transfer … Therefore, DFT calculation can clearly explain our results of …","","https://scholar.google.com/scholar?q=related:_BPpLsc0rhkJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
103,"F Liu, S Wang, B Hu","Electrostatic self-assembly of nanoscale FeS onto MXenes with enhanced reductive immobilization capability for U (VI) and Cr (VI)",2023,"Chemical Engineering Journal","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894722065810","https://scholar.google.com/scholar?cites=5443106249065378879&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 22:25:47","","","","",,,,,103,51.50,34,3,2,"… /Cr(VI), whereas the elimination process was a spontaneous endothermic reaction. More importantly, according to the spectroscopic analysis and DFT calculation, both FeS and surface …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4263654","https://scholar.google.com/scholar?q=related:PzRAckvMiUsJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"Y Tang, X Zhou, M Lei, H Wang, A Lu, G Zhang…","Highly efficient catalytic debromination of tetrabromodiphenyl ether with hydrazine as reducing agent: The role of the interaction between the catalyst and the reducing …",2022,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894721059362","https://scholar.google.com/scholar?cites=123850006196363345&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 22:25:47","","","","",,,,,12,4.00,2,7,3,"… In the effort to the elimination of PBDEs, reductive … all Spin-polarization density functional theory (DFT) calculations within the … The weak interaction was described by DFT + D3 method …","","https://scholar.google.com/scholar?q=related:UaDDqOwAuAEJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"L Qian, Z Kang, S Shen, H Sheng, H Li, Y Wang…","Mechanistic insights into sulfidated zero-valent iron with oxalic acid on Cr (VI) removal: Synergy of electron selectivity and transfer",2025,"Chemical Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1385894725027287","",9,"2025-05-06 22:25:47","","","","",,,,,0,0.00,0,7,1,"Electron selection and transfer are the two most crucial aspects of zero-valent iron (ZVI) in removing pollutants. The iron sulfide (FeS x ) in S-ZVI has been regarded as strengthening the …","","https://scholar.google.com/scholar?q=related:ZMZxisF1GBMJ:scholar.google.com/&scioq=source:%22chemical+engineering+journal%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
