Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"Y Xi, A Heyden","Selective activation of methane CH bond in the presence of methanol",2020,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951720301202?casa_token=lrGo21QQHHQAAAAA:NoKEz-3ykunwA7mItdoPFdqwFfs1wohUgnwCB9jcTfZifXk6CPdJeD96M310SQ25FT_tbztbCg","https://scholar.google.com/scholar?cites=17286038625499953593&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 18:58:08","","","","",,,,,10,2.00,5,2,5,"… First-principles calculations were performed using periodic density functional theory (DFT), as … We used Grimme’s DFT-D3 [27] scheme to treat the van der Waals interactions semi-…","https://www.sciencedirect.com/science/article/am/pii/S0021951720301202","https://scholar.google.com/scholar?q=related:uTmbZotY5O8J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
148,"J Yang, Y Qi, J Zhu, YA Zhu, D Chen, A Holmen","Reaction mechanism of CO activation and methane formation on Co Fischer–Tropsch catalyst: A combined DFT, transient, and steady-state kinetic modeling",2013,"Journal of catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951713001917?casa_token=y9YAmvUHYvkAAAAA:A6Rfy42DOGVzhvHfjvNBp4wfLmGMPGKdJtYWciHGkQ0U5VuZsBLQuV_WqP2kentDJyJrvpI7Pw","https://scholar.google.com/scholar?cites=11439086387648519990&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 18:58:08","HTML","","","",,,,,148,12.33,25,6,12,"… CO activation is the first step in Fischer–… Density functional theory (DFT) calculations demonstrate that direct dissociation is more difficult on a flat Co surface and that the CO activation …","https://www.sciencedirect.com/science/article/pii/S0021951713001917?casa_token=y9YAmvUHYvkAAAAA:A6Rfy42DOGVzhvHfjvNBp4wfLmGMPGKdJtYWciHGkQ0U5VuZsBLQuV_WqP2kentDJyJrvpI7Pw","https://scholar.google.com/scholar?q=related:Nt_LcnbMv54J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
379,"R Alcala, M Mavrikakis, JA Dumesic","DFT studies for cleavage of C C and C O bonds in surface species derived from ethanol on Pt (111)",2003,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951703000903?casa_token=VgIpdsU8upIAAAAA:mGSLzC6T-3n1afL-UzPSbIX27HmkieM0eBSAznef92oHTl9ehrhxUJiR0Kikb9Lk9ZScxH2H1g","https://scholar.google.com/scholar?cites=13502252960972179132&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 18:58:08","HTML","","","",,,,,379,17.23,126,3,22,"… from ethane on Pt(111) with the lowest activation energy barrier for cleavage of the CC bond is adsorbed ethylidene (CH 3 CH), and this activation energy barrier is 106 kJ/mol [17]. …","https://www.sciencedirect.com/science/article/pii/S0021951703000903?casa_token=VgIpdsU8upIAAAAA:mGSLzC6T-3n1afL-UzPSbIX27HmkieM0eBSAznef92oHTl9ehrhxUJiR0Kikb9Lk9ZScxH2H1g","https://scholar.google.com/scholar?q=related:vIY2roejYbsJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
140,"B Xing, XY Pang, GC Wang","C–H bond activation of methane on clean and oxygen pre-covered metals: A systematic theoretical study",2011,"Journal of catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951711001850?casa_token=kfTpW3lLUMcAAAAA:nP-Us_xZSd1jsK4trtajCwn07d9I6IbYuMO6oTpqofo08rcjUbcNwQMSdXW7qdNjckxJ8ZlQbg","https://scholar.google.com/scholar?cites=13619308067031498283&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 18:58:08","HTML","","","",,,,,140,10.00,47,3,14,"… To study the energy and structure details of CH 4 dissociation, the periodic, self-consistent density functional theory (DFT) calculation was performed by using the Vienna ab initio …","https://www.sciencedirect.com/science/article/pii/S0021951711001850?casa_token=kfTpW3lLUMcAAAAA:nP-Us_xZSd1jsK4trtajCwn07d9I6IbYuMO6oTpqofo08rcjUbcNwQMSdXW7qdNjckxJ8ZlQbg","https://scholar.google.com/scholar?q=related:Kz4GXoeAAb0J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
102,"BS Bunnik, GJ Kramer","Energetics of methane dissociative adsorption on Rh {111} from DFT calculations",2006,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951706002132?casa_token=jycRS6xClvAAAAAA:4gfp09KCMYYpzZewYCdGOHRbOhiQPtVgkPeFjTT1oHoK1svWJsvtswxpf4Zdy9Dc3KNFhbqYSg","https://scholar.google.com/scholar?cites=14132579658758132207&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 18:58:08","HTML","","","",,,,,102,5.37,51,2,19,"… We present DFT calculations of methane activation and CH x ( x = 0 – 3 ) adsorption at a Rh{111} surface and compare our results with data for other elements. The activation …","https://www.sciencedirect.com/science/article/pii/S0021951706002132?casa_token=jycRS6xClvAAAAAA:4gfp09KCMYYpzZewYCdGOHRbOhiQPtVgkPeFjTT1oHoK1svWJsvtswxpf4Zdy9Dc3KNFhbqYSg","https://scholar.google.com/scholar?q=related:75EwcFICIcQJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
105,"YHC Chin, C Buda, M Neurock, E Iglesia","Selectivity of chemisorbed oxygen in C–H bond activation and CO oxidation and kinetic consequences for CH4–O2 catalysis on Pt and Rh clusters",2011,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951711001977?casa_token=u1d079mmuo0AAAAA:UA2QB_Nh-1t19u7hANkfjlLu6gZJNR33cBrDUIYBR1DQG2Hmme0KXiXRUSlQK9oOLf_grhDbGw","https://scholar.google.com/scholar?cites=10462958357268177671&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 18:58:08","HTML","","","",,,,,105,7.50,26,4,14,"… time required for detectable extents of CH 4 conversion. O * selectivities were also calculated by averaging DFT-derived activation barriers for CO and CH 4 oxidation reactions over all …","https://www.sciencedirect.com/science/article/pii/S0021951711001977?casa_token=u1d079mmuo0AAAAA:UA2QB_Nh-1t19u7hANkfjlLu6gZJNR33cBrDUIYBR1DQG2Hmme0KXiXRUSlQK9oOLf_grhDbGw","https://scholar.google.com/scholar?q=related:B6Os2DDlM5EJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"P Wang, B Yang","Influence of surface strain on activity and selectivity of Pd-based catalysts for the hydrogenation of acetylene: A DFT study",2018,"Chinese Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206718630815?casa_token=N2cFCrZL-KkAAAAA:latjbgJPSTv5IK2Y0S0JBs29f3kz31KV37wxpwUpYMrQUhQh6uWmzE9NuYeZoBA6vFnlYGspzQ","https://scholar.google.com/scholar?cites=18390148262586442528&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 18:58:08","HTML","","","",,,,,22,3.14,11,2,7,"… Combined density functional theory calculations and microkinetic modeling reveal that the selectivity and activity of the Pd catalyst for acetylene hydrogenation can both be substantially …","https://www.sciencedirect.com/science/article/pii/S1872206718630815?casa_token=N2cFCrZL-KkAAAAA:latjbgJPSTv5IK2Y0S0JBs29f3kz31KV37wxpwUpYMrQUhQh6uWmzE9NuYeZoBA6vFnlYGspzQ","https://scholar.google.com/scholar?q=related:IGM73mjuNv8J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"YC Liu, CH Yeh, YF Lo, S Nachimuthu, SD Lin…","In situ spectroscopic and theoretical investigation of methane activation on IrO2 nanoparticles: Role of Ir oxidation state on CH activation",2020,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951720301019?casa_token=6fJ1ayA5__EAAAAA:ZR-Q1VBHF300ZSC-3sZCkEnpRLsMA7ZCzWEotcOQlnv_BfG2vCPenZZcZarJG9TWtTCPfsSGsA","https://scholar.google.com/scholar?cites=10341332213415327349&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 18:58:08","HTML","","","",,,,,37,7.40,6,6,5,"… This study demonstrates by DFT modeling that CH 4 adsorption and CH bond dissociation are facile over IrO 2 and in situ spectroscopic analyses (Fig. 1) showed the consistent …","https://www.sciencedirect.com/science/article/pii/S0021951720301019?casa_token=6fJ1ayA5__EAAAAA:ZR-Q1VBHF300ZSC-3sZCkEnpRLsMA7ZCzWEotcOQlnv_BfG2vCPenZZcZarJG9TWtTCPfsSGsA","https://scholar.google.com/scholar?q=related:dbbsfNvKg48J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
64,"S Lim, JW Choi, DJ Suh, KH Song, HC Ham, JM Ha","Combined experimental and density functional theory (DFT) studies on the catalyst design for the oxidative coupling of methane",2019,"Journal of catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951719301617?casa_token=QcE3o00JbAwAAAAA:KGPCRIZxYYy06qtH9G938X2R9vWTrAwZY0ONE5nFY4r_E_aghHl6brgqpOE2pGbPjhoJ63Ih0w","https://scholar.google.com/scholar?cites=3459632179222832963&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 18:58:08","HTML","","","",,,,,64,10.67,11,6,6,"… activation over numerous reducible/non-reducible metal oxides was also studied using density functional theory (DFT) … properties of catalysts based on DFT calculations has served as …","https://www.sciencedirect.com/science/article/pii/S0021951719301617?casa_token=QcE3o00JbAwAAAAA:KGPCRIZxYYy06qtH9G938X2R9vWTrAwZY0ONE5nFY4r_E_aghHl6brgqpOE2pGbPjhoJ63Ih0w","https://scholar.google.com/scholar?q=related:Q2cWGCMVAzAJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
67,"D Hibbitts, E Dybeck, T Lawlor, M Neurock, E Iglesia","Preferential activation of CO near hydrocarbon chains during Fischer–Tropsch synthesis on Ru",2016,"Journal of catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951716000233?casa_token=VLuKZSZuWdQAAAAA:KkyRVD75rQJrEznHexc1HOw-UK8EJm5mIj_t7_kTX8ECgcAYdKx05YHGU8wbNIOCW1mHGBqVPA","https://scholar.google.com/scholar?cites=7772635806589822568&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 18:58:08","","","","",,,,,67,7.44,13,5,9,"… These first-principles density functional theory (DFT) calculations show that enthalpy and free energy barriers for H ∗ -assisted CO ∗ activation on Ru surfaces are lower for activating …","https://www.sciencedirect.com/science/article/am/pii/S0021951716000233","https://scholar.google.com/scholar?q=related:aKZEvBXz3WsJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
