Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
5,"J Wang, F Zhu, B Chen, S Deng, B Hu, H Liu…","B atom dopant-manipulate electronic structure of CuIn nanoalloy delivering wide potential activity over electrochemical CO2RR",2023,"… Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206723644432","https://scholar.google.com/scholar?cites=7185361680106143203&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 19:05:15","","","","",,,,,5,2.50,1,7,2,"… stable electron can drive CO 2 RR to C 2 hydrocarbons via … key intermediates adsorption in CO 2 RR is highly anticipated, … Density functional theory (DFT) computation demonstrates …","","https://scholar.google.com/scholar?q=related:4z1u3WCIt2MJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"W Zhang, J Zeng, H Liu, Z Shi, Y Tang, Q Gao","CoxNi1− x nanoalloys on N-doped carbon nanofibers: Electronic regulation toward efficient electrochemical CO2 reduction",2019,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951719301204","https://scholar.google.com/scholar?cites=14337654685493032273&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 19:05:15","","","","",,,,,31,5.17,5,6,6,"… CO 2 RR activity on Ni-N and Ni-NC sites that experience electronic modulation due to N-coordination [27], [29], [39]. In this regard, we can ascribe the observed CO 2 RR to the … DFT …","","https://scholar.google.com/scholar?q=related:UfUG6fiU-cYJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"M Wang, Q Wang, T Liu, G Wang","Unexpected effect of second-shell defect in iron-nitrogen-carbon catalyst for electrochemical CO2 reduction reaction: A DFT study",2024,"Chinese Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206724601312","https://scholar.google.com/scholar?cites=14077208294487648362&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 19:05:15","","","","",,,,,1,1.00,0,4,1,"… on Fe-NC is simulated for CO 2 RR. It reveals that the *COOH … are significantly influential for the CO 2 RR. The double five-… carbon environment for effective CO 2 RR, and underlines …","","https://scholar.google.com/scholar?q=related:amgeDlxKXMMJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"N Li, J Peng, Z Shi, P Zhang, X Li","Charge transfer and orbital reconstruction of non-noble transition metal single-atoms anchored on Ti2CTx-MXenes for highly selective CO2 electrochemical reduction",2022,"Chinese Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206721640184","https://scholar.google.com/scholar?cites=15349841931803147961&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 19:05:15","","","","",,,,,45,15.00,9,5,3,"… as electrocatalysts for CO 2 RR. Additionally, we demonstrate the CO 2 RR catalytic activity … to explore the influence of surface groups on Ti 2 CT x -based SACs using DFT calculations. …","https://www.researchgate.net/profile/Neng-Li-4/publication/361248736_TMTi2CTxdiancuihuahaiyuanCO2_guannengtuanyoudaodianziguidaozhonggouyudianhezhuanyi/links/62a5f5f3a3fe3e3df8725783/TMTi2CTxdiancuihuahaiyuanCO2-guannengtuanyoudaodianziguidaozhonggouyudianhezhuanyi.pdf","https://scholar.google.com/scholar?q=related:ub6F9-iXBdUJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"Z Liu, X Zong, DG Vlachos, IAW Filot…","A computational study of electrochemical CO2 reduction to formic acid on metal-doped SnO2",2023,"… Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206723644766","https://scholar.google.com/scholar?cites=2017100200309077673&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 19:05:15","","","","",,,,,13,6.50,3,5,2,"… In the current work, we present DFT calculations combined with microkinetics simulations to investigate the electrochemical CO 2 RR to formic acid on a SnO 2 electrode. We …","https://research.tue.nl/files/306298928/1-s2.0-S1872206723644766-main.pdf","https://scholar.google.com/scholar?q=related:qbbK8_Et_hsJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
55,"L Gong, D Zhang, Y Shen, X Wang, J Zhang, X Han…","Enhancing both selectivity and activity of CO2 conversion by breaking scaling relations with bimetallic active sites anchored in covalent organic frameworks",2020,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951720302955","https://scholar.google.com/scholar?cites=8517198247871256569&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 19:05:15","","","","",,,,,55,11.00,8,7,5,"… We aimed to understand CO 2 RR catalytic mechanism and … The density functional theory (DFT) calculations have then … (η) of CO 2 RR were considered and calculated with the DFT …","https://www.sciencedirect.com/science/article/am/pii/S0021951720302955","https://scholar.google.com/scholar?q=related:-RfyLa4qM3YJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"Z Li, QU Hassan, W Zhang, L Zhu, J Gao, X Shi…","Promotion of dual-reaction pathway in CO2 reduction over Pt0/SrTiO3–δ: Experimental and theoretical verification",2023,"… Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206722641755","https://scholar.google.com/scholar?cites=17216002555145919988&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 19:05:15","","","","",,,,,11,5.50,2,7,2,"… Based on our experimental and DFT theoretical calculation results, we can conclude that the RWGS reaction occurs on STO-based materials in CO 2 RR using H 2 O as the proton …","","https://scholar.google.com/scholar?q=related:9J2wDxyH6-4J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"HJW Li, H Zhou, Y Zhou, J Hu, M Miyauchi, J Fu…","Electric-field promoted C–C coupling over Cu nanoneedles for CO2 electroreduction to C2 products",2022,"… journal of catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206721638664","https://scholar.google.com/scholar?cites=2749424562681140274&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 19:05:15","","","","",,,,,43,14.33,6,7,3,"… for electrochemical CO 2 reduction (CO 2 RR) to multi-carbon (… Density functional theory (DFT) calculations proved that a … a maximum FE C2 of 44% for CO 2 RR at a low potential (−0.6 …","","https://scholar.google.com/scholar?q=related:MtRXmxLrJyYJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"H Gao, K Liu, T Luo, Y Chen, J Hu, J Fu…","CO2 reduction reaction pathways on single-atom Co sites: Impacts of local coordination environment",2022,"… Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206721638937","https://scholar.google.com/scholar?cites=4191662581876595755&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 19:05:15","","","","",,,,,26,8.67,4,7,3,"… All the energy and electronic structures were calculated by DFT using the … CO 2 RR. In this work, Co-N 3 O-CPY and Co-N 3 C-CPY should have better selectivity for the CO 2 RR …","","https://scholar.google.com/scholar?q=related:KxwN6-jGKzoJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
64,"Y Shang, Y Ding, P Zhang, M Wang, Y Jia, Y Xu…","Pyrrolic N or pyridinic N: The active center of N-doped carbon for CO2 reduction",2022,"… Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206722641226","https://scholar.google.com/scholar?cites=3988485648553984078&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 19:05:15","","","","",,,,,64,21.33,9,7,3,"… for CO 2 RR to CO is positively correlated to pyrrolic N content, indicating the pyrrolic N as the active center for CO 2 RR. … In summary, through DFT calculations, the intrinsic activity of …","https://www.researchgate.net/profile/Yunxuan-Ding/publication/362458617_Pyrrolic_N_or_pyridinic_N_The_active_center_of_N-doped_carbon_for_CO2_reduction/links/66820c2ff3b61c4e2ca0e73f/Pyrrolic-N-or-pyridinic-N-The-active-center-of-N-doped-carbon-for-CO2-reduction.pdf","https://scholar.google.com/scholar?q=related:TsDNwZDyWTcJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
