Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
56,"J Lin, H Abroshan, C Liu, M Zhu, G Li, M Haruta","Sonogashira cross-coupling on the Au (1 1 1) and Au (1 0 0) facets of gold nanorod catalysts: Experimental and computational investigation",2015,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951715002407?casa_token=pXfiS6p5GGIAAAAA:rpShC-FVVnfvBr_OoGBz1N1bbA-GJTDUXz7yPMkRxqdnYlIjStdFULNI2iwKYEeZWSYc1RqMRg","https://scholar.google.com/scholar?cites=12270870877880743313&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-27 18:19:43","HTML","","","",,,,,56,5.60,9,6,10,"… homo- and cross-coupling steps using DFT simulation. … DFT calculations, we examine the roles played by Au(1 0 0) and Au(1 1 1) surfaces of the gold nanorods. It is found that coupling …","https://www.sciencedirect.com/science/article/pii/S0021951715002407?casa_token=pXfiS6p5GGIAAAAA:rpShC-FVVnfvBr_OoGBz1N1bbA-GJTDUXz7yPMkRxqdnYlIjStdFULNI2iwKYEeZWSYc1RqMRg","https://scholar.google.com/scholar?q=related:kXXEsAzkSqoJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
132,"G Li, D Jiang, C Liu, C Yu, R Jin","Oxide-supported atomically precise gold nanocluster for catalyzing Sonogashira cross-coupling",2013,"Journal of catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951713002339?casa_token=ZrAon6lZ6goAAAAA:5MxAwyxDDLsGrfDuR1OgtGzC5z2y2bZR3injZ-Pv94lDP1bkVFANkNWHNf6lbdKkVvilHMEweg","https://scholar.google.com/scholar?cites=13098354212909583902&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-27 18:19:43","HTML","","","",,,,,132,11.00,26,5,12,"… Based upon the above experimental results and DFT calculation of adsorption sites as well as the previous work [21], [22], [23], [24], [25], we propose the following mechanism (Scheme …","https://www.sciencedirect.com/science/article/pii/S0021951713002339?casa_token=ZrAon6lZ6goAAAAA:5MxAwyxDDLsGrfDuR1OgtGzC5z2y2bZR3injZ-Pv94lDP1bkVFANkNWHNf6lbdKkVvilHMEweg","https://scholar.google.com/scholar?q=related:Ho63MsKzxrUJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"Z Song, N Zhang, W Jiao, C He, X Huang, G Luo, ...","Chemoselective C (sp2)–C (sp2) doubly decarbonylative cross-electrophile coupling enabled by palladium catalysis: reaction development and mechanism …",2024,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951724003841?casa_token=ySJNaxZ3IfkAAAAA:_Rf5kde9bF9fRDWCxQ-baqKRQBxvPI4KTAYWBjeviOkq0PTmAiSJ7sKmswaPowVUQtNwff8Nlw","https://scholar.google.com/scholar?cites=8421336349073966670&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-27 18:19:43","HTML","","","",,,,,3,3.00,0,7,1,"… on palladium-catalyzed, and zinc-mediated cross coupling reaction [19] made us reason the … and DFT calculations suggest that the catalytic cycle of such electrophilic cross-coupling …","https://www.sciencedirect.com/science/article/pii/S0021951724003841?casa_token=ySJNaxZ3IfkAAAAA:_Rf5kde9bF9fRDWCxQ-baqKRQBxvPI4KTAYWBjeviOkq0PTmAiSJ7sKmswaPowVUQtNwff8Nlw","https://scholar.google.com/scholar?q=related:ToajlMqY3nQJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"A Tirsoaga, B Cojocaru, C Teodorescu, F Vasiliu, ...","C–N cross-coupling on supported copper catalysts: The effect of the support, oxidation state, base and solvent",2016,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951716300914?casa_token=4lqZWeZ-yoMAAAAA:pEWja6QLq7WBxRVpqxr37_VXPh0eE_jbWWnV-P3dv3wir4guTHMM2NbbJapnIBiCu0_H4POzMw","https://scholar.google.com/scholar?cites=15260442139186236570&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-27 18:19:43","HTML","","","",,,,,17,1.89,3,5,9,"… Our interest is to convert C–N cross coupling into a truly heterogeneous process. Previous … DFT calculations predict that Cu(I) should be the most active species for C–N crosscoupling, a …","https://www.sciencedirect.com/science/article/pii/S0021951716300914?casa_token=4lqZWeZ-yoMAAAAA:pEWja6QLq7WBxRVpqxr37_VXPh0eE_jbWWnV-P3dv3wir4guTHMM2NbbJapnIBiCu0_H4POzMw","https://scholar.google.com/scholar?q=related:mgyZtUX7x9MJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
75,"Y Yang, AC Reber, SE Gilliland III, CE Castano, ...","More than just a support: Graphene as a solid-state ligand for palladium-catalyzed cross-coupling reactions",2018,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951718300435?casa_token=qQ_qvelot0QAAAAA:Mgsz7350u6uLlSSenzogHPl-nU9qrBPVRM8ggYTZf0-adZKvjoa2-9vf25d18vpjZRRLAIBhvw","https://scholar.google.com/scholar?cites=15747036926083447481&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-27 18:19:43","","","","",,,,,75,10.71,15,5,7,"… using the VASP density functional theory code were performed to … cycle for the Suzuki cross coupling reaction requires the … clusters using the VASP density functional theory code were …","https://www.sciencedirect.com/science/article/am/pii/S0021951718300435","https://scholar.google.com/scholar?q=related:ubopJKe2iNoJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
180,"N Nikbin, PT Do, S Caratzoulas, RF Lobo, ...","A DFT study of the acid-catalyzed conversion of 2, 5-dimethylfuran and ethylene to p-xylene",2013,"Journal of catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951712002965?casa_token=rWam96ivOaUAAAAA:YXfwe3SaQOnuEfMIDk7a4NCSHqrOKX04P_DyRjGUeNKjJeMNj_F4V2QNO5vwG10vSo5DWMtgMg","https://scholar.google.com/scholar?cites=10154531581440368943&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-27 18:19:43","HTML","","","",,,,,180,15.00,36,5,12,"We present a detailed mechanism for the conversion of DMF (2,5-dimethylfuran) and ethylene to p-xylene, obtained by gas-phase DFT electronic structure calculations. The conversion …","https://www.sciencedirect.com/science/article/pii/S0021951712002965?casa_token=rWam96ivOaUAAAAA:YXfwe3SaQOnuEfMIDk7a4NCSHqrOKX04P_DyRjGUeNKjJeMNj_F4V2QNO5vwG10vSo5DWMtgMg","https://scholar.google.com/scholar?q=related:LyE9HKwk7IwJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
64,"H Abroshan, G Li, J Lin, HJ Kim, R Jin","Molecular mechanism for the activation of Au25 (SCH2CH2Ph) 18 nanoclusters by imidazolium-based ionic liquids for catalysis",2016,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951716000245?casa_token=72yHOtiXBmsAAAAA:s1IUqY4hQOo2OQYXjfjXeBUc7YB6cYpCAmssJ3HmEqZAmGWGLRiX_A3YkUB3dXwfG40brBypXg","https://scholar.google.com/scholar?cites=2479004451519781078&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-27 18:19:43","","","","",,,,,64,7.11,13,5,9,"… cross coupling reaction pathways at the atomic/molecular level—in particular, the promotional effect of imidazolium-based ionic liquids (ILs) on the coupling … analysis via DFT/PCM, …","https://www.sciencedirect.com/science/article/am/pii/S0021951716000245","https://scholar.google.com/scholar?q=related:1thyEWoxZyIJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"H Zhang, X Chen, J Cheng, X Yang, W Lin, Y Hou, ...","Heterogeneous metallaphotocatalytic Cross-Coupling reactions by a carbon Nitride-Nickel catalyst",2024,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S002195172400174X?casa_token=p0xpDveH60AAAAAA:dzDg6B6mrQremI6dZU1XSFNHw9TYXLDcQ8rtXXzAI3R5TGQxgAQOIJj-GvVy24zEJi7_DCG1mQ","https://scholar.google.com/scholar?cites=1029985190161938668&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-27 18:19:43","HTML","","","",,,,,4,4.00,1,7,1,"… Density functional theory (DFT) calculations were conducted to assess alterations in the … Therefore, the DFT calculation and experimental results collectively suggest that the strong …","https://www.sciencedirect.com/science/article/pii/S002195172400174X?casa_token=p0xpDveH60AAAAAA:dzDg6B6mrQremI6dZU1XSFNHw9TYXLDcQ8rtXXzAI3R5TGQxgAQOIJj-GvVy24zEJi7_DCG1mQ","https://scholar.google.com/scholar?q=related:7PiDxxI-Sw4J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"E Jaimes–Romano, H Valdés, S Hernández–Ortega, ...","C–S couplings catalyzed by Ni (II) complexes of the type [(NHC) Ni (Cp)(Br)]",2023,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951723002889","https://scholar.google.com/scholar?cites=9301466731956301376&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-27 18:19:43","HTML","","","",,,,,6,3.00,2,4,2,"… –S couplings, we proceeded to investigate the reaction mechanism through DFT calculations… Similar to other cross–coupling reactions, we anticipated that metals in a low oxidation state …","https://www.sciencedirect.com/science/article/pii/S0021951723002889","https://scholar.google.com/scholar?q=related:QG5eILZyFYEJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
73,"A Paul, LM Martins, A Karmakar, ML Kuznetsov, ...","Environmentally benign benzyl alcohol oxidation and CC coupling catalysed by amide functionalized 3D Co (II) and Zn (II) metal organic frameworks",2020,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951720301196?casa_token=cTgE81L4EG4AAAAA:i-25SpOvebdNUautMBmUqh8-fagoYCCDcP6NilMi-1kpMBPU2MF34sPcj7VvyCmAQeGT13HoPA","https://scholar.google.com/scholar?cites=13697050818647416133&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-27 18:19:43","HTML","","","",,,,,73,14.60,15,5,5,"… Although with a lower activity, MOF 2 with a redox inactive Zn(II) site, also catalyses such alcohol oxidation, which is explained by DFT calculations according to a mechanism of a …","https://www.sciencedirect.com/science/article/pii/S0021951720301196?casa_token=cTgE81L4EG4AAAAA:i-25SpOvebdNUautMBmUqh8-fagoYCCDcP6NilMi-1kpMBPU2MF34sPcj7VvyCmAQeGT13HoPA","https://scholar.google.com/scholar?q=related:Rd3zQyazFb4J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
