Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
88,"A Vargas, T Bürgi, A Baiker","Adsorption of activated ketones on platinum and their reactivity to hydrogenation: a DFT study",2004,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951703004743","https://scholar.google.com/scholar?cites=6172812073201441795&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 19:01:16","","","","",,,,,88,4.19,29,3,21,"… ketones interesting for the enantioselective hydrogenation on cinchona-modified platinum has been modeled using relativistically corrected density functional theory. … of hydrogenation …","","https://scholar.google.com/scholar?q=related:AxxqKOA7qlUJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"OA Abdelrahman, A Heyden, JQ Bond","Microkinetic analysis of C3–C5 ketone hydrogenation over supported Ru catalysts",2017,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951717300349","https://scholar.google.com/scholar?cites=4645496461363724642&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 19:01:16","","","","",,,,,31,3.88,10,3,8,"… ketone hydrogenation are measured in the vapor phase over Ru/SiO 2 . Reaction kinetics are considered through a range of ketone … Ketone hydrogenation is observed to be facile, with …","https://www.sciencedirect.com/science/article/am/pii/S0021951717300349","https://scholar.google.com/scholar?q=related:YkHrMGseeEAJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"B Demir, T Kropp, EB Gilcher, M Mavrikakis…","Effects of water on the kinetics of acetone hydrogenation over Pt and Ru catalysts",2021,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951721001172","https://scholar.google.com/scholar?cites=8738081970917961725&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 19:01:16","","","","",,,,,21,5.25,4,5,4,"… hydrogenation of acetone on Ru in the absence and presence of water, using enthalpies and entropies obtained from DFT … or palladium to catalyze hydrogenation of ketones, the use of …","https://www.sciencedirect.com/science/article/am/pii/S0021951721001172","https://scholar.google.com/scholar?q=related:_W_PlkHnQ3kJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
87,"A Vargas, T Bürgi, A Baiker","Adsorption of cinchonidine on platinum: a DFT insight in the mechanism of enantioselective hydrogenation of activated ketones",2004,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951704002441","https://scholar.google.com/scholar?cites=9172393170927062432&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 19:01:16","","","","",,,,,87,4.14,29,3,21,"… hydrogenation of an activated prochiral ketone on cinchona-modified platinum is as follows: racemic hydrogenation of an activated ketone … interaction of the ketone with the quinuclidine …","https://www.academia.edu/download/46834610/j.jcat.2004.05.01120160627-29258-tjcjyy.pdf","https://scholar.google.com/scholar?q=related:oI1T1f3iSn8J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
63,"NK Sinha, M Neurock","A first principles analysis of the hydrogenation of C1C4 aldehydes and ketones over Ru (0 0 0 1)",2012,"Journal of catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951712002230","https://scholar.google.com/scholar?cites=9216761388318728873&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 19:01:16","","","","",,,,,63,4.85,32,2,13,"… Herein we carry out ab initio density functional theory (DFT) calculations to … hydrogenation of model aliphatic aldehydes and ketones. More specifically, we examine the hydrogenation of …","https://www.academia.edu/download/67406998/j.jcat.2012.07.01820210523-12474-j46xar.pdf","https://scholar.google.com/scholar?q=related:qSJGcqaD6H8J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"GM Zhao, WJ Sun, HL Zhang, DL Li, X Yang","DFT study on selective autocatalyzed Α-alkylation of ketones with alcohols",2019,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951719301411","https://scholar.google.com/scholar?cites=11140708400288108050&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 19:01:16","","","","",,,,,8,1.33,2,5,6,"… Base-promoted transition-metal-free α -alkylation of ketones with alcohols is an efficient, … a DFT study on NaOH/KOH-promoted selective autocatalyzed α -alkylation of ketones with …","","https://scholar.google.com/scholar?q=related:Eg5imUO_m5oJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"SH Ruan, ZW Fan, WJ Zhang, H Xu, DL An, ZB Wei…","Asymmetric transfer hydrogenation of ketones catalyzed by chiral macrocyclic cobalt (II) complexes",2023,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951723000088","https://scholar.google.com/scholar?cites=4098709028857853420&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 19:01:16","","","","",,,,,14,7.00,2,7,2,"… The asymmetric transfer hydrogenation (ATH) of ketones … Density functional theory (DFT) calculations suggested that … during the enantioselective transfer hydrogenation reaction. Study …","","https://scholar.google.com/scholar?q=related:7DXCViWK4TgJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
89,"F Hoxha, B Schimmoeller, Z Cakl, A Urakawa…","Influence of support acid–base properties on the platinum-catalyzed enantioselective hydrogenation of activated ketones",2010,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951710000540","https://scholar.google.com/scholar?cites=16434011748391595413&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 19:01:16","","","","",,,,,89,5.93,18,5,15,"… the chemoselectivity in the hydrogenation of ketones on Pt and other … the alcohol in the hydrogenation of activated ketones, due to … A broad range of characterization techniques and DFT …","https://www.academia.edu/download/66728506/j.jcat.2010.02.01220210430-32626-1q7mxoz.pdf","https://scholar.google.com/scholar?q=related:lS16MZ1WEeQJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"X Xu, C Yang, S Li, C Meng, J Yu, J Yang, F Li","… hydrogenation to selective hydrogen auto-transfer process: An efficient method for the synthesis of alkenyl ketones via iridium-catalyzed α-alkylation of ketones with …",2021,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951721003407","https://scholar.google.com/scholar?cites=6289492807899450614&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 19:01:16","","","","",,,,,24,6.00,3,7,4,"… α-alkylation of ketones with alcohols as alkylating … ketones occurred to afford α,β-unsaturated ketones, which could further converted to α-alkylated ketones via transfer hydrogenation by …","","https://scholar.google.com/scholar?q=related:9ow4uGLESFcJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"X Gao, A Heyden, OA Abdelrahman, JQ Bond","Microkinetic analysis of acetone hydrogenation over Pt/SiO2",2019,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951719301952","https://scholar.google.com/scholar?cites=12168252817348056626&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 19:01:16","","","","",,,,,28,4.67,7,4,6,"… ketone hydrogenation on supported Ru catalysts [25]. Consistent with prior reports, this study revealed that the most likely rate controlling step during ketone hydrogenation on … of DFT …","","https://scholar.google.com/scholar?q=related:MlYtm3dR3qgJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
