Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
71,"J Handzlik, P Sautet","Active sites of olefin metathesis on molybdena-alumina system: A periodic DFT study",2008,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951708000705","https://scholar.google.com/scholar?cites=17701234048508967658&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 19:12:41","","","","",,,,,71,4.18,36,2,17,"… In the present work, a periodic slab model was used for the first time in a periodic DFT approach to study olefin metathesis on a molybdena-alumina system. In contrast to the cluster …","","https://scholar.google.com/scholar?q=related:6jpt-5Rqp_UJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"B Martinez, F Vines, PH McBreen, F Illas","Insights on alkylidene formation on Mo2C: A potential overlap between direct deoxygenation and olefin metathesis",2021,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951720304899","https://scholar.google.com/scholar?cites=9333501832333533492&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 19:12:41","","","","",,,,,4,1.00,1,4,4,"… In this study, we compare DFT calculations on the interaction of oxygenates with model Mo 2 … In the present DFT study, the lack of detailed atomic-level information regarding the surface …","","https://scholar.google.com/scholar?q=related:NKGyKndCh4EJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"AV Le, B Rajbanshi, RF Lobo, P Bai","Mechanistic study of heterogeneous propene metathesis on WOx/SiO2 catalysts",2023,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951723003627","https://scholar.google.com/scholar?cites=7016027994991873156&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 19:12:41","","","","",,,,,5,2.50,1,4,2,"… are widely used industrial catalysts for olefin metathesis due to their low cost and … metathesis reactions remain comparatively less understood. In this work, density-functional theory (DFT…","https://www.sciencedirect.com/science/article/am/pii/S0021951723003627","https://scholar.google.com/scholar?q=related:hMyv90nwXWEJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"VA Kondratenko, T Hahn, U Bentrup, D Linke…","Metathesis of ethylene and 2-butene over MoOx/Al2O3-SiO2: Effect of MoOx structure on formation of active sites and propene selectivity",2018,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951718300538","https://scholar.google.com/scholar?cites=5369160645315351611&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 19:12:41","","","","",,,,,22,3.14,4,5,7,"… -carbene species in the metathesis of ethylene and trans… metathesis of C 2 H 4 and trans-2-C 4 H 8 on Mo-carbenes originated from polymerized MoO x species, whereas the metathesis …","","https://scholar.google.com/scholar?q=related:O1QH7igXg0oJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
34,"J Handzlik","Theoretical study of propene metathesis proceeding on monomeric Mo centers of molybdena–alumina catalysts",2003,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951703002689","https://scholar.google.com/scholar?cites=3019488066009341212&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 19:12:41","","","","",,,,,34,1.55,34,1,22,"… A heterogeneous catalyst of olefin metathesis usually consists of a transition metal … In the present work, systematic DFT studies of the whole catalytic cycle of propene metathesis are …","","https://scholar.google.com/scholar?q=related:HJ0E6mVg5ykJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
39,"J Joubert, F Delbecq, P Sautet","Alkane metathesis by a tungsten carbyne complex grafted on gamma alumina: Is there a direct chemical role of the support?",2007,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951707003077","https://scholar.google.com/scholar?cites=3195021688631503841&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 19:12:41","","","","",,,,,39,2.17,13,3,18,"… metathesis olefin metathesis … DFT framework to gain insight into the role of this oxide when used as a support for perhydrocarbyl tungsten complexes in the catalysis of alkane metathesis…","https://www.academia.edu/download/120988887/j.jcat.2007.07.03520250124-1-916sqx.pdf","https://scholar.google.com/scholar?q=related:4auMQEz_ViwJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
90,"P Raybaud, C Chizallet, C Mager-Maury, M Digne…","From γ-alumina to supported platinum nanoclusters in reforming conditions: 10 years of DFT modeling and beyond",2013,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951713003059","https://scholar.google.com/scholar?cites=10520900119473674701&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 19:12:41","","","","",,,,,90,7.50,18,5,12,"… Within the context of natural gas, it is also worthwhile to underline that the dehydrogenation of alkanes into olefins represent a renewed attraction if we believe more recent publications […","","https://scholar.google.com/scholar?q=related:zdmXouq-AZIJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"WJ Shang, JW Si, JH Zhu, JY Lv, Z Xu, F Ye, J Cao…","Palladium-catalyzed double activation of Si-C (sp3) bond of benzosilacyclobutenes synergized with unexpected olefin migration and ring-opening hydrolysis",2024,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951724005013","https://scholar.google.com/scholar?cites=1023408101082596420&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 19:12:41","","","","",,,,,3,3.00,0,8,1,"… metathesis with H 2 O. Moreover, the DFT studies realized the origin of Si-C(sp 3 ) bond activation, olefin migration, and ring-opening hydrolysis in the unprecedent reaction process. …","","https://scholar.google.com/scholar?q=related:RARJ5T7gMw4J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"AR Hlil, S Moncho, R Tuba, K Elsaid, G Szarka…","… catalytic activity of supported acenaphthoimidazolylidene N-heterocyclic carbene ruthenium complex for ring closing metathesis (RCM) and ring opening metathesis …",2016,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951716301579","https://scholar.google.com/scholar?cites=6135841018650743217&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 19:12:41","","","","",,,,,20,2.22,3,6,9,"… The progress of olefin metathesis since its discovery in the 1950s has proved to be a … Density functional theory (DFT) calculations were carried out on some key intermediates in …","https://core.ac.uk/download/pdf/78480509.pdf","https://scholar.google.com/scholar?q=related:sdHyuuXiJlUJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
225,"B Hu, NM Schweitzer, U Das, HS Kim, J Niklas…","Selective propane dehydrogenation with single-site CoII on SiO2 by a non-redox mechanism",2015,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951714003030","https://scholar.google.com/scholar?cites=10318229389111218254&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 19:12:41","","","","",,,,,225,22.50,38,6,10,"… hybrid density functional theory support a … metathesis of alkanes. The Marks group [29] has investigated isolated ionic species supported on sulfated alumina with high activities for olefin …","https://www.sciencedirect.com/science/article/am/pii/S0021951714003030","https://scholar.google.com/scholar?q=related:TlD4CPa2MY8J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
