Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"G Zhang, C Zhang, H Jiao, F Chen","Photoredox/nickel cooperatively catalyzed radical allylic silylation of allyl acetates–Scope and mechanism",2023,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951723000350","https://scholar.google.com/scholar?cites=4023946068187210257&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 19:15:29","","","","",,,,,11,5.50,3,4,2,"… Herein, we present the cooperation of photoredox/nickel catalyzed allylic silylation of diverse … DFT computation reveals that the regioselectivity is controlled by the silyl radical attack of …","","https://scholar.google.com/scholar?q=related:EeKgFaHt1zcJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"J Feng, G Huang, H Huang, H Tang, W Liu, A Ding…","Generation of alkene radical cation for thioxanthone-TfOH complex-catalyzed intramolecular cyclization using a photoredox catalysis strategy",2024,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S002195172400530X","",2,"2025-05-06 19:15:29","","","","",,,,,0,0.00,0,7,1,"… The thioxanthone-TfOH complex (9-HTXTF) as photoredox catalyst with high oxidative capacity can be … By using this photoredox catalysis strategy, we developed a 9-HTXTF-catalyzed …","","https://scholar.google.com/scholar?q=related:GlN1FnWm2voJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"XY Ren, JJ Liu, SQ Zhang, YL Li, K Cui, J Li…","Photoredox cobalt-catalyzed stereodivergent synthesis of 1, 4-dienes",2024,"… Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206724600318","https://scholar.google.com/scholar?cites=43144618941188701&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 19:15:29","","","","",,,,,1,1.00,0,7,1,"… , catalyzed by visible-light photoredox cobalt. In contrast to the … In this photoredox reaction, Hünig’s base and water were … The mechanistic and density functional theory studies indicate …","","https://scholar.google.com/scholar?q=related:XYr1Zc1HmQAJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"X Huang, Y Chen, N Wang, GJ Deng, B Long, T Song","Molecular dipole-modulated visible light photoredox reaction over conjugated polymers",2024,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951723005262","https://scholar.google.com/scholar?cites=11297891725518542236&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 19:15:29","","","","",,,,,3,3.00,1,6,1,"Molecular dipole-modulated visible light photoredox reaction over conjugated polymers - ScienceDirect …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4595353","https://scholar.google.com/scholar?q=related:nJVbYqosypwJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
48,"M Zhang, K Li, C Hu, K Ma, W Sun, X Huang…","Co nanoparticles modified phase junction CdS for photoredox synthesis of hydrobenzoin and hydrogen evolution",2023,"… Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206723643931","https://scholar.google.com/scholar?cites=18079204370118112459&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 19:15:29","","","","",,,,,48,24.00,7,7,2,"… DFT calculation was conducted to reveal the highly facet correlation of photocatalytic synthesis of hydrobenzoin along with H 2 evolution over HC-CdS2/Co. The band structure …","","https://scholar.google.com/scholar?q=related:y3SUPpY85voJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"QL Mo, R Xiong, JH Dong, BS Sa, JY Zheng…","Identification of origin of insulating polymer maneuvered photoredox catalysis",2024,"… Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206724600707","https://scholar.google.com/scholar?cites=4069813798173425740&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 19:15:29","","","","",,,,,20,20.00,3,6,1,"… All DFT calculations were performed by the Vienna ab initio simulation package (VASP) [33] and dealt with the ALKEMIE platform [34]. The projector augmented wave (PAW) [35] was …","","https://scholar.google.com/scholar?q=related:TEAcLhbiejgJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"S Zhou, T Liu, X Bao","Direct intermolecular C (sp3)–H amidation with dioxazolones via synergistic decatungstate anion photocatalysis and nickel catalysis: A combined experimental and …",2022,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951722004171","https://scholar.google.com/scholar?cites=4113614704818515232&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 19:15:29","","","","",,,,,20,6.67,7,3,3,"The direct C(sp 3 )–H amidation is a highly desirable but challenging approach to construct C(sp 3 )–N bonds. Herein, we describe a new strategy combining photoredox-mediated …","","https://scholar.google.com/scholar?q=related:IO2Hd8d-FjkJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"R Liu, SC Cheng, Y Xiao, KC Chan, KM Tong, CC Ko","Recyclable polymer-supported iridium-based photocatalysts for photoredox organic transformations",2022,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951722000239","https://scholar.google.com/scholar?cites=9822118728759407934&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 19:15:29","","","","",,,,,17,5.67,3,6,3,"… immobilized photoredox catalysts have been … photoredox catalyst have been developed exponentially in recent years [1], [2], [3], [4], [5], [6], [7], [8]. The most commonly used photoredox …","","https://scholar.google.com/scholar?q=related:PnVqqfEsT4gJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"PK Sahoo, Y Zhang, Y Qin, P Ren, R Cauwenbergh…","Robust late-stage benzylic C (sp3)–H aminations by using transition metal-free photoredox catalysis",2023,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951723002087","https://scholar.google.com/scholar?cites=3584552913355858045&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 19:15:29","HTML","","","",,,,,14,7.00,2,6,2,"Herein we report a transition metal-free approach for the regioselective functionalization of benzylic C(sp 3 )single bondH bonds in the presence of various heterocyclic amines as …","https://www.sciencedirect.com/science/article/pii/S0021951723002087","https://scholar.google.com/scholar?q=related:feAqB-LjvjEJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"Z Burešová, HB Gobeze, M Grygarová, O Pytela…","Dicyanopyrazine photoredox catalysts: Correlation of efficiency with photophysics and electronic structure",2024,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951724000617","https://scholar.google.com/scholar?cites=6179147460472480824&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 19:15:29","","","","",,,,,5,5.00,1,5,1,"… has been investigated in three photoredox transformations including deuteration of aldehydes, … Hence, bis(5-methoxythiophen-2-yl)-2,3-dicyanopyrazine can be utilized in photoredox …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4658591","https://scholar.google.com/scholar?q=related:OCQ4dOC9wFUJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
