Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"AS Dumon, A Sahu, P Raybaud","Hydrogenolysis and β–elimination mechanisms for CS bond scission of dibenzothiophene on CoMoS edge sites",2021,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951721000324?casa_token=s_bfUHA9ktYAAAAA:175-m8yOtgvWLcY47mB_4KTZF9bkBprAyu3n5g2SDfnrULo5BcFA7SBhEiDnUuHH8nikQPdLLQ","https://scholar.google.com/scholar?cites=8972825821839267784&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-27 19:22:36","HTML","","","",,,,,6,1.50,2,3,4,"… By using density functional theory calculations, we compare two historical mechanisms for … ): direct hydrogenolysis of DBT and β–elimination of α,β–dihydro-diobenzothiophene (α,β–…","https://www.sciencedirect.com/science/article/pii/S0021951721000324?casa_token=s_bfUHA9ktYAAAAA:175-m8yOtgvWLcY47mB_4KTZF9bkBprAyu3n5g2SDfnrULo5BcFA7SBhEiDnUuHH8nikQPdLLQ","https://scholar.google.com/scholar?q=related:yJcufovhhXwJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
93,"M John, K Alexopoulos, MF Reyniers, GB Marin","Reaction path analysis for 1-butanol dehydration in H-ZSM-5 zeolite: Ab initio and microkinetic modeling",2015,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951715002250?casa_token=8SlgGG-YgwsAAAAA:TBH4qqzyfIWvLfHBiVoEESbx357nqX7OMKh31dlU6TqZRgCGBYMV6agyNRY96tQ0H1ZBrsR5Jw","https://scholar.google.com/scholar?cites=11194960844209991921&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-27 19:22:36","HTML","","","",,,,,93,9.30,23,4,10,"… Herein, we present a DFT study of possible reaction mechanisms for 1-butanol dehydration in … for the cationic fragment (+0.85) in a DFT study on E1 elimination of 2-butanol in POM [23]. …","https://www.sciencedirect.com/science/article/pii/S0021951715002250?casa_token=8SlgGG-YgwsAAAAA:TBH4qqzyfIWvLfHBiVoEESbx357nqX7OMKh31dlU6TqZRgCGBYMV6agyNRY96tQ0H1ZBrsR5Jw","https://scholar.google.com/scholar?q=related:8TCLCZN9XJsJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
93,"WE Taifan, T Bučko, J Baltrusaitis","Catalytic conversion of ethanol to 1, 3-butadiene on MgO: A comprehensive mechanism elucidation using DFT calculations",2017,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951716303062?casa_token=Kh0KxKKpSMUAAAAA:kUOH-cafvxQCtwVnjaa78DMTcOyyCgOJbjskCqJ8ijy_uY9mKsOESXR17x4LyhNP7ygIyyhzcw","https://scholar.google.com/scholar?cites=154632418811079675&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-27 19:22:36","HTML","","","",,,,,93,11.63,31,3,8,"In this work, we performed periodic Density Functional Theory calculations and explored reactive pathways of ethanol catalysis to catalytically form 1,3-butadiene on undoped MgO …","https://www.sciencedirect.com/science/article/pii/S0021951716303062?casa_token=Kh0KxKKpSMUAAAAA:kUOH-cafvxQCtwVnjaa78DMTcOyyCgOJbjskCqJ8ijy_uY9mKsOESXR17x4LyhNP7ygIyyhzcw","https://scholar.google.com/scholar?q=related:-2v-mV1dJQIJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
134,"G Noh, Z Shi, SI Zones, E Iglesia","Isomerization and β-scission reactions of alkanes on bifunctional metal-acid catalysts: Consequences of confinement and diffusional constraints on reactivity …",2018,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951718301349?casa_token=9NT8bfsggj4AAAAA:jmfgzAWdmxa4PAm-TXJqYGzGo9fkbH9R3fMxCMxRludzNxqvMzc5uyQGPtl6MDw6bQOCW9IO0Q","https://scholar.google.com/scholar?cites=7656766114603926756&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-27 19:22:36","HTML","","","",,,,,134,19.14,34,4,7,"… geometric descriptors are replaced here by van der Waals interaction energies (E vdw ) determined by statistical sampling of the void space in each framework using representative DFT…","https://www.sciencedirect.com/science/article/pii/S0021951718301349?casa_token=9NT8bfsggj4AAAAA:jmfgzAWdmxa4PAm-TXJqYGzGo9fkbH9R3fMxCMxRludzNxqvMzc5uyQGPtl6MDw6bQOCW9IO0Q","https://scholar.google.com/scholar?q=related:5AQ3xTZMQmoJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
180,"N Nikbin, PT Do, S Caratzoulas, RF Lobo, ...","A DFT study of the acid-catalyzed conversion of 2, 5-dimethylfuran and ethylene to p-xylene",2013,"Journal of catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951712002965?casa_token=dHwgHBmkHigAAAAA:AJFO4_KNMCftIf1FPe77QdohVXwbzch-Rc5qVbz-sZ7lG-UsGf58EH5Fveh8lUiEBhQDByPuvw","https://scholar.google.com/scholar?cites=10154531581440368943&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-27 19:22:36","HTML","","","",,,,,180,15.00,36,5,12,"We present a detailed mechanism for the conversion of DMF (2,5-dimethylfuran) and ethylene to p-xylene, obtained by gas-phase DFT electronic structure calculations. The conversion …","https://www.sciencedirect.com/science/article/pii/S0021951712002965?casa_token=dHwgHBmkHigAAAAA:AJFO4_KNMCftIf1FPe77QdohVXwbzch-Rc5qVbz-sZ7lG-UsGf58EH5Fveh8lUiEBhQDByPuvw","https://scholar.google.com/scholar?q=related:LyE9HKwk7IwJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
74,"MA Christiansen, G Mpourmpakis, DG Vlachos","DFT-driven multi-site microkinetic modeling of ethanol conversion to ethylene and diethyl ether on γ-Al2O3 (1 1 1)",2015,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951714003595?casa_token=mtatAkAqLDcAAAAA:Z8GPgUHsQ9OQaD7pwkiKlxwcn_cMpnRYlRnAgbDeWfPSmqWm6Ae5PErVlYmwyAq4Bh6RcCSosA","https://scholar.google.com/scholar?cites=3351103711893792536&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-27 19:22:36","HTML","","","",,,,,74,7.40,25,3,10,"We investigate the γ-Al 2 O 3 -catalyzed production of ethylene and diethyl ether from ethanol in a combined density functional theory (DFT) and microkinetic modeling study. DFT …","https://www.sciencedirect.com/science/article/pii/S0021951714003595?casa_token=mtatAkAqLDcAAAAA:Z8GPgUHsQ9OQaD7pwkiKlxwcn_cMpnRYlRnAgbDeWfPSmqWm6Ae5PErVlYmwyAq4Bh6RcCSosA","https://scholar.google.com/scholar?q=related:GCfsMBKDgS4J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"YV Joshi, KT Thomson","High ethane dehydrogenation activity of [GaH] 2+ Al pair sites in Ga/H-[Al] ZSM-5: A DFT thermochemical analysis of the catalytic sites under reaction …",2007,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951706004210?casa_token=EKcXWN9rt9oAAAAA:loba9XtS7OVcJI8oL1MYMEQMk78orBs8EVF0m7_Cawvitq6HP1fqYvWJY8_1Fu7UmQlXQUBuuA","https://scholar.google.com/scholar?cites=12591817365956210353&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-27 19:22:36","HTML","","","",,,,,51,2.83,26,2,18,"… They also eliminated the possibility of activity enhancement due to framework-substituted Ga … [46] used periodic density functional theory (DFT) calculations to study several pair single …","https://www.sciencedirect.com/science/article/pii/S0021951706004210?casa_token=EKcXWN9rt9oAAAAA:loba9XtS7OVcJI8oL1MYMEQMk78orBs8EVF0m7_Cawvitq6HP1fqYvWJY8_1Fu7UmQlXQUBuuA","https://scholar.google.com/scholar?q=related:sS5qFi4fv64J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
42,"BK Chethana, SH Mushrif","Brønsted and Lewis acid sites of Sn-beta zeolite, in combination with the borate salt, catalyze the epimerization of glucose: A density functional theory study",2015,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951715000172?casa_token=zjCPOWhjXKAAAAAA:f6kGyArZHlFor216EO5AoDmxa4e6EgwLvaUjXI98xKsgdydhlG1ovd3ljIbiFFM5DDGkaNAlxQ","https://scholar.google.com/scholar?cites=13930712094609878793&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-27 19:22:36","HTML","","","",,,,,42,4.20,21,2,10,"Sn-beta zeolite, in combination with borate salts, is a potential inorganic catalyst for sugars epimerization. We investigate, at molecular level, the catalytic mechanism of glucose …","https://www.sciencedirect.com/science/article/pii/S0021951715000172?casa_token=zjCPOWhjXKAAAAAA:f6kGyArZHlFor216EO5AoDmxa4e6EgwLvaUjXI98xKsgdydhlG1ovd3ljIbiFFM5DDGkaNAlxQ","https://scholar.google.com/scholar?q=related:Ca91i9fUU8EJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
125,"IM Hill, S Al Hashimi, A Bhan","Kinetics and mechanism of olefin methylation reactions on zeolites",2012,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951711002971?casa_token=N-uSE1Lr4HcAAAAA:iVDvCyxjhvV1AxkCu72FtyV7KYKo5-orFVR36986o02fEbqgWiQCWfAAvHytGHKhF9I3rjJNrA","https://scholar.google.com/scholar?cites=8327167982446543654&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-27 19:22:36","HTML","","","",,,,,125,9.62,42,3,13,"… to occur: (i) the elimination of the geminal hydrogen to complete the methyl substitution, (ii) … hybrid MP2/DFT calculations on clusters using corrections from periodic DFT calculations (…","https://www.sciencedirect.com/science/article/pii/S0021951711002971?casa_token=N-uSE1Lr4HcAAAAA:iVDvCyxjhvV1AxkCu72FtyV7KYKo5-orFVR36986o02fEbqgWiQCWfAAvHytGHKhF9I3rjJNrA","https://scholar.google.com/scholar?q=related:JoO7KikLkHMJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"J Li, P Fleurat-Lessard, F Zaera, F Delbecq","Mechanistic investigation of the cis/trans isomerization of 2-butene on Pt (1 1 1): DFT study of the influence of the hydrogen coverage",2014,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951713004119?casa_token=RbHvsMTuSfcAAAAA:eVaczJ6oMCopW4MQKDurGyVesFgpN9XPcUMm9NscQO_bHjBEQndhsUIdRhY_SKpgLenqWTFlGg","https://scholar.google.com/scholar?cites=996177302005116978&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-27 19:22:36","HTML","","","",,,,,23,2.09,6,4,11,"… The cis/trans isomerization of 2-butene on Pt(1 1 1) in the presence of hydrogen has been studied by means of calculations based on density functional theory (DFT). Two hydrogen …","https://www.sciencedirect.com/science/article/pii/S0021951713004119?casa_token=RbHvsMTuSfcAAAAA:eVaczJ6oMCopW4MQKDurGyVesFgpN9XPcUMm9NscQO_bHjBEQndhsUIdRhY_SKpgLenqWTFlGg","https://scholar.google.com/scholar?q=related:MnBSa_oh0w0J:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
