Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
64,"S Lim, JW Choi, DJ Suh, KH Song, HC Ham, JM Ha","Combined experimental and density functional theory (DFT) studies on the catalyst design for the oxidative coupling of methane",2019,"Journal of catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951719301617","https://scholar.google.com/scholar?cites=3459632179222832963&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-27 02:21:55","","","","",,,,,64,10.67,11,6,6,"… using density functional theory (DFT) calculations, and the potential to identify the electronic structures and properties of catalysts based on DFT … of the design of a DFT-based catalyst, …","","https://scholar.google.com/scholar?q=related:Q2cWGCMVAzAJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"C Xia, L Ju, Y Zhao, H Xu, B Zhu, F Gao, M Lin…","Heterogeneous oxidation of cyclohexanone catalyzed by TS-1: Combined experimental and DFT studies",2015,"… Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206715608592","https://scholar.google.com/scholar?cites=5796165833200472468&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-27 02:21:55","","","","",,,,,17,1.70,2,8,10,"… study of the mechanism of BV oxidation catalyzed by TS-1 … oxidation of cyclohexanone catalyzed by TS-1 zeolite using H 2 O 2 as the oxidant based on density functional theory (DFT). …","","https://scholar.google.com/scholar?q=related:lJErqx0ecFAJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
102,"J Haber, M Witko","Oxidation catalysis—electronic theory revisited",2003,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951702000374","https://scholar.google.com/scholar?cites=2378031309598960818&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-27 02:21:55","","","","",,,,,102,4.64,51,2,22,"… Results of ab initio DFT cluster calculations point out two places for potassium adsorption: the hole between four vanadyl O(1) oxygen sites—referred to as hole 1—and the hole …","https://www.academia.edu/download/99505646/s0021-9517_2802_2900037-420230306-1-difagk.pdf","https://scholar.google.com/scholar?q=related:sixnceB2ACEJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
154,"ZJ Zhao, Z Li, Y Cui, H Zhu, WF Schneider…","Importance of metal-oxide interfaces in heterogeneous catalysis: A combined DFT, microkinetic, and experimental study of water-gas shift on Au/MgO",2017,"… of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951716302627","https://scholar.google.com/scholar?cites=9550850378571516204&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-27 02:21:55","","","","",,,,,154,19.25,26,6,8,"… In this contribution, we combine periodic Density Functional Theory (DFT) calculations, … From the DFT-calculated energetics, a dual-site microkinetic model of the Au/MgO interface …","https://www.sciencedirect.com/science/article/am/pii/S0021951716302627","https://scholar.google.com/scholar?q=related:LAmpFdFvi4QJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
204,"AD Mayernick, MJ Janik","Methane oxidation on Pd–Ceria: A DFT study of the mechanism over PdxCe1− xO2, Pd, and PdO",2011,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951710003921","https://scholar.google.com/scholar?cites=4125728354800498959&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-27 02:21:55","","","","",,,,,204,14.57,102,2,14,"… to the significant activity of Pd/ceria for methane oxidation. We present a density functional theory (DFT + U) investigation into methane oxidation over Pd/ceria and quantify the activity of …","","https://scholar.google.com/scholar?q=related:D_mjYxSIQTkJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
412,"V Shapovalov, H Metiu","Catalysis by doped oxides: CO oxidation by AuxCe1− xO2",2007,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951706003526","https://scholar.google.com/scholar?cites=1914889713321325053&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-27 02:21:55","","","","",,,,,412,22.89,206,2,18,"… In this work we use DFT calculations to examine CO oxidation by CeO 2 (111) surface doped with Au and compare the activity of the doped oxide with that of the pure oxide surface. Our …","","https://scholar.google.com/scholar?q=related:_TGRegwOkxoJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"J Liu, W Luo, Y Yin, XZ Fu, JL Luo","Understanding the origin for propane non-oxidative dehydrogenation catalysed by d2-d8 transition metals",2021,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951721000993","https://scholar.google.com/scholar?cites=11841402065127153072&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-27 02:21:55","","","","",,,,,15,3.75,3,5,4,"… All calculations are performed using Density functional theory (DFT) implemented Gaussian … The DFT-D3 method of Grimme is employed to evaluate long-range dispersive interactions […","","https://scholar.google.com/scholar?q=related:sB17lnAcVaQJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
93,"WE Taifan, T Bučko, J Baltrusaitis","Catalytic conversion of ethanol to 1, 3-butadiene on MgO: A comprehensive mechanism elucidation using DFT calculations",2017,"Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S0021951716303062","https://scholar.google.com/scholar?cites=154632418811079675&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-27 02:21:55","","","","",,,,,93,11.63,31,3,8,"… In this work, we performed periodic Density Functional Theory calculations and explored reactive pathways of ethanol catalysis to catalytically form 1,3-butadiene on undoped MgO …","https://www.sciencedirect.com/science/article/am/pii/S0021951716303062","https://scholar.google.com/scholar?q=related:-2v-mV1dJQIJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"C Huang, ZQ Wang, XQ Gong","Activity and selectivity of propane oxidative dehydrogenation over VO3/CeO2 (111) catalysts: A density functional theory study",2018,"Chinese Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206718630724","https://scholar.google.com/scholar?cites=13242439967164578949&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-27 02:21:55","","","","",,,,,31,4.43,10,3,7,"… They performed density functional theory (DFT) calculations to examine the properties of … [30, 31] conducted DFT calculations to illustrate the catalytic activities of supported vanadia/…","","https://scholar.google.com/scholar?q=related:hbxHGv2YxrcJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"G Fu, R Yuan, P Wang, H Wan","DFT studies on the activation of C–H bonds on V/P mixed oxides",2015,"Chinese Journal of Catalysis","Elsevier","https://www.sciencedirect.com/science/article/pii/S1872206715609056","https://scholar.google.com/scholar?cites=2376291037946426619&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-27 02:21:55","","","","",,,,,3,0.30,1,4,10,"… We carried out DFT calculations on the activation of C–H bonds on V/P mixed oxides. A set of oxo clusters, V 4−x P x O 10 (x = 0–4), used as model catalysts showed that the PO–H …","https://core.ac.uk/download/pdf/41442915.pdf","https://scholar.google.com/scholar?q=related:-7S93xtI-iAJ:scholar.google.com/&scioq=source:%22journal+of+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
