Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"AK Raha, MN Uddin, S Ghosh, AR Miah…","A comparative study of the reactivity of the lightly stabilized cluster [Os3 (CO) 8 {μ3-Ph2PCH2P (Ph) C6H4}(μ-H)] towards tri (2-thienyl)-, tri (2-furyl)-and …",2014,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X13006499","https://scholar.google.com/scholar?cites=13910946076843867354&as_sdt=2005&sciodt=0,5&hl=en",66,"2025-05-06 17:34:12","HTML","","","",,,,,9,0.82,2,5,11,"… , it undergoes facile and reversible carbonylation at 25 C to … have performed density functional theory (DFT) calculations … this isomerization process by DFT because of the complexity of …","https://www.sciencedirect.com/science/article/pii/S0022328X13006499","https://scholar.google.com/scholar?q=related:2nzk58CbDcEJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"X Wang, E Weitz","A density functional theory study of alkyl group migration in RMn (CO) 5 complexes",2004,"Journal of organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X04002815","https://scholar.google.com/scholar?cites=8812519058610884747&as_sdt=2005&sciodt=0,5&hl=en",24,"2025-05-06 17:34:12","HTML","","","",,,,,11,0.52,6,2,21,"… density functional theory (DFT) to treat this system and provided some new insights into the microscopic mechanism of the carbonylation … Recently, we used DFT methods to study η 2 …","https://www.sciencedirect.com/science/article/pii/S0022328X04002815","https://scholar.google.com/scholar?q=related:i5DcoGRbTHoJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"MM Conradie, J Conradie","A density functional theory study of the oxidative addition of methyl iodide to square planar [Rh (acac)(P (OPh) 3) 2] complex and simplified model systems",2010,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X10002810","https://scholar.google.com/scholar?cites=16675789794823870159&as_sdt=2005&sciodt=0,5&hl=en",31,"2025-05-06 17:34:12","HTML","","","",,,,,28,1.87,14,2,15,"… This methanol carbonylation process with the original Monsanto catalyst has been studied in detail both experimentally [2], [2](a), [2](b), [2](c), [2](d), [2](e), [2](f), [2](g), [3] and …","https://www.sciencedirect.com/science/article/pii/S0022328X10002810","https://scholar.google.com/scholar?q=related:z5aPXXdObOcJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"R Suleiman, A Ibdah, B El Ali","A DFT study of the mechanism of palladium-catalyzed alkoxycarbonylation and aminocarbonylation of alkynes: Hydride versus amine pathways",2011,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X11001409","https://scholar.google.com/scholar?cites=13854286099956834798&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 17:34:12","HTML","","","",,,,,18,1.29,6,3,14,"… Palladium–catalyzed carbonylation reactions, which are carried out in the presence of … α,β-Unsaturated amides or esters can be prepared by a direct carbonylation of alkynes in the …","https://www.sciencedirect.com/science/article/pii/S0022328X11001409","https://scholar.google.com/scholar?q=related:7iGPBM5PRMAJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"D Coskun, NŞ Tüzün","A DFT study on the mechanism of Rh-catalyzed competitive 1, 2-versus 1, 3-acyloxy migration followed by [5+ 1] and [4+ 1] cycloadditions of 1, 4-enynes with …",2017,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X17305375","https://scholar.google.com/scholar?cites=3685870869496652245&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 17:34:12","HTML","","","",,,,,11,1.38,6,2,8,"… have been extensively investigated using density functional theory (DFT) calculations. All … carbonylation. The acyloxy migration step is found to be the rate determining step from the DFT …","https://www.sciencedirect.com/science/article/pii/S0022328X17305375","https://scholar.google.com/scholar?q=related:1eFO-AbYJjMJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"E Grobbelaar, J Conradie, JA Venter, W Purcell…","A kinetic investigation of the oxidative addition reactions of the dimeric Bu4N [Ir2 (μ-Dcbp)(CO) 2 (PCy3) 2] complex with iodomethane",2011,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X10006741","https://scholar.google.com/scholar?cites=17945369535551160520&as_sdt=2005&sciodt=0,5&hl=en",56,"2025-05-06 17:34:12","HTML","","","",,,,,3,0.21,1,5,14,"… DFT calculations successfully identified the stereochemistry of the starting complex, [Ir 2 (μ-… by methanol carbonylation technology. One of the key steps in the carbonylation of methanol …","https://www.sciencedirect.com/science/article/pii/S0022328X10006741","https://scholar.google.com/scholar?q=related:yMCkkYPCCvkJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"PK Sazonov, GA Artamkina, KA Lyssenko…","A new mechanism of nucleophilic vinylic substitution and unexpected products in the reaction of chlorotrifluoroethylene with [Re (CO) 5] Na and [CpFe (CO) 2] …",2006,"… of organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X06000465","https://scholar.google.com/scholar?cites=6738092749239711413&as_sdt=2005&sciodt=0,5&hl=en",70,"2025-05-06 17:34:12","HTML","","","",,,,,11,0.58,3,4,19,"… The feasibility of these two pathways is confirmed by DFT (B3LYP/SDD and 6-31G ∗ ) … Formation of metallocycle XI largely depends upon the nature of the cation in the carbonylate salt. …","https://www.sciencedirect.com/science/article/pii/S0022328X06000465","https://scholar.google.com/scholar?q=related:tXYRzqeDgl0J:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"J Zhang, B Xing, J Zhao, G Ma, R McDonald…","A rare P, C− bridged bimetallic palladium complex",2018,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X18301578","https://scholar.google.com/scholar?cites=13798191119588314832&as_sdt=2005&sciodt=0,5&hl=en",19,"2025-05-06 17:34:12","HTML","","","",,,,,2,0.29,0,6,7,"… complex was evaluated with Gaussian03 DFT calculations and the NBO analysis is also presented. Application of NMR Spin-Work simulation and DFT calculation data, the complicated …","https://www.sciencedirect.com/science/article/pii/S0022328X18301578","https://scholar.google.com/scholar?q=related:0M4CorcFfb8J:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"G Gervasio, E Sappa, A Secco","Advances in the chemistry of alkyne-substituted homo-and heterometallic carbonyl clusters of the iron, cobalt and nickel triads. An update",2014,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X13006682","https://scholar.google.com/scholar?cites=7538402771181550368&as_sdt=2005&sciodt=0,5&hl=en",64,"2025-05-06 17:34:12","HTML","","","",,,,,23,2.09,8,3,11,"Recent developments in the chemistry of homo- and heterometallic clusters of Iron, Cobalt and Nickel triads substituted with alkynes and related ligands are examined. New synthetic …","https://www.sciencedirect.com/science/article/pii/S0022328X13006682","https://scholar.google.com/scholar?q=related:ILsYVmHJnWgJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
753,"WA Herrmann, VPW Böhm, CP Reisinger","Application of palladacycles in Heck type reactions",1999,"… of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X9801050X","https://scholar.google.com/scholar?cites=17685037067211283677&as_sdt=2005&sciodt=0,5&hl=en",32,"2025-05-06 17:34:12","HTML","","","",,,,,753,28.96,251,3,26,"In the last 3 years, there have been tremendous developments in palladium catalytic systems for Heck type reactions. One of the successful approaches towards activation of less …","https://www.sciencedirect.com/science/article/pii/S0022328X9801050X","https://scholar.google.com/scholar?q=related:3Zy-ZoPfbfUJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
