Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
40,"Q Ren, F Jiang, H Gong","DFT study of the single electron transfer mechanisms in Ni-Catalyzed reductive cross-coupling of aryl bromide and alkyl bromide",2014,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X14003994","https://scholar.google.com/scholar?cites=7255880985182398266&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 22:21:18","","","","",,,,,40,3.64,13,3,11,"… Ni-catalyzed reductive cross-coupling reactions of electrophilic regents provide an … cross-coupling of aryl bromide and secondary alkyl bromide using Density Functional Theory (DFT) …","","https://scholar.google.com/scholar?q=related:OudODlARsmQJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"S Boonseng, GW Roffe, M Targema, J Spencer…","Rationalization of the mechanism of in situ Pd (0) formation for cross-coupling reactions from novel unsymmetrical pincer palladacycles using DFT calculations",2017,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X17301316","https://scholar.google.com/scholar?cites=841432940878992156&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 22:21:18","","","","",,,,,17,2.13,3,5,8,"… Density functional theory (DFT) is used to determine the … The DFT results are used to rationalize the catalytic activity of a number of pincer palladacycles in the Suzuki-Miyaura coupling …","","https://scholar.google.com/scholar?q=related:HJNnN81erQsJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"Q Ren, D Zhang, L Zheng","DFT studies on the mechanisms of enantioselective Ni-catalyzed reductive coupling reactions to form 1, 1-diarylalkanes",2021,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X21003636","https://scholar.google.com/scholar?cites=15009808220911731696&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 22:21:18","","","","",,,,,6,1.50,2,3,4,"… catalyzed reductive coupling of 5-bromide-2-methoxypyridine (R 1 ) and (1-chloropropyl) benzene (R 2 ) to form 1,1-diarylalkanes (R, S)-P were studied using Density Functional Theory …","","https://scholar.google.com/scholar?q=related:8IMuMg2NTdAJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
204,"AAC Braga, NH Morgon, G Ujaque, A Lledós…","Computational study of the transmetalation process in the Suzuki–Miyaura cross-coupling of aryls",2006,"… of organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X0600146X","https://scholar.google.com/scholar?cites=4457622691877657250&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 22:21:18","","","","",,,,,204,10.74,41,5,19,"… The transmetalation step of the Suzuki–Miyaura cross-coupling between aryl groups is analyzed by means of DFT calculations with the Becke3LYP functional. The halide considered is …","https://www.academia.edu/download/47887835/j.jorganchem.2006.02.01520160808-14344-1cauk4y.pdf","https://scholar.google.com/scholar?q=related:opoWhDio3D0J:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"B Heggen, W Thiel","Theoretical investigation on the mechanism of iron catalyzed cross coupling reactions via ferrate intermediates",2016,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X15302400","https://scholar.google.com/scholar?cites=8422697593564580833&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 22:21:18","","","","",,,,,10,1.11,5,2,9,"… The present DFT calculations confirm that iron catalyzed cross coupling reactions involving methyl donors can proceed via organoferrate intermediates (such as complex 1) through a …","","https://scholar.google.com/scholar?q=related:4Uv0AtZu43QJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"A Ratnam, M Bala, R Kumar, UP Singh…","Design and syntheses of a new family of palladium complexes derived from tridentate ligands and their application as catalysts for Suzuki-Miyaura cross-coupling …",2018,"… Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X17307039","https://scholar.google.com/scholar?cites=13125533774258658220&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 22:21:18","","","","",,,,,16,2.29,3,5,7,"… to study Suzuki-Miyaura cross-coupling reactions. Substituted aryl … cross-coupling reactions was proposed on the basis of theoretical calculation utilising density functional theory (DFT…","https://drive.google.com/file/d/1fzh0XrQ_ZNPIUjK9L3gBYxjE7ewBucaL/view","https://scholar.google.com/scholar?q=related:rFsU9mxDJ7YJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"M Hirano, T Ueda, N Komine, S Komiya…","Mechanistic insights into catalytic linear cross-dimerization between conjugated dienes and styrenes by a ruthenium (0) complex",2015,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X15301248","https://scholar.google.com/scholar?cites=2236224586995991577&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 22:21:18","","","","",,,,,26,2.60,5,5,10,"… The mechanistic studies for linear cross-dimerization between 2,3-dimethylbuta-1,3-diene and styrene … via oxidative coupling mechanism that is also supported by the DFT calculations. …","https://www.sciencedirect.com/science/article/am/pii/S0022328X15301248","https://scholar.google.com/scholar?q=related:GQTk8WmqCB8J:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"MSS Adam","Sustainable dipolar homo-dicopper (II) dihydrazone complex as a catalyst for Sonogashira cross couplings",2019,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X19304280","https://scholar.google.com/scholar?cites=2373178779593320973&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 22:21:18","","","","",,,,,15,2.50,15,1,6,"… A mechanistic pathway has been proposed for Sonogashira cross coupling reactions based on the oxidative addition and reductive eliminations steps. DFT studies calculated the …","","https://scholar.google.com/scholar?q=related:DaonwoY57yAJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"A Bottoni, G Cahiez, M Calvaresi, A Moyeux…","A mechanistic insights into manganese-catalyzed oxidative homocoupling reactions of Grignard reagents: A computational DFT investigation",2016,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X16301723","https://scholar.google.com/scholar?cites=8431098495908774798&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 22:21:18","","","","",,,,,16,1.78,3,5,9,"… In this paper we used a DFT computational approach to examine various mechanistic hypotheses for the manganese-catalyzed homocoupling reaction of aryl Grignard reagents in …","","https://scholar.google.com/scholar?q=related:jgP5gmlHAXUJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"T Tang, D Zhang, L Le, Z Xu, H Lu, SF Yin…","Cu-catalyzed cross-coupling of chlorostibine with terminal alkynes to give Sb-alkynyl stibines and products transformation",2022,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X22001000","https://scholar.google.com/scholar?cites=3326611867857074314&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 22:21:18","","","","",,,,,3,1.00,0,7,3,"… Herein, we describe an efficient copper-catalyzed cross-coupling reaction of terminal alkynes with chlorostibine 1a to synthesize a variety of Sb-alkynyl stibines. Aryl, alkyl and …","","https://scholar.google.com/scholar?q=related:ijg4Yd5_Ki4J:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
