Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"NG Nair, JL Mendoza-Cortes, R Abrol, ...","1, 3-Sigmatropic fluorine migration to boron in McLafferty type of rearrangements: Observation of tetrafluorobenzyne radical cation and trifluorobenzyne cation …",2013,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X13004464","https://scholar.google.com/scholar?cites=13328727964245033116&as_sdt=2005&sciodt=0,5&hl=en",72,"2025-05-06 17:32:46","HTML","","","",,,,,3,0.25,1,4,12,"… and DFT calculations of a fluorinated triarylboroxine, we have demonstrated the 1,3-sigmatropic migration of … The calculated activation barrier for the 1,3-fluorine migration in the tris(…","https://www.sciencedirect.com/science/article/pii/S0022328X13004464","https://scholar.google.com/scholar?q=related:nACkAHcn-bgJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"ARA Dahy, N Koga","A computational study on the formation of pyridin-2 (1H)-one and pyridine-2 (1H)-thione from the reaction of cobaltacyclopentadiene with isocyanate and …",2014,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X14003854","https://scholar.google.com/scholar?cites=15687918192619586244&as_sdt=2005&sciodt=0,5&hl=en",120,"2025-05-06 17:32:46","HTML","","","",,,,,7,0.64,4,2,11,"… of these reactions by means of density functional theory (DFT) calculations. In our study, … isocyanate with cobaltacyclopentadiene by the B3LYP DFT method, and they showed that the …","https://www.sciencedirect.com/science/article/pii/S0022328X14003854","https://scholar.google.com/scholar?q=related:xIJ6YHquttkJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"JCW Lohrenz, M Bühl, M Weber, W Thiel","A density functional study on the formation of stereoerrors in the stereoselective propene polymerization with zirconocene catalysts",1999,"… of organometallic chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X99004386","https://scholar.google.com/scholar?cites=6870272963152807249&as_sdt=2005&sciodt=0,5&hl=en",22,"2025-05-06 17:32:46","HTML","","","",,,,,28,1.08,7,4,26,"… density functional theory (DFT). Salient features of this mechanism have recently been addressed by DFT … The reliability of DFT calculations for such applications was proven by a series …","https://www.sciencedirect.com/science/article/pii/S0022328X99004386","https://scholar.google.com/scholar?q=related:UYWxFtwcWF8J:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"X Wang, E Weitz","A density functional theory study of alkyl group migration in RMn (CO) 5 complexes",2004,"Journal of organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X04002815","https://scholar.google.com/scholar?cites=8812519058610884747&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 17:32:46","HTML","","","",,,,,11,0.52,6,2,21,"… CO migratory insertion … Recently, we used DFT methods to study η 2 acyl-Mn carbonyl complexes and … In the present work we have used DFT to investigate the systems studied by …","https://www.sciencedirect.com/science/article/pii/S0022328X04002815","https://scholar.google.com/scholar?q=related:i5DcoGRbTHoJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"MM Conradie, J Conradie","A density functional theory study of the oxidative addition of methyl iodide to square planar [Rh (acac)(P (OPh) 3) 2] complex and simplified model systems",2010,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X10002810","https://scholar.google.com/scholar?cites=16675789794823870159&as_sdt=2005&sciodt=0,5&hl=en",78,"2025-05-06 17:32:46","HTML","","","",,,,,28,1.87,14,2,15,"… study is of the same order as the reported DFT values for the Monsanto system 32 kJ mol −1 … not contain a CO group, no methyl migration, the second step in the Monsanto catalytic cycle…","https://www.sciencedirect.com/science/article/pii/S0022328X10002810","https://scholar.google.com/scholar?q=related:z5aPXXdObOcJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"R Suleiman, A Ibdah, B El Ali","A DFT study of the mechanism of palladium-catalyzed alkoxycarbonylation and aminocarbonylation of alkynes: Hydride versus amine pathways",2011,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X11001409","https://scholar.google.com/scholar?cites=13854286099956834798&as_sdt=2005&sciodt=0,5&hl=en",29,"2025-05-06 17:32:46","HTML","","","",,,,,18,1.29,6,3,14,"… The structures of the two transition states, 2C/3CT-TS and 2C/3CG-TS, are located and their imaginary vibration modes (409i and 383i cm −1 ) indicate the migratory insertion of …","https://www.sciencedirect.com/science/article/pii/S0022328X11001409","https://scholar.google.com/scholar?q=related:7iGPBM5PRMAJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"D Coskun, NŞ Tüzün","A DFT study on the mechanism of Rh-catalyzed competitive 1, 2-versus 1, 3-acyloxy migration followed by [5+ 1] and [4+ 1] cycloadditions of 1, 4-enynes with …",2017,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X17305375","https://scholar.google.com/scholar?cites=3685870869496652245&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 17:32:46","HTML","","","",,,,,11,1.38,6,2,8,"… The design or discovery of new reactions can be stimulated through the acyloxy migration and the subsequent reactions; oxidative addition, migratory insertion, and reductive elimination…","https://www.sciencedirect.com/science/article/pii/S0022328X17305375","https://scholar.google.com/scholar?q=related:1eFO-AbYJjMJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"WR Roper, GE Taylor, JM Waters, LJ Wright","A dihapto-iminoacyl derivative of ruthenium (II). Synthesis and structure of RU [η2-C (NR) R] Cl (CO)(PPh3) 2",1978,"… of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X00922952","https://scholar.google.com/scholar?cites=10069905528974473228&as_sdt=2005&sciodt=0,5&hl=en",160,"2025-05-06 17:32:46","","","","",,,,,51,1.09,13,4,47,"The ruthenium iminoacyl complex, Ru[C(NR)R]Cl(CO(PPh 3 ) 2 , (R  p-tolyl), which results from a migratory-insertion rearrangement of RuRCl(CO) (CNR) (PPh 3 ) 2 is shown by X-ray …","","https://scholar.google.com/scholar?q=related:DPhD2Ll9v4sJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"E Grobbelaar, J Conradie, JA Venter, W Purcell, ...","A kinetic investigation of the oxidative addition reactions of the dimeric Bu4N [Ir2 (μ-Dcbp)(CO) 2 (PCy3) 2] complex with iodomethane",2011,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X10006741","https://scholar.google.com/scholar?cites=17945369535551160520&as_sdt=2005&sciodt=0,5&hl=en",99,"2025-05-06 17:32:46","HTML","","","",,,,,3,0.21,1,5,14,"… DFT calculations successfully identified the stereochemistry … A reaction pathway, using the IR data and DFT calculations, … isomers undergo CO insertion or methyl migration while an …","https://www.sciencedirect.com/science/article/pii/S0022328X10006741","https://scholar.google.com/scholar?q=related:yMCkkYPCCvkJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"K Nikitin, H Müller-Bunz, PJ Guiry, ...","A mechanistic rationale for the outcome of Sonogashira cross-coupling of 9-bromoanthracene and ethynyltrimethylsilane: An unexpected product 4-(9 …",2019,"… Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X18308386","https://scholar.google.com/scholar?cites=13069960684108085869&as_sdt=2005&sciodt=0,5&hl=en",56,"2025-05-06 17:32:46","HTML","","","",,,,,4,0.67,1,4,6,"… coupling either directly, or after coordination and migratory insertion of the free alkyne. … Our preliminary DFT level electron structure calculations indicate that the accessibility of the …","https://www.sciencedirect.com/science/article/pii/S0022328X18308386","https://scholar.google.com/scholar?q=related:bXqVnP7TYbUJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
