Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Y Chen, E Callens, E Abou-Hamad…",", the first tantalum methylidene species prepared and identified on the silica surface",2013,"… Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X13003562","",132,"2025-05-06 17:31:38","HTML","","","",,,,,0,0.00,0,4,12,"… in olefin metathesis catalysis. The late transition metal alkylidenes as ruthenium imidazole compound discovered by Herrmann [6], [7] have led to another climax in this research field. …","https://www.sciencedirect.com/science/article/pii/S0022328X13003562","https://scholar.google.com/scholar?q=related:fsIwIye2z1IJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"JG Andino, H Fan, AR Fout, BC Bailey, MH Baik…","1, 2-CF bond activation of perfluoroarenes and alkylidene isomers of titanium. DFT analysis of the C–F bond activation pathway and rotation of the titanium …",2011,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X11004943","https://scholar.google.com/scholar?cites=11304500598230822731&as_sdt=2005&sciodt=0,5&hl=en",33,"2025-05-06 17:31:38","HTML","","","",,,,,17,1.21,3,6,14,"… Single crystal X-Ray crystallographic data obtained for the two isomers of 2 (and syn isomer of 1) are in good agreement with computed DFT-optimized models. Our calculations suggest …","https://www.sciencedirect.com/science/article/pii/S0022328X11004943","https://scholar.google.com/scholar?q=related:Sy-9eGan4ZwJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"WA Herrmann","50 Years of passion for organometallic chemistry",2023,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X23002036","https://scholar.google.com/scholar?cites=2778624648046517051&as_sdt=2005&sciodt=0,5&hl=en",27,"2025-05-06 17:31:38","HTML","","","",,,,,5,2.50,5,1,2,"… -carbon bond-forming reactions, particularly olefin metathesis and Heck-type reactions. Other … Beyond their high catalytic activities, they are the most robust olefin metathesis catalysts …","https://www.sciencedirect.com/science/article/pii/S0022328X23002036","https://scholar.google.com/scholar?q=related:Oxv1RmWojyYJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"D Tapu, OJ Buckner, CM Boudreaux, B Norvell…","A benzothiadiazole-supported N-heterocyclic carbene and its rhodium and iridium complexes",2016,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X16304077","https://scholar.google.com/scholar?cites=15506773386123818237&as_sdt=2005&sciodt=0,5&hl=en",131,"2025-05-06 17:31:38","HTML","","","",,,,,18,2.00,4,5,9,"A new N-heterocyclic carbene containing a fused benzothiadiazole (BTD) moiety, 5,7-bis(1,1-dimethylethyl)-5H-imidazo[4,5-f]-2,1,3-benzothiadiazol-6-ylidene (1), was generated by …","https://www.sciencedirect.com/science/article/pii/S0022328X16304077","https://scholar.google.com/scholar?q=related:_TRkfDwgM9cJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
44,"M Besora, AAC Braga, WMC Sameera, J Urbano…","A computational view on the reactions of hydrocarbons with coinage metal complexes",2015,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X14004732","https://scholar.google.com/scholar?cites=2277978047947931715&as_sdt=2005&sciodt=0,5&hl=en",79,"2025-05-06 17:31:38","HTML","","","",,,,,44,4.40,9,5,10,"… DFT calculations allow the characterization of these intermediates and of their reactivity with hydrocarbons, leading to C–H insertion, aziridination or oxazole synthesis. This review …","https://www.sciencedirect.com/science/article/pii/S0022328X14004732","https://scholar.google.com/scholar?q=related:QwATIvcAnR8J:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
139,"JCW Lohrenz, TK Woo, L Fan, T Ziegler","A density functional study on the insertion mechanism and chain termination in Kaminsky-type catalysts; comparison of frontside and backside attack",1995,"… of organometallic chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/0022328X9500110C","https://scholar.google.com/scholar?cites=10781617467851284245&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-06 17:31:38","","","","",,,,,139,4.63,35,4,30,"… into which the olefin inserts. In this paper we present the results of DFT calculations on the … atom is transferred from the olefin to the polymer chain in a o-bond metathesis reaction. The …","","https://scholar.google.com/scholar?q=related:FR9sq_b_n5UJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"J Pyziak, J Walkowiak, M Hoffmann…","A new catalytic route to borylgermyl-substituted buta-1, 3-dienes",2015,"… Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X15300450","https://scholar.google.com/scholar?cites=10279539401839314088&as_sdt=2005&sciodt=0,5&hl=en",102,"2025-05-06 17:31:38","HTML","","","",,,,,5,0.50,1,4,10,"… Over the last two decades our group has specialized in the synthesis of olefins and alkynes … the basis of quantum chemical calculations using density functional theory (DFT), that the β-…","https://www.sciencedirect.com/science/article/pii/S0022328X15300450","https://scholar.google.com/scholar?q=related:qIRDZZ9CqI4J:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"L Jin, Y Wu, X Zhao","A novel non-insertive mechanism for neutral organozirconium-catalyzed aminoalkene hydroamination: Density functional theory survey",2013,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X13004476","",76,"2025-05-06 17:31:38","HTML","","","",,,,,0,0.00,0,3,12,"… Although migratory olefin σ-insertion usually occurred in the reaction to facilitate H-transfer, our DFT computations favored the stepwise [2π + 2π] cycloaddition pathway due to the key …","https://www.sciencedirect.com/science/article/pii/S0022328X13004476","https://scholar.google.com/scholar?q=related:F_ArJ59H9RoJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"R Takagi, K Yamamoto, Y Hiraga, S Kojima…","A novel non-metathetic behavior of Grubbs catalyst: Ruthenium-mediated intramolecular [3+ 2] cycloaddition of bis-1, 3-dienes",2013,"… Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X12005463","https://scholar.google.com/scholar?cites=16844297882934346681&as_sdt=2005&sciodt=0,5&hl=en",93,"2025-05-06 17:31:38","HTML","","","",,,,,11,0.92,2,5,12,"… olefin metathesis have been developed by taking advantage of both the potential reactivity of olefins … The computations on the model reaction, using the density functional theory (BP86), …","https://www.sciencedirect.com/science/article/pii/S0022328X12005463","https://scholar.google.com/scholar?q=related:uYMq-633wukJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
34,"W Stüer, J Wolf, H Werner","A tertiary phosphine that is too bulky: preparation of catalytically less active carbene and vinylidene ruthenium (II) complexes",2002,"Journal of organometallic chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X01013006","https://scholar.google.com/scholar?cites=9545852555331120077&as_sdt=2005&sciodt=0,5&hl=en",68,"2025-05-06 17:31:38","HTML","","","",,,,,34,1.48,11,3,23,"… CF 3 CO 2 K by ligand exchange, are poor catalysts for ROMP and cross olefin metathesis. … as catalysts for ROMP and cross olefin metathesis than their [Ru(PCy 3 ) 2 ] counterparts. …","https://www.sciencedirect.com/science/article/pii/S0022328X01013006","https://scholar.google.com/scholar?q=related:zSvErlKueYQJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
172,"GJ Kubas","Activation of dihydrogen and coordination of molecular H2 on transition metals",2014,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X13005482","https://scholar.google.com/scholar?cites=17675713178051536788&as_sdt=2005&sciodt=0,5&hl=en",62,"2025-05-06 17:31:38","HTML","","","",,,,,172,15.64,172,1,11,"… Subsequent more state of the art DFT calculations by Frenking for W(CO) 3 (PMe 3 ) 2 (H 2 ) … a type of σ-bond metathesis process (Scheme 13) analogous to olefin metathesis. The H 2 …","https://www.sciencedirect.com/science/article/pii/S0022328X13005482","https://scholar.google.com/scholar?q=related:lOdzSXy_TPUJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"P Śliwa, J Handzlik, I Czeluśniak","Alkynol polymerization catalysed by Grubbs-type and Hoveyda–Grubbs ruthenium alkylidene complexes: A computational study",2014,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X14002563","https://scholar.google.com/scholar?cites=15387595260011648233&as_sdt=2005&sciodt=0,5&hl=en",55,"2025-05-06 17:31:38","HTML","","","",,,,,12,1.09,4,3,11,"… Density functional theory has been applied to study the … The choice of the DFT method affects significantly the theoretical … The highly active olefin metathesis third generation Grubbs …","https://www.sciencedirect.com/science/article/pii/S0022328X14002563","https://scholar.google.com/scholar?q=related:6ZR6rFy4i9UJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
46,"J Jiao, Y Nishihara","Alkynylboron compounds in organic synthesis",2012,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X12002975","https://scholar.google.com/scholar?cites=15791286507613579278&as_sdt=2005&sciodt=0,5&hl=en",109,"2025-05-06 17:31:38","HTML","","","",,,,,46,3.54,23,2,13,"… [29], [30], and the mechanism via kinetic experiments as well as DFT studies revealed that … Based on this, Goodman achieved the DFT study to explain that the high reactivity of …","https://www.sciencedirect.com/science/article/pii/S0022328X12002975","https://scholar.google.com/scholar?q=related:Dui5sGnrJdsJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"MAO Volland, F Rominger, F Eisenträger…","An 'Old Hydride'in a new synthesis: a convenient approach to Grubbs-type carbene complexes (PPh3) 2Cl2Ru CH CH CR2 and their hexacoordinate …",2002,"… organometallic chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X01013614","https://scholar.google.com/scholar?cites=15473349398913523270&as_sdt=2005&sciodt=0,5&hl=en",66,"2025-05-06 17:31:38","HTML","","","",,,,,45,1.96,11,4,23,"… In most of these syntheses, trialkyl phosphine ligands PR 3 have been used due to the higher olefin metathesis activity of the resulting complexes. A drawback of some of the available …","https://www.sciencedirect.com/science/article/pii/S0022328X01013614","https://scholar.google.com/scholar?q=related:Rp6-B0xhvNYJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
753,"WA Herrmann, VPW Böhm, CP Reisinger","Application of palladacycles in Heck type reactions",1999,"… of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X9801050X","https://scholar.google.com/scholar?cites=17685037067211283677&as_sdt=2005&sciodt=0,5&hl=en",42,"2025-05-06 17:31:38","HTML","","","",,,,,753,28.96,251,3,26,"… The labile acetate anions are easily exchanged by salt metathesis with tetrabutylammonium … Upon changing the olefin from an acrylate to a styrene, we observed similar TONs with …","https://www.sciencedirect.com/science/article/pii/S0022328X9801050X","https://scholar.google.com/scholar?q=related:3Zy-ZoPfbfUJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"I Omae","Applications of six-membered ring products from cyclometalation reactions",2017,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X17304655","https://scholar.google.com/scholar?cites=16418734137626723256&as_sdt=2005&sciodt=0,5&hl=en",70,"2025-05-06 17:31:38","HTML","","","",,,,,21,2.63,21,1,8,"… palladacycle for the ring-opening reaction of 7-oxabenzonorbornadiene with phenylacetylene, a sulfone oxygen donor ruthenium compound for the ring-closing metathesis of …","https://www.sciencedirect.com/science/article/pii/S0022328X17304655","https://scholar.google.com/scholar?q=related:uAPSPrUP2-MJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
