Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
5,"BE Bursten, S Chen, MH Chisholm","Ligand effects on the stability of the insertion products: A DFT study of oxidative addition of NH3 to iridium (I) complex",2008,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X0800048X","https://scholar.google.com/scholar?cites=1084984048071787625&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 19:34:56","","","","",,,,,5,0.29,2,3,17,"… The study of the substituent effects employing the density functional theory (DFT) has shown us that the oxidative addition of ammonia by an iridium complex to form a hydrido amido …","","https://scholar.google.com/scholar?q=related:acRIRD6jDg8J:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"MA Fard, A Behnia, RJ Puddephatt","Stereochemistry of oxidative addition reactions of cycloneophyl complexes of Platinum (II): A methylene insertion reaction from dichloromethane",2019,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X1930124X","https://scholar.google.com/scholar?cites=12782405314597478890&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 19:34:56","","","","",,,,,15,2.50,5,3,6,"… Unusual features are observed in studies of oxidative addition … The oxidative addition of 4-nitrobenzyl bromide to 2 or of … Hydrogen peroxide reacts with 2 to give oxidative addition with …","","https://scholar.google.com/scholar?q=related:6uGl1-g5ZLEJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
51,"SM Nabavizadeh, H Amini, F Jame…","Oxidative addition of MeI to some cyclometalated organoplatinum (II) complexes: Kinetics and mechanism",2012,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X1100684X","https://scholar.google.com/scholar?cites=5949499921796702269&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 19:34:56","","","","",,,,,51,3.92,13,4,13,"… Effect of the ligands presented in the Pt(II) complexes on rate of oxidative addition reactions will be discussed. DFT calculations are performed in order to find approximate structures for …","","https://scholar.google.com/scholar?q=related:PSDoNajekFIJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"R Fazaeli, A Ariafard, S Jamshidi…","Theoretical studies of the oxidative addition of PhBr to Pd (PX3) 2 and Pd (X2PCH2CH2PX2)(X= Me, H, Cl)",2007,"… of organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X07004196","https://scholar.google.com/scholar?cites=8686011261737952236&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 19:34:56","","","","",,,,,54,3.00,14,4,18,"… oxidative addition reaction of organic halides, we investigate the model oxidative addition … , Cl) with the aid of B3LYP density functional theory (DFT) calculations. The representative set …","https://www.academia.edu/download/86387810/j.jorganchem.2007.06.01120220524-1-1q5x50l.pdf","https://scholar.google.com/scholar?q=related:7OPu2jjpingJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
80,"JC Green, BJ Herbert, R Lonsdale","Oxidative addition of aryl chlorides to palladium N-heterocyclic carbene complexes and their role in catalytic arylamination",2005,"Journal of organometallic chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X05006947","https://scholar.google.com/scholar?cites=15815644186379743110&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 19:34:56","","","","",,,,,80,4.00,27,3,20,"Density functional theory has been used to investigate various … Oxidative addition of an aryl chloride has been modelled, … been investigated and the oxidative addition of the aryl halide …","https://www.uwindsor.ca/people/jgreen/sites/uwindsor.ca.people.jgreen/files/jomc-2005-690-6054_oxid_addn_0.pdf","https://scholar.google.com/scholar?q=related:hu8it5d0fNsJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
48,"GT de Jong, R Visser, FM Bickelhaupt","Oxidative addition to main group versus transition metals: Insights from the Activation Strain model",2006,"Journal of organometallic chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X06002087","https://scholar.google.com/scholar?cites=13415000145504936377&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 19:34:56","","","","",,,,,48,2.53,16,3,19,"… We have studied the oxidative addition of the methane C–H … Cd), using relativistic density functional theory (DFT) at ZORA-… and transition metals towards oxidative addition. Thus, we …","","https://scholar.google.com/scholar?q=related:uaGifo6nK7oJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"E Lee, DV Yandulov","Synthesis and characterization of Pd (IMe) 2, and its reactivity by C–S oxidative addition of DMSO",2011,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X11004499","https://scholar.google.com/scholar?cites=7755926130419790244&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 19:34:56","","","","",,,,,24,1.71,12,2,14,"… Despite the relief of steric restrictions on oxidative addition reactivity, DFT calculations suggest Pd(IMe) 2 to react with the Me–S(O)Me bond following reversible substitution of IMe by κS-…","","https://scholar.google.com/scholar?q=related:pHHXE7mVomsJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"ME Moustafa, PD Boyle, RJ Puddephatt","Reactivity and mechanism in reactions of methylene halides with cycloneophylplatinum (II) complexes: Oxidative addition and methylene insertion",2021,"… of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X21001248","https://scholar.google.com/scholar?cites=6873878747707270675&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 19:34:56","","","","",,,,,6,1.50,2,3,4,"… oxidative addition. When X = I and NN = 4,4’-di-t-butyl-2,2’-bipyridine, the products of trans oxidative addition … To gain further insight, DFT calculations were carried out on the complexes …","","https://scholar.google.com/scholar?q=related:E-YyOk3sZF8J:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"J Handzlik, T Szymańska-Buzar","… of a σ-bond complex vs. an oxidation addition product in reaction of [M (CO) 4 (η4-nbd)](M= W, Mo) and H–EEt3 (E= Si, Ge, Sn): DFT optimized structures and …",2014,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X14003672","https://scholar.google.com/scholar?cites=16830819449139429670&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 19:34:56","","","","",,,,,15,1.36,8,2,11,"… Density functional theory calculations have been employed to understand the bonding and … the terminal hydride ligand in the oxidative addition product complex 2 have been compared …","","https://scholar.google.com/scholar?q=related:JgGxkB0Vk-kJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"SM Nabavizadeh, H Amini, M Rashidi…","The mechanism of oxidative addition of iodine to a dimethylplatinum (II) complex",2012,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X12002306","https://scholar.google.com/scholar?cites=10099498162254947064&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 19:34:56","","","","",,,,,40,3.08,10,4,13,"… Theoretical studies of the oxidative addition reaction In order to gain further insight into the mechanism, DFT calculations were carried out for the complexes and intermediates, using …","","https://scholar.google.com/scholar?q=related:-KLqshGgKIwJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
