Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"Q Ren, D Zhang, L Zheng","DFT studies on the mechanisms of enantioselective Ni-catalyzed reductive coupling reactions to form 1, 1-diarylalkanes",2021,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X21003636","https://scholar.google.com/scholar?cites=15009808220911731696&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 22:11:12","","","","",,,,,6,1.50,2,3,4,"… catalyzed reductive coupling of 5-bromide-2-methoxypyridine (R 1 ) and (1-chloropropyl) benzene (R 2 ) to form 1,1-diarylalkanes (R, S)-P were studied using Density Functional Theory …","","https://scholar.google.com/scholar?q=related:8IMuMg2NTdAJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"Q Ren, F Jiang, H Gong","DFT study of the single electron transfer mechanisms in Ni-Catalyzed reductive cross-coupling of aryl bromide and alkyl bromide",2014,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X14003994","https://scholar.google.com/scholar?cites=7255880985182398266&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 22:11:12","","","","",,,,,40,3.64,13,3,11,"… alkyl–alkyl Suzuki cross-coupling using DFT calculations and found a single electron transfer … of Ni-catalyzed reductive homocoupling of aryl halides using DFT calculations and also did …","","https://scholar.google.com/scholar?q=related:OudODlARsmQJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"A Ariafard, BF Yates","In-depth insight into the electronic and steric effects of phosphine ligands on the mechanism of the R–R reductive elimination from (PR3) 2PdR2",2009,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X09001132","https://scholar.google.com/scholar?cites=12390210103801998678&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 22:11:12","","","","",,,,,45,2.81,23,2,16,"… DFT calculations on the ease of reductive elimination of R–R′ from (PH 3 ) 2 Pd(R)(R′) and concluded that, in agreement with the experimental data, the reductive elimination of two …","","https://scholar.google.com/scholar?q=related:Vu2SeXHe8qsJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"Q Ren, D Zhang, G Zhou","DFT studies on the mechanisms of nickel-catalyzed reductive-coupling cyanation of aryl bromide",2022,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X22001164","https://scholar.google.com/scholar?cites=754895611692146391&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 22:11:12","","","","",,,,,3,1.00,1,3,3,"… 2-methyl-2-phenylmalononitrile (MPMN) through the reductive-coupling reactions have been investigated using density functional theory (DFT) calculations. The Ni I catalytic cycle was …","","https://scholar.google.com/scholar?q=related:115pKY_teQoJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"H Xie, F Lin, L Yang, X Chen, X Ye, X Tian, Q Lei…","A DFT study on palladium-catalyzed decarboxylative intramolecular aziridination reaction mechanism",2013,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X13006372","https://scholar.google.com/scholar?cites=15168649220636767396&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 22:11:12","","","","",,,,,11,0.92,1,8,12,"… Finally, the reductive elimination takes place to give product … From complex 15, the reductive elimination occurs via TS 16 … olefin insertion and reductive elimination. The decarboxylation …","","https://scholar.google.com/scholar?q=related:pHSPZhnegdIJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"FN Hosseini, A Ariafard, M Rashidi, G Azimi…","… studies of influences of Ni triad metals and solvents on oxidative addition of MeI to [M (CH3) 2 (NH3) 2] complexes and C–C reductive elimination from [M (CH3) 3 …",2011,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X11004797","https://scholar.google.com/scholar?cites=13483866213474634377&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 22:11:12","","","","",,,,,24,1.71,5,5,14,"… the previous theoretical studies of the S N 2-type oxidation addition reactions, although the reaction mechanisms have been discussed, to the best of our knowledge limited related DFT …","","https://scholar.google.com/scholar?q=related:iQoMbeFQILsJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"VHM da Silva, NH Morgon, CRD Correia…","DFT perspective on the selectivity and mechanism of ligand-free Heck reaction involving allylic esters and arenediazonium salts",2019,"Journal of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X19302153","https://scholar.google.com/scholar?cites=15692387378499064313&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 22:11:12","","","","",,,,,10,1.67,3,4,6,"A density functional theory (DFT) study has been carried out with respect to the cationic and neutral mechanism of ligand-free Heck-Matsuda cross-coupling reaction involving allylic …","","https://scholar.google.com/scholar?q=related:-ZFCzS2PxtkJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"H Sakurai, M Sugimoto","Alkyl group dependence of C–Si reductive eliminations from alkyl (silyl) Pt (II) complexes: a density functional study",2004,"Journal of organometallic chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X04002700","https://scholar.google.com/scholar?cites=7422436539966120283&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 22:11:12","","","","",,,,,1,0.05,1,2,21,"… C–Si reductive elimination from Pt(R)(SiPh 3 )(PMe 3 ) 2 (R=Me, Pr) was theoretically studied with the density functional theory. For comparisons with the experiment, substitution of …","","https://scholar.google.com/scholar?q=related:W2GPFLXKAWcJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"S Liu, D Guo, T Liu","DFT study on the rhodium-catalyzed oxidative C–H allylation of benzamides with 1, 3-dienes by ally-to-ally 1, 4-Rh (III) migration",2019,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X19304589","https://scholar.google.com/scholar?cites=12450176553477234010&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 22:11:12","","","","",,,,,8,1.33,3,3,6,"… Path B undergoes the successive C–H oxidative addition and reductive elimination process to form IV. In path C, III would transform into IV via a σ-complex-assisted metathesis (σ-CAM) …","","https://scholar.google.com/scholar?q=related:Wl3ojJzpx6wJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"H Rabaâ, S Ghosh, D Sundholm, JF Halet…","Addition and elimination reactions of H2 in ruthenaborane clusters: A computational study",2014,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X14001132","https://scholar.google.com/scholar?cites=12733517347221095450&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 22:11:12","","","","",,,,,1,0.09,0,5,11,"… Ruthenaborane clusters have been modelled by performing density functional theory … does not involve any oxidative addition or reductive elimination in this cluster. For F and TS4…","https://hal.science/hal-01017039v1/file/Addition_and_Elimination_Reactions_final.pdf","https://scholar.google.com/scholar?q=related:GkRj7o-KtrAJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
