Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
204,"AAC Braga, NH Morgon, G Ujaque, A Lledós…","Computational study of the transmetalation process in the Suzuki–Miyaura cross-coupling of aryls",2006,"… of organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X0600146X","https://scholar.google.com/scholar?cites=4457622691877657250&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 17:24:19","HTML","","","",,,,,204,10.74,41,5,19,"… A, B and C for transmetalation by means of DFT calculations with Becke3LYP functional [67] … Path B′ does not seem however to be the responsible for transmetalation, because it …","https://www.sciencedirect.com/science/article/pii/S0022328X0600146X","https://scholar.google.com/scholar?q=related:opoWhDio3D0J:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"Q Ren, F Jiang, H Gong","DFT study of the single electron transfer mechanisms in Ni-Catalyzed reductive cross-coupling of aryl bromide and alkyl bromide",2014,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X14003994","https://scholar.google.com/scholar?cites=7255880985182398266&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 17:24:19","HTML","","","",,,,,40,3.64,13,3,11,"… of aryl bromide and secondary alkyl bromide using Density Functional Theory (DFT) calculations. The results showed that two … All DFT calculations were implemented in the gas phase. …","https://www.sciencedirect.com/science/article/pii/S0022328X14003994","https://scholar.google.com/scholar?q=related:OudODlARsmQJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"ED Amoateng, J Zamora-Moreno…","Investigating intermediates in the CCC–NHC pincer ligand metalation/transmetalation to Rh sequence, an improved stoichiometric synthesis of CCC–NHC …",2022,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X22002479","https://scholar.google.com/scholar?cites=17622515768764259810&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 17:24:19","HTML","","","",,,,,6,2.00,2,3,3,"… However, the mechanism of the transmetalation has not been addressed. For example, the optimized in situ transmetalation step required two atom equivalents of Rh per proligand, 1 (…","https://www.sciencedirect.com/science/article/pii/S0022328X22002479","https://scholar.google.com/scholar?q=related:4t3pPbnAj_QJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"B Raghavendra, K Bakthavachalam, T Das…","Transmetallation vs adduct: diverse reactivity of N, O-ketiminato germylene with [Cp* MCl2] 2 (M= Rh or Ir; Cp*= η5-C5Me5) and MCl5 (M= Nb and Ta)",2020,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X20300437","https://scholar.google.com/scholar?cites=17061770916992541903&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 17:24:19","HTML","","","",,,,,5,1.00,1,4,5,"Transmetallation vs adduct: Diverse reactivity of N,O-ketiminato germylene with [Cp*MCl2]2 (M = Rh or Ir; Cp* = η5-C5Me5) and MCl5 (M = Nb and Ta) - ScienceDirect …","https://www.sciencedirect.com/science/article/pii/S0022328X20300437","https://scholar.google.com/scholar?q=related:z2RuekCWx-wJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"TV Tyumkina, DN Islamov, LV Parfenova…","Mechanistic aspects of chemo-and regioselectivity in Cp2ZrCl2-catalyzed alkene cycloalumination by AlEt3",2016,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X16303539","https://scholar.google.com/scholar?cites=1476715124536114473&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 17:24:19","HTML","","","",,,,,12,1.33,3,4,9,"… five-membered Zr,Al-complex [Cp 2 Zr(μ-Cl)CH 2 CH 2 AlEt 2 ] as catalytically active sites in Cp 2 ZrCl 2 -catalyzed cycloalumination of α-olefins with AlEt 3 have been studied by DFT …","https://www.sciencedirect.com/science/article/pii/S0022328X16303539","https://scholar.google.com/scholar?q=related:Kf1r8JRYfhQJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"A Bottoni, G Cahiez, M Calvaresi, A Moyeux…","A mechanistic insights into manganese-catalyzed oxidative homocoupling reactions of Grignard reagents: A computational DFT investigation",2016,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X16301723","https://scholar.google.com/scholar?cites=8431098495908774798&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 17:24:19","HTML","","","",,,,,16,1.78,3,5,9,"We have carried out a DFT computational investigation on the mechanism of the manganese-catalyzed homocoupling reaction of aryl Grignard reagents RMgX using atmospheric …","https://www.sciencedirect.com/science/article/pii/S0022328X16301723","https://scholar.google.com/scholar?q=related:jgP5gmlHAXUJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"M Dangalov, M Stoyanova, P Petrov, M Putala…","Fluxional Pd (II) NHC complexes–Synthesis, structure elucidation and catalytic studies",2016,"… of Organometallic …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X16301772","https://scholar.google.com/scholar?cites=14102740546919463570&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 17:24:19","HTML","","","",,,,,13,1.44,3,5,9,"… basis of combination of dynamic NMR and DFT studies. Conformational studies in respect to … The results from dynamic NMR and DFT studies confirm hindered rotation around the CN …","https://www.sciencedirect.com/science/article/pii/S0022328X16301772","https://scholar.google.com/scholar?q=related:kvqh0s7_tsMJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"AH Mageed","Chemistry of macrocyclic tetracarbene complexes: Synthesis, structure, reactivity and catalytic application",2019,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X19304085","https://scholar.google.com/scholar?cites=17575305124704421021&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 17:24:19","HTML","","","",,,,,24,4.00,24,1,6,"… 2–PF 6 was formed by transmetalation reaction using CrCl 2 … (Scheme 14) by using DFT and experimentally testing the results… ), which was proved by DFT calculations and experimental …","https://www.sciencedirect.com/science/article/pii/S0022328X19304085","https://scholar.google.com/scholar?q=related:nQQcmeQG6PMJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"F Wang, Y Hong, X Zhang, G Zou","A sequential olefin hydroboration/Suzuki coupling for denitrogenative alkylation of benzotriazinones with α-olefins",2024,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X24003784","https://scholar.google.com/scholar?cites=5906246016795337571&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 17:24:19","HTML","","","",,,,,1,1.00,0,4,1,"A denitrogenative alkylation of N-aryl benzotriazinones using readily available α-olefins as alkyl sources via a hydroboration/palladium-catalyzed alkyl Suzuki coupling sequence is …","https://www.sciencedirect.com/science/article/pii/S0022328X24003784","https://scholar.google.com/scholar?q=related:Y-Mmq3Uz91EJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"B Heggen, W Thiel","Theoretical investigation on the mechanism of iron catalyzed cross coupling reactions via ferrate intermediates",2016,"Journal of Organometallic Chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022328X15302400","https://scholar.google.com/scholar?cites=8422697593564580833&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 17:24:19","HTML","","","",,,,,10,1.11,5,2,9,"… formal steps: oxidative addition, transmetalation, and reductive elimination. … methyl transfers using density functional theory (DFT). … We performed DFT calculations to investigate the iron …","https://www.sciencedirect.com/science/article/pii/S0022328X15302400","https://scholar.google.com/scholar?q=related:4Uv0AtZu43QJ:scholar.google.com/&scioq=source:%22journal+of+organometallic+chemistry%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
