Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
26,"D Li, F Ruan, Y Jin, Q Ke, Y Cao, H Wang…","Design and synthesis of a highly efficient heterogeneous MnCo 2 O 4 oxide catalyst for alcohol oxidation: DFT insight into the synergistic effect between oxygen …",2019,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/cy/c8cy02248h","https://scholar.google.com/scholar?cites=2784766566515640202&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 10:55:35","","","","",,,,,26,4.33,4,7,6,"… Based on the results of density functional theory, herein we report the design and synthesis … as a highly efficient catalyst for alcohol oxidation, which highlights the importance of the …","","https://scholar.google.com/scholar?q=related:ioeMG3B6pSYJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"C Liu, H Kubota, T Toyao, Z Maeno…","Mechanistic insights into the oxidation of copper (i) species during NH 3-SCR over Cu-CHA zeolites: a DFT study",2020,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/cy/d0cy00379d","https://scholar.google.com/scholar?cites=15595121034971018215&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 10:55:35","","","","",,,,,32,6.40,6,5,5,"… In contrast, molecular-level study based on DFT calculations provides a plausible way to … of different oxidative activation modes. Herein, we employed periodic DFT calculations to study …","https://pubs.rsc.org/en/content/getauthorversionpdf/d0cy00379d","https://scholar.google.com/scholar?q=related:53OrbvT_bNgJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"RM Rioux, FD Toste","Catalysis Science &Technology: Catalysis in the USA",2015,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/cy/c5cy90005k","https://scholar.google.com/scholar?cites=16835950908748241474&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 10:55:35","","","","",,,,,1,0.10,1,2,10,"… 101) for the promotion of CO oxidation. In the last few decades, DFT calculations have greatly … The use of DFT has been highlighted many times in this USA themed issue. Many of these …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=ff726752faf153684633920cfa72d6b997504bbb","https://scholar.google.com/scholar?q=related:QpramyZQpekJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"Z Wang, L Liu, X Ma, Y Liu, P Mi, Z Liu…","Effect of an additional donor on decene formation in ethylene oligomerization catalyzed by a Cr/PCCP system: a combined experimental and DFT study",2021,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/cy/d1cy00423a","https://scholar.google.com/scholar?cites=9721078493323686534&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-13 10:55:35","","","","",,,,,16,4.00,2,7,4,"… We have also performed a detailed theoretical investigation by DFT calculations on the co-trimerization of ethylene and 1-hexene in the Cr/PCCP catalytic system. The calculation …","","https://scholar.google.com/scholar?q=related:hnI_nGI16IYJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"J Xu, Y Liu, C Liu, D Zhang","DFT computational insight into Pd (0)-catalyzed oxidative cross-coupling of 1, 2-allenyl ketones and aryl boronic acids: Pd (ii)-carbenoid intermediate versus π-allyl-Pd …",2023,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/cy/d2cy01506d","https://scholar.google.com/scholar?cites=8642244312697128455&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 10:55:35","","","","",,,,,2,1.00,1,4,2,"… In conclusion, by performing DFT calculations we have shown the mechanism details of the synthesis of furan derivatives via Pd(0)-catalyzed oxidative cross-coupling of 1,2-allenyl …","","https://scholar.google.com/scholar?q=related:B8Zz8Glr73cJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"X Li, SJ Li, Y Wang, Y Wang, LB Qu, Z Li…","Insights into NHC-catalyzed oxidative α-C (sp 3)–H activation of aliphatic aldehydes and cascade [2+ 3] cycloaddition with azomethine imines",2019,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/cy/c9cy00526a","https://scholar.google.com/scholar?cites=7875632580412001144&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-13 10:55:35","","","","",,,,,50,8.33,7,7,6,"… Density functional theory (DFT) calculations were performed to disclose the detailed mechanism and origin of stereoselectivity of N-heterocyclic carbene (NHC)-catalyzed oxidative α-C(…","","https://scholar.google.com/scholar?q=related:eEvz4BreS20J:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
39,"C Wu, Z Xiao, L Wang, G Li, X Zhang…","Modulating oxidation state of Ni/CeO 2 catalyst for steam methane reforming: a theoretical prediction with experimental verification",2021,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/cy/d0cy02197k","https://scholar.google.com/scholar?cites=13846493348312435324&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-13 10:55:35","","","","",,,,,39,9.75,7,6,4,"… Density functional theory calculations were performed to identify the influence of Ni … In this work, we performed density functional theory (DFT) calculations to modulate oxidation state of …","","https://scholar.google.com/scholar?q=related:fMr4olagKMAJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"H Zheng, R Li, C Zhong, Z Li, Y Kang, J Deng…","Theoretical design of transition metal-doped TiO 2 for the selective catalytic reduction of NO with NH 3 by DFT calculations",2022,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/cy/d1cy02214h","https://scholar.google.com/scholar?cites=4941462442323317292&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-13 10:55:35","","","","",,,,,11,3.67,2,7,3,"… factors influencing the activity and N2 selectivity, we chose a series of metal (V, Cr, Mn, Fe, Co, Mo, and Ce)-doped TiO2(101) slabs to investigate the NH3-SCR mechanism by the DFT …","","https://scholar.google.com/scholar?q=related:LJKdCemZk0QJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"M Li, Y Wang, Y Wu, M Wang, D Zhou","Structure and catalytic activity of a newly proposed titanium species in a Ti-YNU-1 zeolite: a density functional theory study",2017,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/cy/c7cy01470h","https://scholar.google.com/scholar?cites=14743923304371852520&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-13 10:55:35","","","","",,,,,19,2.38,4,5,8,"… may be the active center for the oxidation of cyclohexane because the DFT-calculated electron … In the present work, we applied DFT calculations to investigate the structure and catalytic …","","https://scholar.google.com/scholar?q=related:6BSw8CDwnMwJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"TT Xiao, GC Wang","A DFT and microkinetic study of propylene oxide selectivity over copper-based catalysts: effects of copper valence states",2020,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/cy/d0cy01611j","https://scholar.google.com/scholar?cites=13223481100156414834&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-13 10:55:35","","","","",,,,,20,4.00,10,2,5,"… is critical for the selective oxidation of propylene in both … (PO), density functional theory (DFT) calculations were carried … catalytic mechanism for propylene oxidation with atomic oxygen …","","https://scholar.google.com/scholar?q=related:civq5P89g7cJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
