Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
5,"N Manoj, G Jindal","DFT study on Ir-quinoid catalyzed C–H functionalization: new radical reactivity or direct carbene transfer?",2021,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/cc/d1cc04764g","https://scholar.google.com/scholar?cites=17766715093458321922&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-12 20:22:20","","","","",,,,,5,1.25,3,2,4,"… –QC, an inner-sphere mechanism of C–H activation via Concerted Metalation Deprotonation (CMD), which is a ubiquitous pathway in QC insertions into C–H bonds, 3 can be ruled out; …","","https://scholar.google.com/scholar?q=related:AoIn0z4NkPYJ:scholar.google.com/&scioq=source:%22chemical+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Luo, M Zhang, Y Xia","Isatoic anhydride as a masked directing group and internal oxidant for Rh (iii)-catalyzed decarbonylative annulation through C–H activation: insights from DFT …",2024,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cc/d4cc03733b","",2,"2025-04-12 20:22:20","","","","",,,,,0,0.00,0,3,1,"… In summary, DFT insights were provided for the Rh(III)-catalyzed decarbonylative … as a directing group to facilitate the ortho C–H activation. Subsequently, alkyne insertion occurs as the …","","https://scholar.google.com/scholar?q=related:-BFiS5UbtwAJ:scholar.google.com/&scioq=source:%22chemical+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
61,"S Mayakrishnan, M Tamizmani, ...","Harnessing hypervalent iodonium ylides as carbene precursors: C–H activation of N-methoxybenzamides with a Rh (III)-catalyst",2020,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/cc/d0cc06038k","https://scholar.google.com/scholar?cites=14211757671493875656&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 20:22:20","","","","",,,,,61,12.20,20,3,5,"… kcal mol −1 ), which suggests that the C–H activation is not the rate-determining step. Next, … Our DFT studies revealed that the C–H activation process is not the rate-determining step, …","","https://scholar.google.com/scholar?q=related:yDdTG05OOsUJ:scholar.google.com/&scioq=source:%22chemical+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Basak, T Paul, S Mandal, M Barman, ...","Transition-metal-catalyzed auxiliary assisted CH functionalization using vinylcyclopropanes and cyclopropanols",2025,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cc/d5cc00599j","",4,"2025-04-12 20:22:20","","","","",,,,,0,0.00,0,5,1,"… The authors have shown the mechanistic experiments and DFT calculations to unravel the reaction pathway. Initially, the Co(III) species A undergoes ortho-C–H activation with aniline …","https://pubs.rsc.org/de-at/content/articlepdf/2025/cc/d5cc00599j","https://scholar.google.com/scholar?q=related:Jj_QPJT6FjUJ:scholar.google.com/&scioq=source:%22chemical+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"B Garai, A Das, DV Kumar, ...","Enantioselective C–H bond functionalization under Co (III)-catalysis",2024,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cc/d3cc05329f","https://scholar.google.com/scholar?cites=9519270336520816238&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-12 20:22:20","","","","",,,,,16,16.00,4,4,1,"… the C–H bond cleavage was the rate-limiting step and the DFT … -assisted enantioselective C–H activation of sulfoximines in … The DFT calculations suggested that the C–H activation was …","https://xingweili.snnu.edu.cn/d3cc05329f.pdf","https://scholar.google.com/scholar?q=related:boY8ke89G4QJ:scholar.google.com/&scioq=source:%22chemical+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"A Saha, M Shankar, S Sau, AK Sahoo","Multiple annulations of inert C (sp 2)–H bonds with alkynes",2022,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/cc/d2cc00172a","https://scholar.google.com/scholar?cites=1695040081394590893&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 20:22:20","","","","",,,,,54,18.00,14,4,3,"… The DFT studies support the mechanistic cycle that involves Ru(II)-catalyzed MPS directed o-C–H activation of 66 to form 66-I at first followed by migratory insertion of the alkyne to …","","https://scholar.google.com/scholar?q=related:reSSK_n9hRcJ:scholar.google.com/&scioq=source:%22chemical+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
227,"S Wang, SY Chen, XQ Yu","C–H functionalization by high-valent Cp* Co (III) catalysis",2017,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/cc/c6cc09651d","https://scholar.google.com/scholar?cites=11142615316017236488&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-12 20:22:20","","","","",,,,,227,28.38,76,3,8,"… drawn special attention in C–H activation reactions because of … attractive alternative to noble metals in C–H activation. … Additionally, according to density functional theory (DFT) …","","https://scholar.google.com/scholar?q=related:CMoIBJiFopoJ:scholar.google.com/&scioq=source:%22chemical+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
70,"EN da Silva Júnior, GAM Jardim, RS Gomes, ...","Weakly-coordinating N-oxide and carbonyl groups for metal-catalyzed C–H activation: the case of A-ring functionalization",2018,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2018/cc/c8cc03147a","https://scholar.google.com/scholar?cites=7666043226029443509&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-12 20:22:20","HTML","","","",,,,,70,10.00,18,4,7,"… the site selectivity when palladium catalyzed C–H activation is employed. The reaction was … Analysis of several mechanistic scenarios via DFT calculations showed that acetic acid is …","https://pubs.rsc.org/en/content/articlehtml/2018/cc/c8cc03147a","https://scholar.google.com/scholar?q=related:tUlGmLJBY2oJ:scholar.google.com/&scioq=source:%22chemical+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
85,"KS Feichtner, VH Gessner","Cooperative bond activation reactions with carbene complexes",2018,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2018/cc/c8cc02198h","https://scholar.google.com/scholar?cites=14315382499769000051&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-12 20:22:20","","","","",,,,,85,12.14,43,2,7,"… DFT calculations regarding the mechanism of the activation reactions revealed that the P–H activation of phosphine oxides proceeds via the coordination of the phosphinous acid …","","https://scholar.google.com/scholar?q=related:cyCTkol0qsYJ:scholar.google.com/&scioq=source:%22chemical+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"JM Zakis, T Smejkal, J Wencel-Delord","Cyclometallated complexes as catalysts for C–H activation and functionalization",2022,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/cc/d1cc05195d","https://scholar.google.com/scholar?cites=1659139797385367419&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-12 20:22:20","","","","",,,,,37,12.33,12,3,3,"… To answer this question, the group of Huang has initiated intensive, DFT-based mechanistic studies. It was discovered that the initial step of this catalytic reaction involved catalyst …","https://hal.science/hal-03821146v1/file/CC%20Janis.pdf","https://scholar.google.com/scholar?q=related:e0_e79pyBhcJ:scholar.google.com/&scioq=source:%22chemical+communications%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
