Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"B Qiao, FY Lin, D Fu, SJ Li, T Zhang…","Mechanistic insights into facilitating reductive elimination from Ni (II) species",2024,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cc/d4cc02667e?casa_token=6XnDWrG9CtQAAAAA:ZcKHseUzmW0BTIrBj1CV34oJjqGKm8jfmJoOeYR0IptxcNtMvc0ni5ieAkb7AUo8rOh81fb-huTAZQ","https://scholar.google.com/scholar?cites=4313758182520737523&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-12 20:19:23","HTML","","","",,,,,3,3.00,1,6,1,"… In our mechanistic investigation, we hypothesize that the vinyl epoxide could serve as a potential π-allyl ligand to accelerate the reductive elimination from Ni(II) species. DFT calculation …","https://pubs.rsc.org/en/content/articlehtml/2024/cc/d4cc02667e?casa_token=6XnDWrG9CtQAAAAA:ZcKHseUzmW0BTIrBj1CV34oJjqGKm8jfmJoOeYR0IptxcNtMvc0ni5ieAkb7AUo8rOh81fb-huTAZQ","https://scholar.google.com/scholar?q=related:804VNDaM3TsJ:scholar.google.com/&scioq=source:%22chemical+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"A Gómez-Torres, JR Aguilar-Calderón…","Reversible oxidative-addition and reductive-elimination of thiophene from a titanium complex and its thermally-induced hydrodesulphurization chemistry",2020,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/cc/c9cc09267f?casa_token=3PLDxYbkERcAAAAA:WUYX9gmUcoEHvnqNgrqzDbYWm50yZyoXPSsMSL8Ors-wIgBt-wqaJzjzlDijPbQMMlaQO4dPiLrXhA&casa_token=tj2FzGyTdRcAAAAA:WygwLmrYbza9f4WPhV8-pxl3ZdXgLX_rTAIY1ygoliTLdBw--1zfTd970OT86AI4kiwumSGR-nymMQ","https://scholar.google.com/scholar?cites=8703048925814937295&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-12 20:19:23","","","","",,,,,17,3.40,6,3,5,"… 1 – a rare example of early-metal mediated oxidative-addition/reductive-elimination chemistry. DFT calculations indicate strong titanium π-backdonation to the thiophene π*-orbitals …","https://pubs.rsc.org/en/content/articlepdf/2020/cc/c9cc09267f?casa_token=JDBq8M1bLgsAAAAA:KDnatl_DKKe4a69cFaXStvqG91qiysSzILu3Odw1ybVJI4HE6GwEoXlNGxgLVOrZS6ly6BsKIcd9Eg","https://scholar.google.com/scholar?q=related:z1YLJuNwx3gJ:scholar.google.com/&scioq=source:%22chemical+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"LJ Morris, A Carpentier, L Maron…","Reductive elimination of [AlH 2]+ from a cationic Ga–Al dihydride",2021,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/cc/d1cc03706d?casa_token=h6ZDQyV5F9kAAAAA:IfoQOuD6uOVlSFpE1tNeDNzUIbcnUbKy6FiL4m6_2yjMCprMfeBUXfS_3q5jjfC7af39_V66Rg3suQ&casa_token=l97up6GbkosAAAAA:w2m9WVPqyac1bArSZcyt1H7db_6xJYIXfjxPWFoCxtu1swInY_8NNNTry8wao2SFY_Mj5YxXsdEd8A","https://scholar.google.com/scholar?cites=6099805588411641287&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 20:19:23","","","","",,,,,18,4.50,5,4,4,"… reductive elimination in THF solution, the bonding situation of the bimetallic hydrides was studied by computational methods at the DFT … with respect to reductive elimination of [AlH 2 ] + . …","https://pubs.rsc.org/en/content/articlepdf/2021/cc/d1cc03706d?casa_token=6_VFlxuWhQkAAAAA:Exvi64e2DRJEFeY301VJue_N4DjC_m401EDap1LFItfI-p7RxBfuqRTHReAyiREIqeKZfE93PvnRrg","https://scholar.google.com/scholar?q=related:x-03UN3cplQJ:scholar.google.com/&scioq=source:%22chemical+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"J Shin, K Gogoi, K Park","Light-promoted C–Cl bond-forming reductive elimination of a metal–metal bonded Pd III–Pd III complex",2021,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/cc/d1cc03344a?casa_token=4m7gYAJ33VkAAAAA:psYR7sfTQjhg78CxA7XxYt_XDPP3nZ8u6T3hTXCr69fvfkN0DtpY1cAAOZbMdIpxS4VCsbqmTqX-RA&casa_token=r2WUKNzKyfQAAAAA:nzRRaRuhjm8Z0OEtAVwXgkst6N9ZEOTnLHbmqXXQKxHe2d6MT0sn4jQw2mR7JZeh4LXAMk4Q9xVc4Q","https://scholar.google.com/scholar?cites=663571637560432730&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-12 20:19:23","","","","",,,,,4,1.00,1,3,4,"… -coupling reactions with an improved reductive elimination (RE) activity than corresponding … density functional theory (DFT) computations, and examined its photochemical properties. …","https://pubs.rsc.org/en/content/articlepdf/2021/cc/d1cc03344a?casa_token=TSeRTLVdCUIAAAAA:NgIMuCSCMwv4kwrC1lniE-k6zB2yOW0p44SbTUU7d9DiiPG-SbEoqHjIUjRRXz1RDGurzEZvkwabIQ","https://scholar.google.com/scholar?q=related:WljQe-N6NQkJ:scholar.google.com/&scioq=source:%22chemical+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Luo, M Zhang, Y Xia","Isatoic anhydride as a masked directing group and internal oxidant for Rh (iii)-catalyzed decarbonylative annulation through C–H activation: insights from DFT …",2024,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cc/d4cc03733b?casa_token=zKqhkdrDrYgAAAAA:P9VJvvIq7ADgzQ9zLtG_HApgtFMxKjxXp5uKAqiBhfA9JQOELcXkfzFBWQdrD7Tx6e2FwonABj5dVQ&casa_token=ouKhDa8Hic0AAAAA:nnCvcsbxEKoFisRzgIodaOJqcHHa6XW86O7rpL7gSctAd4MJ9Q5RamDUIL6HCm6ys7abV9lITegSEA","",5,"2025-04-12 20:19:23","","","","",,,,,0,0.00,0,3,1,"… Density functional theory calculations uncovered a new mechanism for the rhodium-… by subsequent steps of alkyne insertion, reductive elimination, decarbonylation, and protonation. …","https://pubs.rsc.org/en/content/articlepdf/2024/cc/d4cc03733b?casa_token=nuMssePaurEAAAAA:3as0eVxs1mpu3fxc7oznN65-7wgxPOdHmZap1BWHnZvI6a84VPc4T4SY_0lS73baGdrKHKjk819BGg","https://scholar.google.com/scholar?q=related:-BFiS5UbtwAJ:scholar.google.com/&scioq=source:%22chemical+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"ST Kim, MH Baik","Reductive activation of Pd II-precatalysts via decarboxylation of pivalate in direct C–H arylation reactions",2020,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/cc/d0cc06085b?casa_token=4W2rJMji8isAAAAA:cY2AsMcnVPouJnzw2PMpZpLiZBGvu8AqNm1HPwZorBeXpMjekU7zPlromMwb6l1SGiXrxJtqoNTpcA&casa_token=0xxfPfV1GIwAAAAA:uAZk1jC4wBZiUDSla2VrFeM_hrng3AvZGoawg-jdcwApQiRKy8qWDV1ps2tVqEjRkJ6-qdhfKaBFIA","https://scholar.google.com/scholar?cites=7194849785257462889&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 20:19:23","","","","",,,,,8,1.60,4,2,5,"… 1), raising questions about how the reductive activation of the Pd II … methods based on density functional theory (DFT) and … methylene–carbon through reductive elimination. Without a …","https://pubs.rsc.org/en/content/articlepdf/2020/cc/d0cc06085b?casa_token=HAHyzDadnsgAAAAA:UOojRaGlRnrLeRCyCGA_tjQu2Z9JsfY66XtO_EgITqLpM_bELparQBL8483XEA8XsQ79c4RpWdw38A","https://scholar.google.com/scholar?q=related:aQyRfsI92WMJ:scholar.google.com/&scioq=source:%22chemical+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"KE Janak, DG Churchill, G Parkin","Computational evidence that the inverse kinetic isotope effect for reductive elimination of methane from a tungstenocene methyl–hydride complex is associated with …",2003,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2003/cc/b209684f?casa_token=RuPcn5g8D_cAAAAA:g_ksL6U5BegDaHRY_vmpoTkd6eZtMszKJRNk6t0hFoI-lbb5oYCbmrdTQnreJC8P5VG7UHQOvBIyWw&casa_token=HmR2tVb82mMAAAAA:lZVAvzOs29Yfy6CqVcZzACRbQ4jJRyxfGbYQpPGooZdvtrnVsXExJuattMYOVhgJ3NQ2kx1xpsCGZA","https://scholar.google.com/scholar?cites=1329099705905035251&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-12 20:19:23","","","","",,,,,15,0.68,5,3,22,"… Hence, we performed a series of DFT (B3LYP) calculations pertaining to reductive elimination of methane from [Me 2 Si(C 5 Me 4 ) 2 ]W(Me)H. A sequence of linear transit geometry …","https://pubs.rsc.org/en/content/articlepdf/2003/cc/b209684f?casa_token=WdVdx-5x0goAAAAA:lI0O4MPUOFiJsEVkn1BxdaA3jiopva7lnsr2sqfRLDA5ljM7ebuM8h-17hs1yM-5etMEgD2NU8QyoA","https://scholar.google.com/scholar?q=related:87eLASTpcRIJ:scholar.google.com/&scioq=source:%22chemical+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Luo, X Chen, Y Han, X Zhang, L Zhang…","Base controlled regio-divergent C–H bond functionalization",2025,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cc/d4cc06431c?casa_token=X5aAZYIfblUAAAAA:r1DgvguEdMErFe81oTfJ4sHLaZOLQh2r2Pu-k1V_WobTbMQIRbxP9OUa4rkZrbGY-vRjo-U6Ev60ZA","",8,"2025-04-12 20:19:23","","","","",,,,,0,0.00,0,6,1,"… DFT calculations show that KHMDS deprotonates the … additives modulate the reductive elimination step also realize C(sp2)–… LiHMDS as a base, 12-8 reductive elimination gave benzylic …","https://pubs.rsc.org/en/content/articlepdf/2025/cc/d4cc06431c?casa_token=bgdSwIbBsuEAAAAA:vjirkQ_NOFY-z2XqBIDEYMjXrhEzsy08lGFDuErRyXUD5O-oDtTyVkY18HjSnJwj1MLFRP-fuSmUGA","https://scholar.google.com/scholar?q=related:-rJgkmUm-44J:scholar.google.com/&scioq=source:%22chemical+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"S Fernández-Moyano, G Marcos-Ayuso…","Intimate relationship between C–I reductive elimination, aryl scrambling and isomerization processes in Au (iii) complexes",2023,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/cc/d2cc06415d","https://scholar.google.com/scholar?cites=10574783357456629500&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-12 20:19:23","","","","",,,,,1,0.50,0,3,2,"… This reductive elimination step is the driving force bringing … only Rf–I reductive elimination energetically accessible in the … kinetic conclusions, we performed DFT calculations (see ESI† …","https://pubs.rsc.org/en/content/articlepdf/2023/cc/d2cc06415d","https://scholar.google.com/scholar?q=related:_D7qnW8twZIJ:scholar.google.com/&scioq=source:%22chemical+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
39,"AL Liberman-Martin, DS Levine, MS Ziegler…","Lewis acid–base interactions between platinum (II) diaryl complexes and bis (perfluorophenyl) zinc: strongly accelerated reductive elimination induced by a Z-type …",2016,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2016/cc/c6cc02433e?casa_token=WPvGszn1BxgAAAAA:CCa85YqZpIuj1EU6NQyEongjDodLXtXIXvLzA8r42h35ou2ws1PaN5fhFcoXdFDOQ-KxNei9kPhJLg&casa_token=N9Rgb2soWOYAAAAA:sRB9WXWo4iFrnuOchYplNUd_QweVTi2RpN3xN3lp3h9gVw7aN_TNBhWFzlUX5s_l-PmN7hh-KTWGTg","https://scholar.google.com/scholar?cites=16748941782834533081&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-12 20:19:23","","","","",,,,,39,4.33,10,4,9,"… DFT calculations were performed to provide insight into the bonding interactions in 2 and 6. The complementary occupied–virtual pairs (COVPs) method was selected to visualize …","https://pubs.rsc.org/en/content/articlepdf/2016/cc/c6cc02433e?casa_token=oqb_w-9qAa4AAAAA:_ZVjJTfJOeAZjkwjrqn5l25k_YKt4Z4hLACuBPQHPIXevOoFKZj9k5F8wERqpmqD1GMoctF-4pIi3g","https://scholar.google.com/scholar?q=related:2dKM0c8xcOgJ:scholar.google.com/&scioq=source:%22chemical+communications%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
