Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
15,"K Lovato, L Guo, QL Xu, F Liu, M Yousufuddin…","Transition metal-free direct dehydrogenative arylation of activated C (sp 3)–H bonds: synthetic ambit and DFT reactivity predictions",2018,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2018/sc/c8sc02758g","https://scholar.google.com/scholar?cites=5557632043922338739&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-12 18:56:20","HTML","","","",,,,,15,2.14,3,6,7,"… In this manuscript, we describe extensive synthetic efforts and a DFT-based reactivity model for this transition metal-free direct arylation of activated C(sp 3 )–H bonds. Through this work…","https://pubs.rsc.org/en/content/articlehtml/2018/sc/c8sc02758g","https://scholar.google.com/scholar?q=related:s7NR-uWsIE0J:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
75,"TN Hooper, M Garçon, AJP White, MR Crimmin","Room temperature catalytic carbon–hydrogen bond alumination of unactivated arenes: mechanism and selectivity",2018,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2014/sc/c8sc02072h","https://scholar.google.com/scholar?cites=16272454821788246125&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-12 18:56:20","HTML","","","",,,,,75,10.71,19,4,7,"… Through a detailed mechanistic analysis (Eyring analysis, KIE, DFT… DFT studies To gain further insight into the mechanism of C–H bond activation, and the unusual regioselectivity, DFT …","https://pubs.rsc.org/en/content/articlehtml/2014/sc/c8sc02072h","https://scholar.google.com/scholar?q=related:beBH_HFf0-EJ:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"Y Wang, J Bai, Y Yang, W Zhao, Y Liang, D Wang…","Rhodium-catalysed selective C–C bond activation and borylation of cyclopropanes",2021,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/sc/d0sc06186g","https://scholar.google.com/scholar?cites=4881007248572425792&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 18:56:20","HTML","","","",,,,,14,3.50,2,7,4,"… We also performed a series of density functional theory (DFT) calculations to obtain further mechanistic information of this transformation (for computational details, see the ESI†). Fig. 3 …","https://pubs.rsc.org/en/content/articlehtml/2021/sc/d0sc06186g","https://scholar.google.com/scholar?q=related:QCZEXTvSvEMJ:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
68,"I Franzoni, H Yoon, JA García-López…","Exploring the mechanism of the Pd-catalyzed spirocyclization reaction: a combined DFT and experimental study",2018,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc04709f","https://scholar.google.com/scholar?cites=11669704239491482925&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-12 18:56:20","HTML","","","",,,,,68,9.71,17,4,7,"… C–H bond. In the absence of β-hydrogen atoms or nucleophilic species, 9 regioselective C–H bond activation … an intramolecular Heck reaction and C–H bond activation cascade for the …","https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc04709f","https://scholar.google.com/scholar?q=related:LYXCVC0e86EJ:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
55,"KJT Carr, DL Davies, SA Macgregor, K Singh…","Metal control of selectivity in acetate-assisted C–H bond activation: an experimental and computational study of heterocyclic, vinylic and phenylic C (sp 2)–H …",2014,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2014/sc/c4sc00738g","https://scholar.google.com/scholar?cites=6016532625426520801&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-12 18:56:20","HTML","","","",,,,,55,5.00,11,5,11,"… In contrast, less is known about the selectivity of C–H activation by the AMLA/… density functional theory (DFT) calculations to assess substituent effects on the barrier to the C–H activation …","https://pubs.rsc.org/en/content/articlehtml/2014/sc/c4sc00738g","https://scholar.google.com/scholar?q=related:4ZoYvosEf1MJ:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"BS Bouley, F Tang, DY Bae, LM Mirica","C–H bond activation via concerted metalation–deprotonation at a palladium (iii) center",2023,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/sc/d3sc00034f","https://scholar.google.com/scholar?cites=13618585442700430495&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 18:56:20","HTML","","","",,,,,11,5.50,3,4,2,"… of C–H activation at Pd III . Herein, we describe in detail the characterization of a distinct C–H activation step … proposals supported by experiments and DFT calculations. We hope such …","https://pubs.rsc.org/en/content/articlehtml/2023/sc/d3sc00034f","https://scholar.google.com/scholar?q=related:nwx3R07v_rwJ:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
78,"A Dermenci, RE Whittaker, Y Gao, FA Cruz, ZX Yu…","Rh-catalyzed decarbonylation of conjugated ynones via carbon–alkyne bond activation: reaction scope and mechanistic exploration via DFT calculations",2015,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/sc/c5sc00584a","https://scholar.google.com/scholar?cites=7656287646187680603&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-12 18:56:20","HTML","","","",,,,,78,7.80,13,6,10,"… Herein, we report density functional theory (DFT) calculations, to support this proposal and … Our DFT calculations also found that the dppp ligand is not effective for the present …","https://pubs.rsc.org/en/content/articlehtml/2015/sc/c5sc00584a","https://scholar.google.com/scholar?q=related:W3M6qQyZQGoJ:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"HC Liu, X Kong, XP Gong, Y Li, ZJ Niu, XY Gou…","Site-selective coupling of remote C (sp 3)–H/meta-C (sp 2)–H bonds enabled by Ru/photoredox dual catalysis and mechanistic studies",2022,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d2sc00764a","https://scholar.google.com/scholar?cites=7270251155295433927&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-12 18:56:20","HTML","","","",,,,,37,12.33,5,7,3,"… Density functional theory (DFT) calculations and control experiments explained the site-… Although the process by which ruthenium participated in the C–H activation approach may be …","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d2sc00764a","https://scholar.google.com/scholar?q=related:x_RBA-ge5WQJ:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"X Chang, Z Lu, X Wang, ZJ Zhao, J Gong","Tracking C–H bond activation for propane dehydrogenation over transition metal catalysts: work function shines",2023,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/sc/d3sc01057k","https://scholar.google.com/scholar?cites=1036644601130658230&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-12 18:56:20","HTML","","","",,,,,12,6.00,2,5,2,"… density functional theory (DFT) calculations, this work describes tracking C–H bond activation … key factor in determining the ability to activate the C–H bond. Among 10 frequently used …","https://pubs.rsc.org/en/content/articlehtml/2023/sc/d3sc01057k","https://scholar.google.com/scholar?q=related:tim4uMXmYg4J:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
55,"A Gray, A Tsybizova, J Roithova","Carboxylate-assisted C–H activation of phenylpyridines with copper, palladium and ruthenium: a mass spectrometry and DFT study",2015,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/sc/c5sc01729g","https://scholar.google.com/scholar?cites=18051577833876888693&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-12 18:56:20","HTML","","","",,,,,55,5.50,18,3,10,"… and DFT calculations allowed estimation of the energy required for this C–H activation step … the use of stronger acids accelerates the C–H activation step. The reasoning can be traced …","https://pubs.rsc.org/en/content/articlehtml/2015/sc/c5sc01729g","https://scholar.google.com/scholar?q=related:dRyMB2YWhPoJ:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
38,"BL Tóth, A Monory, O Egyed, A Domján, A Bényei…","The ortho effect in directed C–H activation",2021,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/sc/d1sc00642h","https://scholar.google.com/scholar?cites=17520709457840733205&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-04-12 18:56:20","HTML","","","",,,,,38,9.50,6,6,4,"… to investigate the OE in Pd catalysed ortho C–H activation reaction with the analysis of a large number of available substrates. DFT calculations provided simple descriptors (torsional …","https://pubs.rsc.org/en/content/articlehtml/2021/sc/d1sc00642h","https://scholar.google.com/scholar?q=related:FXxsV2wQJvMJ:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
110,"T Maekawa, Y Segawa, K Itami","C–H activation route to dibenzo [a, e] pentalenes: annulation of arylacetylenes promoted by PdCl 2–AgOTf–o-chloranil",2013,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2013/sc/c3sc50585e","https://scholar.google.com/scholar?cites=12201291667485508677&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-04-12 18:56:20","","","","",,,,,110,9.17,37,3,12,"… UV-vis absorption spectra and DFT studies on the resulting … Herein we report a novel one-shot C–H activation route to … lengthy syntheses, the C–H activation 7 of arylacetylenes holds …","","https://scholar.google.com/scholar?q=related:RURoWSCyU6kJ:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"S Liu, J Jiang, J Chen, Q Wei, W Yao, F Xia, W Hu","A DFT calculation-inspired Rh (i)-catalyzed reaction via suppression of α-H shift in α-alkyldiazoacetates",2017,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2004/p1/c7sc00257b","https://scholar.google.com/scholar?cites=10214162629674285743&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-04-12 18:56:20","HTML","","","",,,,,30,3.75,4,7,8,"… an obvious difference in the activation energies of Rh(I)- and Rh(II)-associated carbenes, and this prompted us to perform density functional theory (DFT) calculations. The investigations …","https://pubs.rsc.org/en/content/articlehtml/2004/p1/c7sc00257b","https://scholar.google.com/scholar?q=related:rzrOc8v-v40J:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"T Yang, C Kong, S Yang, Z Yang, S Yang…","Reaction mechanism, norbornene and ligand effects, and origins of meta-selectivity of Pd/norbornene-catalyzed C–H activation",2020,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/sc/c9sc04720d","https://scholar.google.com/scholar?cites=2237152005308505903&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-04-12 18:56:20","HTML","","","",,,,,17,3.40,3,6,5,"… and arylation via C–H activation are theoretically elucidated by DFT computation. The … : ortho-C–H activation, norbornene insertion into Pd–C bonds, meta-C–H activation, meta-C…","https://pubs.rsc.org/en/content/articlehtml/2020/sc/c9sc04720d","https://scholar.google.com/scholar?q=related:L1_3WOX1Cx8J:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"Y Baek, J Kim, H Kim, SJ Jung, H Ryu, S Kim…","Selective C–C bond formation from rhodium-catalyzed C–H activation reaction of 2-arylpyridines with 3-aryl-2 H-azirines",2019,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c8sc05142a","https://scholar.google.com/scholar?cites=16731256892512068830&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-04-12 18:56:20","HTML","","","",,,,,17,2.83,2,7,6,"… , we used density functional theory (DFT) based calculations … should be readily accessible via C–H activation using a well-… Surprisingly, DFT-calculations showed that the familiar C–N …","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c8sc05142a","https://scholar.google.com/scholar?q=related:3uT8a39dMegJ:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
35,"L Vilella, A Conde, D Balcells, MM Díaz-Requejo…","A competing, dual mechanism for catalytic direct benzene hydroxylation from combined experimental-DFT studies",2017,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/sc/c7sc02898a","https://scholar.google.com/scholar?cites=8369890141137598792&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-04-12 18:56:20","HTML","","","",,,,,35,4.38,7,5,8,"… The activation of dioxygen by copper complexes bearing the trispyrazolylborate ligand has … , showing that two copper centers were involved in the activation of O 2 . In a previous report …","https://pubs.rsc.org/en/content/articlehtml/2017/sc/c7sc02898a","https://scholar.google.com/scholar?q=related:SPmM37zSJ3QJ:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
209,"ZJ Zhao, C Chiu, J Gong","Molecular understandings on the activation of light hydrocarbons over heterogeneous catalysts",2015,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/sc/c5sc01227a","https://scholar.google.com/scholar?cites=5606999340486041037&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-04-12 18:56:20","HTML","","","",,,,,209,20.90,70,3,10,"… In the last two decades, density functional theory (DFT) has become a powerful tool to … of DFT as well as its application in heterogeneous catalysis. The activation of C–H bonds over …","https://pubs.rsc.org/en/content/articlehtml/2015/sc/c5sc01227a","https://scholar.google.com/scholar?q=related:zR2FaTEQ0E0J:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"BV Pati, A Ghosh, K Yadav, SK Banjare, S Pandey…","Palladium-catalyzed selective C–C bond cleavage and stereoselective alkenylation between cyclopropanol and 1, 3-diyne: one-step synthesis of diverse …",2022,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc04780a","https://scholar.google.com/scholar?cites=12828415100319000292&as_sdt=2005&sciodt=0,5&hl=en",18,"2025-04-12 18:56:20","HTML","","","",,,,,24,8.00,4,6,3,"… via manganese-catalysed C–H activation-alkenylation of … ) 4 , we performed density functional theory (DFT) calculations using … reaction pathways considered in the DFT study. We found …","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc04780a","https://scholar.google.com/scholar?q=related:5GbF3ZCvB7IJ:scholar.google.com/&scioq=source:%22chemical+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
