Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
24,"M Oi, R Takita, J Kanazawa, A Muranaka, C Wang…","Organocopper cross-coupling reaction for C–C bond formation on highly sterically hindered structures",2019,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c9sc00891h","https://scholar.google.com/scholar?cites=596035852358382313&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 12:14:59","HTML","","","",,,,,24,4.00,4,6,6,"… In conclusion, the experimental results and DFT calculations confirm that this organocopper cross-coupling reaction is a potent C–C bond-forming methodology with unprecedented …","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c9sc00891h","https://scholar.google.com/scholar?q=related:6fI3JXOLRQgJ:scholar.google.com/&scioq=source:%22chemical+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
84,"T Zhou, CL Ji, X Hong, M Szostak","Palladium-catalyzed decarbonylative Suzuki–Miyaura cross-coupling of amides by carbon–nitrogen bond activation",2019,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c9sc03169c","https://scholar.google.com/scholar?cites=5952233816565924565&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 12:14:59","HTML","","","",,,,,84,14.00,21,4,6,"… Further studies are in progress to develop improved conditions and new ligands for decarbonylative cross-coupling reactions of amides. DFT studies were conducted to gain insight into …","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c9sc03169c","https://scholar.google.com/scholar?q=related:1cJ6sB6VmlIJ:scholar.google.com/&scioq=source:%22chemical+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"S Liu, P Ma, L Zhang, S Shen, HJ Miao, L Liu…","A cheap metal catalyzed ring expansion/cross-coupling cascade: a new route to functionalized medium-sized and macrolactones",2023,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2000/rx/d2sc06157k","https://scholar.google.com/scholar?cites=5583370379514956679&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 12:14:59","HTML","","","",,,,,20,10.00,3,7,2,"… Density functional theory (DFT) calculations revealed that reductive elimination of the … reaction pathway for the cross-coupling step. Based on the results of experiments and DFT, a Cu(I)/…","https://pubs.rsc.org/en/content/articlehtml/2000/rx/d2sc06157k","https://scholar.google.com/scholar?q=related:h0ttOMcdfE0J:scholar.google.com/&scioq=source:%22chemical+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"CS Zhang, BB Zhang, L Zhong, XY Chen…","DFT insight into asymmetric alkyl–alkyl bond formation via nickel-catalysed enantioconvergent reductive coupling of racemic electrophiles with olefins",2022,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc05605k","https://scholar.google.com/scholar?cites=16151176246850603996&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-13 12:14:59","HTML","","","",,,,,12,4.00,2,5,3,"… have performed DFT calculations to disclose the mechanisms for the asymmetric alkyl–alkyl bond formation via nickel-catalysed reductive enantioconvergent cross-coupling of racemic …","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc05605k","https://scholar.google.com/scholar?q=related:3MtBUjmBJOAJ:scholar.google.com/&scioq=source:%22chemical+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"J Zhou, Z Zhao, T Kiyono, A Matsuno, J Escorihuela…","A silylboronate-mediated strategy for cross-coupling of alkyl fluorides with aryl alkanes: mechanistic insights and scope expansion",2024,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/sc/d4sc04357j","https://scholar.google.com/scholar?cites=2870407393655134746&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 12:14:59","HTML","","","",,,,,1,1.00,0,6,1,"… To further elucidate the cross-coupling mechanism, DFT calculations were performed using the Gaussian 16 package 13 at the wB97XD/def2TZVP level of theory using the SMD …","https://pubs.rsc.org/en/content/articlehtml/2024/sc/d4sc04357j","https://scholar.google.com/scholar?q=related:Ghp4A1G81ScJ:scholar.google.com/&scioq=source:%22chemical+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
48,"J Lu, S Donnecke, I Paci, DC Leitch","A reactivity model for oxidative addition to palladium enables quantitative predictions for catalytic cross-coupling reactions",2022,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d2sc00174h","https://scholar.google.com/scholar?cites=16708925185577810420&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-13 12:14:59","HTML","","","",,,,,48,16.00,12,4,3,"Making accurate, quantitative predictions of chemical reactivity based on molecular structure is an unsolved problem in chemical synthesis, particularly for complex molecules. We …","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d2sc00174h","https://scholar.google.com/scholar?q=related:9HnxuO0G4ucJ:scholar.google.com/&scioq=source:%22chemical+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"A Tyagi, K Gaur, A Goswami, A Seal, M Joddar…","A combined experimental and computational study reveals a crossover between conventional cross-coupling and carbene insertion pathways in a Pd …",2025,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/sc/d5sc00777a","",7,"2025-04-13 12:14:59","HTML","","","",,,,,0,0.00,0,6,1,"… D via the conventional cross coupling pathway and carbene We now discuss the mechanism using DFT calculations involving the carbene insertion pathway and cross coupling route, …","https://pubs.rsc.org/en/content/articlehtml/2025/sc/d5sc00777a","https://scholar.google.com/scholar?q=related:7sMfdbPtg6EJ:scholar.google.com/&scioq=source:%22chemical+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
154,"H Yue, C Zhu, L Shen, Q Geng, KJ Hock, T Yuan…","Nickel-catalyzed C–N bond activation: activated primary amines as alkylating reagents in reductive cross-coupling",2019,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c9sc00783k","https://scholar.google.com/scholar?cites=588136632289390217&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-13 12:14:59","HTML","","","",,,,,154,25.67,22,7,6,"… Furthermore, detailed DFT calculations were performed to rationalize our newly designed catalytic reaction (Scheme 3; computational methods, see ESI†). As a model system, we …","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c9sc00783k","https://scholar.google.com/scholar?q=related:ie4ApyZ7KQgJ:scholar.google.com/&scioq=source:%22chemical+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
55,"E Göransson, R Emanuelsson, K Jorner, TF Markle…","Charge transfer through cross-hyperconjugated versus cross-π-conjugated bridges: an intervalence charge transfer study",2013,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2013/sc/c3sc50844g","https://scholar.google.com/scholar?cites=16987865794381641652&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-13 12:14:59","","","","",,,,,55,4.58,11,5,12,"… Given the general success of our (TD-)DFT calculations in reproducing the electronic couplings determined experimentally, and in order to further probe the cross-hyperconjugation …","https://www.diva-portal.org/smash/record.jsf?pid=diva2:653895","https://scholar.google.com/scholar?q=related:tHcgNu8FwesJ:scholar.google.com/&scioq=source:%22chemical+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
61,"FN Sun, WC Yang, XB Chen, YL Sun, J Cao, Z Xu…","Enantioselective palladium/copper-catalyzed C–C σ-bond activation synergized with Sonogashira-type C (sp 3)–C (sp) cross-coupling alkynylation",2019,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c9sc02431j","https://scholar.google.com/scholar?cites=10742751555704036131&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-13 12:14:59","HTML","","","",,,,,61,10.17,9,7,6,"… the Sonogashira-type cross-coupling reaction is rather limited, … activation/Sonogashira-type cross coupling reaction, in which a … According to our previous density-functional theory (DFT) …","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c9sc02431j","https://scholar.google.com/scholar?q=related:I5sDVJ_rFZUJ:scholar.google.com/&scioq=source:%22chemical+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
