Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
173,"NP Mankad, FD Toste","C (sp 3)–F reductive elimination from alkylgold (iii) fluoride complexes",2012,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2012/sc/c1sc00515d","https://scholar.google.com/scholar?cites=14448590478812979081&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-12 17:51:39","","","","",,,,,173,13.31,87,2,13,"… to C(sp 3 )–F reductive elimination. Kinetics of the decay of one cis-F 2 … reductive elimination with a chiral R group, and DFT analysis collectively suggest C(sp 3 )–F reductive elimination …","https://pmc.ncbi.nlm.nih.gov/articles/PMC3474378/pdf/nihms362201.pdf","https://scholar.google.com/scholar?q=related:iR-9En20g8gJ:scholar.google.com/&scioq=source:%22chemical+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
97,"Y Lan, P Liu, SG Newman, M Lautens, KN Houk","… study of Pd (0)-catalyzed carbohalogenation of alkenes: mechanism and origins of reactivities and selectivities in alkyl halide reductive elimination from Pd (II) species",2012,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2012/sc/c2sc20103h","https://scholar.google.com/scholar?cites=1195560396385797954&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-12 17:51:39","","","","",,,,,97,7.46,19,5,13,"… The mechanism of Pd(0)-catalyzed carbohalogenation of alkenes has been investigated with density functional theory. The catalytic cycle involves oxidative addition of the aryl halide, …","","https://scholar.google.com/scholar?q=related:QscZnth7lxAJ:scholar.google.com/&scioq=source:%22chemical+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
34,"J Guo, X Deng, C Song, Y Lu, S Qu, Y Dang…","Differences between the elimination of early and late transition metals: DFT mechanistic insights into the titanium-catalyzed synthesis of pyrroles from alkynes and …",2017,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2016/sc/c6sc04456e","https://scholar.google.com/scholar?cites=16086979738248522835&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 17:51:39","","","","",,,,,34,4.25,5,7,8,"… take place via a reductive elimination (Scheme 1). While … , we applied density functional theory (DFT) computations to … the mechanistic differences in the eliminations in the catalysis of …","https://pubs.rsc.org/en/content/articlepdf/2016/sc/c6sc04456e","https://scholar.google.com/scholar?q=related:U6w159ZuQN8J:scholar.google.com/&scioq=source:%22chemical+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"W Yang, Y Li, J Zhu, W Liu, J Ke, C He","Lewis acid-assisted Ir (III) reductive elimination enables construction of seven-membered-ring sulfoxides",2020,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/sc/d0sc04180g","https://scholar.google.com/scholar?cites=6998882620727200146&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-12 17:51:39","","","","",,,,,12,2.40,2,6,5,"… and DFT calculations demonstrate that the sulfoxide group acts as a key bridge connecting the Ir(III) metal centre with the silver Lewis acid, which facilitates the reductive elimination of …","https://pubs.rsc.org/en/content/articlepdf/2020/sc/d0sc04180g","https://scholar.google.com/scholar?q=related:kokZcakGIWEJ:scholar.google.com/&scioq=source:%22chemical+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"CS Zhang, BB Zhang, L Zhong, XY Chen…","DFT insight into asymmetric alkyl–alkyl bond formation via nickel-catalysed enantioconvergent reductive coupling of racemic electrophiles with olefins",2022,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc05605k","https://scholar.google.com/scholar?cites=16151176246850603996&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-12 17:51:39","","","","",,,,,12,4.00,2,5,3,"… In summary, we have performed DFT calculations to disclose the mechanisms for the asymmetric alkyl–alkyl bond formation via nickel-catalysed reductive enantioconvergent cross-…","https://pubs.rsc.org/en/content/articlepdf/2022/sc/d1sc05605k","https://scholar.google.com/scholar?q=related:3MtBUjmBJOAJ:scholar.google.com/&scioq=source:%22chemical+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
91,"MM Konnick, N Decharin, BV Popp, SS Stahl","O 2 insertion into a palladium (ii)-hydride bond: Observation of mechanistic crossover between HX-reductive-elimination and hydrogen-atom-abstraction pathways",2011,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2011/sc/c0sc00392a","https://scholar.google.com/scholar?cites=6027374925097102586&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 17:51:39","","","","",,,,,91,6.50,23,4,14,"… This study builds upon our previous DFT analysis of O 2 insertion into the Pd II –H bond of the closely related complex, (IMe) 2 Pd(H)(OAc) (7). This previous study revealed that the …","","https://scholar.google.com/scholar?q=related:-myCWo-JpVMJ:scholar.google.com/&scioq=source:%22chemical+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"Y Yu, C Wang, L Wang, CL Sun, R Boulatov…","Force-modulated reductive elimination from platinum (ii) diaryl complexes",2021,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/sc/d1sc03182a","https://scholar.google.com/scholar?cites=10722191361829013738&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-12 17:51:39","","","","",,,,,20,5.00,3,6,4,"… DFT computations reveal complex dependence of … the rate of reductive elimination whereas extension forces … distance in the transition state for reductive elimination. The results suggest …","https://pubs.rsc.org/en/content/articlepdf/2021/sc/d1sc03182a","https://scholar.google.com/scholar?q=related:6oiUJzzgzJQJ:scholar.google.com/&scioq=source:%22chemical+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
57,"C Liu, ZX Qin, CL Ji, X Hong, M Szostak","Highly-chemoselective step-down reduction of carboxylic acids to aromatic hydrocarbons via palladium catalysis",2019,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/sc/c9sc00892f","https://scholar.google.com/scholar?cites=11868611546476827467&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-12 17:51:39","","","","",,,,,57,9.50,11,5,6,"… Extensive DFT computations were conducted to demonstrate preferred selectivity for the … 12 undergoes a Si–O reductive elimination to regenerate the active Pd(0) catalyst for the next …","https://pubs.rsc.org/en/content/articlepdf/2019/sc/c9sc00892f","https://scholar.google.com/scholar?q=related:S9PZpFHHtaQJ:scholar.google.com/&scioq=source:%22chemical+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"BJ Foley, CM Palit, N Bhuvanesh, J Zhou…","Concerted aryl-sulfur reductive elimination from PNP pincer-supported Co (iii) and subsequent Co (i)/Co (iii) comproportionation",2020,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/sc/d0sc01813a","https://scholar.google.com/scholar?cites=5114989494689928105&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-12 17:51:39","","","","",,,,,11,2.20,2,5,5,"… study aimed at understanding C–S reductive elimination from Co(III) supported by a … –S reductive elimination with the formation of the desired diarylsulfide product ArSAr′. DFT studies …","https://pubs.rsc.org/en/content/articlepdf/2020/sc/d0sc01813a","https://scholar.google.com/scholar?q=related:qRPZVNgX_EYJ:scholar.google.com/&scioq=source:%22chemical+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"P Abdolalian, SK Tizhoush, K Farshadfar…","The role of hypervalent iodine (III) reagents in promoting alkoxylation of unactivated C (sp 3)–H bonds catalyzed by palladium (II) complexes",2021,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/sc/d1sc01230d","https://scholar.google.com/scholar?cites=4332499390088499302&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-12 17:51:39","","","","",,,,,15,3.75,4,4,4,"… the aid of the density functional theory (DFT) calculations for … the C–O reductive elimination by nucleophilic attack of the … the oxidative addition and reductive elimination processes occur …","https://pubs.rsc.org/en/content/articlepdf/2021/sc/d1sc01230d","https://scholar.google.com/scholar?q=related:ZlDSnz0hIDwJ:scholar.google.com/&scioq=source:%22chemical+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
