Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"AM Rabie, MA Betiha","Direct synthesis of acetic acid by simultaneous",2014,"Energy & Environmental Science","academia.edu","https://www.academia.edu/download/101840154/j.apcatb.2017.05.05320230504-1-yi93uh.pdf","",552,"2025-04-13 13:35:05","PDF","","","",,,,,0,0.00,0,2,11,"… [24] studied the conversion of both CH4 and CO2 directly to acetic acid by DFT-GGA … the activation of CO2 is closely related to the alkali cations, which helps to insert onto CH activated …","https://www.academia.edu/download/101840154/j.apcatb.2017.05.05320230504-1-yi93uh.pdf","https://scholar.google.com/scholar?q=related:Pxt5ApWBmN8J:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"YS Kim, S Maurya, I Gonzales, EJ Park, ...","Rational design of polyaromatic ionomers for alkaline membrane fuel cells with> 1 W cm power density",2018,"… & Environmental …","laro.lanl.gov","https://laro.lanl.gov/esploro/fulltext/journalArticle/Rational-design-of-polyaromatic-ionomers-for/9916361401103761?repId=12158105940003761&mId=13158105930003761&institution=01LANL_INST","",805,"2025-04-13 13:35:05","PDF","","","",,,,,0,0.00,0,5,7,"… FLNs with higher IEC have lower activation energy (Ea) due to a … This result is expected as DFT results show that the … , which is consistent with our DFT calculation results that show the …","https://laro.lanl.gov/esploro/fulltext/journalArticle/Rational-design-of-polyaromatic-ionomers-for/9916361401103761?repId=12158105940003761&mId=13158105930003761&institution=01LANL_INST","https://scholar.google.com/scholar?q=related:WqGT9tgAG7EJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"P Zguns, K Klyukin, LS Wang, G Xiong, J Li, ...","Uncovering fast solid-acid proton conductors based on dynamics of polyanion groups and proton bonding strength1",2024,"… Environmental Science","li.mit.edu","http://li.mit.edu/A/Archive/Papers/24/Zguns24KlyukinEES.pdf","https://scholar.google.com/scholar?cites=17518590051612305299&as_sdt=2005&sciodt=0,5&hl=en",875,"2025-04-13 13:35:05","PDF","","","",,,,,1,1.00,0,6,1,"… , even with the confines of the unit cells defined by the room temperature, non-superprotonic phases, our elevated temperature AIMD simulations achieve thermal activation of the …","http://li.mit.edu/A/Archive/Papers/24/Zguns24KlyukinEES.pdf","https://scholar.google.com/scholar?q=related:kycLoNWIHvMJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"B Yu, L Cheng, J Wu, B Yang, H Li, J Xu, ...","Surface hydroxyl group dominating aerobic oxidation of methane below room temperature",2024,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/ee/d4ee03508a","https://scholar.google.com/scholar?cites=3450878431274924133&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 13:35:05","","","","",,,,,11,11.00,2,7,1,"… DFT calculation results indicate that the reactive OH* would preferentially abstract the hydrogen from free H 2 O 2 (G a = 0.52 eV) rather than CH … states to activate the first C–H bond of …","","https://scholar.google.com/scholar?q=related:ZfgyU6b74y8J:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"H Zhang, L Chen, F Dong, Z Lu, E Lv, X Dong, ...","Dynamic transformation of active sites in energy and environmental catalysis",2024,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/ee/d4ee02365j","https://scholar.google.com/scholar?cites=12805838651137414570&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 13:35:05","","","","",,,,,14,14.00,2,7,1,"… of the catalyst by using density functional theory calculations and kinetic measurements and … and activate nitrate and carbon dioxide, and significantly reduce the activation energy of O–…","https://pubs.rsc.org/en/content/articlepdf/2024/ee/d4ee02365j","https://scholar.google.com/scholar?q=related:qlUDrGd6t7EJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
483,"LM Azofra, N Li, DR MacFarlane, C Sun","Promising prospects for 2D d 2–d 4 M 3 C 2 transition metal carbides (MXenes) in N 2 capture and conversion into ammonia",2016,"… & Environmental Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2009/v6/c6ee01800a","https://scholar.google.com/scholar?cites=3375467111650942784&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 13:35:05","","","","",,,,,483,53.67,121,4,9,"… Our density functional theory (DFT) results hypothesise that … Specifically, N 2 activation can be spontaneously achieved when … N 2 absorption and the activation step onto these surfaces …","https://accedacris.ulpgc.es/bitstream/10553/74959/2/Energy%20Environ.%20Sci.%202016,%209,%202545.pdf","https://scholar.google.com/scholar?q=related:QN_3PHQR2C4J:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
102,"V Fourmond, S Canaguier, B Golly, MJ Field, ...","A nickel–manganese catalyst as a biomimic of the active site of NiFe hydrogenases: a combined electrocatalytical and DFT mechanistic study",2011,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2011/ee/c0ee00736f","https://scholar.google.com/scholar?cites=3614661087848364616&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-13 13:35:05","","","","",,,,,102,7.29,20,5,14,"… 4, on scan rate and acid and catalyst concentrations is reported together with DFT modelling … , and thereby activated, hydride derivative [NiHMn] − produced at the electrode (Fig. 5). …","","https://scholar.google.com/scholar?q=related:SPqgrBvbKTIJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
122,"C Ruan, ZQ Huang, J Lin, L Li, X Liu, M Tian, ...","Synergy of the catalytic activation on Ni and the CeO 2–TiO 2/Ce 2 Ti 2 O 7 stoichiometric redox cycle for dramatically enhanced solar fuel production",2019,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/ee/c8ee03069c","https://scholar.google.com/scholar?cites=5454112741368982160&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 13:35:05","","","","",,,,,122,20.33,17,7,6,"… and density functional theory (DFT) calculations. It is revealed that the metallic Ni and the Ni/oxide interface manifest catalytic activity for both CH 4 activation … redox cycle for CH 4 partial …","https://pubs.rsc.org/en/content/articlepdf/2019/ee/c8ee03069c","https://scholar.google.com/scholar?q=related:kOo6IqTmsEsJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
165,"S Xie, W Ma, X Wu, H Zhang, Q Zhang, ...","Photocatalytic and electrocatalytic transformations of C1 molecules involving C–C coupling",2021,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/zv/d0ee01860k","https://scholar.google.com/scholar?cites=9371656956044884453&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-13 13:35:05","","","","",,,,,165,41.25,28,6,4,"… C–H activation … DFT calculations indicated that the modification of metallic Ni by surface oxides changed the reaction path of the surface CH x species by increasing the barrier for CH 4 …","","https://scholar.google.com/scholar?q=related:5bnfLVnQDoIJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"Z Mukadam, S Liu, A Pedersen, J Barrio, ...","Furfural electrovalorisation using single-atom molecular catalysts",2023,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/ee/d3ee00551h","https://scholar.google.com/scholar?cites=11521190594692640325&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-13 13:35:05","","","","",,,,,32,16.00,6,5,2,"… Based on DFT calculations, we map the predicted experimental selectivity for the furfural reduction reaction using the adsorption energy of furfural and hydrogen, which can predict …","","https://scholar.google.com/scholar?q=related:Re450s19458J:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
75,"A Winiwarter, L Silvioli, SB Scott, ...","Towards an atomistic understanding of electrocatalytic partial hydrocarbon oxidation: propene on palladium",2019,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2000/zo/c8ee03426e","https://scholar.google.com/scholar?cites=9433794334015783834&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-13 13:35:05","","","","",,,,,75,12.50,19,4,6,"… Using a combination of density functional theory (DFT) … We find significant activation barriers for all coupling steps … to form allyl alcohol, we calculate an activation energy close to 1 eV, …","https://orbit.dtu.dk/files/201348075/Propene_oxidation_on_Pd_postprint.pdf","https://scholar.google.com/scholar?q=related:moMa4_aR64IJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
