Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
165,"S Xie, W Ma, X Wu, H Zhang, Q Zhang, ...","Photocatalytic and electrocatalytic transformations of C1 molecules involving C–C coupling",2021,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/zv/d0ee01860k?casa_token=gzAqdj21KCEAAAAA:aMdSR7P847VfKuvrwVBglSMRVdPosS7JCZyouUIiTMN4qQQAQ3b1Pzu8d1pSa1tzTaOMkYfAIhdqcw","https://scholar.google.com/scholar?cites=9371656956044884453&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 11:22:51","HTML","","","",,,,,165,41.25,28,6,4,"… Recently, Wang, Chan and their co-workers performed detailed DFT calculations on the energetics of the initial C–C coupling steps on different Cu facets in CO 2 reduction. The result …","https://pubs.rsc.org/en/content/articlehtml/2020/zv/d0ee01860k?casa_token=gzAqdj21KCEAAAAA:aMdSR7P847VfKuvrwVBglSMRVdPosS7JCZyouUIiTMN4qQQAQ3b1Pzu8d1pSa1tzTaOMkYfAIhdqcw","https://scholar.google.com/scholar?q=related:5bnfLVnQDoIJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
78,"W Zhang, J Chang, G Wang, Z Li, M Wang, ...","Surface oxygenation induced strong interaction between Pd catalyst and functional support for zinc–air batteries",2022,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/xx/d1ee03972e?casa_token=X4KuHpgQHZwAAAAA:YU7WpGzXwIsIPAbr6eezgnnOuCJiO6Q0cLC971-rAXn1V1ekvM6tKHN0tfxbgwYreYT9wc0VwI46CQ","https://scholar.google.com/scholar?cites=8302110061765649310&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 11:22:51","HTML","","","",,,,,78,26.00,13,6,3,"… We performed the first-principles density functional theory (DFT) calculations to gain insight into … In conclusion, our DFT results reveal that subsurface Mn could enhance the ORR activity …","https://pubs.rsc.org/en/content/articlehtml/2021/xx/d1ee03972e?casa_token=X4KuHpgQHZwAAAAA:YU7WpGzXwIsIPAbr6eezgnnOuCJiO6Q0cLC971-rAXn1V1ekvM6tKHN0tfxbgwYreYT9wc0VwI46CQ","https://scholar.google.com/scholar?q=related:nuO8XR0FN3MJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
190,"L Li, D Yu, P Li, H Huang, D Xie, CC Lin, F Hu, ...","Interfacial electronic coupling of ultrathin transition-metal hydroxide nanosheets with layered MXenes as a new prototype for platinum-like hydrogen evolution",2021,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/xx/d1ee02538d?casa_token=1UF_kbPp0EYAAAAA:Vg5c8SxDaTZVwC_HsvQd53Wnzv4brFc_KfhLPnwW7Cucw6V31nlvVmg8NccORUqGv-uhKvytQ3xymg","https://scholar.google.com/scholar?cites=10192099587171197359&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 11:22:51","HTML","","","",,,,,190,47.50,24,8,4,"… Experimental results and density functional theory (DFT) calculations show that the strong interfacial electronic coupling between the two components not only effectively regulates the …","https://pubs.rsc.org/en/content/articlehtml/2021/xx/d1ee02538d?casa_token=1UF_kbPp0EYAAAAA:Vg5c8SxDaTZVwC_HsvQd53Wnzv4brFc_KfhLPnwW7Cucw6V31nlvVmg8NccORUqGv-uhKvytQ3xymg","https://scholar.google.com/scholar?q=related:r6G-EJOccY0J:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"P Guo, B Liu, F Tu, Y Dai, Z Zhang, Y Xia, ...","Breaking Sabatier's vertex via switching the oxygen adsorption configuration and reaction pathway on dual active sites for acidic oxygen reduction",2024,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/ee/d4ee00823e?casa_token=YoOZg1HNRUsAAAAA:rq5bdzQISgztGBggp-uj_9nCT9it7DJhqm4TxgsG95PQtj1kynjR7hce7EydCEyFYdv0M6t133JrbA","https://scholar.google.com/scholar?cites=18015015652482257640&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-13 11:22:51","HTML","","","",,,,,41,41.00,6,7,1,"… Density functional theory (DFT) calculations were first implemented to analyze the O 2 adsorption behavior and ORR pathway on single-active and dual-active site catalysts, respectively…","https://pubs.rsc.org/en/content/articlehtml/2024/ee/d4ee00823e?casa_token=YoOZg1HNRUsAAAAA:rq5bdzQISgztGBggp-uj_9nCT9it7DJhqm4TxgsG95PQtj1kynjR7hce7EydCEyFYdv0M6t133JrbA","https://scholar.google.com/scholar?q=related:6JJOzUkxAvoJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"K Dang, L Wu, S Liu, H Ji, C Chen, Y Zhang, ...","Cooperative oxidation of NH 3 and H 2 O to selectively produce nitrate via a nearly barrierless N–O coupling pathway",2024,"… Environmental Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/ee/d4ee01483a?casa_token=T56jkD0LFvYAAAAA:g_pKgoesE3m0Y7vOOVoTXLV-BNvgVoSZBHg9KHXHsAuW8_pUCxIl9CiUpX1nnc-Mbj6uh2ZvXvHe6A","https://scholar.google.com/scholar?cites=13704009683407267501&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 11:22:51","HTML","","","",,,,,5,5.00,1,7,1,"… density functional theory (DFT) calculations using the CP2K software package 28 (Fig. S10, ESI†). Accordingly, we intended to introduce an independent NH 3 activation center by …","https://pubs.rsc.org/en/content/articlehtml/2024/ee/d4ee01483a?casa_token=T56jkD0LFvYAAAAA:g_pKgoesE3m0Y7vOOVoTXLV-BNvgVoSZBHg9KHXHsAuW8_pUCxIl9CiUpX1nnc-Mbj6uh2ZvXvHe6A","https://scholar.google.com/scholar?q=related:reYAOjNsLr4J:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"Y Xu, P Wang, M Zhang, W Dai, Y Xu, ...","Constructing asymmetric dual active sites through symbiotic effect for achieving efficient and selective photoreduction of CO 2 to C 2 H 4",2024,"… Environmental Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2014/by/d4ee01376j?casa_token=t3sOzb1iEXcAAAAA:yrzWjkbdE3hf9jpFChfWPqCE7Lr2rjiQTVynTMrJIHT-enLQu0Wjw9P5PJtCDplSaKly6zADvoWaJQ","https://scholar.google.com/scholar?cites=1106741225374794516&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-13 11:22:51","HTML","","","",,,,,12,12.00,2,6,1,"One of the biggest obstacles to the light-driven conversion of greenhouse gas CO2 into high value-added multi-carbon compounds is manipulating the C–C coupling reaction. Herein, …","https://pubs.rsc.org/en/content/articlehtml/2014/by/d4ee01376j?casa_token=t3sOzb1iEXcAAAAA:yrzWjkbdE3hf9jpFChfWPqCE7Lr2rjiQTVynTMrJIHT-enLQu0Wjw9P5PJtCDplSaKly6zADvoWaJQ","https://scholar.google.com/scholar?q=related:FMO-3EfvWw8J:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"X Li, C Deng, R Chen, X Li, F Xie, Z Wu, Y Xie, ...","Exploiting thiolate/disulfide redox couples toward large-scale electrochemical carbon dioxide capture and release",2025,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/ee/d4ee04739g?casa_token=T1rWsYZ996IAAAAA:q8fiVxKjKdaGRm1uPHR80JcDs7AXvdCq3-tW2fZmUIn45BLTyAnIhwm7mtYsxmu6FtbwuaBgHePcXw","https://scholar.google.com/scholar?cites=7172809364983912342&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-13 11:22:51","","","","",,,,,1,1.00,0,8,1,"… The mechanism of CO2 capture and release using such redox couples is elucidated via combining density function theory (DFT) calculations, cyclic voltammetry and Fourier transform …","https://pubs.rsc.org/en/content/articlepdf/2025/ee/d4ee04739g?casa_token=Qmhjp69D4oAAAAAA:LclioXV4q6YCAwk3CZaECEggSCjL9iEPvroATYPqzFaLWM1_ngGYJlx2E7AxBQXIfRbhBswD5Af0vw","https://scholar.google.com/scholar?q=related:lhd2QR3wimMJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"X Liu, W Zhang, Y Liu, X Li, D Zhang, K Wang, ...","Weaving electron-rich alkynes: a durable in situ skin for stabilizing zinc anodes",2024,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/ee/d4ee03164d?casa_token=1FEijQqGQ_sAAAAA:r4bGewN4LBMtMhIU37mJnwddJR-c6ENe6juj3S8O7rByiSDIEtzQxtauSjNELBEkG98DVE2k64Ibsw","https://scholar.google.com/scholar?cites=8940633141310018586&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-13 11:22:51","HTML","","","",,,,,1,1.00,0,7,1,"… Density functional theory (DFT) calculations indicate that Zn ions preferentially navigate the migration pathway via the cyclic diyne center's anchoring site with a low energy barrier. Full …","https://pubs.rsc.org/en/content/articlehtml/2024/ee/d4ee03164d?casa_token=1FEijQqGQ_sAAAAA:r4bGewN4LBMtMhIU37mJnwddJR-c6ENe6juj3S8O7rByiSDIEtzQxtauSjNELBEkG98DVE2k64Ibsw","https://scholar.google.com/scholar?q=related:GlTe9niCE3wJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
112,"C Zhang, W Ma, C Han, LW Luo, A Daniyar, ...","Tailoring the linking patterns of polypyrene cathodes for high-performance aqueous Zn dual-ion batteries",2021,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/ee/d0ee03356a?casa_token=TnzMfwucG5UAAAAA:o7VYX-KyAi326VHWHdmQHWJuEhRZIHu5x_8CDzSnpsJgvEw2tg0H11PSlPyDT7oxgmTPkqnDAylmnQ","https://scholar.google.com/scholar?cites=10297972580994880179&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-13 11:22:51","HTML","","","",,,,,112,28.00,19,6,4,"… The pore size distribution (PSD) calculated by nonlocal density functional theory (NL-DFT) showed that the cross-linked polymer CLPy contains abundant micropores with the pore …","https://pubs.rsc.org/en/content/articlehtml/2020/ee/d0ee03356a?casa_token=TnzMfwucG5UAAAAA:o7VYX-KyAi326VHWHdmQHWJuEhRZIHu5x_8CDzSnpsJgvEw2tg0H11PSlPyDT7oxgmTPkqnDAylmnQ","https://scholar.google.com/scholar?q=related:s5LpXIC_6Y4J:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
83,"F Yang, J Long, JA Yuwono, H Fei, Y Fan, ...","Single atom catalysts for triiodide adsorption and fast conversion to boost the performance of aqueous zinc–iodine batteries",2023,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/9m/d3ee01453c?casa_token=zuDJpGwRfAYAAAAA:DuN_jIfa7V4zrJ-LxaiqnYjoayA1gMr9QmRyfs4hjFt4PHXcTM9yanDHMgb5r_nA16bgq2zbEewO3g","https://scholar.google.com/scholar?cites=7906388306768945474&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-13 11:22:51","HTML","","","",,,,,83,41.50,14,6,2,"… Mitigation of the ShE for I 3 − is needed to protect the Zn anode, and from our DFT calculations, we understand that the benefits provided by SACs originate from their ability to …","https://pubs.rsc.org/en/content/articlehtml/2017/9m/d3ee01453c?casa_token=zuDJpGwRfAYAAAAA:DuN_jIfa7V4zrJ-LxaiqnYjoayA1gMr9QmRyfs4hjFt4PHXcTM9yanDHMgb5r_nA16bgq2zbEewO3g","https://scholar.google.com/scholar?q=related:QuFDcUYiuW0J:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
