Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"J Xu, Y Liu, C Liu, D Zhang","DFT computational insight into Pd (0)-catalyzed oxidative cross-coupling of 1, 2-allenyl ketones and aryl boronic acids: Pd (ii)-carbenoid intermediate versus π-allyl-Pd …",2023,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/cy/d2cy01506d","https://scholar.google.com/scholar?cites=8642244312697128455&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 11:23:36","","","","",,,,,2,1.00,1,4,2,"… In conclusion, by performing DFT calculations we have shown the mechanism details of the synthesis of furan derivatives via Pd(0)-catalyzed oxidative cross-coupling of 1,2-allenyl …","","https://scholar.google.com/scholar?q=related:B8Zz8Glr73cJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"SVC Vummaleti, N Kuriakose, S Dinda, Y Wu, ...","C–C coupling at a zeolite-supported Rh (i) complex. DFT search for the mechanism",2019,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/cy/c9cy00617f","https://scholar.google.com/scholar?cites=11035998526352907349&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 11:23:36","","","","",,,,,12,2.00,2,5,6,"… However, the present QM/MM results corroborate our earlier DFT findings obtained with … , but not the formation of butene, in agreement with our earlier DFT study using periodic models. …","","https://scholar.google.com/scholar?q=related:Vdz_QDC-J5kJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"S Yang, T Zhou, A Poater, L Cavallo, ...","Suzuki–Miyaura cross-coupling of esters by selective O–C (O) cleavage mediated by air-and moisture-stable [Pd (NHC)(μ-Cl) Cl] 2 precatalysts: catalyst evaluation …",2021,"… science & technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/cy/d1cy00312g","https://scholar.google.com/scholar?cites=15275071501828679353&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 11:23:36","","","","",,,,,45,11.25,9,5,4,"… cross-coupling is highlighted in the late-stage functionalization of pharmaceuticals and sequential chemoselective cross-coupling… of the catalytic cycle by DFT methods. Considering the …","https://pubs.rsc.org/zh-hans/content/getauthorversionpdf/D1CY00312G","https://scholar.google.com/scholar?q=related:ueYwoZn0-9MJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Liu, K Lv, X Bao","Mechanistic differences between the Ru (ii) and Zn (ii)-catalyzed cross-coupling of cyclopropenes with diazo compounds: a DFT study",2024,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00995a","",4,"2025-04-13 11:23:36","","","","",,,,,0,0.00,0,3,1,"… cross-coupling reactions with two different carbene precursors. Herein, a comprehensive DFT … ) and Zn(II)-catalyzed cross-coupling of cyclopropenes with diazo compounds, respectively…","","https://scholar.google.com/scholar?q=related:G6hQKeM87IkJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"Q Wang, HM Jiang, S Zhuo, LP Xu","Mechanism, reactivity, and selectivity in a palladium-catalyzed organosilicon-based cross coupling reaction",2022,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/cy/d1cy01890f","https://scholar.google.com/scholar?cites=318863967445635914&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 11:23:36","","","","",,,,,7,2.33,2,4,3,"… a systematic density functional theory study on the Pd-catalyzed alcohol-assisted ring expansion to benzosilacycle through a strain-release silicon-based cross coupling reaction. …","https://www.researchgate.net/profile/Liping-Xu-15/publication/356141144_Mechanism_Reactivity_and_Selectivity_in_Palladium-Catalyzed_Organosilicon-Based_Cross_Coupling_Reaction/links/620b069587866404a16b14d2/Mechanism-Reactivity-and-Selectivity-in-Palladium-Catalyzed-Organosilicon-Based-Cross-Coupling-Reaction.pdf","https://scholar.google.com/scholar?q=related:StNExxbVbAQJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"M Kondo, T Joutsuka, K Fujiwara, T Honma, ...","Catalysis of surface dispersed Cu 2+ species on t-ZrO 2: square-planar Cu catalyzed cross-coupling of arylboronic acid and imidazole",2023,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/cy/d3cy00024a","https://scholar.google.com/scholar?cites=9186627713512436363&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-13 11:23:36","","","","",,,,,5,2.50,1,5,2,"… Based on the proposed reaction mechanism, analytical results, and DFT calculations, we assumed that the highly reducible square planar [CuO 4 ] in CuO/t-ZrO 2 exhibited superior …","","https://scholar.google.com/scholar?q=related:i_Kqizt1fX8J:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"X Wang, Y Ma, J Ye, Z Liu, R Cheng","Theoretical investigation of mechanism on nickel-catalyzed electrochemical cross-coupling of aryl bromides and arylamines",2023,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2010/a8/d2cy01798a","https://scholar.google.com/scholar?cites=5376189386342690966&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-13 11:23:36","","","","",,,,,1,0.50,0,5,2,"… DFT computational method for the electrochemical process. In this work, the electrochemical neutral cross-coupling … was explored using density functional theory (DFT) calculations. The …","","https://scholar.google.com/scholar?q=related:lnAuOsMPnEoJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"C Shan, Z Zhang, J You, R Li, X Ma","A DFT mechanistic study on nickel-catalyzed arylation of amino alcohols with aryl electrophiles: insights into the origins of chemoselectivity",2025,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cy/d4cy01460j","",8,"2025-04-13 11:23:36","","","","",,,,,0,0.00,0,5,1,"… These fundamental questions prompted us to investigate the reaction in detail by performing density functional theory (DFT) calculations, from which we hope to provide some insights …","","https://scholar.google.com/scholar?q=related:nBtVnTvhL2kJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"D Zhang, G Li, C Fang, J Meng, S Liu","Theoretical study on the copper-catalyzed asymmetric alkene trifluoromethyl–arylation cross-coupling reaction: origin of regio-and stereo-selectivity",2024,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/cy/d3cy01309j","",9,"2025-04-13 11:23:36","","","","",,,,,0,0.00,0,5,1,"… density functional theory calculations were employed for the Cu-catalyzed asymmetric alkene trifluoromethyl–arylation cross-coupling … alkene difunctionalization cross-coupling reaction. …","","https://scholar.google.com/scholar?q=related:CR89_QRaK3AJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
64,"G Li, T Zhou, A Poater, L Cavallo, SP Nolan, ...","Buchwald–Hartwig cross-coupling of amides (transamidation) by selective N–C (O) cleavage mediated by air-and moisture-stable [Pd (NHC)(allyl) Cl] precatalysts …",2020,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/cy/c9cy02080b","https://scholar.google.com/scholar?cites=8818848600035404023&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-13 11:23:36","","","","",,,,,64,12.80,11,6,5,"… of the Buchwald–Hartwig cross-coupling of amides using well-… of the catalytic cycle by DFT methods for a series of different … and development of cross-coupling methods involving stable …","https://pubs.rsc.org/zh-hans/content/getauthorversionpdf/C9CY02080B","https://scholar.google.com/scholar?q=related:96gP1RPYYnoJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
