Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
16,"Z Wang, W Lamine, K Miqueu, SY Liu","A syn outer-sphere oxidative addition: the reaction mechanism in Pd/Senphos-catalyzed carboboration of 1, 3-enynes",2023,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/1a/d2sc05828f","https://scholar.google.com/scholar?cites=5120975166744640215&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-12 17:48:14","HTML","","","",,,,,16,8.00,4,4,2,"… We selected 1 and 2 as model substrates (Scheme 2d) and performed DFT calculations to explore the mechanism at the SMD(toluene)-TPSS-D3(BJ)/SDD+f(Pd), 6-31G**(other atoms) …","https://pubs.rsc.org/en/content/articlehtml/2021/1a/d2sc05828f","https://scholar.google.com/scholar?q=related:1zppNchbEUcJ:scholar.google.com/&scioq=source:%22chemical+science%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
48,"J Lu, S Donnecke, I Paci, DC Leitch","A reactivity model for oxidative addition to palladium enables quantitative predictions for catalytic cross-coupling reactions",2022,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d2sc00174h","https://scholar.google.com/scholar?cites=16708925185577810420&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-12 17:48:14","HTML","","","",,,,,48,16.00,12,4,3,"… mechanistically based model for the oxidative addition of (hetero)… oxidative addition for 79 substrates, including chloride, bromide and triflate leaving groups. Because oxidative addition …","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d2sc00174h","https://scholar.google.com/scholar?q=related:9HnxuO0G4ucJ:scholar.google.com/&scioq=source:%22chemical+science%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"CA Gaggioli, L Belpassi, F Tarantelli, D Zuccaccia, ...","Dioxygen insertion into the gold (I)–hydride bond: spin orbit coupling effects in the spotlight for oxidative addition",2016,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2016/sc/c6sc02161a","https://scholar.google.com/scholar?cites=17307366629024252306&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 17:48:14","HTML","","","",,,,,37,4.11,7,5,9,"… We performed DFT calculations using a simplified model of the gold(I) complex, with the Ar … : BP86 functional, 21 grimme3 BJ damping dispersion effect (DFT-D3-BJ), 22 a Slater-Type …","https://pubs.rsc.org/en/content/articlehtml/2016/sc/c6sc02161a","https://scholar.google.com/scholar?q=related:ksFwMEAeMPAJ:scholar.google.com/&scioq=source:%22chemical+science%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"EK Elias, SM Rehbein, SR Neufeldt","Solvent coordination to palladium can invert the selectivity of oxidative addition",2022,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc05862b","https://scholar.google.com/scholar?cites=17014235048474633740&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-12 17:48:14","HTML","","","",,,,,27,9.00,9,3,3,"… is supported by stoichiometric oxidative addition experiments, density functional theory (DFT) calculations, and catalytic cross-coupling studies. Additional results suggest that anionic […","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc05862b","https://scholar.google.com/scholar?q=related:DOZUnaG0HuwJ:scholar.google.com/&scioq=source:%22chemical+science%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
70,"MC Haibach, DY Wang, TJ Emge, ...","(POP) Rh pincer hydride complexes: unusual reactivity and selectivity in oxidative addition and olefin insertion reactions",2013,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2013/sc/c3sc50380a","https://scholar.google.com/scholar?cites=1809496682737062199&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-12 17:48:14","","","","",,,,,70,5.83,18,4,12,"… Accordingly, cis H 2 addition to ( tBu xanPOP)Rh(X) is calculated (DFT) to be favorable with ΔG … This large difference in reactivity represents another case where oxidative addition is …","https://www.researchgate.net/profile/Karsten-Krogh-Jespersen/publication/271382442_POPRh_pincer_hydride_complexes_Unusual_reactivity_and_selectivity_in_oxidative_addition_and_olefin_insertion_reactions/links/583b07d308ae3a74b4a06831/POPRh-pincer-hydride-complexes-Unusual-reactivity-and-selectivity-in-oxidative-addition-and-olefin-insertion-reactions.pdf","https://scholar.google.com/scholar?q=related:N1HKVKWfHBkJ:scholar.google.com/&scioq=source:%22chemical+science%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"M Gimferrer, S Danés, E Vos, CB Yildiz, I Corral, ...","Reply to the 'Comment on “The oxidation state in low-valent beryllium and magnesium compounds”'by S. Pan and G. Frenking, Chem. Sci., 2022, 13",2023,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/sc/d2sc05769g","https://scholar.google.com/scholar?cites=3684585552392340082&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 17:48:14","HTML","","","",,,,,33,16.50,6,6,2,"… higher in energy than a broken-symmetry KS-DFT solution. This indication of significant static … , we applied the effective oxidation state (EOS) analysis to assign the oxidation state of the …","https://pubs.rsc.org/en/content/articlehtml/2023/sc/d2sc05769g","https://scholar.google.com/scholar?q=related:csLhwglHIjMJ:scholar.google.com/&scioq=source:%22chemical+science%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"MV Polynski, YS Vlasova, YV Solovev, SM Kozlov, ...","Computational analysis of R–X oxidative addition to Pd nanoparticles",2024,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/sc/d4sc00628c","https://scholar.google.com/scholar?cites=17361776000160570280&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-12 17:48:14","HTML","","","",,,,,2,2.00,0,5,1,"… The comparison of the DFT-calculated activation energies of oxidative addition is given in Table S1,† and the corresponding plot is given in Fig. 3. Since the transition 1 → 1′ was …","https://pubs.rsc.org/en/content/articlehtml/2024/sc/d4sc00628c","https://scholar.google.com/scholar?q=related:qBt5F0lr8fAJ:scholar.google.com/&scioq=source:%22chemical+science%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"S Pan, G Frenking","Comment on “The oxidation state in low-valent beryllium and magnesium compounds” by M. Gimferrer, S. Danés, E. Vos, CB Yildiz, I. Corral, A. Jana, P …",2023,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/sc/d2sc04231b","https://scholar.google.com/scholar?cites=10120715790491438227&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-12 17:48:14","HTML","","","",,,,,10,5.00,5,2,2,"… could lead to the impression that the EDA-NOCV method using DFT … Such systems must be carefully tested for the reliability of the DFT … The EDA-NOCV calculations using standard DFT …","https://pubs.rsc.org/en/content/articlehtml/2023/sc/d2sc04231b","https://scholar.google.com/scholar?q=related:k8ztvGMBdIwJ:scholar.google.com/&scioq=source:%22chemical+science%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"S Zhang, J Zhang, H Zou","C (sp 3)–H oxygenation via alkoxypalladium (II) species: an update for the mechanism",2022,"Chemical science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc06907a","https://scholar.google.com/scholar?cites=15238945944292062195&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-12 17:48:14","HTML","","","",,,,,11,3.67,4,3,3,"… used as an oxidant—namely, a bimetallic oxidative addition-oxo-insertion process. This catalytic … Density functional theory reveals that the classical alkylpalladium(IV) oxidative addition …","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc06907a","https://scholar.google.com/scholar?q=related:83Po0Jice9MJ:scholar.google.com/&scioq=source:%22chemical+science%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
86,"T Sperger, CM Le, M Lautens, F Schoenebeck","Mechanistic insights on the Pd-catalyzed addition of C–X bonds across alkynes–a combined experimental and computational study",2017,"Chemical science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/1978/sc/c6sc05001h","https://scholar.google.com/scholar?cites=14737513693969581703&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-12 17:48:14","HTML","","","",,,,,86,10.75,22,4,8,"… DFT calculations and mechanistic test experiments. The data suggest a mechanistic pathway that involves oxidative addition… we propose that initial oxidative addition of either aryl halide …","https://pubs.rsc.org/en/content/articlehtml/1978/sc/c6sc05001h","https://scholar.google.com/scholar?q=related:hwaDOZ8qhswJ:scholar.google.com/&scioq=source:%22chemical+science%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
