Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
16,"Z Wang, L Liu, X Ma, Y Liu, P Mi, Z Liu, ...","Effect of an additional donor on decene formation in ethylene oligomerization catalyzed by a Cr/PCCP system: a combined experimental and DFT study",2021,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/cy/d1cy00423a?casa_token=vQeOeyRqDXMAAAAA:60bvKhpzaKtJd2DZBjOly-JQxSGvsrE-UQl8Bul00bb1Foipa_Z0fLyPa1okUOLiYppFOgE5jcAf0w&casa_token=tr9F-J3wNoUAAAAA:ISj5w7hN5E3oyadmCZWU5WJVlKBfSk_YyuiBiko8zyeYUjjbBLZC-kY5vAH3xL-jp5x3IUSYYOoJuw","https://scholar.google.com/scholar?cites=9721078493323686534&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-12 20:59:24","","","","",,,,,16,4.00,2,7,4,"… Thus, it is kinetically preferred that the third ethylene molecule, which is coordinated to the metallacyclopentane, undergoes a migratory insertion to form metallacycloheptane 4 6 with a …","https://pubs.rsc.org/en/content/articlepdf/2021/cy/d1cy00423a?casa_token=_viHGv3h_eYAAAAA:mGeZa6jeBSAzAKKZR8a9VM5rFr6bRJy7jAUIBSvdc6kqe20jzmBtcQKfv8JK4DMJG1tUA9q4enLM7w","https://scholar.google.com/scholar?q=related:hnI_nGI16IYJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"SVC Vummaleti, N Kuriakose, S Dinda, Y Wu, ...","C–C coupling at a zeolite-supported Rh (i) complex. DFT search for the mechanism",2019,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/cy/c9cy00617f?casa_token=BgH8ID0xeN4AAAAA:qv8WUExf-l1MdP-7j1aj06iqOuvAJ3DeZiWldvApZg8N04M_IrT_wAmKlvqGZkI_0y3sDhVSxjSt3g&casa_token=Nct0DE7j5OAAAAAA:3PN4eZmRgZy_peSVcoBi4e_L0Q4jyIhJgdHSge5CZVmZcf9FgDQljyCzQ1PGTRYGzn9sxkn1NuaGaQ","https://scholar.google.com/scholar?cites=11035998526352907349&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-12 20:59:24","","","","",,,,,12,2.00,2,5,6,"… As previous theoretical work determined only ethane formation for the reported complex, the present computational work set out to identify a potential mechanism, a migratory insertion (…","https://pubs.rsc.org/en/content/articlepdf/2019/cy/c9cy00617f?casa_token=1irhk2HfsLAAAAAA:UYvS493FLJcOWhYBKWUKTIETzPBneUHBalhuNps7JF43r_rdi47yCitv6_FxssUF5AU48b-z_NFZKg","https://scholar.google.com/scholar?q=related:Vdz_QDC-J5kJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"J Wang, Z Zheng, Z Lin, R Xiao, T Miao","Computational insights into the [Ni] H-catalyzed remote C (sp 3)–H hydroamidation of alkenes: mechanism and insertion selectivity",2022,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2007/3p/d2cy01177h?casa_token=tXXmbrjJvskAAAAA:O_pCXXNCXkFKZ-Nkn5M18GpT29UMmgW9BELzalfJHhOm1mJOYWo_RdDMd6PYA6zB-mmJJq87SMVGqw&casa_token=QYj9i-aPj2gAAAAA:NBWxAajvaiW45QeCE9AKeuESHJdQ3fJt5R5EhLuarqbetnAg1VG7sVqR9sQTqpXr_7ea5ncEJ-BjzQ","https://scholar.google.com/scholar?cites=3718163790483468826&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 20:59:24","","","","",,,,,2,0.67,0,5,3,"… the origin of insertion selectivity was explored with the aid of DFT … insertion into the Ni–C bond is a negative carbon migration … for the nitrene group (NCOPh) insertion into the Ni–C bond …","https://pubs.rsc.org/en/content/articlepdf/2022/cy/d2cy01177h?casa_token=KGpzA2kbyVQAAAAA:hCa1_n5RUrml1TlCeLVAc99Vfqy5D6zFLr69RVHgZKsLTCh9ncOt-eglYoxcGq2eotcuoTtH7KhH_A","https://scholar.google.com/scholar?q=related:GrJ8jESSmTMJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Liu, K Lv, X Bao","Mechanistic differences between the Ru (ii) and Zn (ii)-catalyzed cross-coupling of cyclopropenes with diazo compounds: a DFT study",2024,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00995a?casa_token=tHrNmPaV5DIAAAAA:wxPbv8BeZrLqlRrL3GdewDB9UQKfINFZLQAUcABSdrs9G4wBCGReaq912LVOLxnA5DfhSCEXBwZppw&casa_token=V_w0EEcVxMMAAAAA:myK-Gd2ZPxyPFy1bQ4rBhvh-4x6on93wrbRpU1S8OoF7NqjSfngSz5HkkAAjZtDMnX02aS0d-8vseA","",4,"2025-04-12 20:59:24","","","","",,,,,0,0.00,0,3,1,"… The B3LYP 8 density functional theory (DFT) method was employed to carry out all the calculations. For the geometry optimizations, the LANL2DZ basis set with the LANL2DZ …","https://pubs.rsc.org/en/content/articlepdf/2024/cy/d4cy00995a?casa_token=hUo_kaiOd9IAAAAA:KuoaCNec-d9wI9fN09OgN-MdJGRRwTuqPlOIt_vHK3q5ztb2i4iMPRD0m28qGTxTxT4ipi_fU0fIMw","https://scholar.google.com/scholar?q=related:G6hQKeM87IkJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"F Jia, Y Yang, B Zhang","Mechanism insight into palladium-catalyzed site-selective C–H functionalization of carbazoles",2023,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/cy/d3cy01137b?casa_token=w04etZH3HqYAAAAA:78oMyqICZqAs0_EnfA3yPVvWYYkLD37w5_gOwJvrMeYUk-mnTf40EO0H2aYSOo3jnoaH4-1imjDR-Q&casa_token=Ww4u2FhsUTAAAAAA:uwZWoHTHmsWBSjNZb-5OQmnbUzEP91FlyQmjURPT1k0wQmK87i87IllYBJoZtpqqeAIhE1QksMypWg","https://scholar.google.com/scholar?cites=5771967886420961856&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-12 20:59:24","","","","",,,,,3,1.50,1,3,2,"… In conclusion, DFT theoretical calculations were performed to investigate the NH-carbazole site-selective C–H functionalization (alkylation and acylation) mechanism. We revealed the …","https://pubs.rsc.org/en/content/articlepdf/2023/cy/d3cy01137b?casa_token=1Vf3UfF7wE0AAAAA:TZHQeullyu6WBz3Blgj6mZERKivBJQ7c_UlUu2GkOb1HnQH7oIP_78IbbrVQbApvjwyWmZvdKkG44Q","https://scholar.google.com/scholar?q=related:QGoVJTYmGlAJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"S Liu, B Ling, S Bi, R Wang","Mechanism and origin of cyclization selectivity for Ru (ii)-catalyzed gem-hydrogenation of 1, 3-enynes: a DFT study",2024,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cy/d4cy00261j?casa_token=mNs6SDg2jbQAAAAA:Pi-__924OY7w7BnOXnJ9v6d27YZZsxTGOFSfpPtIULw3_g7h86caQV7dcXf_ZgW48vN0Chd3ifENkw&casa_token=JgqjCNqxwVgAAAAA:VL8TFI3eSpKd94JZ_08Hwo--UvvXl5p4cvxGkPzsmFBdYFBYqay1DhzVAX3H43NB6s8wyIf0CVS-mw","https://scholar.google.com/scholar?cites=14226509600285166359&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 20:59:24","","","","",,,,,2,2.00,1,4,1,"… the carbocyclic product via favorable proton migration from –OCH 2 – rather than generating the heterocyclic product via unfavorable proton migration from –OSiMe 3 , where the low …","https://pubs.rsc.org/en/content/articlepdf/2024/cy/d4cy00261j?casa_token=m_WWAuG1VOwAAAAA:-CH6uXcuTkoEvEh5i_jgwglvA_joZJfOYXeSU6XNbXVAujhQcz0PxhZDaeXnINqJApxf5Pmdk05RVQ","https://scholar.google.com/scholar?q=related:F4uuLhu3bsUJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"X Li, H Wu, Y Lang, G Huang","Mechanism, selectivity, and reactivity of iridium-and rhodium-catalyzed intermolecular ketone α-alkylation with unactivated olefins via an enamide directing strategy",2018,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2018/cy/c8cy00290h?casa_token=iOOzRkgxHCwAAAAA:d5vcY9JY2HSBr5Gh1whdEE1kaF-rbO_oyS32WQ7-KAc2ZctMKtD4NQiJYr9-n8HK7lf0LWUIUdSbQw&casa_token=-cDkxUW6zYAAAAAA:Z3Xf-_StQUVXPJE10xuwQ9CLQb28W9c7LwStnXFYzXF_7Ka_q5geM3j_Ez5h1Lk6vbITsF1_VMQz7Q","https://scholar.google.com/scholar?cites=5921116185246339696&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-12 20:59:24","","","","",,,,,37,5.29,9,4,7,"… Density functional theory calculations were performed to … through the pathway of the migratory insertion into the Ir–C … To summarize, we have presented a comprehensive DFT study …","https://pubs.rsc.org/en/content/articlepdf/2018/cy/c8cy00290h?casa_token=Sa9mDVpWh-EAAAAA:3pq4EEsORoUDvVIizq1FoKzyLucewhFUgASl06KK-zqGKkZUKTDy8CxQBVoFfHjKeqSjdI016e2jyQ","https://scholar.google.com/scholar?q=related:cJJsj8wHLFIJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"D Hou, CJ Heard","Migration of zeolite-encapsulated Pt and Au under reducing environments",2022,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/cy/d1cy02270a?casa_token=oiJ_Gh5tI7IAAAAA:6Yv0litTByBoUuy0NzlybQJka7AoVIo461RZFAKQUxY1QkIQcjlRdvTUQnjuPwems05jF6buoV3Ogg&casa_token=j3dVF3SbJjAAAAAA:QHMJi-jn08gePDXBFYoh2KwF4pyHofbqcOlFo_xYUFCKWcm4vJ6FtCMlPO1HxQ9waN2aIE_vcgwH0w","https://scholar.google.com/scholar?cites=14878366278088052295&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-12 20:59:24","","","","",,,,,3,1.00,2,2,3,"… This structure was confirmed to be stable, via hybrid and meta-GGA DFT calculations, and … , migration routes and dissociation energetics for Pt, and estimate the kinetics of migration via …","https://pubs.rsc.org/en/content/articlepdf/2015/3w/d1cy02270a?casa_token=H3oKC6DaNLoAAAAA:EMYE0zsXklz8X0FbYcqEn3zJ6Uitt98jzshDrHJkNEqevL15m8hKD31RhXkIG247CX3u0HATuZ_1OQ","https://scholar.google.com/scholar?q=related:R86WC02Tes4J:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"X Zhong, L Liu, X Guo, L Sun, B Liu, ...","Cr/PCCP-catalysed selective ethylene oligomerization: analysis of various conformations and the hemilabile methoxy group",2022,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/cy/d2cy01219g?casa_token=dPtODK21rcYAAAAA:u_oMjrP22aqXSfDDd3pHrwg68vi1d_9NCeEfalTnKBZATrm4hWRdVHvzH76kiQZLBQTaE2hYTkaUtQ&casa_token=Py3O7NSE-ggAAAAA:qTxT9yKFmM6i29utd1MFi48ciiaFwNGXpb4ou9JcZyKEqL_BMgL8s660XBZnmK1_sDX2PJezyWSt8A","https://scholar.google.com/scholar?cites=2805027855532840903&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-12 20:59:24","","","","",,,,,12,4.00,2,6,3,"… the migratory insertion of the coordinated ethylene molecule occurs outside the metallacycle, the energy barrier tends to increase for insertion of … through density functional theory (DFT) …","https://pubs.rsc.org/en/content/articlepdf/2022/cy/d2cy01219g?casa_token=wtjCAfIKX-gAAAAA:Jz7cdrgaxQn0eF-OZ1mriFGXrWFTOyhlDXH2hYVKPFxi02TmMevF0nrupx0LNB2sydBcgOoHuhtyQg","https://scholar.google.com/scholar?q=related:x1ccEvl17SYJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"Y Liu, K Wang, B Ling, G Chen, Y Li, L Liu, ...","Theoretical elucidation of the multi-functional synthetic methodology for switchable Ni (0)-catalyzed C–H allylations, alkenylations and dienylations with allenes",2020,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/cy/d0cy00965b?casa_token=8FuvZstlGlYAAAAA:U_3LerJOYMFTgDAe6A40K6wstFTgQZk_XPgphnXwvn1GKyw-Z_jaUG4sMo5VC04kvCviP8HFaR5M5A&casa_token=G1FAkDVFMXEAAAAA:250hlc7uCPP5c2XSH_JLbliOBGcpkOSvQIebjInGpLdEPEx8KuIuKFOgwS6Ve9Mssm-n82axMIxknQ","https://scholar.google.com/scholar?cites=6365213130133080525&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-12 20:59:24","","","","",,,,,9,1.80,1,7,5,"… Herein, we performed thorough density functional theory (DFT) studies for the titled reactions in Scheme 1. It is expected that the calculated results would be informative for developing …","https://pubs.rsc.org/en/content/articlepdf/2020/cy/d0cy00965b?casa_token=1GnVX6wTyHQAAAAA:RP7-nG1N4BdQQXicEQrjntRnFJL6wK1JiFbA4DOd8LNejqvV-vusU8NyUIsxY5nIV2F_c-e7L9r44Q","https://scholar.google.com/scholar?q=related:zQk8FZ7HVVgJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
