Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Y Nacheva, A Garkinin, I Trenchev…","DFT investigation of the radical-scavenging activity of biogenic amines",2022,"… COMMUNICATIONS","bcc.bas.bg","http://www.bcc.bas.bg/BCC_Volumes/Volume_54_Special_B2_2022/bcc-54-b2-2022.pdf#page=59","",698,"2025-04-12 20:20:55","PDF","","","",,,,,0,0.00,0,4,3,"… In this study, 13 biogenic amines were investigated using the DFT/UB3LYP functional and the orbital basis 6-311++ G (d, p). It was found that their radical scavenging activity is …","http://www.bcc.bas.bg/BCC_Volumes/Volume_54_Special_B2_2022/bcc-54-b2-2022.pdf#page=59","https://scholar.google.com/scholar?q=related:6nwnAfJgoWkJ:scholar.google.com/&scioq=source:%22chemical+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"HG Yorulmaz, B Gurkan, YY Gurkan","Removal of pyraclostrobin, pinoxaden, gammacyhalothrin pesticides from groundwater by DFT method",2023,"… CHEMICAL COMMUNICATIONS","bcc.bas.bg","http://bcc.bas.bg/BCC_Volumes/Volume_55_Number_3_2023/bcc-55-3.pdf#page=133","",805,"2025-04-12 20:20:55","PDF","","","",,,,,0,0.00,0,3,2,"… In contrast to the HF methods, density functional theory (DFT) … HF methods, is accounted for in DFT methods. They suffer from … of the reactants were performed with the DFT method. The …","http://bcc.bas.bg/BCC_Volumes/Volume_55_Number_3_2023/bcc-55-3.pdf#page=133","https://scholar.google.com/scholar?q=related:ZexZA-hhI4AJ:scholar.google.com/&scioq=source:%22chemical+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"A Poethig, T Strassner","The mechanism of the permanganate-promoted oxidative cyclization of 1, 5-dienes-A DFT study",2007,"… Chemical Communications","cccc.uochb.cas.cz","http://cccc.uochb.cas.cz/72/5/0715/","https://scholar.google.com/scholar?cites=1429016378247994470&as_sdt=2005&sciodt=0,5&hl=en",345,"2025-04-12 20:20:55","","","","",,,,,15,0.83,8,2,18,"… The mechanism of the permanganate oxidation of 1,5-dienes was investigated by density functional theory calculations (B3LYP/6-311+G*). The experimentally observed (unexpected) …","","https://scholar.google.com/scholar?q=related:ZtyvI9Pi1BMJ:scholar.google.com/&scioq=source:%22chemical+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"FU Wehmeyer, R Langer","A hampered oxidative addition of pre-coordinated pincer ligands can favour alternative pathways of activation",2023,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/cc/d3cc00874f","https://scholar.google.com/scholar?cites=16703657586511489341&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-12 20:20:55","","","","",,,,,1,0.50,1,2,2,"… state, we investigated possible mechanistic pathways by means of quantum chemical investigations, using density functional theory at the B97D3/def2-TZVP level of theory. For the …","","https://scholar.google.com/scholar?q=related:PanGPRNQz-cJ:scholar.google.com/&scioq=source:%22chemical+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"A Gómez-Torres, JR Aguilar-Calderón…","Reversible oxidative-addition and reductive-elimination of thiophene from a titanium complex and its thermally-induced hydrodesulphurization chemistry",2020,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/cc/c9cc09267f","https://scholar.google.com/scholar?cites=8703048925814937295&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-12 20:20:55","","","","",,,,,17,3.40,6,3,5,"… to regenerate 1 – a rare example of early-metal mediated oxidative-addition/reductive-elimination chemistry. DFT calculations indicate strong titanium π-backdonation to the thiophene π…","https://par.nsf.gov/servlets/purl/10148955","https://scholar.google.com/scholar?q=related:z1YLJuNwx3gJ:scholar.google.com/&scioq=source:%22chemical+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"XY Sun, P Han, B Li, SJ Mao, TF Liu, S Ali…","Oxidative dehydrogenation reaction of short alkanes on nanostructured carbon catalysts: a computational account",2018,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/cc/c7cc06941c","https://scholar.google.com/scholar?cites=14225281087501994078&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 20:20:55","","","","",,,,,40,5.71,6,7,7,"… of nanostructured carbon catalysts in the oxidative dehydrogenation (ODH) reaction of short … We discuss the oxidation process by HNO3 on pristine and defective carbon materials. The …","","https://scholar.google.com/scholar?q=related:XoijwsdZasUJ:scholar.google.com/&scioq=source:%22chemical+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"H Ni, X He, K Zhong, H Chen, W Lai, Z Zhao…","Oxymetalation or oxidative cyclization? mechanism of Pd-catalyzed annulation of enynones",2021,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/cc/d1cc02744a","https://scholar.google.com/scholar?cites=16166190077813678016&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-12 20:20:55","","","","",,,,,1,0.25,0,7,4,"… an oxidative cyclization process with a Pd(0) species. The full catalytic cycle involves oxidative … In conclusion, DFT calculations were employed to exhibit the differences of enynone …","","https://scholar.google.com/scholar?q=related:wF-HPznYWeAJ:scholar.google.com/&scioq=source:%22chemical+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
55,"A Wagner, E Kaifer, HJ Himmel","Diborane (4)–metal bonding: between hydrogen bridges and frustrated oxidative addition",2012,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2012/cc/c2cc31671d","https://scholar.google.com/scholar?cites=5407268072104464044&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-12 20:20:55","","","","",,,,,55,4.23,18,3,13,"… In addition to these experimental parameters, we inspected the charge density distribution in the complex [Cr{HB(hpp)} 2 (CO) 4 ] on the basis of quantum chemical (DFT) calculations. …","https://scholar.archive.org/work/wwhko7tiujfnfdxs4ayifmzu4y/access/wayback/http://pdfs.semanticscholar.org/71c2/bc420ff2edd621be31184640ee553651dd65.pdf","https://scholar.google.com/scholar?q=related:rA4Zo6l5CksJ:scholar.google.com/&scioq=source:%22chemical+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"K Gopakumar, V Samantaray, MK Prusty…","Internal charge-transfer in a metal-catalyzed oxidative addition reaction turns an inhibitive electric field stimulus to catalytic",2023,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/cc/d3cc04283a","https://scholar.google.com/scholar?cites=7137988321955734238&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 20:20:55","","","","",,,,,2,1.00,1,4,2,"… The EEF-induced catalytic resurgence in oxidative addition … Density functional theory (DFT) studies were conducted on … The effect of EEF on the oxidative addition reaction in the PtCl 2 (…","","https://scholar.google.com/scholar?q=related:3uIOZY86D2MJ:scholar.google.com/&scioq=source:%22chemical+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Luo, M Zhang, Y Xia","Isatoic anhydride as a masked directing group and internal oxidant for Rh (iii)-catalyzed decarbonylative annulation through C–H activation: insights from DFT …",2024,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cc/d4cc03733b","",7,"2025-04-12 20:20:55","","","","",,,,,0,0.00,0,3,1,"… In summary, DFT insights were provided for the Rh(III)-catalyzed decarbonylative annulation of isatoic anhydrides with alkyne. A new mechanism was uncovered to show that the …","","https://scholar.google.com/scholar?q=related:-BFiS5UbtwAJ:scholar.google.com/&scioq=source:%22chemical+communications%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
