Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
238,"KUD Calvinho, AB Laursen, KMK Yap, ...","Selective CO 2 reduction to C 3 and C 4 oxyhydrocarbons on nickel phosphides at overpotentials as low as 10 mV",2018,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/6o/c8ee00936h","https://scholar.google.com/scholar?cites=8996075932669766401&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 11:19:16","","","","",,,,,238,34.00,60,4,7,"… 2 to CH 4 on copper, based on density functional theory (DFT), 25 that involves initial reduction to … Under an argon atmosphere, the reductive current due to hydrogen evolution sharply …","https://pubs.rsc.org/en/content/getauthorversionpdf/c8ee00936h","https://scholar.google.com/scholar?q=related:Aes4w2V72HwJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
196,"S Yin, X Zhao, E Jiang, Y Yan, P Zhou, ...","Boosting water decomposition by sulfur vacancies for efficient CO 2 photoreduction",2022,"… & Environmental Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/ee/d1ee03764a","https://scholar.google.com/scholar?cites=13714982807717577762&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 11:19:16","","","","",,,,,196,65.33,33,6,3,"… For a long time, researchers have only focused on the former by investigating reductive CO 2 … We further used DFT calculations to investigate the effect of S-vacancies on the water …","","https://scholar.google.com/scholar?q=related:IoSY0jJoVb4J:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"X Zhang, C Pei, ZJ Zhao, J Gong","Towards green and efficient chemical looping ammonia synthesis: design principles and advanced redox catalysts",2024,"Energy & Environmental Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/ee/d4ee00037d","https://scholar.google.com/scholar?cites=6567296607094542277&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 11:19:16","","","","",,,,,11,11.00,3,4,1,"… hydrogen atoms are highly reductive and have a chemical … of redox catalysts, density functional theory (DFT) calculation is an … This group also employed DFT calculation to quantify the …","","https://scholar.google.com/scholar?q=related:xY9_GHi5I1sJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
581,"M Saubanère, E McCalla, JM Tarascon, ...","The intriguing question of anionic redox in high-energy density cathodes for Li-ion batteries",2016,"… Environmental Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2016/ee/c5ee03048j","https://scholar.google.com/scholar?cites=4617470966115451279&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-13 11:19:16","","","","",,,,,581,64.56,145,4,9,"… Here we use different model calculations within the framework of density functional theory (DFT… Instead, a reductive elimination is predicted for MnO 3 leading to a significant reduction of …","https://pubs.rsc.org/en/content/getauthorversionpdf/c5ee03048j","https://scholar.google.com/scholar?q=related:j8H9F2GNFEAJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
42,"Q Dou, N Yao, WK Pang, Y Park, P Xiong, ...","Unveiling solvation structure and desolvation dynamics of hybrid electrolytes for ultralong cyclability and facile kinetics of Zn–Al alloy anodes",2022,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/ok/d2ee02453e","https://scholar.google.com/scholar?cites=11062117433188985635&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 11:19:16","","","","",,,,,42,14.00,7,6,3,"… , which is considerably lower than the reductive potential of H 2 O (… was estimated using density functional theory (DFT) calculations (… The E 0 result for DMF-HE agrees well with the DFT …","","https://scholar.google.com/scholar?q=related:I6viJDKJhJkJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"W Hou, Y Ou, T Zeng, Q Feng, Q Cao, P Zhou, ...","Rational molecular design of electrolyte additive endows stable cycling performance of cobalt-free 5 V-class lithium metal batteries",2024,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2000/pn/d4ee03280b","https://scholar.google.com/scholar?cites=4906149017211999793&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-13 11:19:16","","","","",,,,,9,9.00,1,7,1,"… the highly oxidative LNMO cathode and highly reductive Li anode, which has greatly hindered … calculated using density functional theory (DFT) (Fig. 2b and Fig. S4, respectively, ESI†). …","","https://scholar.google.com/scholar?q=related:MZYNiokkFkQJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
91,"W Liu, W You, Y Gong, Y Deng","High-efficiency electrochemical hydrodeoxygenation of bio-phenols to hydrocarbon fuels by a superacid-noble metal particle dual-catalyst system",2020,"Energy & Environmental Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/ee/c9ee02783a","https://scholar.google.com/scholar?cites=17941275419769929395&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-13 11:19:16","","","","",,,,,91,18.20,23,4,5,"… Therefore, phenol was firstly hydrogenated with the reductive equivalent, H*, which is … with our density functional theory (DFT) calculations. The solvated DFT calculations indicate a …","","https://scholar.google.com/scholar?q=related:s37V9O82_PgJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
102,"V Fourmond, S Canaguier, B Golly, MJ Field, ...","A nickel–manganese catalyst as a biomimic of the active site of NiFe hydrogenases: a combined electrocatalytical and DFT mechanistic study",2011,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2011/ee/c0ee00736f","https://scholar.google.com/scholar?cites=3614661087848364616&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-13 11:19:16","","","","",,,,,102,7.29,20,5,14,"… two hydride intermediates react together and eliminate H 2 for the following reasons: (i) from DFT-calculated enthalpies such bimolecular reductive eliminations are very endothermic; (ii…","","https://scholar.google.com/scholar?q=related:SPqgrBvbKTIJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
770,"J Muldoon, CB Bucur, AG Oliver, T Sugimoto, ...","Electrolyte roadblocks to a magnesium rechargeable battery",2012,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2012/ee/c2ee03029b","https://scholar.google.com/scholar?cites=12217696990202739202&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-13 11:19:16","","","","",,,,,770,59.23,154,5,13,"… may aid in the screening of electrolyte candidates by modeling their oxidative and reductive … and eliminate reactions between the electrolyte and electrodes. In conclusion, DFT …","https://www.academia.edu/download/49180045/10.1039_c2ee03029b.pdf","https://scholar.google.com/scholar?q=related:ArpkMq76jakJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"H Li, B Huang, M Chuai, Z Zheng, H Chen, ...","Dual-plating aqueous Zn–iodine batteries enabled via halogen-complexation chemistry for large-scale energy storage",2025,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2013/q9/d5ee00027k","",10,"2025-04-13 11:19:16","HTML","","","",,,,,0,0.00,0,6,1,"… The halogenation-complex mechanism is further analyzed via density functional theory (DFT) … DFT calculations were conducted to depict the dominant Raman modes of G4, zinc iodide …","https://pubs.rsc.org/en/content/articlehtml/2013/q9/d5ee00027k","https://scholar.google.com/scholar?q=related:VbdGsaapXL0J:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
