Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"J Xu, Y Liu, C Liu, D Zhang","DFT computational insight into Pd (0)-catalyzed oxidative cross-coupling of 1, 2-allenyl ketones and aryl boronic acids: Pd (ii)-carbenoid intermediate versus π-allyl-Pd …",2023,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/cy/d2cy01506d?casa_token=bGQPepmTkcsAAAAA:_IbGxmV_3cMeJVFL-0lE6yQmUyon4qjEc78sD_2kdwgtcr2lTYC7Uz2cZ2A5AFEaiW_VLsDuP9Zhpw&casa_token=AtlvEkXUh8UAAAAA:IwjXFdZvr92BFT3TH-IhAdvphUOxg30ynb32uliMge1caEK5nzssVr5bSdx5wOvaDyRXLcOZd9O03Q","https://scholar.google.com/scholar?cites=8642244312697128455&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 10:57:39","","","","",,,,,2,1.00,1,4,2,"… a substantial role in the oxidative transmetalation process. … In conclusion, by performing DFT calculations we have shown … involves the key oxidative transmetalation process instead of …","https://pubs.rsc.org/en/content/articlepdf/2022/cy/d2cy01506d?casa_token=C-k4iUCo1NIAAAAA:egBj49NG1G1imCcjYLFt2XTRbvfHOjsug0rEKM9bgptY31YB4s2d3sbDz-BTmsEq2NlMJXZ1xN5ShA","https://scholar.google.com/scholar?q=related:B8Zz8Glr73cJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"Q Wang, HM Jiang, S Zhuo, LP Xu","Mechanism, reactivity, and selectivity in a palladium-catalyzed organosilicon-based cross coupling reaction",2022,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/cy/d1cy01890f?casa_token=UD1c2clmOrwAAAAA:EoVt-T3ZtW6oXEYmUf1t_Py4HZz6DUU2Ftswym2ypB1kGMwKwwA6mBQgrYfqY9GwDY5FeseoeicSqA&casa_token=2SfmG6aVvVIAAAAA:lg7hgT53T5ksSS8fH3JJ460YekVOHNyhC0VfA14oQYM8hSwaIgpUP8eFrS0wbEll64P9noZR5-O-kg","https://scholar.google.com/scholar?cites=318863967445635914&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 10:57:39","","","","",,,,,7,2.33,2,4,3,"… Therefore, herein we performed a systematic density functional theory study on the Pd-… , we calculated the pathways associated with transmetalation with both t BuO − (from t BuOH…","https://pubs.rsc.org/en/content/articlepdf/2010/wn/d1cy01890f?casa_token=erW9y0rCSWwAAAAA:XX3YxfahWMoO9xSEHf1Z9sIOI07sASNcAVAnoHmQADBcaC_eGH6ktE6itzRIg51yLLWvn2nZeRS1ew","https://scholar.google.com/scholar?q=related:StNExxbVbAQJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"L Liu, Y Liu, Y Yang, C Liu, D Zhang","DFT calculations reveal the origin of controllable synthesis of β-boronyl carbonyl compounds from Cu/Pd-cocatalyzed four-component borocarbonylation of …",2023,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/90/d2cy01936a?casa_token=se8Ar3q5PzEAAAAA:WZogegGRK-AZOUKeSnwZBRhDktE4FNLMBwwrDrrghdDUOuyK0wi9_-S0cJDoyHbLE7pQx6cVf4aK4A&casa_token=eDmyyXbc17cAAAAA:7jNKGub7ZWU4RssXE5eZj8VQEyuaJJIGs7-hNw8Dj7rVXVQGKOxEtLMmgtyzWx3sj79Uu2JuYYXULA","https://scholar.google.com/scholar?cites=14325349955408158526&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 10:57:39","","","","",,,,,2,1.00,0,5,2,"… of P 3 via transmetalation between the aryl palladium halide … of P 1 , where the transmetalation occurs between 4 and 6. … by performing density functional theory (DFT) calculations, …","https://pubs.rsc.org/en/content/articlepdf/2017/90/d2cy01936a?casa_token=o9oF3GZNh6kAAAAA:tZCe_h0CISkIrnm22NRAGOvf6pTwI98Ul4cBiI5jm6joJHch8qe6V2XIlKr0UebLnmXualazThx2cg","https://scholar.google.com/scholar?q=related:Pt9Cr-LdzcYJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"RW Gao, YJ Dong, B Zhu, W Guan","Bifunctionality of Zn dust in Ullmann C–C cross-coupling by Ni/Pd dual catalysis: theoretical insight",2023,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2002/bd/d3cy00683b?casa_token=Ci8TnnF2qCAAAAAA:ybv9UWRvNVrYUZihQwg_t_q-PNnE7V7wniJ0crrKMaxo-8D85NKMwGTD8LRgd5o4SEKUT1f9nt94Pg&casa_token=MOn3MChb42cAAAAA:mGNMO3PqO7fCcJ3Z9Jc0qV1foMu_AwpO_Ik2YBzz-R8S4ST0uzk9kDZClAsoZJmPk0Vi5kdvuOPevQ","https://scholar.google.com/scholar?cites=11594843579528441518&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-13 10:57:39","","","","",,,,,2,1.00,1,4,2,"… Considering that the organic Zn reagent could promote the transmetalation, we evaluated … Pd dual catalysis has been investigated by DFT calculations. The present calculation identifies …","https://pubs.rsc.org/en/content/articlepdf/2023/cy/d3cy00683b?casa_token=P0rJ2EnX8_IAAAAA:Dy4Cm9dN0M1gSXzQWGdhVxun_7yneqDqrT9RowM9NBXwPHqY0wXqPI0REY-lQlotAZ7-nxnS4ajekw","https://scholar.google.com/scholar?q=related:ru4CsM0o6aAJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"CQ Li, G Leng, W Li","Hydroboration of carbon dioxide with pinacolborane catalyzed by various aluminum hydrides: a comparative mechanistic study",2022,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/cy/d2cy01024k?casa_token=CdjFO0ceCp0AAAAA:C_1BrwWmlnH_bTOnrye4aUFALpUJTUq8WQXxjDFCzaPvZLOaK2OD31CT7954wXaa_TwJRCe8tHpzrg","https://scholar.google.com/scholar?cites=4861176535258521654&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 10:57:39","HTML","","","",,,,,5,1.67,2,3,3,"… However, transmetalation of the Al formate intermediate with more reactive borane agents … of transmetalation of the Al formate intermediate with hydroboranes. 6e Indeed, our early DFT …","https://pubs.rsc.org/en/content/articlehtml/2022/cy/d2cy01024k?casa_token=CdjFO0ceCp0AAAAA:C_1BrwWmlnH_bTOnrye4aUFALpUJTUq8WQXxjDFCzaPvZLOaK2OD31CT7954wXaa_TwJRCe8tHpzrg","https://scholar.google.com/scholar?q=related:NmCMnk1edkMJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"N Cabrera-Lobera, MT Quirós, E Buñuel, ...","Atom-economical regioselective Ni-catalyzed hydroborylative cyclization of enynes: development and mechanism",2019,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/sc/c8cy02568a?casa_token=IkuFZruXRAQAAAAA:UvaHb5jlK--UJYycQy6ygP8123AZuypvZG1YYQ94Go40FfkATvU_3Pzse69Q0d8IF11i2N1BIzWbfg&casa_token=vyti2fkkHuIAAAAA:COFy3qLd8nkJfuJXAUTHoQlMV7xGZ8gU45aRxC_Dl2VyA0xaJyRNOBFPIOLs3KYVqtk9nvORovCPOA","https://scholar.google.com/scholar?cites=7040099528576665941&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-13 10:57:39","","","","",,,,,26,4.33,7,4,6,"… cyclization, involving B 2 pin 2 , no transmetalation reaction is expected in this case. Both … With these results in hand, we performed a detailed computational study at the DFT level to …","https://pubs.rsc.org/en/content/articlepdf/2019/cy/c8cy02568a?casa_token=KRnMHYRJ09IAAAAA:ueq47TKnL2nR8K6e64adkg3eMQP-xs0mB_OFuY3QyKrpIWcYh70zQLQQBsciMZI9pbIpOwkl25LJuw","https://scholar.google.com/scholar?q=related:VQk1oDh1s2EJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"X Lv, L Zhang, B Sun, Z Li, YB Wu, G Lu","Computational studies on the Rh-catalyzed carboxylation of a C (sp 2)–H bond using CO 2",2017,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/cy/c7cy01163f?casa_token=YbtCQvBaHFEAAAAA:_p7G5gFcauhRPsGWHG-GBh3MUdCss727keZCSmHiL3wbBgmuvdx-akzrCtawF3Zp7m9dL4HIZJHwTQ&casa_token=HRfNq8m63MkAAAAA:JiIetWHQCE5jymIjdjhcgr3ZaQ_93qOKzgjEvU__NxZr_ykht9KzJsqJJR55joMFKKwtmOhkVzLgJA","https://scholar.google.com/scholar?cites=2752610669581590428&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-13 10:57:39","","","","",,,,,18,2.25,3,6,8,"… density functional theory (DFT) calculations. The catalytic cycle involves sequential C–H oxidative addition, CO 2 insertion into the Rh–C(aryl) bond and transmetalation. … summary, DFT …","https://pubs.rsc.org/en/content/articlepdf/2017/cy/c7cy01163f?casa_token=wHh8KEm_DDoAAAAA:GX9RynT6saiGUggnCIZlqfRV8Bdnyqe5XYXnhMnGLeGMUpFtUGiUS38Fmi49inFU0Qk_CEQ59k81OA","https://scholar.google.com/scholar?q=related:nF9c7dE8MyYJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"M Kondo, T Joutsuka, K Fujiwara, T Honma, ...","Catalysis of surface dispersed Cu 2+ species on t-ZrO 2: square-planar Cu catalyzed cross-coupling of arylboronic acid and imidazole",2023,"… Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/cy/d3cy00024a?casa_token=U3Lz1lEY5ioAAAAA:NR9eMnvK-Q6QDYJlawdZh3rBI9IUEelmfxnjZIYDvsuCEaHrNeltQqyduqSo0tKMbyjsCb-bn05VGQ&casa_token=gCJaWAOXQhYAAAAA:wLJYzlqUHlL53a7Uv1t4OpsXflk03166kreDQPexy8N72M7Hr5MFeWSRuYy-D3omn22yYvLQPIsDZw","https://scholar.google.com/scholar?cites=9186627713512436363&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-13 10:57:39","","","","",,,,,5,2.50,1,5,2,"… , and DFT calculations, we assumed that the highly reducible square planar [CuO 4 ] in CuO/t-ZrO 2 exhibited superior performance because of the smooth transmetalation from Cu–O …","https://pubs.rsc.org/en/content/articlepdf/2023/cy/d3cy00024a?casa_token=etA3Rh9o9EYAAAAA:wdLaHhoQCGWK_n01viS1y1KfUC1VJ3tHt93RkG5RGI1w6TvogjD68G7O9Hba64XaUrW68tFy20Bs8A","https://scholar.google.com/scholar?q=related:i_Kqizt1fX8J:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"MV Polynski, EA Pidko","Intermetallic species in the Negishi coupling and their involvement in inhibition pathways",2019,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/cy/c9cy00752k","https://scholar.google.com/scholar?cites=1169192021909163541&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-13 10:57:39","","","","",,,,,11,1.83,6,2,6,"… on in situ catalyst inhibition were investigated by DFT calculations carried out at two levels of … Zinc reagents rapidly undergo transmetalation and thus the Negishi reaction, unlike the …","https://pubs.rsc.org/zh-hans/content/articlepdf/2019/cy/c9cy00752k","https://scholar.google.com/scholar?q=related:Fc4dBPPNORAJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"T Yaman, JN Harvey","Computational mechanistic analysis of a cationic Suzuki–Miyaura reaction without added base",2023,"Catalysis Science & Technology","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/cy/d2cy01780f?casa_token=iscZhfDxRcYAAAAA:L4rG9kf8CDDAey8H32hMw8c4-N3S1kE_B-1fV9grYKEtg-nMnLzDM3UCfja3JrsXkTQXe7ZEPMlVUg&casa_token=cX0XYDH2E1wAAAAA:qAwX_LLbcG04OIb7dIaJ8Y9B8ihF2yEi-DuRMu6_8_TJg9SyxGA8g38-_Km-Yn3tvot6Q5-5b7_6cA","https://scholar.google.com/scholar?cites=5113932616981303988&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-13 10:57:39","","","","",,,,,2,1.00,1,2,2,"… Novel density functional theory (DFT) calculations are used with regard to the mechanism of … Our calculations, which address the transmetalation and reductive elimination steps, also …","https://pubs.rsc.org/en/content/articlepdf/2023/cy/d2cy01780f?casa_token=TyQmCd-zcqwAAAAA:uQl9bDWRTKtIIqRjdGnDTBtaYna69wpfmT1svapuRILSQ0RKB_w5W6HigSY6l6X14hPghSUZilonoA","https://scholar.google.com/scholar?q=related:tFJ00J5W-EYJ:scholar.google.com/&scioq=source:%22catalysis+science%22+source:technology+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
