Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"X Hu, B Shen, J Zhang, P Yu","Mechanistic insights into the stereocontrolling non-covalent π interactions in Pd-catalyzed redox-relay Heck arylation reaction",2025,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cc/d5cc00650c?casa_token=nl4-n9mExngAAAAA:HlB3yybMiQlSoEhXkNfvlrTMXJDkUUhcWCOn4kWKp52vVK74Vyg4UO0V4GyrYt1DdsR-A5WKkwGg5w","",1,"2025-04-12 20:20:46","HTML","","","",,,,,0,0.00,0,4,1,"… elimination, and a subsequent re-insertion/elimination process to yield an enol intermediate, which tautomerizes to the more stable carbonyl product. Results from DFT … , we utilized DFT …","https://pubs.rsc.org/en/content/articlehtml/2025/cc/d5cc00650c?casa_token=nl4-n9mExngAAAAA:HlB3yybMiQlSoEhXkNfvlrTMXJDkUUhcWCOn4kWKp52vVK74Vyg4UO0V4GyrYt1DdsR-A5WKkwGg5w","https://scholar.google.com/scholar?q=related:0XZQ4ZYC8RIJ:scholar.google.com/&scioq=source:%22chemical+communications%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"Z Wang, X Chen, Y Hu, H Li, YF Yang, Y Liu…","Deconstructive isomerization of azetidinols via C–C bond cleavage enabled by N-heterocyclic carbene (NHC) catalysis",2022,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/cc/d2cc03104c?casa_token=D7Loc65eDLwAAAAA:ots7BhsJoV-ZPUbYYbZnyC0ogLzoiuLSvFU1LPjDAdsi3vPuRbvgaeIdCmORTjGSdKVm1W_fh8dQ6A","https://scholar.google.com/scholar?cites=10098677740354105158&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-12 20:20:46","HTML","","","",,,,,4,1.33,1,7,3,"… DFT calculation supports our proposed reaction mechanism that the NHC activates the alcohol and facilitates the ring-opening of azetidinol via concerted C–C bond cleavage. The …","https://pubs.rsc.org/en/content/articlehtml/2022/cc/d2cc03104c?casa_token=D7Loc65eDLwAAAAA:ots7BhsJoV-ZPUbYYbZnyC0ogLzoiuLSvFU1LPjDAdsi3vPuRbvgaeIdCmORTjGSdKVm1W_fh8dQ6A","https://scholar.google.com/scholar?q=related:Rm_zVua1JYwJ:scholar.google.com/&scioq=source:%22chemical+communications%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"CH Chang, CT Yen, TP Goncalves, YS Lin…","Substrate-directed regioselective alkene functionalizations of (E)-β, γ-unsaturated carboxylic acids",2024,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cc/d4cc03581j?casa_token=LP3pm3mEqaIAAAAA:T5WLizv0shrLzYgf9zr-4kaQGBgj8zkVq7xhEiVlWHz5gVSQHdihp5jdogDpxwRz2IB4yIoGV6if7Q","https://scholar.google.com/scholar?cites=8586121761148392487&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 20:20:46","HTML","","","",,,,,1,1.00,0,5,1,"… both kinetic experiments and the DFT calculations (see detail in … γ rotation followed by β-hydride elimination from intermediate C-Pd-… f reductive elimination to give the lactone product 5. …","https://pubs.rsc.org/en/content/articlehtml/2024/cc/d4cc03581j?casa_token=LP3pm3mEqaIAAAAA:T5WLizv0shrLzYgf9zr-4kaQGBgj8zkVq7xhEiVlWHz5gVSQHdihp5jdogDpxwRz2IB4yIoGV6if7Q","https://scholar.google.com/scholar?q=related:J1SAI0AIKHcJ:scholar.google.com/&scioq=source:%22chemical+communications%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Luo, X Chen, Y Han, X Zhang, L Zhang…","Base controlled regio-divergent C–H bond functionalization",2025,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/cc/d4cc06431c?casa_token=X69SWc55nUkAAAAA:3r5NrdvbPlC6rgflQpMk0jRaM6bWl5B_VAubSsBf_y1eCKdzcENsHqHKFo2x2SDg8immbnuY0CuA9A","",4,"2025-04-12 20:20:46","","","","",,,,,0,0.00,0,6,1,"… DFT calculations show that KHMDS deprotonates the benzylic C(sp3)–H bond of 2… and a KH elimination reaction resulting in 7-8. Finally, the more acidic C–H bond of 7-8 is …","https://pubs.rsc.org/en/content/articlepdf/2025/cc/d4cc06431c?casa_token=2YGgHjMtV50AAAAA:-eljA8RYr3QviLZTD5RiU-b8I98tn5CPqHAO75VgpMZulMuIP428K22XgYr1gE57zdnU-pNFAJQaJQ","https://scholar.google.com/scholar?q=related:-rJgkmUm-44J:scholar.google.com/&scioq=source:%22chemical+communications%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"H Fan, Y Fang, J Yu","Direct alkene functionalization via photocatalytic hydrogen atom transfer from C (sp 3)–H compounds: a route to pharmaceutically important molecules",2024,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cc/d4cc05026f?casa_token=QrlFfROIYXcAAAAA:aMfvTyjPOW3hNkp5Y_x8PSy5ugBXbC8AC9Kcy72z-4Tp_s0qMPI0cRQmwUJUxJDYMJQJ-DOSheVeLA","",5,"2025-04-12 20:20:46","HTML","","","",,,,,0,0.00,0,3,1,"… Reductive elimination from alkyl–Ni III species produces the desired product and Ni I complex. Density functional theory (DFT) calculations suggest that the hydrogen bonding between α…","https://pubs.rsc.org/en/content/articlehtml/2024/cc/d4cc05026f?casa_token=QrlFfROIYXcAAAAA:aMfvTyjPOW3hNkp5Y_x8PSy5ugBXbC8AC9Kcy72z-4Tp_s0qMPI0cRQmwUJUxJDYMJQJ-DOSheVeLA","https://scholar.google.com/scholar?q=related:Rw8s5rg8fAIJ:scholar.google.com/&scioq=source:%22chemical+communications%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"A Samanta, P Behera, A Chaubey, A Mondal…","Experimental and theoretical insights for designing Zn 2+ complexes to trigger chemo-selective hetero-coupling of alcohols",2024,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cc/d4cc00864b?casa_token=4uGoaUqPlJkAAAAA:2R5vp3P9Kltvvale4e4dss4cbqiL7Qy4PfJGGwFZdqnAK13yfgFmRuU42sJF-QxMYxO7WabkLiCSwg","https://scholar.google.com/scholar?cites=16079001055722195494&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 20:20:46","HTML","","","",,,,,5,5.00,1,5,1,"… Next, DFT calculation is performed to understand the catalytic pathway (Scheme 6) in detail (… Alkylated ketone 4a forms an adduct V′A and elimination of 1a′ produces VI′A which …","https://pubs.rsc.org/en/content/articlehtml/2024/cc/d4cc00864b?casa_token=4uGoaUqPlJkAAAAA:2R5vp3P9Kltvvale4e4dss4cbqiL7Qy4PfJGGwFZdqnAK13yfgFmRuU42sJF-QxMYxO7WabkLiCSwg","https://scholar.google.com/scholar?q=related:JspzHUUWJN8J:scholar.google.com/&scioq=source:%22chemical+communications%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"T Sugahara, JD Guo, T Sasamori, S Nagase…","Reversible addition of terminal alkenes to digermynes",2018,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2018/cc/c7cc08555a?casa_token=974whi_o1WEAAAAA:5opqPnKpWYMDaCtYmLjYF2nZOSG_oqQS60IXRhYXL1hf9-a9NQvcZLu78ZTgzL5JKkslca-cCXH-3w","https://scholar.google.com/scholar?cites=16753060383209557320&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-12 20:20:46","HTML","","","",,,,,27,3.86,5,5,7,"… knowledge on “reductive elimination” strategies for small … undergo only a slow reductive elimination of the alkene to give … In order to examine this equilibrium in more detail, DFT …","https://pubs.rsc.org/en/content/articlehtml/2018/cc/c7cc08555a?casa_token=974whi_o1WEAAAAA:5opqPnKpWYMDaCtYmLjYF2nZOSG_oqQS60IXRhYXL1hf9-a9NQvcZLu78ZTgzL5JKkslca-cCXH-3w","https://scholar.google.com/scholar?q=related:SA3gMajTfugJ:scholar.google.com/&scioq=source:%22chemical+communications%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"B Zhu, Z Li, F Chen, W Xiong, X Tan, M Lei…","Palladium-catalyzed oxidative Heck reaction of non-activated alkenes directed by fluorinated alcohol",2022,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/cc/d2cc04921j?casa_token=nT7jEWNgnDoAAAAA:gIWrzLqxehfRKCNdN2vtAeOG0gtqH1aElwA9i-9D5w8rZqcoDZ_CrgMd12vJ636DLtQw2KtarFPY8A","https://scholar.google.com/scholar?cites=11202766786480215427&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-12 20:20:46","HTML","","","",,,,,5,1.67,1,7,3,"… subsequent β-H elimination and reductive elimination. Moreover, … Additionally density functional theory (DFT) calculations … β-H elimination and reductive elimination during the reaction. …","https://pubs.rsc.org/en/content/articlehtml/2022/cc/d2cc04921j?casa_token=nT7jEWNgnDoAAAAA:gIWrzLqxehfRKCNdN2vtAeOG0gtqH1aElwA9i-9D5w8rZqcoDZ_CrgMd12vJ636DLtQw2KtarFPY8A","https://scholar.google.com/scholar?q=related:g5WymQk5eJsJ:scholar.google.com/&scioq=source:%22chemical+communications%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
36,"D Fujita, H Sugimoto, Y Shiota, Y Morimoto…","Catalytic C–H amination driven by intramolecular ligand-to-nitrene one-electron transfer through a rhodium (III) centre",2017,"… Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/cc/c7cc01840a?casa_token=RVFwnci85agAAAAA:s2D4LSr6PgxHGrW0P-nC3AIwR2e1E34yKHCFAwI2pxH67GxViuSZLHl4d_9usW4d6W3KrPUagZ4oSQ","https://scholar.google.com/scholar?cites=9720540949470963587&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-12 20:20:46","HTML","","","",,,,,36,4.50,7,5,8,"… supported by DFT calculation shown in Fig. S8 (ESI†), where the N 2 elimination proceeds … The DFT calculation study (B3LYP/SDD) indicated that 3 H -OSS and 3 H -T were close to …","https://pubs.rsc.org/en/content/articlehtml/2017/cc/c7cc01840a?casa_token=RVFwnci85agAAAAA:s2D4LSr6PgxHGrW0P-nC3AIwR2e1E34yKHCFAwI2pxH67GxViuSZLHl4d_9usW4d6W3KrPUagZ4oSQ","https://scholar.google.com/scholar?q=related:g-fa7X1M5oYJ:scholar.google.com/&scioq=source:%22chemical+communications%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"B Garai, A Das, DV Kumar…","Enantioselective C–H bond functionalization under Co (III)-catalysis",2024,"Chemical Communications","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/cc/d3cc05329f?casa_token=guopQaAjyy8AAAAA:JOujJjkPkShHc8-LCRVc9pRuGHphlHq0-trd9T4chR4CESlYNlnVE3KaeL2V-peyLlFoGFsrTIsuEQ","https://scholar.google.com/scholar?cites=9519270336520816238&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-12 20:20:46","HTML","","","",,,,,16,16.00,4,4,1,"… bromide; subsequently, ligand exchange and reductive elimination gave the expected product (Scheme 10e). Furthermore, DFT studies suggested that the energy difference between …","https://pubs.rsc.org/en/content/articlehtml/2024/cc/d3cc05329f?casa_token=guopQaAjyy8AAAAA:JOujJjkPkShHc8-LCRVc9pRuGHphlHq0-trd9T4chR4CESlYNlnVE3KaeL2V-peyLlFoGFsrTIsuEQ","https://scholar.google.com/scholar?q=related:boY8ke89G4QJ:scholar.google.com/&scioq=source:%22chemical+communications%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
