Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
34,"J Guo, X Deng, C Song, Y Lu, S Qu, Y Dang…","Differences between the elimination of early and late transition metals: DFT mechanistic insights into the titanium-catalyzed synthesis of pyrroles from alkynes …",2017,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2016/sc/c6sc04456e","https://scholar.google.com/scholar?cites=16086979738248522835&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-12 19:14:26","HTML","","","",,,,,34,4.25,5,7,8,"… place via a reductive elimination (Scheme 1). While reductive elimination is a ubiquitous … experimental advances, we applied density functional theory (DFT) computations to gain an …","https://pubs.rsc.org/en/content/articlehtml/2016/sc/c6sc04456e","https://scholar.google.com/scholar?q=related:U6w159ZuQN8J:scholar.google.com/&scioq=source:%22chemical+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"K Yuan, T Feoktistova, PHY Cheong, RA Altman","Arylation of gem-difluoroalkenes using a Pd/Cu Co-catalytic system that avoids β-fluoride elimination",2021,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/sc/d0sc05192f","https://scholar.google.com/scholar?cites=7088429649427191959&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-12 19:14:26","HTML","","","",,,,,23,5.75,6,4,4,"… DFT and mechanistic experiments indicate that Pd plays two key roles in the reaction, first by facilitating the formation of a challenging C–C bond, and second by reacting through a β-…","https://pubs.rsc.org/en/content/articlehtml/2021/sc/d0sc05192f","https://scholar.google.com/scholar?q=related:l1h0xTUpX2IJ:scholar.google.com/&scioq=source:%22chemical+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
97,"Y Lan, P Liu, SG Newman, M Lautens, KN Houk","… study of Pd (0)-catalyzed carbohalogenation of alkenes: mechanism and origins of reactivities and selectivities in alkyl halide reductive elimination from Pd (II) species",2012,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2012/sc/c2sc20103h","https://scholar.google.com/scholar?cites=1195560396385797954&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-12 19:14:26","","","","",,,,,97,7.46,19,5,13,"… The mechanism of Pd(0)-catalyzed carbohalogenation of alkenes has been investigated with density functional theory. The catalytic cycle involves oxidative addition of the aryl halide, …","","https://scholar.google.com/scholar?q=related:QscZnth7lxAJ:scholar.google.com/&scioq=source:%22chemical+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"S Liu, J Jiang, J Chen, Q Wei, W Yao, F Xia, W Hu","A DFT calculation-inspired Rh (i)-catalyzed reaction via suppression of α-H shift in α-alkyldiazoacetates",2017,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2004/p1/c7sc00257b","https://scholar.google.com/scholar?cites=10214162629674285743&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-12 19:14:26","HTML","","","",,,,,30,3.75,4,7,8,"… (elimination) that results in alkenes as the main by-products. An intriguing α-alkyldiazoacetate-involved three-component reaction has been developed following DFT calculation …","https://pubs.rsc.org/en/content/articlehtml/2004/p1/c7sc00257b","https://scholar.google.com/scholar?q=related:rzrOc8v-v40J:scholar.google.com/&scioq=source:%22chemical+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
62,"G Smits, B Audic, MD Wodrich, C Corminboeuf…","A β-Carbon elimination strategy for convenient in situ access to cyclopentadienyl metal complexes",2017,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/sc/c7sc02986a","https://scholar.google.com/scholar?cites=11434183245660621195&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-12 19:14:26","HTML","","","",,,,,62,7.75,12,5,8,"… DFT computations indicated that the height of the β-C elimination barrier was not the issue. We hypothesized that the reaction rate could be negatively impacted by the increasing …","https://pubs.rsc.org/en/content/articlehtml/2017/sc/c7sc02986a","https://scholar.google.com/scholar?q=related:iwlTvhRhrp4J:scholar.google.com/&scioq=source:%22chemical+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
173,"NP Mankad, FD Toste","C (sp 3)–F reductive elimination from alkylgold (iii) fluoride complexes",2012,"Chemical Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2012/sc/c1sc00515d","https://scholar.google.com/scholar?cites=14448590478812979081&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-12 19:14:26","","","","",,,,,173,13.31,87,2,13,"… prior to C(sp 3 )–F reductive elimination. Kinetics of the decay of one cis-F 2 Au(… elimination with a chiral R group, and DFT analysis collectively suggest C(sp 3 )–F reductive elimination …","https://pmc.ncbi.nlm.nih.gov/articles/PMC3474378/pdf/nihms362201.pdf","https://scholar.google.com/scholar?q=related:iR-9En20g8gJ:scholar.google.com/&scioq=source:%22chemical+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"BV Pati, A Ghosh, K Yadav, SK Banjare, S Pandey…","Palladium-catalyzed selective C–C bond cleavage and stereoselective alkenylation between cyclopropanol and 1, 3-diyne: one-step synthesis of diverse …",2022,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc04780a","https://scholar.google.com/scholar?cites=12828415100319000292&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-12 19:14:26","HTML","","","",,,,,24,8.00,4,6,3,"… adducts was achieved by eliminating the possibility of di-… process was also validated using DFT calculations, and the rate… ) 4 , we performed density functional theory (DFT) calculations …","https://pubs.rsc.org/en/content/articlehtml/2022/sc/d1sc04780a","https://scholar.google.com/scholar?q=related:5GbF3ZCvB7IJ:scholar.google.com/&scioq=source:%22chemical+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"L Wu, C Kojima, KH Lee, S Morisako, Z Lin…","Mechanistic study on the reaction of pinB-BMes 2 with alkynes based on experimental investigation and DFT calculations: gradual change of mechanism …",2021,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/sc/d1sc02863d","https://scholar.google.com/scholar?cites=2388776063568768852&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-12 19:14:26","HTML","","","",,,,,11,2.75,2,6,4,"… B–C bond-forming reductive elimination with experimental observation of a diborylplatinum … centered transition state was recently proposed by DFT calculations. Two seminal reactions, …","https://pubs.rsc.org/en/content/articlehtml/2021/sc/d1sc02863d","https://scholar.google.com/scholar?q=related:VO_4bCyjJiEJ:scholar.google.com/&scioq=source:%22chemical+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"MA Mercadante, CB Kelly, TA Hamlin…","1, 3-γ-Silyl-elimination in electron-deficient cationic systems",2014,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2014/sc/c4sc01732c","https://scholar.google.com/scholar?cites=10961248667888409786&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-12 19:14:26","","","","",,,,,25,2.27,6,4,11,"… Density functional theory (DFT) calculations were performed with Gaussian 09 28 at the B3LYP level of theory 29 with the 6-31+g(d) basis set. The polarizable continuum model (PCM) …","","https://scholar.google.com/scholar?q=related:ulw2mJYtHpgJ:scholar.google.com/&scioq=source:%22chemical+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"PS Kulyabin, GP Goryunov, AN Iashin…","Reversible C–C bond formation in group 4 metal complexes: nitrile extrusion via β-aryl elimination",2024,"Chemical …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/sc/d4sc02173h","",10,"2025-04-12 19:14:26","HTML","","","",,,,,0,0.00,0,4,1,"… is a well-known transformation, β-carbon elimination with the release of nitrile has never been … the β-carbon elimination process in detail using NMR spectroscopy and DFT calculations …","https://pubs.rsc.org/en/content/articlehtml/2024/sc/d4sc02173h","https://scholar.google.com/scholar?q=related:IT0hW9_-_qkJ:scholar.google.com/&scioq=source:%22chemical+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
