Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
102,"V Fourmond, S Canaguier, B Golly, MJ Field…","A nickel–manganese catalyst as a biomimic of the active site of NiFe hydrogenases: a combined electrocatalytical and DFT mechanistic study",2011,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2011/ee/c0ee00736f","https://scholar.google.com/scholar?cites=3614661087848364616&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-14 00:48:45","","","","",,,,,102,7.29,20,5,14,"… No elimination of CO ligand was observed in any of our calculations of the one and two-electron reduced species as the Mn–CO bond orders remained slightly above unity in all redox …","","https://scholar.google.com/scholar?q=related:SPqgrBvbKTIJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
531,"WT Hong, KA Stoerzinger, YL Lee…","Charge-transfer-energy-dependent oxygen evolution reaction mechanisms for perovskite oxides",2017,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2014/kq/c7ee02052j","https://scholar.google.com/scholar?cites=10191254952450117795&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-14 00:48:45","","","","",,,,,531,66.38,133,4,8,"… fell below the OER potential energy, eliminating the barrier for electron transfer associated … We should note that density functional theory calculations of adsorbate binding energies on …","","https://scholar.google.com/scholar?q=related:o9A6OGKcbo0J:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
181,"F Li, S Luo, Z Sun, X Bao, LS Fan","Role of metal oxide support in redox reactions of iron oxide for chemical looping applications: experiments and density functional theory calculations",2011,"Energy & environmental science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2011/ee/c1ee01325d","https://scholar.google.com/scholar?cites=3164505287722753158&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-14 00:48:45","","","","",,,,,181,12.93,36,5,14,"… and periodic Density Functional Theory (DFT) calculations. Both experimental and DFT studies … The good agreements between experiments and DFT calculations confirm that the …","","https://scholar.google.com/scholar?q=related:hlyP_MqU6isJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"X Zhang, C Pei, ZJ Zhao, J Gong","Towards green and efficient chemical looping ammonia synthesis: design principles and advanced redox catalysts",2024,"Energy & Environmental Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/ee/d4ee00037d","https://scholar.google.com/scholar?cites=6567296607094542277&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-14 00:48:45","","","","",,,,,11,11.00,3,4,1,"… AN and BN after the elimination of elements that are radioactive… of redox catalysts, density functional theory (DFT) calculation is … This group also employed DFT calculation to quantify the …","","https://scholar.google.com/scholar?q=related:xY9_GHi5I1sJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
159,"Z Zhuang, Y Li, Y Li, J Huang, B Wei, R Sun…","Atomically dispersed nonmagnetic electron traps improve oxygen reduction activity of perovskite oxides",2021,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/ee/d0ee03701j","https://scholar.google.com/scholar?cites=13275523268714397117&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-14 00:48:45","","","","",,,,,159,39.75,23,7,4,"… By eliminating or minimizing the undesirable side effects of … Purple and magenta isosurfaces represent alpha and beta spin … Our density functional theory (DFT) computations further give …","","https://scholar.google.com/scholar?q=related:vX0nfxMiPLgJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"B Vinay, Y Nikodimos, T Agnihotri, SA Ahmed…","Fluorine-Free Electrolytes in Batteries: Principles, Strategies, and Advances",2025,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2025/ee/d4ee04820b","",6,"2025-04-14 00:48:45","","","","",,,,,0,0.00,0,5,1,"… Next, we explore various strategies for eliminating fluorine from electrolytes, including fluorine-free salts, solvents, additives, and diluents. We explore recent innovations in fluorine-free …","","https://scholar.google.com/scholar?q=related:guUc5nn3kwYJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"Y Xiong, QT Campbell, J Fanghanel…","Optimizing accuracy and efficacy in data-driven materials discovery for the solar production of hydrogen",2021,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/ee/d0ee02984j","https://scholar.google.com/scholar?cites=10702825198058052649&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-14 00:48:45","","","","",,,,,40,10.00,10,4,4,"… In specific terms, we eliminated elements with an LD 50 value lower than 250 mg kg −1 , 34 … our ab initio DFT+U calculations with the predictions from the Materials Project (DFT+U MP ), …","https://pubs.rsc.org/zh-tw/content/getauthorversionpdf/D0EE02984J","https://scholar.google.com/scholar?q=related:KZxZx88SiJQJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Zhao, J Wang, Y Wei, Z Zhuang, Y Dou…","From lab-scale to industrialization: atomically M–N–C catalysts for the oxygen reduction reaction",2025,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2011/ag/d5ee00074b","",8,"2025-04-14 00:48:45","","","","",,,,,0,0.00,0,6,1,"… Furthermore, density functional theory (DFT) revealed that precise modulation of the d orbital electronic structure of the Fe cation can lower the thermodynamic barrier for the ORR. As …","","https://scholar.google.com/scholar?q=related:8Z0KyEBhswwJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
547,"J Cao, D Zhang, X Zhang, Z Zeng, J Qin…","Strategies of regulating Zn 2+ solvation structures for dendrite-free and side reaction-suppressed zinc-ion batteries",2022,"… Environmental Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/y0/d1ee03377h","https://scholar.google.com/scholar?cites=15485142816601674388&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-14 00:48:45","","","","",,,,,547,182.33,91,6,3,"… 5a), 139 which effectively eliminated the free H 2 O-induced side reactions (Fig. 5b). … Furthermore, the density functional theory (DFT) calculations were conducted to investigate …","","https://scholar.google.com/scholar?q=related:lBK8D1lH5tYJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
238,"KUD Calvinho, AB Laursen, KMK Yap…","Selective CO 2 reduction to C 3 and C 4 oxyhydrocarbons on nickel phosphides at overpotentials as low as 10 mV",2018,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/6o/c8ee00936h","https://scholar.google.com/scholar?cites=8996075932669766401&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-14 00:48:45","","","","",,,,,238,34.00,60,4,7,"… Nørskov and co-workers have proposed a mechanism for the conversion of CO 2 to CH 4 on copper, based on density functional theory (DFT), 25 that involves initial reduction to …","https://pubs.rsc.org/en/content/getauthorversionpdf/c8ee00936h","https://scholar.google.com/scholar?q=related:Aes4w2V72HwJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
771,"J Muldoon, CB Bucur, AG Oliver, T Sugimoto…","Electrolyte roadblocks to a magnesium rechargeable battery",2012,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2012/ee/c2ee03029b","https://scholar.google.com/scholar?cites=12217696990202739202&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-04-14 00:48:45","","","","",,,,,771,59.31,154,5,13,"… elimination. The electrochemical stability window was improved by substituting alkyl groups on the Lewis acid with phenyl groups, therefore excluding β-H elimination … , DFT calculations …","https://www.academia.edu/download/49180045/10.1039_c2ee03029b.pdf","https://scholar.google.com/scholar?q=related:ArpkMq76jakJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
383,"N Li, T Yan, Z Li, T Thurn-Albrecht…","Comb-shaped polymers to enhance hydroxide transport in anion exchange membranes",2012,"… & Environmental Science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2012/ee/c2ee22050d","https://scholar.google.com/scholar?cites=14465316113911129791&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-04-14 00:48:45","","","","",,,,,383,29.46,77,5,13,"… the Hofmann elimination reaction could occur. Therefore, the degradation of comb-shaped membranes is due to both direct nucleophilic substitution and Hofmann elimination while the …","","https://scholar.google.com/scholar?q=related:vyZodV0gv8gJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
2129,"JR Varcoe, P Atanassov, DR Dekel…","Anion-exchange membranes in electrochemical energy systems",2014,"… environmental science","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c4ee01303d","https://scholar.google.com/scholar?cites=2761576945256204797&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-04-14 00:48:45","HTML","","","",,,,,2129,193.55,532,4,11,"… 51a Hofmann elimination reactions cannot occur with benzyl… with no β-Hs: Hofmann elimination cannot occur, but the degradation … This claimed alkali stability is also backed up by DFT …","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c4ee01303d","https://scholar.google.com/scholar?q=related:_YnnqZkXUyYJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1498,"HD Yoo, I Shterenberg, Y Gofer…","Mg rechargeable batteries: an on-going challenge",2013,"… & Environmental …","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2013/ee/c3ee40871j","https://scholar.google.com/scholar?cites=10020118885744572164&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-04-14 00:48:45","","","","",,,,,1498,124.83,375,4,12,"… and theoretical DFT calculations. The major conclusions derived from these studies were: … of the electro-oxidation reaction is β elimination, the elimination of hydrogen on carbon β to the …","","https://scholar.google.com/scholar?q=related:BPf8pwmdDosJ:scholar.google.com/&scioq=source:energy+source:%22environmental+science%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
