Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,"D Pan, G Luo, Y Yu, J Yang, Y Luo","Computational insights into Ir (iii)-catalyzed allylic C–H amination of terminal alkenes: mechanism, regioselectivity, and catalytic activity",2021,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/ra/d1ra03842g","https://scholar.google.com/scholar?cites=12441907060237789712&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 14:29:59","HTML","","","",,,,,4,1.00,1,5,4,"… Subsequently, the regioselective migratory insertion and protodemetalation gave the … To clarify these issues, we performed density functional theory (DFT) calculations on the model …","https://pubs.rsc.org/en/content/articlehtml/2021/ra/d1ra03842g","https://scholar.google.com/scholar?q=related:EOrlHY2IqqwJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"H Xu, X Zhang, Z Ke, C Zhao","A theoretical study of dirhodium-catalyzed intramolecular aliphatic C–H bond amination of aryl azides",2016,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2016/ra/c5ra24340h","https://scholar.google.com/scholar?cites=11378169955713330217&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 14:29:59","","","","",,,,,14,1.56,4,4,9,"… In this paper, we report a density functional theory (DFT) computational study of the mechanisms of this dirhodium catalyzed intramolecular aliphatic C–H bond amination of aryl azides. …","https://pubs.rsc.org/en/content/getauthorversionpdf/c5ra24340h","https://scholar.google.com/scholar?q=related:KaxQZEph550J:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"HM Yan, Y Tian, N Li, R Chang, ZX Zhang, XY Zhang…","Computational study on palladium-catalyzed alkenylation of remote δ-C (sp 3)–H bonds with alkynes: a new understanding of mechanistic insight and origins …",2018,"… advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2018/ra/c8ra06077k","https://scholar.google.com/scholar?cites=2065482790856104792&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 14:29:59","HTML","","","",,,,,4,0.57,1,7,7,"… with alkynes was conducted by density functional theory calculations. The present study … via a six-membered palladacycle and the migratory insertion process was found to be both the …","https://pubs.rsc.org/en/content/articlehtml/2018/ra/c8ra06077k","https://scholar.google.com/scholar?q=related:WBuppqcRqhwJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"MR Du, XB Zhang, SM Si, F Yang, L Wang","Theoretical insights into C–C bond formation through isonitrile insertion into a Cp* Ti complex",2017,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/ra/c7ra05680j","https://scholar.google.com/scholar?cites=8983943533482150313&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-13 14:29:59","HTML","","","",,,,,3,0.38,1,5,8,"… ), migratory insertion of the first isonitrile into a Ti–C bond, C–C reductive elimination, β-H elimination, migratory insertion … Herein, we used DFT calculations to theoretically examine the …","https://pubs.rsc.org/en/content/articlehtml/2017/ra/c7ra05680j","https://scholar.google.com/scholar?q=related:qQlfcwthrXwJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Z An, S Sun, B Dong","An investigation using DFT into the impact of hydrogen on oxygen migration processes during aluminum anodization",2024,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/ra/d3ra08693c","https://scholar.google.com/scholar?cites=17617436321210391055&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 14:29:59","HTML","","","",,,,,1,1.00,0,3,1,"… the migration of vacancies inside the alumina under the action of an electric field. Existing study had got the result of the migration and … Density functional theory (DFT) has been the most …","https://pubs.rsc.org/en/content/articlehtml/2024/ra/d3ra08693c","https://scholar.google.com/scholar?q=related:D1rPMv60ffQJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Liu, D Zhang, Y Gong, L Ma, L Li, W Chen","π–π stacking assisted regioselectivity regulation in palladium-catalyzed cyclization reactions: a theoretical study",2024,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06552b","",6,"2025-04-13 14:29:59","HTML","","","",,,,,0,0.00,0,6,1,"… The subsequent migratory insertion of the enyne triple bond into … In this work, DFT calculations were used to explore the … that these reactions proceeded via migratory insertion, S N 2-…","https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06552b","https://scholar.google.com/scholar?q=related:kcGRGTguyWUJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"Y Tanaka, K Murakami, S Doi, K Ito, K Saegusa…","Effects of A-site composition of perovskite (Sr 1− x Ba x ZrO 3) oxides on H atom adsorption, migration, and reaction",2021,"… advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/ra/d1ra00180a","https://scholar.google.com/scholar?cites=12136352908238816970&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-13 14:29:59","HTML","","","",,,,,5,1.25,1,6,4,"… We conducted DFT calculations to evaluate the H atom adsorption energies over Sr 1−x Ba x … The van der Waals dispersion forces were described using the DFT-D3 method proposed …","https://pubs.rsc.org/en/content/articlehtml/2021/ra/d1ra00180a","https://scholar.google.com/scholar?q=related:yoZaPKv8bKgJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"W Li, J Xue","Ion implantation of low energy Si into graphene: Insight from computational studies",2015,"Rsc Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/ra/c5ra17250k","https://scholar.google.com/scholar?cites=18309189085713985456&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-13 14:29:59","","","","",,,,,13,1.30,7,2,10,"… calculations based on the density functional theory (DFT), we … According to DFT calculations, they can be easily transferred … For an estimation of migration barrier we simply calculate the …","https://pubs.rsc.org/en/content/getauthorversionpdf/c5ra17250k","https://scholar.google.com/scholar?q=related:sO9wm3dOF_4J:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"M Jia, H Wang, Z Sun, Y Chen, C Guo, L Gan","Exploring ion migration in Li 2 MnSiO 4 for Li-ion batteries through strain effects",2017,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/ra/c7ra03528d","https://scholar.google.com/scholar?cites=4308290694007976778&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-13 14:29:59","HTML","","","",,,,,20,2.50,3,6,8,"… In this paper, we present a density functional theory investigation of a silicate type of Li 2 MnSiO 4 material. The influence of the crystal structure under biaxial strain on the ab, ac and bc …","https://pubs.rsc.org/en/content/articlehtml/2017/ra/c7ra03528d","https://scholar.google.com/scholar?q=related:SnN3VY8fyjsJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"SM Han, X Wang, S Miao, ZY Yu, T Liu","Mechanistic study on ligand-controlled copper-catalyzed regiodivergent silacarboxylation of allenes with carbon dioxide and silylborane",2017,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/ra/c7ra03723f","https://scholar.google.com/scholar?cites=11607409630059508467&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-13 14:29:59","HTML","","","",,,,,11,1.38,2,5,8,"… To account for the observed regioselectivity, density functional theory (DFT) calculations have … An intramolecular migratory insertion then occurs to form the vinylcopper intermediate 10A …","https://pubs.rsc.org/en/content/articlehtml/2017/ra/c7ra03723f","https://scholar.google.com/scholar?q=related:8zIlUo_NFaEJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
55,"SC Qi, J Hayashi, L Zhang","Recent application of calculations of metal complexes based on density functional theory",2016,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2016/ra/c6ra16168e","https://scholar.google.com/scholar?cites=5256321077950708133&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-04-13 14:29:59","","","","",,,,,55,6.11,18,3,9,"… Density functional theory (DFT) has become a widely … , DFT calculations involving metal complexes are reviewed. The achievements in the applications of DFT and the diverse DFT …","","https://scholar.google.com/scholar?q=related:pXmm1Cs08kgJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"L Zhang, XB Zhang, DD Zhang, SG He","Theoretical prediction of the synthesis of 2, 3-dihydropyridines through Ir (III)-catalysed reaction of unsaturated oximes with alkenes",2017,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/1949/ra/c6ra25501a","",12,"2025-04-13 14:29:59","HTML","","","",,,,,0,0.00,0,4,8,"… Herein, we used density functional theory (DFT) calculations to predict the [Cp*Ir(… , migratory insertion of the alkene, pivaloyl transfer, and reductive elimination. The migratory insertion of …","https://pubs.rsc.org/en/content/articlehtml/1949/ra/c6ra25501a","https://scholar.google.com/scholar?q=related:unH4FpaiaT4J:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"L Bian, M Song, F Dong, T Duan, J Xu, W Li, X Zhang","DFT and two-dimensional correlation analysis for evaluating the oxygen defect mechanism of low-density 4f (or 5f) elements interacting with Ca-Mt",2015,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/ra/c4ra14978e","https://scholar.google.com/scholar?cites=14805816008295997392&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-04-13 14:29:59","","","","",,,,,16,1.60,2,7,10,"… used density functional theory (DFT) to calculate the adsorption of uranyl on bare and … role of the interlayer cations reflect that the migration of the proton across the octahedral vacancy …","https://pubs.rsc.org/en/content/getauthorversionpdf/c4ra14978e","https://scholar.google.com/scholar?q=related:0F9GCDfTeM0J:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"G Kaur","Exploring the mechanism of isomerisation and water-migration in the water-complexes of amino-acid l-proline: electrostatic potential and vibrational analysis",2015,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/ra/c5ra06088e","https://scholar.google.com/scholar?cites=6599626180660180921&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-04-13 14:29:59","","","","",,,,,7,0.70,7,1,10,"… at the DFT/BHandHLYP/6-311++G(d,p) level of the density functional theory (DFT) 41 theory … (1/6-em)] 1 mixture of DFT with an exact HF exchange energy. The IRC calculations were …","https://pubs.rsc.org/en/content/getauthorversionpdf/c5ra06088e","https://scholar.google.com/scholar?q=related:uTeehAuVllsJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
80,"DW Boukhvalov","DFT modeling of the covalent functionalization of graphene: from ideal to realistic models",2013,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2013/ra/c3ra23372c","https://scholar.google.com/scholar?cites=10624990469633259980&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-04-13 14:29:59","","","","",,,,,80,6.67,80,1,12,"… using density functional theory (DFT) methods. We focus on the static (substrate, shape, curvature, strain and doping) and dynamic (starting point of functionalization, migration barriers …","https://arxiv.org/pdf/1301.2392","https://scholar.google.com/scholar?q=related:zLlm3ImMc5MJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"Y Chen, M Huo, L Song, Z Sun","Electrical and lithium ion dynamics in Li 2 IrO 3 from density functional theory study",2014,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2014/ra/c4ra07793h","https://scholar.google.com/scholar?cites=7122592655980500521&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-04-13 14:29:59","","","","",,,,,11,1.00,3,4,11,"… However, we find that cooperative migration is possible in this case. The interstitial Li + site Li hops to its neighboring 4d site, and simultaneously, the Li ion initially locates at the 4d site …","https://pubs.rsc.org/en/content/getauthorversionpdf/c4ra07793h","https://scholar.google.com/scholar?q=related:KRaGk0iI2GIJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"P Watthaisong, S Jungthawan, P Hirunsit…","Transport properties of electron small polarons in a V 2 O 5 cathode of Li-ion batteries: a computational study",2019,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/ra/c9ra02923k","https://scholar.google.com/scholar?cites=10540400945438992499&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-04-13 14:29:59","HTML","","","",,,,,41,6.83,10,4,6,"… use of conventional density functional theory (DFT) with generalized … We explored various possible migration paths in the … calculate the migration barriers of polaron migration, namely, …","https://pubs.rsc.org/en/content/articlehtml/2019/ra/c9ra02923k","https://scholar.google.com/scholar?q=related:cygVf9AGR5IJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"SA Begum, MAH Chowdhury, S Ghosh, DA Tocher…","Experimental and computational preference for phosphine regioselectivity and stereoselective tripodal rotation in HOs 3 (CO) 8 (PPh 3) 2 (μ-1, 2-N, C-η 1, κ 1 …",2018,"… advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2018/ra/c8ra07400c","https://scholar.google.com/scholar?cites=6107583195548652588&as_sdt=2005&sciodt=0,5&hl=en",18,"2025-04-13 14:29:59","HTML","","","",,,,,11,1.57,2,5,7,"… We examined the bonding in 2 by DFT, and the optimized structure (D1) is shown alongside … DFT. Indeed, a suitable transition structure (TSE1E5) was found for the concerted migration …","https://pubs.rsc.org/en/content/articlehtml/2018/ra/c8ra07400c","https://scholar.google.com/scholar?q=related:LJTSlo5-wlQJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"YG Li, L Li, MY Yang, HL Qin, EAB Kantchev","Computational modelling of the enantioselectivity in the asymmetric 1, 4-addition reaction catalyzed by a Rh complex of a S-chiral disulfoxide",2015,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2014/ra/c4ra13012j","https://scholar.google.com/scholar?cites=3642018452041859836&as_sdt=2005&sciodt=0,5&hl=en",19,"2025-04-13 14:29:59","","","","",,,,,14,1.40,3,5,10,"… Here we present a DFT (PCM/PBE0/DGDZVP) modelling of … configuration characteristic for CR (migratory insertion) (Fig. 4)… Based, on the DFT results, we can propose a pictorial model (…","https://pubs.rsc.org/en/content/getauthorversionpdf/c4ra13012j","https://scholar.google.com/scholar?q=related:_IJfY3wMizIJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
103,"X Han, C Liu, J Sun, AD Sendek, W Yang","Density functional theory calculations for evaluation of phosphorene as a potential anode material for magnesium batteries",2018,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/sc/c7ra12400g","https://scholar.google.com/scholar?cites=14317267843808482431&as_sdt=2005&sciodt=0,5&hl=en",20,"2025-04-13 14:29:59","HTML","","","",,,,,103,14.71,21,5,7,"… We first performed Density Functional Theory (DFT) simulations to calculate the Mg adsorption energy, specific capacity, and diffusion barriers on monolayer phosphorene. Using these …","https://pubs.rsc.org/en/content/articlehtml/2017/sc/c7ra12400g","https://scholar.google.com/scholar?q=related:f9RTcD8nscYJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
62,"J Liu, C Zhang, L Xu, S Ju","Borophene as a promising anode material for sodium-ion batteries with high capacity and high rate capability using DFT",2018,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2018/ra/c8ra01942h","https://scholar.google.com/scholar?cites=734722511434872991&as_sdt=2005&sciodt=0,5&hl=en",21,"2025-04-13 14:29:59","HTML","","","",,,,,62,8.86,16,4,7,"… on density functional theory (DFT) and ab initio molecular dynamics (AIMD) simulations were firstly performed to examine the energetics and dynamics of sodium on both a perfect and a …","https://pubs.rsc.org/en/content/articlehtml/2018/ra/c8ra01942h","https://scholar.google.com/scholar?q=related:n_iOPjtCMgoJ:scholar.google.com/&scioq=source:%22rsc+advances%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
