Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"Y Zhang, ZH Qi, GY Ruan, Y Zhang, W Liu, Y Wang","Mechanism of Pd-catalyzed C (sp 3)–H activation of aliphatic amines: an insight from DFT calculations",2015,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/ra/c5ra11488h","https://scholar.google.com/scholar?cites=9663304219560061676&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 15:54:29","","","","",,,,,13,1.30,2,6,10,"… of the C–N bond undergoes reductive elimination with releasing the larger binding energy … of the C–N bond undergoes reductive elimination with releasing the larger binding energy of …","https://pubs.rsc.org/en/content/getauthorversionpdf/c5ra11488h","https://scholar.google.com/scholar?q=related:7CppQ_3zGoYJ:scholar.google.com/&scioq=source:%22rsc+advances%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"MD Aseman, SM Nabavizadeh, HR Shahsavari…","C–H reductive elimination during the reaction of cycloplatinated (ii) complexes with pyridine-2-thione: kinetic follow up",2015,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/ra/c5ra01341k","https://scholar.google.com/scholar?cites=1492074712708566813&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 15:54:29","","","","",,,,,18,1.80,5,4,10,"… Geometry optimizations were performed with the program suite Gaussian03 at the DFT/B3LYP level. The effective core potential of Hay and Wadt with a double-ξ valence basis set (…","","https://scholar.google.com/scholar?q=related:HU9WvQvqtBQJ:scholar.google.com/&scioq=source:%22rsc+advances%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"Y Zhou, M Wang, S Fang, Y Chen, J Liu","DFT studies on the mechanism of palladium catalyzed arylthiolation of unactive arene to diaryl sulfide",2016,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2016/ra/c5ra27324b","https://scholar.google.com/scholar?cites=7510169848338922533&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 15:54:29","","","","",,,,,9,1.00,2,5,9,"… Oxidative addition of 1-(phenylthio) pyrrolidine-2,5-dione R to intermediate A gives a Pd(IV) intermediate B followed by reductive elimination to generate the arylthiolation product diaryl …","https://pubs.rsc.org/en/content/getauthorversionpdf/c5ra27324b","https://scholar.google.com/scholar?q=related:JTwXva97OWgJ:scholar.google.com/&scioq=source:%22rsc+advances%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"X Liu, J Zhou, Z Xu, Y Wang","Atomic thermodynamics and microkinetics of the reduction mechanism of electrolyte additives to facilitate the formation of solid electrolyte interphases in …",2020,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/ra/d0ra01412e","https://scholar.google.com/scholar?cites=6427597058467241210&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-13 15:54:29","HTML","","","",,,,,16,3.20,4,4,5,"… in this regard, the density functional theory (DFT) B3PW91/6-… and analysis such as density functional theory (DFT) and ab … the formation of a reductive precursor and classical transition …","https://pubs.rsc.org/en/content/articlehtml/2020/ra/d0ra01412e","https://scholar.google.com/scholar?q=related:-hxJRXhpM1kJ:scholar.google.com/&scioq=source:%22rsc+advances%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
112,"HB El Ayouchia, L Bahsis, H Anane, LR Domingo…","Understanding the mechanism and regioselectivity of the copper (I) catalyzed [3+ 2] cycloaddition reaction between azide and alkyne: a systematic DFT study",2018,"… advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2018/ra/c7ra10653j","https://scholar.google.com/scholar?cites=2713037926602492970&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 15:54:29","HTML","","","",,,,,112,16.00,22,5,7,"… In the next step, a triazolide ligand is formed by reductive elimination. From this intermediate, the barrier for ring contraction, which forms the triazolyl-copper derivative is 13.37 kcal mol …","https://pubs.rsc.org/en/content/articlehtml/2018/ra/c7ra10653j","https://scholar.google.com/scholar?q=related:KsxNtZ6lpiUJ:scholar.google.com/&scioq=source:%22rsc+advances%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"NA Rajabi, CL McMullin","DFT calculations bring insight to internal alkyne-to-vinylidene transformations at rhodium PNP-and PONOP-pincer complexes",2021,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/ra/d0ra08764e","https://scholar.google.com/scholar?cites=12223241829186361948&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-13 15:54:29","HTML","","","",,,,,4,1.00,2,2,4,"… A DFT study by Hall and co-workers featured these reaction systems and shows that … (R = Ph) followed by a C–H reductive elimination at the Rh centre releases propene and forms a Rh-…","https://pubs.rsc.org/en/content/articlehtml/2021/ra/d0ra08764e","https://scholar.google.com/scholar?q=related:XFpZoK6toakJ:scholar.google.com/&scioq=source:%22rsc+advances%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Liu, D Zhang, Y Gong, L Ma, L Li, W Chen","π–π stacking assisted regioselectivity regulation in palladium-catalyzed cyclization reactions: a theoretical study",2024,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06552b","",7,"2025-04-13 15:54:29","HTML","","","",,,,,0,0.00,0,6,1,"… reductive elimination, while the intramolecular amido group in transition state TS5 assisted in reductive elimination… In this work, DFT calculations were used to explore the mechanism of …","https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06552b","https://scholar.google.com/scholar?q=related:kcGRGTguyWUJ:scholar.google.com/&scioq=source:%22rsc+advances%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"C Geng, S Zhang, C Duan, T Lu, R Zhu, C Liu","Theoretical investigation of gold-catalyzed oxidative C sp3–C sp2 bond formation via aromatic C–H activation",2015,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/ra/c5ra16359e","https://scholar.google.com/scholar?cites=4650354008271797917&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-13 15:54:29","","","","",,,,,13,1.30,2,6,10,"… the activation energy barrier of the reductive elimination. … the catalytic reaction by facilitating reductive elimination. This means that … Together, the present DFT study provides further …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=852accae46ec1c32ee697947277201489a1cbb18","https://scholar.google.com/scholar?q=related:nb7a9lRgiUAJ:scholar.google.com/&scioq=source:%22rsc+advances%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"F Yu, Z Zhou, J Song, Y Zhao","DFT and AFIR study on the copper (i)-catalyzed mechanism of 5-enamine-trisubstituted-1, 2, 3-triazole synthesis via C–N cross-coupling and the origin of ring …",2021,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/ra/d0ra07498e","https://scholar.google.com/scholar?cites=15550879112913989381&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-13 15:54:29","HTML","","","",,,,,5,1.25,1,4,4,"… There is the most direct approach in intercepting 5-cuprous-1,2,3-triazole intermediates in situ by an electron-withdrawing trapping reagent rather than proton reductive elimination to …","https://pubs.rsc.org/en/content/articlehtml/2021/ra/d0ra07498e","https://scholar.google.com/scholar?q=related:Ba9HPinSz9cJ:scholar.google.com/&scioq=source:%22rsc+advances%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"X Guo, H Liu, B Wang, Q Wang, R Zhang","Insight into C+ O (OH) reaction for carbon elimination on different types of CoNi (111) surfaces: a DFT study",2015,"Rsc Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/ra/c4ra15555f","https://scholar.google.com/scholar?cites=17565559153482320535&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-13 15:54:29","","","","",,,,,30,3.00,6,5,10,"A density-functional theory (DFT) method has been performed to investigate the reaction of C + O(OH) on three types of bimetallic alloy CoNi(111) surface, and the results obtained are …","https://pubs.rsc.org/en/content/getauthorversionpdf/c4ra15555f","https://scholar.google.com/scholar?q=related:l8ps2PtmxfMJ:scholar.google.com/&scioq=source:%22rsc+advances%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"XW Zheng, L Nie, YP Li, SJ Liu, FY Zhao, XY Zhang…","Mechanistic insight into the selective olefin-directed oxidative carbocyclization and borylation by a palladium catalyst: a theoretical study",2017,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/ra/c6ra27752g","https://scholar.google.com/scholar?cites=5602179635416203209&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-04-13 15:54:29","HTML","","","",,,,,14,1.75,2,7,8,"… Finally, the reductive elimination would give the cyclobutene … subsequent reductive elimination could produce product P1. … In this work, we choose density functional theory (DFT) …","https://pubs.rsc.org/en/content/articlehtml/2017/ra/c6ra27752g","https://scholar.google.com/scholar?q=related:yf_oYLLwvk0J:scholar.google.com/&scioq=source:%22rsc+advances%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Liu, ZJ Jiang","Computational understanding of catalyst-controlled borylation of fluoroarenes: directed vs. undirected pathway",2020,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/ra/d0ra03428b","https://scholar.google.com/scholar?cites=4334124593730804827&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-04-13 15:54:29","HTML","","","",,,,,1,0.20,1,2,5,"… In this work, density functional theory (DFT) calculations are performed to understand the … of Si–H bond reductive elimination from Int7a. The reductive elimination of Si–H bond from …","https://pubs.rsc.org/en/content/articlehtml/2020/ra/d0ra03428b","https://scholar.google.com/scholar?q=related:W9yb1VrnJTwJ:scholar.google.com/&scioq=source:%22rsc+advances%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
