Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
18,"SK Saraswat, R Seemaladinne, H Zaini, N Ahmad…","Aryl fluorosulfates: powerful and versatile partners in cross-coupling reactions",2023,"… advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/ra/d3ra01791e","https://scholar.google.com/scholar?cites=7429348584172436998&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 13:13:20","","","","",,,,,18,9.00,4,5,2,"… cross-coupling reactions. In this review, we summarize the current advances and developments in applying aryl fluorosulfates as electrophilic partners in cross-coupling reactions. …","https://pubs.rsc.org/en/content/articlepdf/2023/ra/d3ra01791e","https://scholar.google.com/scholar?q=related:Bj4myCxZGmcJ:scholar.google.com/&scioq=source:%22rsc+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"WK Huang, WT Chen, IJ Hsu, CC Han, SG Shyu","Cross C–S coupling reaction catalyzed by Copper (I) N-heterocyclic carbene complexes",2017,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/ra/c6ra27757h","https://scholar.google.com/scholar?cites=6383655712281651925&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 13:13:20","","","","",,,,,28,3.50,6,5,8,"… C–S cross coupling reaction between aryl iodide and thiophenol. DFT studies were carried … We therefore carried out the cross coupling reaction with aryl iodide with electron donating …","https://pubs.rsc.org/en/content/articlepdf/2017/ra/c6ra27757h","https://scholar.google.com/scholar?q=related:1erwWgxNl1gJ:scholar.google.com/&scioq=source:%22rsc+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"K Cheng, HZ Yu, B Zhao, S Hu, XM Zhang, C Qi","Palladium-catalyzed desulfitative cross-coupling of arylsulfinates with arylboronic acids",2014,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2014/ra/c4ra07455f?casa_token=YRI5dqWZV2EAAAAA:6lBnoQyZ6G1SuSZfwPyyNVFXonj9UCbS2GazXFFpRP3sE4KqJFBjRKTvaEr0ja6yZjUWH0uwvPnLhg&casa_token=0fti4YzlXCIAAAAA:qBy0PDeNugGHPS5uvjDEue-AHtWEZlqFzlJaZazjaU7dXr2IDZQE9t8Me0SD4PPyYv88gBVvjFFFeA","https://scholar.google.com/scholar?cites=5554238914794119244&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 13:13:20","","","","",,,,,33,3.00,6,6,11,"… the cross-coupling mechanisms, we employed the density functional theory (DFT) calculation … Recently, Dang and Shi 14 developed this reliable DFT method to calculate the different C–…","https://pubs.rsc.org/en/content/articlepdf/2014/ra/c4ra07455f?casa_token=TP3fHrREreMAAAAA:tzBA85obZVhQB_6jClQkf4d1TTuETBBoohfivjci80y3qRebfqpIcECxz0YgTTE13Fj2fHEIjGExeg","https://scholar.google.com/scholar?q=related:TGD0id2eFE0J:scholar.google.com/&scioq=source:%22rsc+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"N Munir, S Masood, F Liaqat, MN Tahir, S Yousuf…","Synthesis of new Pro-PYE ligands as co-catalysts toward Pd-catalyzed Heck–Mizoroki cross coupling reactions",2019,"… advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2019/ra/c9ra07912b","https://scholar.google.com/scholar?cites=10156181488205844087&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-13 13:13:20","","","","",,,,,10,1.67,2,6,6,"… FTIR, single crystal XRD and DFT studies. These ligands acted very efficiently as co-catalysts for palladium acetate in Heck–Mizoroki cross coupling reactions. These ligand systems are …","https://pubs.rsc.org/en/content/articlepdf/2019/ra/c9ra07912b","https://scholar.google.com/scholar?q=related:d07o9kAB8owJ:scholar.google.com/&scioq=source:%22rsc+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"F Yu, Z Zhou, J Song, Y Zhao","DFT and AFIR study on the copper (i)-catalyzed mechanism of 5-enamine-trisubstituted-1, 2, 3-triazole synthesis via C–N cross-coupling and the origin of ring-opening …",2021,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/ra/d0ra07498e","https://scholar.google.com/scholar?cites=15550879112913989381&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 13:13:20","","","","",,,,,5,1.25,1,4,4,"… 2] cycloaddition reaction, and the C–N cross-coupling product instead of the click product (byproduct). Our DFT results indicate that the transmetalation process is the rate determination …","https://pubs.rsc.org/zh-tw/content/articlepdf/2021/ra/d0ra07498e","https://scholar.google.com/scholar?q=related:Ba9HPinSz9cJ:scholar.google.com/&scioq=source:%22rsc+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"A Hosseinian, FAH Nasab, S Ahmadi, Z Rahmani…","Decarboxylative cross-coupling reactions for P (O)–C bond formation",2018,"… advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/sc/c8ra04557g","https://scholar.google.com/scholar?cites=3997575607524672160&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-13 13:13:20","","","","",,,,,50,7.14,10,5,7,"… on metal-catalyzed cross-coupling reactions 13 and the green … of decarboxylative C–P cross-coupling reactions from 2011 to … Based on density functional theory (DFT) calculations and …","https://pubs.rsc.org/en/content/articlepdf/2018/ra/c8ra04557g","https://scholar.google.com/scholar?q=related:oEJGwdU9ejcJ:scholar.google.com/&scioq=source:%22rsc+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"A Gryff-Keller, P Szczeciński","A successful DFT calculation of carbon-13 NMR chemical shifts and carbon–fluorine spin–spin coupling constants in (η 6-fluoroarene) tricarbonylchromium complexes",2014,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2014/ra/c4ra01249f","https://scholar.google.com/scholar?cites=5695984230920769617&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-13 13:13:20","","","","",,,,,17,1.55,9,2,11,"… of unprecedented effectiveness of DFT calculations with BHandH functional we have applied this method to calculate 13 C– 19 F indirect spin–spin coupling constants in compounds 1–…","https://pubs.rsc.org/en/content/articlepdf/2014/ra/c4ra01249f","https://scholar.google.com/scholar?q=related:UVBCunozDE8J:scholar.google.com/&scioq=source:%22rsc+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"Y Zhang, ZH Qi, GY Ruan, Y Zhang, W Liu, Y Wang","Mechanism of Pd-catalyzed C (sp 3)–H activation of aliphatic amines: an insight from DFT calculations",2015,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/ra/c5ra11488h?casa_token=fmPy91RuWkkAAAAA:XvR8oAaj8RYdxy8LZNJDq3W90wuYXLUIW3JGe2TUGTan_2DnOJKqj7a_C8gj5YgwbbZmloM1XF979A&casa_token=lrNQxCD4_IAAAAAA:zPdC9HTAHuQsTMkFgUtcIyKwvnt8asuiHs04chuBs7Im3970GRNBuR7kW6eyeW1UwjkjVMI91Tm3OQ","https://scholar.google.com/scholar?cites=9663304219560061676&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-13 13:13:20","","","","",,,,,13,1.30,2,6,10,"… All calculations in this work were performed by the density functional theory with the three-parameter hybrid functional (B3LYP) 18 using Gaussian09 program package (G09), 19 …","https://pubs.rsc.org/en/content/articlepdf/2015/ra/c5ra11488h?casa_token=CtcADa5G_ewAAAAA:5K-kORniTFvki8uIGd68t3SahgRmyq09Ez8uQ7XP2KBXVNe-kz721ylDOxKNWXqvYfhpS2uP9bx9_A","https://scholar.google.com/scholar?q=related:7CppQ_3zGoYJ:scholar.google.com/&scioq=source:%22rsc+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"MM Islam, T Akther, Y Ikejiri, T Matsumoto, J Tanaka…","Synthesis, structural properties, electrophilic substitution reactions and DFT computational studies of calix [3] benzofurans",2016,"… advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2016/ra/c6ra06219a?casa_token=FV0VwDXjaGQAAAAA:N3IAYdp45IG2URGgzvsceyuFKquyw8HCW_IMMn9TrxkN2NTbkuI_qwcCi1hCKdF55npJeyianAeTrg&casa_token=sxucOBsdWPoAAAAA:ydyspw9P6L8OLtr_yXEfKdw_wSRPgjo2k5GDwR3OnWvbIXR0ZFKPuBwPg9b86L5BjPWlW6usYwBa2A","https://scholar.google.com/scholar?cites=13327864551055748629&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-13 13:13:20","","","","",,,,,17,1.89,3,6,9,"Calix[3]benzofurans have been synthesized by a modified TosMIC coupling reaction, … calix[3]benzofurans and their derivatives obtained from DFT methods (based on the crystal …","https://pubs.rsc.org/en/content/articlepdf/2016/ra/c6ra06219a?casa_token=sGakydy-WDgAAAAA:H7rP9zCQr7L7TTm_NDqT5vc5Who56zPmg0sWId35g9SmnEapYayhPgBppH5EO8_yPjtVIlhUvQUB4g","https://scholar.google.com/scholar?q=related:Fe4y9DEW9rgJ:scholar.google.com/&scioq=source:%22rsc+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"S Dixit, M Patil, N Agarwal","Ferrocene catalysed heteroarylation of BODIPy and reaction mechanism studies by EPR and DFT methods",2016,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2016/ra/c6ra03705d?casa_token=xQIrRHFP7V8AAAAA:baYXsZpTueavCRmKCsOPNE4yYZA0EoNx9Q-Q_dKT9sr8eQajoqUuZzSu4Ap4MA-g4k_TXj_jOuDjaw&casa_token=0rX9iEKQgMAAAAAA:rzQazKUBcmsvTd7aImCi7j0sT9o_IQjeWNibqZ0L29ug1-qFpNb27Pv-qdKFZ3wp8Jw4D2an9T82gA","https://scholar.google.com/scholar?cites=13696328067021344705&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-04-13 13:13:20","","","","",,,,,14,1.56,5,3,9,"… Having established the formation of radical intermediate in these reactions, we further investigated the reaction mechanism using density functional theory (DFT) calculations to …","https://pubs.rsc.org/en/content/articlepdf/2016/ra/c6ra03705d?casa_token=9zJiBYquHs8AAAAA:-WVR0I0pw_f-ulpcy0S02PfdrUk-Xfz_2TQzD6qD8E_YPpFDkoHoYj2qJH2aWK2C4Hw5Va_f6Yzl6g","https://scholar.google.com/scholar?q=related:wQ8Fis8hE74J:scholar.google.com/&scioq=source:%22rsc+advances%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
