Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"P Nguyen, T Nguyen, Q Tran, Y Kawazoe, T Phan…","Insight into the direct conversion of methane to methanol on modified ZIF-204 from the perspective of DFT-based calculations†† Electronic supplementary information …",2023,"… Advances","europepmc.org","https://europepmc.org/article/pmc/pmc10214002","",101,"2025-04-13 15:50:51","","","","",,,,,0,0.00,0,6,2,"… on the base of density functional theory (DFT). We aim to predict the potential energy surfaces and elucidate the catalytic activity for the methane oxidation over this bioinspired structure. …","","https://scholar.google.com/scholar?q=related:7jDBiCB1YAIJ:scholar.google.com/&scioq=source:%22rsc+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"F Raoof, M Boostanizadeh, AR Esmaeilbeig…","Reactivity comparison of five-and six-membered cyclometalated platinum (II) complexes in oxidative addition reactions",2015,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2015/ra/c5ra17421j","https://scholar.google.com/scholar?cites=3134683040905249974&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-04-13 15:50:51","","","","",,,,,21,2.10,5,4,10,"… Mechanistic studies using UV-vis spectroscopy and DFT calculations indicate … oxidative addition reactions of cyclometalated platinum(II) complexes, we test the rate of oxidative addition …","https://www.researchgate.net/profile/Marilyn-Olmstead/publication/282588954_Reactivity_comparison_of_five-and_six-membered_cyclometalated_platinumII_complexes_in_oxidative_addition_reactions/links/5641416708aeacfd89364d60/Reactivity-comparison-of-five-and-six-membered-cyclometalated-platinumII-complexes-in-oxidative-addition-reactions.pdf","https://scholar.google.com/scholar?q=related:tkSZEJ6hgCsJ:scholar.google.com/&scioq=source:%22rsc+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
192,"QG Jiang, ZM Ao, S Li, Z Wen","Density functional theory calculations on the CO catalytic oxidation on Al-embedded graphene",2014,"Rsc Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2014/ra/c4ra01908c","https://scholar.google.com/scholar?cites=11532781325031622112&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-04-13 15:50:51","","","","",,,,,192,17.45,48,4,11,"… Our DFT calculations show that binding energy of C–O bond (E b = 11.57 eV) is much stronger than that of O–O bond (E b = 6.36 eV). Thus CO should be more difficult to be dissociated. …","https://pubs.rsc.org/en/content/articlepdf/2014/ra/c4ra01908c","https://scholar.google.com/scholar?q=related:4MXEBoOrDKAJ:scholar.google.com/&scioq=source:%22rsc+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"AA Hussein","Ru-catalysed oxidative cyclisation of 1, 5-dienes: an unprecedented role for the co-oxidant",2020,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/ra/d0ra02303e","https://scholar.google.com/scholar?cites=17484780233509267546&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-04-13 15:50:51","","","","",,,,,4,0.80,4,1,5,"… In the current study, we reported profound findings obtained by density functional theory (DFT) simulations, and they were consistent with the experimental conditions. The results set out …","https://pubs.rsc.org/en/content/articlepdf/2020/ra/d0ra02303e","https://scholar.google.com/scholar?q=related:WmgX6vtqpvIJ:scholar.google.com/&scioq=source:%22rsc+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"J Lin, Q Sun, W Sun","A DFT study on the C–H oxidation reactivity of Fe (iv)–oxo species with N4/N5 ligands derived from l-proline",2021,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2021/ra/d0ra08496d","https://scholar.google.com/scholar?cites=4227395215483365873&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-04-13 15:50:51","","","","",,,,,2,0.50,1,3,4,"… might be involved as predicted by density functional theory (DFT) calculations. For instance, a … On the other hand, DFT studies have indicated a small energy gap in oxo–iron(IV) models …","https://pubs.rsc.org/en/content/articlepdf/2021/ra/d0ra08496d","https://scholar.google.com/scholar?q=related:8WkSAI25qjoJ:scholar.google.com/&scioq=source:%22rsc+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"S Biswas, A Dutta, M Dolai, M Debnath, AD Jana…","Copper (II) induced oxidative modification and complexation of a schiff base ligand: synthesis, crystal structure, catalytic oxidation of aromatic hydrocarbons and DFT …",2014,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2014/ra/c4ra06078d","https://scholar.google.com/scholar?cites=14776922359072519163&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-04-13 15:50:51","","","","",,,,,9,0.82,2,6,11,"… OOH)] − (1a) have been carried out using DFT 41 method associated with the conductor-like … medium were calculated by time-dependent density functional theory (TDDFT) 45 approach …","https://pubs.rsc.org/en/content/getauthorversionpdf/c4ra06078d","https://scholar.google.com/scholar?q=related:-3MLFpgsEs0J:scholar.google.com/&scioq=source:%22rsc+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
48,"K Ngamchuea, B Tharat, P Hirunsit, S Suthirakun","Electrochemical oxidation of resorcinol: mechanistic insights from experimental and computational studies",2020,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2020/ra/d0ra06111e","https://scholar.google.com/scholar?cites=2501245547372521969&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-04-13 15:50:51","","","","",,,,,48,9.60,12,4,5,"… This work investigates the mechanisms of resorcinol oxidation by density functional theory (DFT) calculation and cyclic voltammetry measurements. Complementary data from …","https://pubs.rsc.org/en/content/articlepdf/2020/ra/d0ra06111e","https://scholar.google.com/scholar?q=related:8akqu5I1tiIJ:scholar.google.com/&scioq=source:%22rsc+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"M Aetizaz, F Ullah, S Sarfaraz, T Mahmood, K Ayub","Robust and facile detection of formaldehyde through transition metals doped olympicene sensors: a step forward DFT investigation",2023,"RSC advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2023/ra/d3ra04019d","https://scholar.google.com/scholar?cites=13838910573654375827&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-04-13 15:50:51","","","","",,,,,8,4.00,2,5,2,"… In this study we have studied 2D surface, olympicene (C 19 H 12 ) as an effective gas sensor for formaldehyde through density functional theory (DFT). Olympicene has various …","https://pubs.rsc.org/en/content/articlepdf/2023/ra/d3ra04019d","https://scholar.google.com/scholar?q=related:k_0QVdivDcAJ:scholar.google.com/&scioq=source:%22rsc+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"RU Nisa, T Mahmood, R Ludwig, K Ayub","Theoretical mechanistic investigation of zinc (II) catalyzed oxidation of alcohols to aldehydes and esters",2016,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2016/ra/c5ra23096a","https://scholar.google.com/scholar?cites=15772991523185209906&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-04-13 15:50:51","","","","",,,,,10,1.11,3,4,9,"… To explore possible reaction mechanisms for the formation of 3 and 2 from 1, we have performed DFT calculations at the B3PW91 level of theory. Theoretical studies on oxidative …","https://pubs.rsc.org/en/content/articlepdf/2016/ra/c5ra23096a","https://scholar.google.com/scholar?q=related:MrKzsDjs5NoJ:scholar.google.com/&scioq=source:%22rsc+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"XW Zheng, L Nie, YP Li, SJ Liu, FY Zhao, XY Zhang…","Mechanistic insight into the selective olefin-directed oxidative carbocyclization and borylation by a palladium catalyst: a theoretical study",2017,"RSC Advances","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2017/ra/c6ra27752g","https://scholar.google.com/scholar?cites=5602179635416203209&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-04-13 15:50:51","","","","",,,,,14,1.75,2,7,8,"… In this work, we choose density functional theory (DFT) calculations to address all of these questions. We expect a clear understanding for the reaction mechanisms of olefin-directed …","https://pubs.rsc.org/zh-tw/content/articlepdf/2017/ra/c6ra27752g","https://scholar.google.com/scholar?q=related:yf_oYLLwvk0J:scholar.google.com/&scioq=source:%22rsc+advances%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
