Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
151,"A Xu, SF Hung, A Cao, Z Wang, N Karmodak…","Copper/alkaline earth metal oxide interfaces for electrochemical CO2-to-alcohol conversion by selective hydrogenation",2022,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-022-00880-6&casa_token=gHrMXhp40y0AAAAA:7xgA7MlwzWrj_YHy5QLlSHFvY1JhJzwjtHNByrJld-W9JvVTGu8RaQglLyp-OFE_s-kU0VTYMNyopQFa","https://scholar.google.com/scholar?cites=17003284926030875005&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 21:56:37","HTML","","","",,,,,151,50.33,25,6,3,"… (CO 2 RR) are attractive alternatives to fossil fuels; however, the selectivity towards alcohols in CO 2 RR … Density functional theory (DFT) calculations revealed that the partially positively …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-022-00880-6&casa_token=gHrMXhp40y0AAAAA:7xgA7MlwzWrj_YHy5QLlSHFvY1JhJzwjtHNByrJld-W9JvVTGu8RaQglLyp-OFE_s-kU0VTYMNyopQFa","https://scholar.google.com/scholar?q=related:fQnTjo3N9-sJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
402,"Y Xie, P Ou, X Wang, Z Xu, YC Li, Z Wang, JE Huang…","High carbon utilization in CO2 reduction to multi-carbon products in acidic media",2022,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-022-00788-1&casa_token=64ASD6aBwhkAAAAA:Fn264A43tY6EKWV97N0wpWUFfM1zdx-AJYhPGnRZ1jFi4THG6kcxtwpjCxiidTcZE9Iz4ET-3Tm8oxks","https://scholar.google.com/scholar?cites=15434100721319965030&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 21:56:37","HTML","","","",,,,,402,134.00,50,8,3,"… In light of 1D transport simulations and DFT calculations, we sought to prepare Pd–Cu catalysts and evaluate their CO 2 RR activity in the electrolyte at pH ~2.0. Pd was introduced onto …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-022-00788-1&casa_token=64ASD6aBwhkAAAAA:Fn264A43tY6EKWV97N0wpWUFfM1zdx-AJYhPGnRZ1jFi4THG6kcxtwpjCxiidTcZE9Iz4ET-3Tm8oxks","https://scholar.google.com/scholar?q=related:ZnHgKdXwMNYJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
102,"W Gao, Y Xu, L Fu, X Chang, B Xu","Experimental evidence of distinct sites for CO2-to-CO and CO conversion on Cu in the electrochemical CO2 reduction reaction",2023,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01002-6&casa_token=d1z7Ha9mzAAAAAAA:HPJpsVf2TZDbZ1MSAujHyErZ_yJOin1o_yTVIhvIH7gP7kMtfMoBAz4Vo73_eJHsApvpQgweQkl_nmcD","https://scholar.google.com/scholar?cites=8099404825959592258&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 21:56:37","HTML","","","",,,,,102,51.00,20,5,2,"… CO 2 RR or CORR, and proposed that CO 2 -to-CO and CO-to-C 2+ conversions occurred on distinct Cu sites 19 . While density functional theory … heterogeneity on the CO 2 RR has yet …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01002-6&casa_token=d1z7Ha9mzAAAAAAA:HPJpsVf2TZDbZ1MSAujHyErZ_yJOin1o_yTVIhvIH7gP7kMtfMoBAz4Vo73_eJHsApvpQgweQkl_nmcD","https://scholar.google.com/scholar?q=related:QvFn18bdZnAJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
148,"S Kong, X Lv, X Wang, Z Liu, Z Li, B Jia, D Sun…","Delocalization state-induced selective bond breaking for efficient methanol electrosynthesis from CO2",2023,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-022-00887-z&casa_token=QT70r4WIJWsAAAAA:OYHLoX_bSCQN0S5QJlbSP5elIKvxNhfYgMMhfeUspwKoS_OteZTlU93cmSbENTYK1IrhJlvk7B6fa79i","https://scholar.google.com/scholar?cites=15709237593675365947&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 21:56:37","HTML","","","",,,,,148,74.00,19,8,2,"… of the CO 2 RR, DFT calculations were conducted to investigate the CO 2 RR selectivity on … Moreover, the free-energy diagrams illustrate how the CO 2 RR pathways proceed via the *…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-022-00887-z&casa_token=QT70r4WIJWsAAAAA:OYHLoX_bSCQN0S5QJlbSP5elIKvxNhfYgMMhfeUspwKoS_OteZTlU93cmSbENTYK1IrhJlvk7B6fa79i","https://scholar.google.com/scholar?q=related:O347P1xsAtoJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
143,"M Fan, JE Huang, RK Miao, Y Mao, P Ou, F Li, XY Li…","Cationic-group-functionalized electrocatalysts enable stable acidic CO2 electrolysis",2023,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01003-5&casa_token=x1UzOJ2dAIoAAAAA:YIWWA9G8UmiM23tL5wGxE4diJVz4Bs7LICEQbpMr24OPVkjFrTevvb-cNMZOPwne7cHfTjzBAE2DGfWj","https://scholar.google.com/scholar?cites=17150121507920481925&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 21:56:37","HTML","","","",,,,,143,71.50,18,8,2,"Acidic electrochemical CO 2 reduction (CO 2 R) addresses CO 2 loss and thus mitigates the energy penalties associated with CO 2 recovery; however, acidic CO 2 R suffers low …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01003-5&casa_token=x1UzOJ2dAIoAAAAA:YIWWA9G8UmiM23tL5wGxE4diJVz4Bs7LICEQbpMr24OPVkjFrTevvb-cNMZOPwne7cHfTjzBAE2DGfWj","https://scholar.google.com/scholar?q=related:hQ5jbqV4Ae4J:scholar.google.com/&scioq=source:%22nature+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
459,"C Choi, S Kwon, T Cheng, M Xu, P Tieu, C Lee, J Cai…","Highly active and stable stepped Cu surface for enhanced electrochemical CO2 reduction to C2H4",2020,"… catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-00504-x&casa_token=ijRk_ipy6YkAAAAA:6Hbj2u1R3EpwTgK7lpMAEwQTBdj287mQ4--QpATRdJKFHxnd3pJ-q0DZulEkhKy-_VsgM41FvQtJB-aN","https://scholar.google.com/scholar?cites=3702419142128228445&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 21:56:37","HTML","","","",,,,,459,91.80,57,8,5,"… Our DFT studies showed that the Cu(511) plane [3(100)×(111)] stepped surface is … from CO 2 RR on our catalysts were in the gas phase, we focus our discussions of the CO 2 RR …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-00504-x&casa_token=ijRk_ipy6YkAAAAA:6Hbj2u1R3EpwTgK7lpMAEwQTBdj287mQ4--QpATRdJKFHxnd3pJ-q0DZulEkhKy-_VsgM41FvQtJB-aN","https://scholar.google.com/scholar?q=related:Xdgo8JeiYTMJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"S Yu, H Yamauchi, S Wang, A Aggarwal, J Kim…","CO2-to-methanol electroconversion on a molecular cobalt catalyst facilitated by acidic cations",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01197-2&casa_token=UMDWFWji56UAAAAA:fdARxE2aVEilI4YgetCKc2Dpnby0YGYq7DrXklwxl8-QJnL9jArlAA-CDc5K76fj1UuUC2u7xKIleWRo","https://scholar.google.com/scholar?cites=3235086877765817412&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 21:56:37","HTML","","","",,,,,24,24.00,4,6,1,"… Given the potential impact of cations on proton transfer during CO 2 RR, we reasoned that … , based on the Tafel analyses from CO 2 RR and CORR, the DFT computed energy profile, pH-…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01197-2&casa_token=UMDWFWji56UAAAAA:fdARxE2aVEilI4YgetCKc2Dpnby0YGYq7DrXklwxl8-QJnL9jArlAA-CDc5K76fj1UuUC2u7xKIleWRo","https://scholar.google.com/scholar?q=related:RFTCBmBW5SwJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
599,"F Li, YC Li, Z Wang, J Li, DH Nam, Y Lum, M Luo…","Cooperative CO2-to-ethanol conversion via enriched intermediates at molecule–metal catalyst interfaces",2020,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0383-7&casa_token=TXbHAndvTbMAAAAA:Aj-yy5d6ULbeNZ5FWGjK_I_PQH7ApBWDbW3kIUVa88ACk7FxjadyFXcW2a7_465YGlxFrFZgPWNjJ9py","https://scholar.google.com/scholar?cites=7789018212944467681&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 21:56:37","HTML","","","",,,,,599,119.80,75,8,5,"… 2c), indicating a catalytic response towards CO 2 RR. To evaluate quantitively the CO 2 RR … All the DFT calculations in this work were carried out with a periodic slab model using the …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0383-7&casa_token=TXbHAndvTbMAAAAA:Aj-yy5d6ULbeNZ5FWGjK_I_PQH7ApBWDbW3kIUVa88ACk7FxjadyFXcW2a7_465YGlxFrFZgPWNjJ9py","https://scholar.google.com/scholar?q=related:4Vaa88smGGwJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
773,"K Tran, ZW Ulissi","Active learning across intermetallics to guide discovery of electrocatalysts for CO2 reduction and H2 evolution",2018,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0142-1&casa_token=xpAXBym2TvcAAAAA:atyePexIMmKMn15UBemvrANLKCrbnpW-tXjpzM634L7O7SdfnTKvRAxUVPCimPIi77DRYrh0VXQERGes","https://scholar.google.com/scholar?cites=5400696980859489600&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 21:56:37","HTML","","","",,,,,773,110.43,387,2,7,"… low-coverage, DFT-calculated CO adsorption energies of all of the DFT-analysed surfaces in … Similar to our analysis for CO 2 RR, a number of the intermetallics that our screening study …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0142-1&casa_token=xpAXBym2TvcAAAAA:atyePexIMmKMn15UBemvrANLKCrbnpW-tXjpzM634L7O7SdfnTKvRAxUVPCimPIi77DRYrh0VXQERGes","https://scholar.google.com/scholar?q=related:QI2nO0oh80oJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
472,"Y Wang, Z Wang, CT Dinh, J Li, A Ozden…","Catalyst synthesis under CO2 electroreduction favours faceting and promotes renewable fuels electrosynthesis",2020,"… catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0397-1&casa_token=Vee4EDDVnrIAAAAA:YlG8oG-SwAUip3gjonm9RWZdzAEwKxlmIgUWGmOQyt8ZFs9widiYngEeamLcIKcso6gDrKUzF2n7BgfG","https://scholar.google.com/scholar?cites=6136130827232970161&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 21:56:37","HTML","","","",,,,,472,94.40,79,6,5,"… capping by CO 2 RR intermediates: the adsorption of the CO 2 RR intermediates lowers the … DFT calculations All of the DFT calculations in this work were carried out with a periodic …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0397-1&casa_token=Vee4EDDVnrIAAAAA:YlG8oG-SwAUip3gjonm9RWZdzAEwKxlmIgUWGmOQyt8ZFs9widiYngEeamLcIKcso6gDrKUzF2n7BgfG","https://scholar.google.com/scholar?q=related:sYWLDHrqJ1UJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
