Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"C Yu, Z Zhang, G Dong","Split cross-coupling via Rh-catalysed activation of unstrained aryl–aryl bonds",2024,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-024-01120-9","https://scholar.google.com/scholar?cites=18244886755576149180&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 18:15:52","","","","",,,,,6,6.00,2,3,1,"… To further understand the catalytic cycle, the density functional theory (DFT) calculation was … I) is difficult to be precisely calculated (in this DFT study, we assumed both TDAE and TDAT-I …","https://pmc.ncbi.nlm.nih.gov/articles/PMC11567681/","https://scholar.google.com/scholar?q=related:vHRYsdbbMv0J:scholar.google.com/&scioq=source:%22nature+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"T Niwa, Y Uetake, M Isoda, T Takimoto, M Nakaoka…","Lewis acid-mediated Suzuki–Miyaura cross-coupling reaction",2021,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-021-00719-6","https://scholar.google.com/scholar?cites=6010333318033573893&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 18:15:52","HTML","","","",,,,,54,13.50,9,6,4,"… We performed DFT calculations for each step of the zinc-mediated SMC reaction to elucidate the reaction mechanism using 4-fluorobromobenzene (1) and potassium phenyl(trifluoro)…","https://www.nature.com/articles/s41929-021-00719-6","https://scholar.google.com/scholar?q=related:BQgWA0_-aFMJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"P Li, Z Zhu, C Guo, G Kou, S Wang, P Xie, D Ma…","Nickel-electrocatalysed C(sp3)–C(sp3) cross-coupling of unactivated alkyl halides",2024,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-024-01118-3","https://scholar.google.com/scholar?cites=17009823086149023009&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 18:15:52","","","","",,,,,40,40.00,5,8,1,"… In parallel to these experiments, based on density functional theory (DFT), computational … Moreover, based on DFT calculations concerning the various oxidation states of the nickel …","","https://scholar.google.com/scholar?q=related:IbUmlvkHD-wJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
97,"Y Li, W Nie, Z Chang, JW Wang, X Lu, Y Fu","Cobalt-catalysed enantioselective C(sp3)–C(sp3) coupling",2021,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-021-00688-w","https://scholar.google.com/scholar?cites=16261542559382633056&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 18:15:52","","","","",,,,,97,24.25,16,6,4,"… are few examples of its use in asymmetric cross-coupling. Here we report a cobalt-catalysed enantioselective C(sp 3 )–C(sp 3 ) coupling reaction, namely, alkene hydroalkylation, to …","https://lac.dicp.ac.cn/11.29ts.pdf","https://scholar.google.com/scholar?q=related:YPrl58yarOEJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"D Wu, W Kong, Y Bao, C Huang, W Liu, Y Li, G Yin","Overcoming limitations in non-activated alkene cross-coupling with nickel catalysis and anionic ligands",2024,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-024-01211-7","https://scholar.google.com/scholar?cites=11570865353326903655&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 18:15:52","","","","",,,,,4,4.00,1,7,1,"… high regioselectivity of the multicomponent cross-coupling of non-activated alkene and the role of native functional group, we performed density functional theory (DFT) calculations. As …","","https://scholar.google.com/scholar?q=related:Z8Hs2Lv4k6AJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
235,"R Mao, A Frey, J Balon, X Hu","Decarboxylative C(sp3)–N cross-coupling via synergetic photoredox and copper catalysis",2018,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-017-0023-z","https://scholar.google.com/scholar?cites=12807529284799606079&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 18:15:52","","","","",,,,,235,33.57,59,4,7,"… catalysis enables C(sp 3 )–N cross-coupling. Decarboxylative amination can be used for the … 2) was obtained in only 9% yield, consistent with the challenge in cross-coupling of the very …","https://infoscience.epfl.ch/record/257884/files/SI.pdf","https://scholar.google.com/scholar?q=related:P63k_gZ8vbEJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
148,"B Zhang, J Wang, G Liu, CM Weiss, D Liu, Y Chen…","A strongly coupled Ru–CrOx cluster–cluster heterostructure for efficient alkaline hydrogen electrocatalysis",2024,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-024-01126-3","https://scholar.google.com/scholar?cites=6765163855028856750&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 18:15:52","","","","",,,,,148,148.00,21,7,1,"… To further illustrate the mechanism, density functional theory (DFT) calculations were performed on the cluster–cluster heterostructure model that was built on the basis of the …","","https://scholar.google.com/scholar?q=related:rqdOyq6w4l0J:scholar.google.com/&scioq=source:%22nature+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"T von Münchow, NK Pandit, S Dana, P Boos…","Enantioselective C–H annulations enabled by either nickel-or cobalt-electrocatalysed C–H activation for catalyst-controlled chemodivergence",2025,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-025-01306-9","https://scholar.google.com/scholar?cites=13930496127118736252&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 18:15:52","HTML","","","",,,,,1,1.00,0,5,1,"… ,4-dioxane) level of theory to acquire density functional theory (DFT)-derived descriptors (for … (µ net ) were derived from single-point DFT calculations. To assess the steric and geometric …","https://www.nature.com/articles/s41929-025-01306-9","https://scholar.google.com/scholar?q=related:fPvdsWsQU8EJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Q Wang, SF Hung, K Lao, X Huang, F Li, HB Tao…","Breaking the linear scaling limit in multi-electron-transfer electrocatalysis through intermediate spillover",2025,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-025-01323-8","",9,"2025-05-05 18:15:52","","","","",,,,,0,0.00,0,7,1,"… We also carried out DFT calculations to gain insights into the possibility of transferring the OH* … The DFT results are summarized in Fig. 3c. It can be seen that only moderate energy …","","https://scholar.google.com/scholar?q=related:SdVTcStlkp0J:scholar.google.com/&scioq=source:%22nature+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
47,"AM Messinis, SLJ Luckham, PP Wells, D Gianolio…","The highly surprising behaviour of diphosphine ligands in iron-catalysed Negishi cross-coupling",2019,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-018-0197-z","https://scholar.google.com/scholar?cites=7644966703384650470&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 18:15:52","","","","",,,,,47,7.83,9,5,6,"Iron-catalysed cross-coupling is undergoing explosive development, but mechanistic understanding lags far behind synthetic methodology. Here, we find that the activity of iron–…","https://research-information.bris.ac.uk/files/181545400/accepted_version.pdf","https://scholar.google.com/scholar?q=related:5mLuQrZgGGoJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
