Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
981,"X Cui, W Li, P Ryabchuk, K Junge, M Beller","Bridging homogeneous and heterogeneous catalysis by heterogeneous single-metal-site catalysts",2018,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0090-9&casa_token=9tMg3kMUTp4AAAAA:c2SW8OJa7Td46JW_C6pEejoKnCzPnqZuajVhdNJTQhkxDIO1gQcXjau0HPDqQlMqPRW5Rasv4jhzI0wy","https://scholar.google.com/scholar?cites=17283744384270327493&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 21:52:45","HTML","","","",,,,,981,140.14,196,5,7,"… However, major drawbacks of homogeneous catalysis include separation from starting materials and … Moreover, density functional theory (DFT) investigations proved that surface …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0090-9&casa_token=9tMg3kMUTp4AAAAA:c2SW8OJa7Td46JW_C6pEejoKnCzPnqZuajVhdNJTQhkxDIO1gQcXjau0HPDqQlMqPRW5Rasv4jhzI0wy","https://scholar.google.com/scholar?q=related:xd4VvfEx3O8J:scholar.google.com/&scioq=source:%22nature+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
138,"J Zhao, S Ji, C Guo, H Li, J Dong, P Guo, D Wang…","A heterogeneous iridium single-atom-site catalyst for highly regioselective carbenoid O–H bond insertion",2021,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00637-7&casa_token=crzL_bFCRiwAAAAA:YqRT4bpdkv1onByxXih2aBj9NIvkVOZLtulmzXjVmNrzTfX84gD2Vxtd8cwLT46Ltkj3eVoEOux-nN5n","https://scholar.google.com/scholar?cites=9781346388209730986&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 21:52:45","HTML","","","",,,,,138,34.50,17,8,4,"… ; however, density-functional theory (DFT) … catalysts 28,35 . In contrast, studies aimed at discerning the selectivity differences between SAS and analogous homogeneous catalysts are …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00637-7&casa_token=crzL_bFCRiwAAAAA:YqRT4bpdkv1onByxXih2aBj9NIvkVOZLtulmzXjVmNrzTfX84gD2Vxtd8cwLT46Ltkj3eVoEOux-nN5n","https://scholar.google.com/scholar?q=related:qoVKXrdSvocJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
301,"A Bruix, JT Margraf, M Andersen, K Reuter","First-principles-based multiscale modelling of heterogeneous catalysis",2019,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0298-3&casa_token=9ShgJWDUppMAAAAA:QIgroUxEj42SP9_DAc_o0yM1EhNvrmLMCRZHqWPiSTlQ6J4ipDAslGpJhxM21ewxKh7euscv9gHtJJWf","https://scholar.google.com/scholar?cites=17435836231979779541&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 21:52:45","HTML","","","",,,,,301,50.17,75,4,6,"… -based calculations, at present typically density-functional theory (DFT). It is through these … the catalytic activity as a function of given operation conditions. In thermal catalysis, this is …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0298-3&casa_token=9ShgJWDUppMAAAAA:QIgroUxEj42SP9_DAc_o0yM1EhNvrmLMCRZHqWPiSTlQ6J4ipDAslGpJhxM21ewxKh7euscv9gHtJJWf","https://scholar.google.com/scholar?q=related:1UUKiayI-PEJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
153,"T Mou, HS Pillai, S Wang, M Wan, X Han…","Bridging the complexity gap in computational heterogeneous catalysis with machine learning",2023,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-00911-w&casa_token=PpdWO-Raa0IAAAAA:klV73m0PC1pJWI_x74lqd9cSbI5gl-zNArIxAP9IPdPkKGKHYKO_Q4aD77v2egtKiuQF4PitzuFXdFIq","https://scholar.google.com/scholar?cites=2081878395878985261&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 21:52:45","HTML","","","",,,,,153,76.50,26,6,2,"… , heterogeneous catalysis as a subdiscipline, on a par with its homogeneous and enzymic … , density functional theory (DFT) 2 , have been increasingly used to model catalytic interfaces …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-00911-w&casa_token=PpdWO-Raa0IAAAAA:klV73m0PC1pJWI_x74lqd9cSbI5gl-zNArIxAP9IPdPkKGKHYKO_Q4aD77v2egtKiuQF4PitzuFXdFIq","https://scholar.google.com/scholar?q=related:LU7t615R5BwJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
240,"C Dong, Z Gao, Y Li, M Peng, M Wang, Y Xu, C Li…","Fully exposed palladium cluster catalysts enable hydrogen production from nitrogen heterocycles",2022,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-022-00769-4&casa_token=Gua-ftvqVk8AAAAA:BYqQu5i9h0DHDmG_cb2FYJpErU2YdJarNwGPibiefdcWUTeDbX5d1heV5sMgS64HoztTacmGS63c-E2R","https://scholar.google.com/scholar?cites=13375816512640118553&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 21:52:45","HTML","","","",,,,,240,80.00,30,8,3,"… To gain deeper insights into the structure sensitivity of palladium species with different atomicities, density functional theory (DFT) calculations were performed. The reaction path and …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-022-00769-4&casa_token=Gua-ftvqVk8AAAAA:BYqQu5i9h0DHDmG_cb2FYJpErU2YdJarNwGPibiefdcWUTeDbX5d1heV5sMgS64HoztTacmGS63c-E2R","https://scholar.google.com/scholar?q=related:Ge-3CEByoLkJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
296,"J Guan, Z Duan, F Zhang, SD Kelly, R Si, M Dupuis…","Water oxidation on a mononuclear manganese heterogeneous catalyst",2018,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0158-6&casa_token=MOfUTIB00Z0AAAAA:jbIuJYWP2AFk8XOSFoJIeoXvrP_Uuk6g-yIS3de76Hti1zmD2wnt9BcJk3jb5FmdtyUmBNLEgUMzZB2E","https://scholar.google.com/scholar?cites=14483577203836508179&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 21:52:45","HTML","","","",,,,,296,42.29,42,7,7,"… dispersion in the local HAADF image, the homogeneous dispersion of Mn, N and O … DFT to determine the structure and the catalytic properties of the synthesized Mn-NG catalysts…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0158-6&casa_token=MOfUTIB00Z0AAAAA:jbIuJYWP2AFk8XOSFoJIeoXvrP_Uuk6g-yIS3de76Hti1zmD2wnt9BcJk3jb5FmdtyUmBNLEgUMzZB2E","https://scholar.google.com/scholar?q=related:E9iex7oAAMkJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
226,"M Koy, P Bellotti, M Das, F Glorius","N-Heterocyclic carbenes as tunable ligands for catalytic metal surfaces",2021,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00607-z&casa_token=5ioP2JoyeQoAAAAA:pU68IYN1-YMrgbB2i_o05Vjl6TR-jBqfANFKH7UZ4MzeiQ5nMSwjOhdWyBbpPhx15WVW6RIJRkniR5Jk","https://scholar.google.com/scholar?cites=17428167693018247570&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 21:52:45","HTML","","","",,,,,226,56.50,57,4,4,"… homogeneous catalysis. A highly interesting approach is the combination of these sophisticated ligand systems from homogeneous catalysis … this section, density functional theory (DFT) …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00607-z&casa_token=5ioP2JoyeQoAAAAA:pU68IYN1-YMrgbB2i_o05Vjl6TR-jBqfANFKH7UZ4MzeiQ5nMSwjOhdWyBbpPhx15WVW6RIJRkniR5Jk","https://scholar.google.com/scholar?q=related:krFKrC1K3fEJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Q Wang, SF Hung, K Lao, X Huang, F Li, HB Tao…","Breaking the linear scaling limit in multi-electron-transfer electrocatalysis through intermediate spillover",2025,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-025-01323-8&casa_token=w5mOz_HYMnwAAAAA:W1qHrN8zNy4i4--Y2tLv4Zd73ENG4eZtNsQiOd1GMjjbh-INZVa25fQFygrBsERF37O7wpN1LjUdrvmW","",8,"2025-05-05 21:52:45","HTML","","","",,,,,0,0.00,0,7,1,"… We also carried out DFT calculations to gain insights into the possibility of transferring the OH* … The DFT results are summarized in Fig. 3c. It can be seen that only moderate energy …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-025-01323-8&casa_token=w5mOz_HYMnwAAAAA:W1qHrN8zNy4i4--Y2tLv4Zd73ENG4eZtNsQiOd1GMjjbh-INZVa25fQFygrBsERF37O7wpN1LjUdrvmW","https://scholar.google.com/scholar?q=related:SdVTcStlkp0J:scholar.google.com/&scioq=source:%22nature+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
267,"C Liu, J Qian, Y Ye, H Zhou, CJ Sun, C Sheehan…","Oxygen evolution reaction over catalytic single-site Co in a well-defined brookite TiO2 nanorod surface",2021,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-00550-5&casa_token=XuPhJysinxkAAAAA:bf_L6CvdLGxMV_9rXqSrT5SuVcO5wxvPfubE1j-hsi917MY1oA8HyWUtFF10qQg_YPYwvnI5LvszgJd1","https://scholar.google.com/scholar?cites=14679285270901508878&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 21:52:45","HTML","","","",,,,,267,66.75,38,7,4,"… catalysis are how to identify and construct well-defined catalytic centres for efficient OER catalysis, … that this level of QM calculations (density functional theory with PBE-D3) can achieve …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-00550-5&casa_token=XuPhJysinxkAAAAA:bf_L6CvdLGxMV_9rXqSrT5SuVcO5wxvPfubE1j-hsi917MY1oA8HyWUtFF10qQg_YPYwvnI5LvszgJd1","https://scholar.google.com/scholar?q=related:Dku1AC5Mt8sJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
238,"Z Zhao, R Bababrik, W Xue, Y Li, NM Briggs…","Solvent-mediated charge separation drives alternative hydrogenation path of furanics in liquid water",2019,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0257-z&casa_token=BjFE9CIlWrUAAAAA:HIxnXXxU_H_YZseysGNf0f99fjc1Cw2r1GCunxfgNGFh24mFU9Wnnp5HVaPQbh2YyfGIEynb9LVuO3QQ","https://scholar.google.com/scholar?cites=1302620253166160581&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 21:52:45","HTML","","","",,,,,238,39.67,40,6,6,"… density functional theory (DFT). We conclude that the water solvent has multiple distinct effects that may greatly influence the catalytic … and redistribution in homogeneous catalysis 40,41 …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0257-z&casa_token=BjFE9CIlWrUAAAAA:HIxnXXxU_H_YZseysGNf0f99fjc1Cw2r1GCunxfgNGFh24mFU9Wnnp5HVaPQbh2YyfGIEynb9LVuO3QQ","https://scholar.google.com/scholar?q=related:xcoy-zfWExIJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
