Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
167,"J Fu, J Lym, W Zheng, K Alexopoulos, AV Mironenko…","C–O bond activation using ultralow loading of noble metal catalysts on moderately reducible oxides",2020,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-020-0445-x","https://scholar.google.com/scholar?cites=15787572650035175656&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 18:24:56","","","","",,,,,167,33.40,28,6,5,"… Through density functional theory (DFT) calculations, experimental kinetics and microkinetics, we show that surface-doped TiO 2 exhibits nearly two orders of magnitude higher activity …","https://www.osti.gov/pages/servlets/purl/1615721","https://scholar.google.com/scholar?q=related:6OAE1625GNsJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
355,"NJ O'Connor, ASM Jonayat, MJ Janik, TP Senftle","Interaction trends between single metal atoms and oxide supports identified with density functional theory and statistical learning",2018,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-018-0094-5","https://scholar.google.com/scholar?cites=2137996047041780239&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 18:24:56","","","","",,,,,355,50.71,89,4,7,"… We apply density functional theory, together with a statistical learning approach based on least absolute shrinkage and selection operator regression, to identify property descriptors that …","https://senftle.blogs.rice.edu/files/2023/05/24_NatCat_OxidesML.pdf","https://scholar.google.com/scholar?q=related:D1odwxOwqx0J:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
575,"B Zhang, L Wang, Z Cao, SM Kozlov…","High-valence metals improve oxygen evolution reaction performance by modulating 3d metal oxidation cycle energetics",2020,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-020-00525-6","https://scholar.google.com/scholar?cites=4961259378474972038&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 18:24:56","","","","",,,,,575,115.00,115,5,5,"… oxidation barrier exhibit increased OER activities 27,28,29 . The present DFT studies also predicted that more facile oxidation … We further characterized the oxidation of high-valence …","https://utoronto.scholaris.ca/bitstreams/99c1a8bc-fe04-40fe-a7a8-00b66992ab54/download","https://scholar.google.com/scholar?q=related:hnOTbB7v2UQJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
459,"A Li, S Kong, C Guo, H Ooka, K Adachi, D Hashizume…","Enhancing the stability of cobalt spinel oxide towards sustainable oxygen evolution in acid",2022,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-021-00732-9","https://scholar.google.com/scholar?cites=9611839780864097288&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 18:24:56","","","","",,,,,459,153.00,66,7,3,"… Density functional theory (DFT) calculations show that this is due to a combination of ideal binding energies for the OER intermediates and unfavourable thermodynamics for the …","https://www.researchgate.net/profile/Ailong-Li/publication/358599275_Enhancing_the_stability_of_cobalt_spinel_oxide_towards_sustainable_oxygen_evolution_in_acid/links/620d07339f071a51e694507a/Enhancing-the-stability-of-cobalt-spinel-oxide-towards-sustainable-oxygen-evolution-in-acid.pdf","https://scholar.google.com/scholar?q=related:CHxf4FodZIUJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
111,"KA Goulas, AV Mironenko, GR Jenness, T Mazal…","Fundamentals of C–O bond activation on metal oxide catalysts",2019,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-019-0234-6","https://scholar.google.com/scholar?cites=1815543103689226777&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 18:24:56","","","","",,,,,111,18.50,22,5,6,"… All the calculations utilized density functional theory (DFT) as implemented in the Vienna ab initio simulation package (version 5.3.5) . The Perdew–Burke–Ernzerhof exchange-…","","https://scholar.google.com/scholar?q=related:GXrOadUaMhkJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"J Kim, X Sun, BA van der Worp, T Ritter","Anti-Markovnikov hydrochlorination and hydronitrooxylation of α-olefins via visible-light photocatalysis",2023,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-023-00914-7","https://scholar.google.com/scholar?cites=17290357214521000111&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 18:24:56","HTML","","","",,,,,41,20.50,10,4,2,"… Density functional theory (DFT) analysis is consistent with a near barrierless addition of Cl · to olefin, specifically 1-butene in the calculation. A smooth, monotonous potential energy …","https://www.nature.com/articles/s41929-023-00914-7","https://scholar.google.com/scholar?q=related:rwAjQ0ew8-8J:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
138,"J Zhao, S Ji, C Guo, H Li, J Dong, P Guo, D Wang…","A heterogeneous iridium single-atom-site catalyst for highly regioselective carbenoid O–H bond insertion",2021,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-021-00637-7","https://scholar.google.com/scholar?cites=9781346388209730986&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 18:24:56","","","","",,,,,138,34.50,17,8,4,"… Notably, a selective O–H insertion of glycosides has been reported by Tang and co-workers; however, density-functional theory (DFT) calculations suggest that site selectivity and …","https://escholarship.org/content/qt4t9775r9/qt4t9775r9.pdf","https://scholar.google.com/scholar?q=related:qoVKXrdSvocJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"T Li, X Cheng, P Qian, L Zhang","Gold-catalysed asymmetric net addition of unactivated propargylic C–H bonds to tethered aldehydes",2021,"Nature catalysis","nature.com","https://www.nature.com/articles/s41929-020-00569-8","https://scholar.google.com/scholar?cites=16413117963603478265&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 18:24:56","","","","",,,,,37,9.25,9,4,4,"… Our density functional theory (DFT) calculations of the tetrahydroisoquinoline portion of L2 at the M06-2X/cc-… DFT calculations indeed confirmed that the two conformations of 1,8,N-…","https://pmc.ncbi.nlm.nih.gov/articles/PMC8574197/pdf/nihms-1655657.pdf","https://scholar.google.com/scholar?q=related:-QYr1dMbx-MJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"FP Wu, CC Chintawar, R Lalisse, P Mukherjee…","Ring expansion of indene by photoredox-enabled functionalized carbon-atom insertion",2024,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-023-01089-x","https://scholar.google.com/scholar?cites=15037872387908360460&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 18:24:56","","","","",,,,,41,41.00,8,5,1,"… Since the high quantum yield measurements implied a radical chain mechanism, we explored the potential possible radical chain pathway by DFT simulations (Supplementary Fig. 16). …","https://www.researchgate.net/profile/Chetan-Chintawar/publication/377265316_Ring_expansion_of_indene_by_photoredox-enabled_functionalized_carbon-atom_insertion/links/659d91f06f6e450f19dabbdb/Ring-expansion-of-indene-by-photoredox-enabled-functionalized-carbon-atom-insertion.pdf","https://scholar.google.com/scholar?q=related:DNnuQkNBsdAJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
280,"RR Rao, MJ Kolb, L Giordano, AF Pedersen…","Operando identification of site-dependent water oxidation activity on ruthenium dioxide single-crystal surfaces",2020,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-020-0457-6","https://scholar.google.com/scholar?cites=17920584428827074897&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 18:24:56","","","","",,,,,280,56.00,56,5,5,"… X-ray scattering coupled with density functional theory and surface-… Density functional theory results indicate that the removal of –… This experimental finding is in agreement with our DFT …","https://orbit.dtu.dk/files/269107925/s41929_020_0457_6.pdf","https://scholar.google.com/scholar?q=related:UWGiN5e0svgJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
73,"DJ Jones, M Lautens, GP McGlacken","The emergence of Pd-mediated reversible oxidative addition in cross coupling, carbohalogenation and carbonylation reactions",2019,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-019-0361-0","https://scholar.google.com/scholar?cites=14741119451191183000&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-05 18:24:56","","","","",,,,,73,12.17,24,3,6,"… the reversibility of oxidative addition reactions in catalytic … concept of reversible oxidative addition has recently been … Subsequent DFT studies shed light on the mechanism of this …","https://cora.ucc.ie/bitstream/handle/10468/9016/11260.pdf?sequence=1","https://scholar.google.com/scholar?q=related:mAba_wn6kswJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
146,"H Xiong, D Kunwar, D Jiang, CE García-Vargas, H Li…","Engineering catalyst supports to stabilize PdOx two-dimensional rafts for water-tolerant methane oxidation",2021,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-021-00680-4","https://scholar.google.com/scholar?cites=1310514938266002078&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-05 18:24:56","","","","",,,,,146,36.50,24,6,4,"… are consistent with the results from our DFT calculations (Supplementary Figs. 4 and 5). Figure 2c presents a summary of the results of DFT computations for the binding energies of Pt …","https://par.nsf.gov/servlets/purl/10430826","https://scholar.google.com/scholar?q=related:niIwmGTiLxIJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
321,"S Zhu, X Qin, F Xiao, S Yang, Y Xu, Z Tan, J Li, J Yan…","The role of ruthenium in improving the kinetics of hydrogen oxidation and evolution reactions of platinum",2021,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-021-00663-5","https://scholar.google.com/scholar?cites=13504465087844075494&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-05 18:24:56","","","","",,,,,321,80.25,36,9,4,"… 2 O–cation adducts instead of *OH adsorption were also proposed as major reasons for the improved performance 20,23 , which, however, is challenging to directly evaluate by the DFT …","https://drive.google.com/file/d/1X4JWb3pChB3Ym9ZkmvrBYQoPIt0I7nCn/view","https://scholar.google.com/scholar?q=related:5kecmnJ_absJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"H Zhang, Y Zhou, T Yang, J Wu, P Chen, Z Lin, G Liu","Site-and enantioselective allylic and propargylic C–H oxidation enabled by copper-based biomimetic catalysis",2025,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-024-01276-4","https://scholar.google.com/scholar?cites=8711322629060603973&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-05 18:24:56","","","","",,,,,9,9.00,1,7,1,"… performed density functional theory (DFT) calculations, considering the propargylic C–H oxidation … Based on the DFT findings and the experimental observations, we infer that the Cu(II)-…","https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/66c6d37aa4e53c487636d0f0/original/site-and-enantioselective-allylic-and-propargylic-c-h-oxidation-enabled-by-copper-based-biomimetic-catalysis.pdf","https://scholar.google.com/scholar?q=related:RbD6zMbV5HgJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"S Gergel, J Soler, A Klein, KH Schülke, B Hauer…","Engineered cytochrome P450 for direct arylalkene-to-ketone oxidation via highly reactive carbocation intermediates",2023,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-023-00979-4","https://scholar.google.com/scholar?cites=2370780367869221827&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-05 18:24:56","HTML","","","",,,,,32,16.00,5,6,2,"… We first used density functional theory (DFT) to analyse the intrinsic reaction mechanism and … DFT calculations indicated that the carbonyl pathway can energetically compete with the …","https://www.nature.com/articles/s41929-023-00979-4","https://scholar.google.com/scholar?q=related:w5tQAy-05iAJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
438,"Y Sun, H Liao, J Wang, B Chen, S Sun, SJH Ong, S Xi…","Covalency competition dominates the water oxidation structure–activity relationship on spinel oxides",2020,"… catalysis","nature.com","https://www.nature.com/articles/s41929-020-0465-6","https://scholar.google.com/scholar?cites=1092306647978083892&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-05-05 18:24:56","","","","",,,,,438,87.60,55,8,5,"… by density functional theory (DFT). By contrast, the MAE from the model in which the data are trained without the structural feature is considerably higher, with a value of 0.09 eV (…","https://www.osti.gov/pages/servlets/purl/1638798","https://scholar.google.com/scholar?q=related:NAaI6hunKA8J:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
171,"H Yang, F Li, S Zhan, Y Liu, W Li, Q Meng…","Intramolecular hydroxyl nucleophilic attack pathway by a polymeric water oxidation catalyst with single cobalt sites",2022,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-022-00783-6","https://scholar.google.com/scholar?cites=4008067578526829686&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-05-05 18:24:56","HTML","","","",,,,,171,57.00,24,7,3,"… Density functional theory calculations were applied to verify the configuration of cobalt sites under different oxidation states. The functional choice was rationalized by screening several …","https://www.nature.com/articles/s41929-022-00783-6","https://scholar.google.com/scholar?q=related:dgzaHTqEnzcJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
103,"J Hwang, RR Rao, L Giordano, K Akkiraju, XR Wang…","Regulating oxygen activity of perovskites to promote NOx oxidation and reduction kinetics",2021,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-021-00656-4","https://scholar.google.com/scholar?cites=1830437887234220759&as_sdt=2005&sciodt=0,5&hl=en",18,"2025-05-05 18:24:56","","","","",,,,,103,25.75,17,6,4,"… First, we show through density functional theory (DFT) calculations that NO and NO 2 adsorb more strongly on the surface oxygen sites than on the cobalt sites of La 1−x Sr x CoO 3 , …","","https://scholar.google.com/scholar?q=related:1yIDdI8FZxkJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
