Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"J Rui, X Mu, J Soler, JC Paris, Y Guo…","Merging photoredox with metalloenzymatic catalysis for enantioselective decarboxylative C(sp3)‒N3 and C(sp3)‒SCN bond formation",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01257-7&casa_token=YjAx3BVGiiAAAAAA:fd22pP2yN3RDXGn76QdknOzIIOIbC1diZ_pDt1YfqJggu95xQpMmo05Z3yaYvqIYe6cPYJzDB-Tix-GT","https://scholar.google.com/scholar?cites=17528903221740810967&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 21:54:46","HTML","","","",,,,,8,8.00,1,6,1,"… Here we present a biocatalytic platform that combines photoredox and metalloenzymatic catalysis for enantioselective radical transformations. Under green light irradiation, the eosin Y …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01257-7&casa_token=YjAx3BVGiiAAAAAA:fd22pP2yN3RDXGn76QdknOzIIOIbC1diZ_pDt1YfqJggu95xQpMmo05Z3yaYvqIYe6cPYJzDB-Tix-GT","https://scholar.google.com/scholar?q=related:17IPqpssQ_MJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"CC Chintawar, R Laskar, D Rana, F Schäfer…","Photoredox-catalysed amidyl radical insertion to bicyclo [1.1. 0] butanes",2024,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-024-01239-9","https://scholar.google.com/scholar?cites=12622769304638659157&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 21:54:46","HTML","","","",,,,,16,16.00,3,5,1,"… on density functional theory calculations To further validate the feasibility of the photoredox … regioselectivity and chemoselectivity, density functional theory (DFT) studies were conducted …","https://www.nature.com/articles/s41929-024-01239-9","https://scholar.google.com/scholar?q=related:VRqx5M0VLa8J:scholar.google.com/&scioq=source:%22nature+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"FP Wu, CC Chintawar, R Lalisse, P Mukherjee…","Ring expansion of indene by photoredox-enabled functionalized carbon-atom insertion",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01089-x&casa_token=QGdy7hpWS4gAAAAA:-Zpvl1vdKQYVBWtw0PdivA6vxfn-IcidFbU2XSVmotm66PaFT4hFJSGQLmqXCwEwi1Izp8shpBAquUKH","https://scholar.google.com/scholar?cites=15037872387908360460&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 21:54:46","HTML","","","",,,,,41,41.00,8,5,1,"… Since the high quantum yield measurements implied a radical chain mechanism, we explored the potential possible radical chain pathway by DFT simulations (Supplementary Fig. 16). …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01089-x&casa_token=QGdy7hpWS4gAAAAA:-Zpvl1vdKQYVBWtw0PdivA6vxfn-IcidFbU2XSVmotm66PaFT4hFJSGQLmqXCwEwi1Izp8shpBAquUKH","https://scholar.google.com/scholar?q=related:DNnuQkNBsdAJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
178,"VK Singh, C Yu, S Badgujar, Y Kim, Y Kwon, D Kim…","Highly efficient organic photocatalysts discovered via a computer-aided-design strategy for visible-light-driven atom transfer radical polymerization",2018,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0156-8&casa_token=CrOMDe7KQqEAAAAA:X_4_Bnz45kzKB4UVaHNSNvVOe9Wgr1MTVzBwsbTTCnUGgXpzoAfwHYxGTjA840o80Mv-Nj45-Zw-Tlit","https://scholar.google.com/scholar?cites=5110752431633427524&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 21:54:46","HTML","","","",,,,,178,25.43,25,7,7,"… One of our discovered organic photoredox catalysts controls the polymerization of … DFT and time-dependent DFT calculations, allowing for computationally directed design of photoredox …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0156-8&casa_token=CrOMDe7KQqEAAAAA:X_4_Bnz45kzKB4UVaHNSNvVOe9Wgr1MTVzBwsbTTCnUGgXpzoAfwHYxGTjA840o80Mv-Nj45-Zw-Tlit","https://scholar.google.com/scholar?q=related:RGx5NkIK7UYJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
92,"X Huang, J Feng, J Cui, G Jiang, W Harrison, X Zang…","Photoinduced chemomimetic biocatalysis for enantioselective intermolecular radical conjugate addition",2022,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-022-00777-4&casa_token=wRn4iUWOFd0AAAAA:_I4kf_KVWQ6_oF35gyuqSW43Tof-qAMb_cj6mQdUs3u2xUBPrHJeH4K5skZrIqppeIuMu-MjhHdTAU23","https://scholar.google.com/scholar?cites=8015672543983923731&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 21:54:46","HTML","","","",,,,,92,30.67,13,7,3,"… The QM region was treated at the DFT (B3LYP) level, employing the dual basis set of Gaussian … All DFT calculations were performed with the software Gaussian 16, Revision A.03 (ref. ). …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-022-00777-4&casa_token=wRn4iUWOFd0AAAAA:_I4kf_KVWQ6_oF35gyuqSW43Tof-qAMb_cj6mQdUs3u2xUBPrHJeH4K5skZrIqppeIuMu-MjhHdTAU23","https://scholar.google.com/scholar?q=related:E3IDvLVjPW8J:scholar.google.com/&scioq=source:%22nature+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"J Kim, X Sun, BA van der Worp, T Ritter","Anti-Markovnikov hydrochlorination and hydronitrooxylation of α-olefins via visible-light photocatalysis",2023,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-023-00914-7","https://scholar.google.com/scholar?cites=17290357214521000111&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 21:54:46","HTML","","","",,,,,41,20.50,10,4,2,"… We attempted to identify a photoredox catalyst that could also … A suitable base B that would lead to a photoredox-active … Density functional theory (DFT) analysis is consistent with a …","https://www.nature.com/articles/s41929-023-00914-7","https://scholar.google.com/scholar?q=related:rwAjQ0ew8-8J:scholar.google.com/&scioq=source:%22nature+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
56,"Z Zhang, J Feng, C Yang, H Cui, W Harrison, D Zhong…","Photoenzymatic enantioselective intermolecular radical hydroamination",2023,"… catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-00994-5&casa_token=vYQbuGtFKtQAAAAA:dMR92o4Mb6CScRM2XICPKU9-Gl9cekATHejIlPKrEJT0KpD9U-DAOmwA5dxzuZsahQjfTFABripXqJJ_","https://scholar.google.com/scholar?cites=4431991540816850162&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 21:54:46","HTML","","","",,,,,56,28.00,8,7,2,"… Time-dependent density-functional theory calculations suggest that the complex formed … Time-dependent density-functional theory and QM/MM-MD calculations on the first singlet (S1) …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-00994-5&casa_token=vYQbuGtFKtQAAAAA:dMR92o4Mb6CScRM2XICPKU9-Gl9cekATHejIlPKrEJT0KpD9U-DAOmwA5dxzuZsahQjfTFABripXqJJ_","https://scholar.google.com/scholar?q=related:8qzsHdOYgT0J:scholar.google.com/&scioq=source:%22nature+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"J Zhang, M Rueping","Metallaphotoredox catalysis for sp3 C–H functionalizations through single-electron transfer",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01215-3&casa_token=n1x7SZ7HQOAAAAAA:nWMlK7hF1YeaGFqNMlTEiZDMcpgeP6SONl_DYus9Ice9lb9K54XgsTv-Jnx9Jw1k6xZ9VpGwns5JjTz4","https://scholar.google.com/scholar?cites=9068439431938326268&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 21:54:46","HTML","","","",,,,,9,9.00,5,2,1,"… A density functional theory investigation supports the … where asymmetric Pd and photoredox catalysis have been effectively … Using the combined photoredox/Pd concept, Murakami and …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01215-3&casa_token=n1x7SZ7HQOAAAAAA:nWMlK7hF1YeaGFqNMlTEiZDMcpgeP6SONl_DYus9Ice9lb9K54XgsTv-Jnx9Jw1k6xZ9VpGwns5JjTz4","https://scholar.google.com/scholar?q=related:_D7U352R2X0J:scholar.google.com/&scioq=source:%22nature+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"RI Rodríguez, V Corti, L Rizzo, S Visentini, M Bortolus…","Radical strain-release photocatalysis for the synthesis of azetidines",2024,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-024-01206-4","https://scholar.google.com/scholar?cites=4198860996691159742&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 21:54:46","HTML","","","",,,,,17,17.00,3,6,1,"… of spectroscopic and optical techniques and density functional theory calculations. The power and … To prevent a possible unfruitful one-electron oxidation of the ABB through photoredox …","https://www.nature.com/articles/s41929-024-01206-4","https://scholar.google.com/scholar?q=related:vuoEedRZRToJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"ML Czyz, TH Horngren, AJ Kondopoulos, LJ Franov…","Photocatalytic generation of alkyl carbanions from aryl alkenes",2024,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-024-01237-x","https://scholar.google.com/scholar?cites=13080414635824401130&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 21:54:46","HTML","","","",,,,,4,4.00,1,5,1,"… Photoredox generation of iminium ions directly from tertiary … our attention to the tandem photoredox catalytic cycle of … pathways was undertaken with DFT calculations (Supplementary Fig…","https://www.nature.com/articles/s41929-024-01237-x","https://scholar.google.com/scholar?q=related:6koi6873hrUJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
