Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
19,"D Wu, W Kong, Y Bao, D Zhao, Y Li, G Yin","Alkene 1, 1-difunctionalizations via organometallic-radical relay",2023,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01032-0&casa_token=rdzliA4qv98AAAAA:jg_oIGgO7RuKEBM-q3gYCOURmisX9HHvCsjxj36YufGw7hYTSQ_EYcSxWxCeEd-6VCsWJrcsH7lnfpj5","https://scholar.google.com/scholar?cites=2080939178944283489&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 18:36:33","HTML","","","",,,,,19,9.50,3,6,2,"… species, which finally delivers the product through reductive elimination (Fig. 1c). Although … DFT calculations were performed at the M06L/6-311+G(d,p)-SDD(for Ni)-SMD (THF)//B3LYP…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01032-0&casa_token=rdzliA4qv98AAAAA:jg_oIGgO7RuKEBM-q3gYCOURmisX9HHvCsjxj36YufGw7hYTSQ_EYcSxWxCeEd-6VCsWJrcsH7lnfpj5","https://scholar.google.com/scholar?q=related:YcMqcCj74BwJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"X Yuan, K Lee, JB Eisenberg, JR Schmidt, KS Choi","Selective deoxygenation of biomass-derived carbonyl compounds on Zn via electrochemical Clemmensen reduction",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01066-4&casa_token=mqharqhOZpwAAAAA:fjpEUVwnbEDpx0syhYnhcnJZHAWs0tEvK1SEn4cK4QlpBRkeqEe_DWKGgrD0M2_N0iAulbpfotLLTi4i","https://scholar.google.com/scholar?cites=11434269277964060663&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 18:36:33","HTML","","","",,,,,20,20.00,4,5,1,"… at C (step 3) or can undergo reductive elimination of H 2 O to yield a carbene … = E DFT + U thermal + ZPE – TS, where E DFT is the energy obtained from density functional theory (DFT) …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01066-4&casa_token=mqharqhOZpwAAAAA:fjpEUVwnbEDpx0syhYnhcnJZHAWs0tEvK1SEn4cK4QlpBRkeqEe_DWKGgrD0M2_N0iAulbpfotLLTi4i","https://scholar.google.com/scholar?q=related:98c1s1Ovrp4J:scholar.google.com/&scioq=source:%22nature+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"J Zheng, J Jongcharoenkamol, BBC Peters, J Guhl…","Iridium-catalysed enantioselective formal deoxygenation of racemic alcohols via asymmetric hydrogenation",2019,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0375-7&casa_token=SforXkup0G0AAAAA:NJUeaBbjTJXIPIwFHrD8pwLwWogJ6RfH57DUCMwcOi54GPUcahVYZ9Dr85N9HkpGU-jAW0D5BMLkG6VW","https://scholar.google.com/scholar?cites=1055411105066356127&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 18:36:33","HTML","","","",,,,,22,3.67,4,5,6,"… at the Ir catalyst was identified by density functional theory using the B3LYP-D3 functional … β-hydride elimination step (c13ts), two hydrides form a H 2 ligand via reductive elimination (…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0375-7&casa_token=SforXkup0G0AAAAA:NJUeaBbjTJXIPIwFHrD8pwLwWogJ6RfH57DUCMwcOi54GPUcahVYZ9Dr85N9HkpGU-jAW0D5BMLkG6VW","https://scholar.google.com/scholar?q=related:n4176c6SpQ4J:scholar.google.com/&scioq=source:%22nature+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"C Yu, Z Zhang, G Dong","Split cross-coupling via Rh-catalysed activation of unstrained aryl–aryl bonds",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01120-9&casa_token=ofpg_-jEH8kAAAAA:fqUB0HyWE9mjrsngZO0Tl1hsxmasddA1Kvj_cH8mlX7ERnE6nOw5Vf9HS6QWJkC9r6ZLest3lugvVmVJ","https://scholar.google.com/scholar?cites=18244886755576149180&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 18:36:33","HTML","","","",,,,,6,6.00,2,3,1,"… a turnover-limiting reductive elimination step that can be … to be precisely calculated (in this DFT study, we assumed both … -limiting C–C reductive elimination step and the fact that ZnCl 2 …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01120-9&casa_token=ofpg_-jEH8kAAAAA:fqUB0HyWE9mjrsngZO0Tl1hsxmasddA1Kvj_cH8mlX7ERnE6nOw5Vf9HS6QWJkC9r6ZLest3lugvVmVJ","https://scholar.google.com/scholar?q=related:vHRYsdbbMv0J:scholar.google.com/&scioq=source:%22nature+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"TD Tan, JMI Serviano, X Luo, PC Qian, PL Holland…","Congested C(sp3)-rich architectures enabled by iron-catalysed conjunctive alkylation",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01113-8%25E2%2580%25A6&casa_token=sv58ifAUM-sAAAAA:TXJ0MpZRWWFHbARxIKsr-JuXQvRqKZ7p6ZOSbxkigmLGxyhX5Se39iKZatd1Xeisx9TcL-RRqJW-5E2m","https://scholar.google.com/scholar?cites=16681609105627825473&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 18:36:33","HTML","","","",,,,,13,13.00,2,6,1,"… The ensuing reductive elimination occurring at the Fe III … Our DFT studies on the formation of the minor alkene product … within the accuracy level possible via DFT, and that TST may not …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01113-8%25E2%2580%25A6&casa_token=sv58ifAUM-sAAAAA:TXJ0MpZRWWFHbARxIKsr-JuXQvRqKZ7p6ZOSbxkigmLGxyhX5Se39iKZatd1Xeisx9TcL-RRqJW-5E2m","https://scholar.google.com/scholar?q=related:QUXePhn7gOcJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"L van Dijk, R Ardkhean, M Sidera, S Karabiyikoglu…","Mechanistic investigation of Rh(i)-catalysed asymmetric Suzuki–Miyaura coupling with racemic allyl halides",2021,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00589-y&casa_token=K8d6ciNV-bIAAAAA:zNRB1zkY4fLY5EK5PbWEoyIojOrOPf4uw7wG4-EQqiVodWKXSM2cJkPT5M3DtLsSKGJVYZLfY7bfBSyB","https://scholar.google.com/scholar?cites=4718351086998855458&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 18:36:33","HTML","","","",,,,,28,7.00,6,5,4,"… Density functional theory calculations attribute the extremely high enantioselectivity to reductive elimination from a common Rh complex formed from both allyl halide enantiomers. Our …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00589-y&casa_token=K8d6ciNV-bIAAAAA:zNRB1zkY4fLY5EK5PbWEoyIojOrOPf4uw7wG4-EQqiVodWKXSM2cJkPT5M3DtLsSKGJVYZLfY7bfBSyB","https://scholar.google.com/scholar?q=related:Ih8lklDzekEJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"J Corpas, HP Caldora, EM Di Tommaso…","A general strategy for the amination of electron-rich and electron-poor heteroaromatics by desaturative catalysis",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01152-1&casa_token=4zPB4FT7SrUAAAAA:Eup4GdJmrfks3Sq-viaWhN8s3iAwBHB46TH3-Jjgj1oL2HTuMCR5mcmMLUSogHjiBdx6T5WIb7kCC-um","https://scholar.google.com/scholar?cites=13213404755970922744&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 18:36:33","HTML","","","",,,,,14,14.00,4,4,1,"… of building blocks used in reductive amination—a process widely … studies using density functional theory highlighted two plausible … with the same reductive quenching photoredox cycle. …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01152-1&casa_token=4zPB4FT7SrUAAAAA:Eup4GdJmrfks3Sq-viaWhN8s3iAwBHB46TH3-Jjgj1oL2HTuMCR5mcmMLUSogHjiBdx6T5WIb7kCC-um","https://scholar.google.com/scholar?q=related:-JgaMZ5xX7cJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"T von Münchow, NK Pandit, S Dana, P Boos…","Enantioselective C–H annulations enabled by either nickel-or cobalt-electrocatalysed C–H activation for catalyst-controlled chemodivergence",2025,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-025-01306-9","https://scholar.google.com/scholar?cites=13930496127118736252&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 18:36:33","HTML","","","",,,,,1,1.00,0,5,1,"… reductive elimination, the cobalt electrocatalysis furnishes the carboacylation product through a nucleophilic addition/elimination … of theory to acquire density functional theory (DFT)-…","https://www.nature.com/articles/s41929-025-01306-9","https://scholar.google.com/scholar?q=related:fPvdsWsQU8EJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"W Wang, Y Yu, B Cheng, H Fang, X Zhang, H Qian…","Stereodefined rhodium-catalysed 1, 4-H/D delivery for modular syntheses and deuterium integration",2021,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00643-9&casa_token=Jm9hwGc8P60AAAAA:5frtaKWfV36mb7xrgB8BcOuC9h5WkMKuDKZp-VREV7fWjtlyXDlJCHm7wsKcJz4KP1B0ALqHN_lNEd2D","https://scholar.google.com/scholar?cites=7692424447501084334&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 18:36:33","HTML","","","",,,,,22,5.50,3,7,4,"… density functional theory … reductive-elimination step—which involves the migration of the hydride ligand to the terminal allylic carbon and the simultaneous coordination of the reductive …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00643-9&casa_token=Jm9hwGc8P60AAAAA:5frtaKWfV36mb7xrgB8BcOuC9h5WkMKuDKZp-VREV7fWjtlyXDlJCHm7wsKcJz4KP1B0ALqHN_lNEd2D","https://scholar.google.com/scholar?q=related:ribVXkf7wGoJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"LW Qi, T Rogge, KN Houk, Y Lu","Iridium nitrenoid-enabled arene C− H functionalization",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01207-3&casa_token=qIAKDSg8HGQAAAAA:bbHm2l1kQrL_dHjA3S3MMjBYhYrlUk7uDQBGztjyJvHxNeXs-zgFD3VmZBm6hn76LAlTTLO4iHdJGKUZ","https://scholar.google.com/scholar?cites=14859780959679724852&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 18:36:33","HTML","","","",,,,,5,5.00,1,4,1,"… Further experiments and density functional theory (DFT) … nitrenoid, the N–O reductive elimination of the iridium complex and … We also performed DFT calculations on the reaction of …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01207-3&casa_token=qIAKDSg8HGQAAAAA:bbHm2l1kQrL_dHjA3S3MMjBYhYrlUk7uDQBGztjyJvHxNeXs-zgFD3VmZBm6hn76LAlTTLO4iHdJGKUZ","https://scholar.google.com/scholar?q=related:NL3SZQ2MOM4J:scholar.google.com/&scioq=source:%22nature+catalysis%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
