Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
167,"J Fu, J Lym, W Zheng, K Alexopoulos, AV Mironenko…","C–O bond activation using ultralow loading of noble metal catalysts on moderately reducible oxides",2020,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-0445-x&casa_token=smeWpNBobr0AAAAA:vlDBKGl0h6n5i0sPiMHSuJwDhyj8f1wamRvQwxpxoEeXz6jtGJfYB6G-jGLNnxwG92tm16lQqsIM2hoN","https://scholar.google.com/scholar?cites=15787572650035175656&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 18:37:20","HTML","","","",,,,,167,33.40,28,6,5,"… Since noble metal nanoparticles activate ring chemistry 19 , we … Here, we demonstrate a strategy for the activation of surface … Through density functional theory (DFT) calculations, …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-0445-x&casa_token=smeWpNBobr0AAAAA:vlDBKGl0h6n5i0sPiMHSuJwDhyj8f1wamRvQwxpxoEeXz6jtGJfYB6G-jGLNnxwG92tm16lQqsIM2hoN","https://scholar.google.com/scholar?q=related:6OAE1625GNsJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
111,"KA Goulas, AV Mironenko, GR Jenness, T Mazal…","Fundamentals of C–O bond activation on metal oxide catalysts",2019,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0234-6&casa_token=OYhUC25T_5gAAAAA:viK7-_gOINWc39MMjvXpMw7R5lzPfpgqYNXlGySBJnCVjq0TaRNds58mU4k1j1oaT0RT83n4Ott-_r1b","https://scholar.google.com/scholar?cites=1815543103689226777&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 18:37:20","HTML","","","",,,,,111,18.50,22,5,6,"… All the calculations utilized density functional theory (DFT) as implemented in the Vienna ab initio simulation package (version 5.3.5) . The Perdew–Burke–Ernzerhof exchange-…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0234-6&casa_token=OYhUC25T_5gAAAAA:viK7-_gOINWc39MMjvXpMw7R5lzPfpgqYNXlGySBJnCVjq0TaRNds58mU4k1j1oaT0RT83n4Ott-_r1b","https://scholar.google.com/scholar?q=related:GXrOadUaMhkJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
138,"J Zhao, S Ji, C Guo, H Li, J Dong, P Guo, D Wang…","A heterogeneous iridium single-atom-site catalyst for highly regioselective carbenoid O–H bond insertion",2021,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00637-7&casa_token=flAnp2FYKdoAAAAA:euwOzszQAFt_66sj9kNfyLEeNlVPqZ-p91VZmD2pY0oy5Px6L6d_2lNVYJuulKEaZQ-d8z9Px3qNTis-","https://scholar.google.com/scholar?cites=9781346388209730986&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 18:37:20","HTML","","","",,,,,138,34.50,17,8,4,"… co-workers; however, density-functional theory (DFT) calculations suggest that site selectivity … DFT calculations, assessing both reaction energies and activation barriers, were performed …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00637-7&casa_token=flAnp2FYKdoAAAAA:euwOzszQAFt_66sj9kNfyLEeNlVPqZ-p91VZmD2pY0oy5Px6L6d_2lNVYJuulKEaZQ-d8z9Px3qNTis-","https://scholar.google.com/scholar?q=related:qoVKXrdSvocJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
64,"J Vercammen, M Bocus, S Neale, A Bugaev…","Shape-selective C–H activation of aromatics to biarylic compounds using molecular palladium in zeolites",2020,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-00533-6&casa_token=HS0sGyytZ-4AAAAA:ErSXPotdRLIN4wvHZ2Di6Wm4-wP_M3gL0LyD2ZDTKtbunZGwEZdntVP1hsQMcyYNF17fOX0fW0tYtp63","https://scholar.google.com/scholar?cites=8042589842451369616&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 18:37:20","HTML","","","",,,,,64,12.80,13,5,5,"… Density functional theory calculations … -based dispersion-corrected density functional theory (DFT) calculations. … loadings, whereas the static DFT calculations afforded adsorption free …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-00533-6&casa_token=HS0sGyytZ-4AAAAA:ErSXPotdRLIN4wvHZ2Di6Wm4-wP_M3gL0LyD2ZDTKtbunZGwEZdntVP1hsQMcyYNF17fOX0fW0tYtp63","https://scholar.google.com/scholar?q=related:kI56qdkEnW8J:scholar.google.com/&scioq=source:%22nature+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"T von Münchow, NK Pandit, S Dana, P Boos…","Enantioselective C–H annulations enabled by either nickel-or cobalt-electrocatalysed C–H activation for catalyst-controlled chemodivergence",2025,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-025-01306-9","https://scholar.google.com/scholar?cites=13930496127118736252&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 18:37:20","HTML","","","",,,,,1,1.00,0,5,1,"… for the electro-oxidative C–H activation of benzamide 1 with … of theory to acquire density functional theory (DFT)-derived … ) were derived from single-point DFT calculations. To assess the …","https://www.nature.com/articles/s41929-025-01306-9","https://scholar.google.com/scholar?q=related:fPvdsWsQU8EJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"H Zhang, C Li, W Liu, G Luo, WA Goddard III…","Activation of light alkanes at room temperature and ambient pressure",2023,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-00990-9&casa_token=sjipu7m5SIEAAAAA:F_DQXpGZ9kYn6VJ6b1piG0HXEIJFSU9z5vG-S6geYM7rQ8GZw4KmyujK0jmYdbpWJINvWY3uuOzu_W39","https://scholar.google.com/scholar?cites=2256586143120466761&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 18:37:20","HTML","","","",,,,,15,7.50,3,6,2,"… experiments, spectroscopic insights and density functional theory calculations, we put forward mechanistic understandings in which the C–H bond is activated by the surface oxide …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-00990-9&casa_token=sjipu7m5SIEAAAAA:F_DQXpGZ9kYn6VJ6b1piG0HXEIJFSU9z5vG-S6geYM7rQ8GZw4KmyujK0jmYdbpWJINvWY3uuOzu_W39","https://scholar.google.com/scholar?q=related:SaPDKSQBUR8J:scholar.google.com/&scioq=source:%22nature+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
66,"H Wang, I Choi, T Rogge, N Kaplaneris…","Versatile and robust C–C activation by chelation-assisted manganese catalysis",2018,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0187-1&casa_token=RrjLOeFVUV0AAAAA:w25OlUvVb7XU4TxK6dvM9dWlN_qh2ILYpZHCJR-6XAwzrhPFMBhFsxBfVJU3yBFWTBqXPYpjbzYKd-S0","https://scholar.google.com/scholar?cites=11176884427259837612&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 18:37:20","HTML","","","",,,,,66,9.43,13,5,7,"… C–H activation has been recognized as an increasingly viable tool in molecular sciences, but organometallic C–C activation is scarce, and limited to precious and toxic metal catalysts. …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0187-1&casa_token=RrjLOeFVUV0AAAAA:w25OlUvVb7XU4TxK6dvM9dWlN_qh2ILYpZHCJR-6XAwzrhPFMBhFsxBfVJU3yBFWTBqXPYpjbzYKd-S0","https://scholar.google.com/scholar?q=related:rPxqPitFHJsJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"QZ Li, WL Zou, ZY Yu, XX Kou, YQ Liu, X Zhang…","Remote site-selective arene C–H functionalization enabled by N-heterocyclic carbene organocatalysis",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01194-5&casa_token=pPEJEcMd7_0AAAAA:q6nsM-ayn868dQYJwtkEI2uhLh6jWB1qHehUGlGojFm19m7fWd6mXzaxPzzUe2lFqmsOWqf2vNhhCH61","https://scholar.google.com/scholar?cites=17518995358910459760&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 18:37:20","HTML","","","",,,,,18,18.00,3,7,1,"… Despite the incredible advancements in proximal C–H activation 7,8 , highly site-selective functionalization of remote C–H bonds still … Qi regarding the DFT calculations in this study. …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01194-5&casa_token=pPEJEcMd7_0AAAAA:q6nsM-ayn868dQYJwtkEI2uhLh6jWB1qHehUGlGojFm19m7fWd6mXzaxPzzUe2lFqmsOWqf2vNhhCH61","https://scholar.google.com/scholar?q=related:cC-TlXX5H_MJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
181,"X Zhang, Z Huang, M Ferrandon, D Yang, L Robison…","Catalytic chemoselective functionalization of methane in a metal− organic framework",2018,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0069-6&casa_token=Y-xIiuf-C4EAAAAA:aWvBA0vfdpvh6tCNgm8ISJQdnLUylSDsA4FxiD4GnrP_4lFH09Uk5-R_eAF7u6-nqPH1ZKgajZXwcivt","https://scholar.google.com/scholar?cites=1912175217377636802&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 18:37:20","HTML","","","",,,,,181,25.86,30,6,7,"… The activation of methane is considered a grand challenge in … a promising route for the activation of methane to circumvent … d, Density functional theory pore size distribution of UiO-67-…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-018-0069-6&casa_token=Y-xIiuf-C4EAAAAA:aWvBA0vfdpvh6tCNgm8ISJQdnLUylSDsA4FxiD4GnrP_4lFH09Uk5-R_eAF7u6-nqPH1ZKgajZXwcivt","https://scholar.google.com/scholar?q=related:wnEZpDppiRoJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
96,"Z Li, Y Xiao, PR Chowdhury, Z Wu, T Ma, JZ Chen…","Direct methane activation by atomically thin platinum nanolayers on two-dimensional metal carbides",2021,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00686-y&casa_token=g-NR-nmMMgIAAAAA:fqJRp-aF8ldUZw0Gse3vHnGZPeCdwDyIA7F8TK6Gk80vEklDNnYHKuezonk0ckt8o-nAlFO7ci7R2DJn","https://scholar.google.com/scholar?cites=8452922547381014939&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 18:37:20","HTML","","","",,,,,96,24.00,14,7,4,"… NOCM starts with the activation of the first C–H bond, which leads to dissociative adsorption … species (CH 3 *). Our DFT results suggest that the free energy changes of all C–H bond …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00686-y&casa_token=g-NR-nmMMgIAAAAA:fqJRp-aF8ldUZw0Gse3vHnGZPeCdwDyIA7F8TK6Gk80vEklDNnYHKuezonk0ckt8o-nAlFO7ci7R2DJn","https://scholar.google.com/scholar?q=related:mxGJdkXQTnUJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
