Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
120,"FH Zhang, FJ Zhang, ML Li, JH Xie, QL Zhou","Enantioselective hydrogenation of dialkyl ketones",2020,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-0474-5&casa_token=9EOPtnKeG4IAAAAA:VFDjuYJm4g60nDyF14wM66HuBZ9KVNE8RtE1OfLGmOBA2Zc9WoNfMYptkO-cJ_hxySzhoynf8nkRfIEj","https://scholar.google.com/scholar?cites=14189470024016192596&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 18:34:48","HTML","","","",,,,,120,24.00,24,5,5,"… in the hydrogenation of alkyl methyl ketones, which are among the most challenging ketone … reaction, we performed density functional theory (DFT) studies on the (R)-Cat1-catalysed …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-0474-5&casa_token=9EOPtnKeG4IAAAAA:VFDjuYJm4g60nDyF14wM66HuBZ9KVNE8RtE1OfLGmOBA2Zc9WoNfMYptkO-cJ_hxySzhoynf8nkRfIEj","https://scholar.google.com/scholar?q=related:VOSJzM4f68QJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
126,"CJ Bondue, F Calle-Vallejo, MC Figueiredo…","Structural principles to steer the selectivity of the electrocatalytic reduction of aliphatic ketones on platinum",2019,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0229-3&casa_token=0uLfqqFObggAAAAA:_cO8jGuRS3q2IXTfPDMVt3KQTf51FQHeqO0tXvDLD0MIzeHvainzOCaN_KVJBxx7J8U3MbRZNTVNcQEJ","https://scholar.google.com/scholar?cites=15996963428149477480&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 18:34:48","HTML","","","",,,,,126,21.00,32,4,6,"… Using density functional theory (DFT) calculations, we propose … the electrochemical hydrogenation of aliphatic ketones at … In contrast, the actual hydrogenation on stepped surfaces …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0229-3&casa_token=0uLfqqFObggAAAAA:_cO8jGuRS3q2IXTfPDMVt3KQTf51FQHeqO0tXvDLD0MIzeHvainzOCaN_KVJBxx7J8U3MbRZNTVNcQEJ","https://scholar.google.com/scholar?q=related:aMDDe3uhAN4J:scholar.google.com/&scioq=source:%22nature+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"J Zheng, J Jongcharoenkamol, BBC Peters, J Guhl…","Iridium-catalysed enantioselective formal deoxygenation of racemic alcohols via asymmetric hydrogenation",2019,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0375-7&casa_token=FGdxxQAb5CsAAAAA:oqSdOjFpg_TE5cx0yjCYu0VccCg1m_OB-OqFUdhYvf5eshW2s-v64CA9XimROeVVSD2iT6OrSA6PVjud","https://scholar.google.com/scholar?cites=1055411105066356127&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 18:34:48","HTML","","","",,,,,22,3.67,4,5,6,"… be simply prepared by addition to ketones with very little by-… process could transform ketones into chiral alkanes, with … catalyst was identified by density functional theory using the B3LYP…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0375-7&casa_token=FGdxxQAb5CsAAAAA:oqSdOjFpg_TE5cx0yjCYu0VccCg1m_OB-OqFUdhYvf5eshW2s-v64CA9XimROeVVSD2iT6OrSA6PVjud","https://scholar.google.com/scholar?q=related:n4176c6SpQ4J:scholar.google.com/&scioq=source:%22nature+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
173,"R Qin, L Zhou, P Liu, Y Gong, K Liu, C Xu, Y Zhao…","Alkali ions secure hydrides for catalytic hydrogenation",2020,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-0481-6&casa_token=lCdNjtZm4FkAAAAA:Ik4kwKjEICGCdW2FmzQRBzQiTpyS_d_yT-GTDX-lcr3_T0yeAk-PwZ8FzqtsKJIT2JVk4IaXCLvS8Sil","https://scholar.google.com/scholar?cites=9802506747185670000&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 18:34:48","HTML","","","",,,,,173,34.60,22,8,5,"… a, The energy profiles of acetone hydrogenation from DFT calculations. b, The energy barriers of acetone hydrogenation over Ru(0001), Ru(1120), Ru(Na) and Ru(H). TS3 refers to the …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-0481-6&casa_token=lCdNjtZm4FkAAAAA:Ik4kwKjEICGCdW2FmzQRBzQiTpyS_d_yT-GTDX-lcr3_T0yeAk-PwZ8FzqtsKJIT2JVk4IaXCLvS8Sil","https://scholar.google.com/scholar?q=related:cCdfXvN_CYgJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
165,"H Bauer, M Alonso, C Färber, H Elsen, J Pahl…","Imine hydrogenation with simple alkaline earth metal catalysts",2018,"… catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-017-0006-0&casa_token=xBKGmBtWokcAAAAA:TZmE_Z19a1XxFThDM5wIgjxOA108Cw52iRRCdQFSSlZkz298tbbTJQ1-XVd5VeT9jBkJLXFQebfNU5ri","https://scholar.google.com/scholar?cites=10169826311681815686&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 18:34:48","HTML","","","",,,,,165,23.57,28,6,7,"… Therefore, we performed an extensive density functional theory (DFT) study on the model … to that proposed by Berkessel for ketone hydrogenation by KOtBu under harsh conditions (20 …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-017-0006-0&casa_token=xBKGmBtWokcAAAAA:TZmE_Z19a1XxFThDM5wIgjxOA108Cw52iRRCdQFSSlZkz298tbbTJQ1-XVd5VeT9jBkJLXFQebfNU5ri","https://scholar.google.com/scholar?q=related:hjQ3_yV7Io0J:scholar.google.com/&scioq=source:%22nature+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
138,"J Zhao, S Ji, C Guo, H Li, J Dong, P Guo, D Wang…","A heterogeneous iridium single-atom-site catalyst for highly regioselective carbenoid O–H bond insertion",2021,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00637-7&casa_token=AnHwVw94VbUAAAAA:yFqJfJcYh5gvj2zb7aTJKmkNQoizfAq8NqU7PVn8QiLLjBQPPCR_1ElKnLP2C8gfGudQ3mPuu6N0YGQ4","https://scholar.google.com/scholar?cites=9781346388209730986&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 18:34:48","HTML","","","",,,,,138,34.50,17,8,4,"… Notably, a selective O–H insertion of glycosides has been reported by Tang and co-workers; however, density-functional theory (DFT) calculations suggest that site selectivity and …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00637-7&casa_token=AnHwVw94VbUAAAAA:yFqJfJcYh5gvj2zb7aTJKmkNQoizfAq8NqU7PVn8QiLLjBQPPCR_1ElKnLP2C8gfGudQ3mPuu6N0YGQ4","https://scholar.google.com/scholar?q=related:qoVKXrdSvocJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
92,"H Duan, JC Liu, M Xu, Y Zhao, XL Ma, J Dong…","Molecular nitrogen promotes catalytic hydrodeoxygenation",2019,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0368-6&casa_token=ubatSGMJ_A0AAAAA:jf4cOGSox9X4nMBz_mK9ci-fy7QjE1U676WtYjdjVtYREb0k6cq0fmrcvedzw5Vy_XkqLAiyMODU_jJY","https://scholar.google.com/scholar?cites=12260861511611600972&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 18:34:48","HTML","","","",,,,,92,15.33,13,7,6,"… ruthenium surface to form hydrogenated nitrogen species, … oxygen bond scission and the hydrogenation of hydroxy groups. … with the density functional theory (DFT) calculations reported …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0368-6&casa_token=ubatSGMJ_A0AAAAA:jf4cOGSox9X4nMBz_mK9ci-fy7QjE1U676WtYjdjVtYREb0k6cq0fmrcvedzw5Vy_XkqLAiyMODU_jJY","https://scholar.google.com/scholar?q=related:TFDef5VUJ6oJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"BL Qu, M Xiao, L He, JW Shi, Z Zhang, WJ Xiao…","Enantioselective macrocyclization via catalytic metallic dipole relay",2025,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-025-01322-9&casa_token=NWe201199F8AAAAA:0Xj8wyAWQPufJ7mfVoUZxTDPAhQkVraDdSF6_uxTwJjGWSfw1eO4iYlO-j1qroo4RAftRjfRC0BW2DuC","",8,"2025-05-05 18:34:48","HTML","","","",,,,,0,0.00,0,7,1,"… in the iron-catalysed asymmetric hydrogenation of ketones 6 . Despite the importance of … First, density functional theory (DFT) calculations were carried out to investigate the relevant …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-025-01322-9&casa_token=NWe201199F8AAAAA:0Xj8wyAWQPufJ7mfVoUZxTDPAhQkVraDdSF6_uxTwJjGWSfw1eO4iYlO-j1qroo4RAftRjfRC0BW2DuC","https://scholar.google.com/scholar?q=related:EbpUdpiUo-gJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"JJ Wang, H Huang, HL Sun, F Yang, J Wen, R Zhu","Mimicking hydrogen-atom-transfer-like reactivity in copper-catalysed olefin hydrofunctionalization",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01182-9&casa_token=j-joWlqCwW0AAAAA:StlkDBftUHRtSYwJTWvjveLiInUjhVeGULQKssHzJWQ2SQQ8KfqHWF7_PPT2HbjzGnn5jMPic08ubUHk","https://scholar.google.com/scholar?cites=1040262752082389461&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 18:34:48","HTML","","","",,,,,6,6.00,1,6,1,"… process, which were evaluated via density functional theory (DFT) calculations (Fig. 5b). The … be excluded experimentally, despite DFT calculations suggesting an activation barrier of …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01182-9&casa_token=j-joWlqCwW0AAAAA:StlkDBftUHRtSYwJTWvjveLiInUjhVeGULQKssHzJWQ2SQQ8KfqHWF7_PPT2HbjzGnn5jMPic08ubUHk","https://scholar.google.com/scholar?q=related:1enwInbBbw4J:scholar.google.com/&scioq=source:%22nature+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"X Yuan, K Lee, JB Eisenberg, JR Schmidt, KS Choi","Selective deoxygenation of biomass-derived carbonyl compounds on Zn via electrochemical Clemmensen reduction",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01066-4&casa_token=zSIoTC2oEtgAAAAA:WY94V9wzAI0Pf5d7B_Ef5g1_MKdLP4pLBWfWE8P402GsHvpQP3WBAxCtw96ZrC6j3iXy2dpsL0bx4XYG","https://scholar.google.com/scholar?cites=11434269277964060663&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 18:34:48","HTML","","","",,,,,20,20.00,4,5,1,"… to date for aldehydes and ketones are limited to hydrogenation of the unsaturated C… DFT + U thermal + ZPE – TS, where E DFT is the energy obtained from density functional theory (DFT…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01066-4&casa_token=zSIoTC2oEtgAAAAA:WY94V9wzAI0Pf5d7B_Ef5g1_MKdLP4pLBWfWE8P402GsHvpQP3WBAxCtw96ZrC6j3iXy2dpsL0bx4XYG","https://scholar.google.com/scholar?q=related:98c1s1Ovrp4J:scholar.google.com/&scioq=source:%22nature+catalysis%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
