Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
138,"J Zhao, S Ji, C Guo, H Li, J Dong, P Guo, D Wang…","A heterogeneous iridium single-atom-site catalyst for highly regioselective carbenoid O–H bond insertion",2021,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00637-7&casa_token=yYXajEP-U6oAAAAA:RDZL6zjM5MFg6n7lREAeSRYQrkSRokVZnICrbswqD5BcF6b269dXN6aEW4cfdV13hWqKzPiK7E86cZ0C","https://scholar.google.com/scholar?cites=9781346388209730986&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 18:33:44","HTML","","","",,,,,138,34.50,17,8,4,"… insertion of a nucleophilic hydroxyl group difficult 3 . Notably, a selective O–H insertion of glycosides has been reported by Tang and co-workers; however, density-functional theory (DFT…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00637-7&casa_token=yYXajEP-U6oAAAAA:RDZL6zjM5MFg6n7lREAeSRYQrkSRokVZnICrbswqD5BcF6b269dXN6aEW4cfdV13hWqKzPiK7E86cZ0C","https://scholar.google.com/scholar?q=related:qoVKXrdSvocJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"FP Wu, CC Chintawar, R Lalisse, P Mukherjee…","Ring expansion of indene by photoredox-enabled functionalized carbon-atom insertion",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01089-x&casa_token=iVedLlL8j4AAAAAA:R_Or7d_fPlb3peLTVc50FaB0AyblQUIp6eIWtd462CqJDg91xGr-bYx9cFyLv_AncczHy0EsZJw2yEOT","https://scholar.google.com/scholar?cites=15037872387908360460&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 18:33:44","HTML","","","",,,,,41,41.00,8,5,1,"… in the carbon insertion of substrate 6g. i, Methyl migration in the carbon insertion of 1,1-… explored the potential possible radical chain pathway by DFT simulations (Supplementary Fig. 16)…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01089-x&casa_token=iVedLlL8j4AAAAAA:R_Or7d_fPlb3peLTVc50FaB0AyblQUIp6eIWtd462CqJDg91xGr-bYx9cFyLv_AncczHy0EsZJw2yEOT","https://scholar.google.com/scholar?q=related:DNnuQkNBsdAJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"Y Wang, H Yang, Y Zheng, M Hu, J Zhu, ZP Bao…","Carbon monoxide enabling synergistic carbonylation and (hetero) aryl migration",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01204-6&casa_token=IbMAIVt2bSYAAAAA:HTmu823W5SEB0rVU4mP9LFrHuC8kT6HY_ttfGfHhS-z6FFjS6K9gUe6SY8LDPaSK6e8Ooyzx-v1VjVud","https://scholar.google.com/scholar?cites=9830915607630898216&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 18:33:44","HTML","","","",,,,,18,18.00,3,7,1,"… CO insertion step is a key element for functional group migration. The selective insertion of a … DFT calculations were also carried out and the results obtained also support the proposed …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01204-6&casa_token=IbMAIVt2bSYAAAAA:HTmu823W5SEB0rVU4mP9LFrHuC8kT6HY_ttfGfHhS-z6FFjS6K9gUe6SY8LDPaSK6e8Ooyzx-v1VjVud","https://scholar.google.com/scholar?q=related:KOSuoahtbogJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"CF Liu, H Wang, RT Martin, H Zhao, O Gutierrez…","Olefin functionalization/isomerization enables stereoselective alkene synthesis",2021,"… catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00658-2&casa_token=1K9Ckc2bUDsAAAAA:JxcT6R6RqDOfZX8Q3ePREybAGN1onFRhwAJx4UVGauu1gJJolyHfqfonHRnGQX1ahelYe4sIG6yJOdJB","https://scholar.google.com/scholar?cites=13822411865091468549&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 18:33:44","HTML","","","",,,,,50,12.50,8,6,4,"… for us to elucidate whether olefin migration in our reaction system … These observations provided hints that C=C bond migration … Taken together, these DFT results reveal the crucial roles …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00658-2&casa_token=1K9Ckc2bUDsAAAAA:JxcT6R6RqDOfZX8Q3ePREybAGN1onFRhwAJx4UVGauu1gJJolyHfqfonHRnGQX1ahelYe4sIG6yJOdJB","https://scholar.google.com/scholar?q=related:Be3rZVsS078J:scholar.google.com/&scioq=source:%22nature+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"QZ Li, WL Zou, ZY Yu, XX Kou, YQ Liu, X Zhang…","Remote site-selective arene C–H functionalization enabled by N-heterocyclic carbene organocatalysis",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01194-5&casa_token=RXxx9GHs79YAAAAA:EK9RGvai9EQN1SYerbRMaUqz9TbHff9RsLAtBP63CT2pnE-Q8aWepoSQeV3mbqx5jMgxoNVK9vNfzYyx","https://scholar.google.com/scholar?cites=17518995358910459760&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 18:33:44","HTML","","","",,,,,18,18.00,3,7,1,"… The radical reaction mechanism was investigated by experimental studies and density functional theory (DFT) calculations. Further … Qi regarding the DFT calculations in this study. …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01194-5&casa_token=RXxx9GHs79YAAAAA:EK9RGvai9EQN1SYerbRMaUqz9TbHff9RsLAtBP63CT2pnE-Q8aWepoSQeV3mbqx5jMgxoNVK9vNfzYyx","https://scholar.google.com/scholar?q=related:cC-TlXX5H_MJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"D Wu, W Kong, Y Bao, D Zhao, Y Li, G Yin","Alkene 1, 1-difunctionalizations via organometallic-radical relay",2023,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01032-0&casa_token=OwyZhhyK6zYAAAAA:6sYj3jHPl1yapy4A1X1zoleHvQCH6504Qf4DZZdU2-ZNdIpmjqAvc4fw6yUuuQu97kHqYQtBThRW8XAM","https://scholar.google.com/scholar?cites=2080939178944283489&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 18:33:44","HTML","","","",,,,,19,9.50,3,6,2,"… that the reaction proceeds through olefin migratory insertion into an aryl-nickel species, and … DFT calculations were performed at the M06L/6-311+G(d,p)-SDD(for Ni)-SMD (THF)//B3LYP…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01032-0&casa_token=OwyZhhyK6zYAAAAA:6sYj3jHPl1yapy4A1X1zoleHvQCH6504Qf4DZZdU2-ZNdIpmjqAvc4fw6yUuuQu97kHqYQtBThRW8XAM","https://scholar.google.com/scholar?q=related:YcMqcCj74BwJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
58,"X Yu, H Zhao, S Xi, Z Chen, X Wang, L Wang…","Site-selective alkene borylation enabled by synergistic hydrometallation and borometallation",2020,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-0470-9&casa_token=C5nSmp1-2J0AAAAA:oKo3tIe_sS3NWNspEuEMVHA3etcvZhwYYxhNrWlQxYuLtTb-pqdm2QiZR2-JK0IHi7xew5wu3rCr3Dbs","https://scholar.google.com/scholar?cites=14124441278079106564&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 18:33:44","HTML","","","",,,,,58,11.60,8,7,5,"… Iron-hydride iv then reacts with another molecule of ii to initiate C=C bond migration, either through an iterative sequence of reversible and consecutive olefin insertion/β-H elimination …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-0470-9&casa_token=C5nSmp1-2J0AAAAA:oKo3tIe_sS3NWNspEuEMVHA3etcvZhwYYxhNrWlQxYuLtTb-pqdm2QiZR2-JK0IHi7xew5wu3rCr3Dbs","https://scholar.google.com/scholar?q=related:BP7EBoIYBMQJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
46,"SY Hong, D Kim, S Chang","Catalytic access to carbocation intermediates via nitrenoid transfer leading to allylic lactams",2021,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-00558-x&casa_token=PsdS9nxGq9kAAAAA:lENVvypVVDWAwQdwvtIeofpkFIQKvsatpl6NSsrFnKbc6d6ayYRdnuQryCS5az1M0lMHjcnE5524vt3r","https://scholar.google.com/scholar?cites=16208598712138924509&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 18:33:44","HTML","","","",,,,,46,11.50,15,3,4,"… Based on the thermodynamic considerations (calculated ∆G between 2 and 3 is +6.9 kcal mol –1 using density functional theory (DFT) methods), an alternative selective approach to …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-00558-x&casa_token=PsdS9nxGq9kAAAAA:lENVvypVVDWAwQdwvtIeofpkFIQKvsatpl6NSsrFnKbc6d6ayYRdnuQryCS5az1M0lMHjcnE5524vt3r","https://scholar.google.com/scholar?q=related:3QHl36aC8OAJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"LW Qi, T Rogge, KN Houk, Y Lu","Iridium nitrenoid-enabled arene C− H functionalization",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01207-3&casa_token=dmyDh10ySZ8AAAAA:maDexaImEIxOJcn7JwERO0aK4cg5Vy7rIEXyeYfo1zaAgVYaQMVKBjtyX0XZSr4yv6tDX_QNiG-fMOdl","https://scholar.google.com/scholar?cites=14859780959679724852&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 18:33:44","HTML","","","",,,,,5,5.00,1,4,1,"… We also performed DFT calculations on the reaction of naphthyl azide 8a with β-naphthol (9a) in the presence of iridium complex Ir16 at the PBE0-D3(BJ)/def2-TZVP + SMD(TFE)//PBE0-…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01207-3&casa_token=dmyDh10ySZ8AAAAA:maDexaImEIxOJcn7JwERO0aK4cg5Vy7rIEXyeYfo1zaAgVYaQMVKBjtyX0XZSr4yv6tDX_QNiG-fMOdl","https://scholar.google.com/scholar?q=related:NL3SZQ2MOM4J:scholar.google.com/&scioq=source:%22nature+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"T von Münchow, NK Pandit, S Dana, P Boos…","Enantioselective C–H annulations enabled by either nickel-or cobalt-electrocatalysed C–H activation for catalyst-controlled chemodivergence",2025,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-025-01306-9","https://scholar.google.com/scholar?cites=13930496127118736252&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 18:33:44","","","","",,,,,1,1.00,0,5,1,"… of theory to acquire density functional theory (DFT)-derived … (TS1 2 ) involved in the migratory insertion was carried out (Fig. … stabilization, facilitating the migratory insertion of the alkene. …","https://www.nature.com/articles/s41929-025-01306-9.pdf","https://scholar.google.com/scholar?q=related:fPvdsWsQU8EJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
