Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
19,"D Wu, W Kong, Y Bao, D Zhao, Y Li, G Yin","Alkene 1, 1-difunctionalizations via organometallic-radical relay",2023,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01032-0&casa_token=oA3Z3HPm4nIAAAAA:s3nozBzxWeFGMnDui4ZJCWwbQIdyASGf-tbKSoZK6PfBmdP1y6OKZm3RMKEhuUFowyc9KMe64Vvwdoqb","https://scholar.google.com/scholar?cites=2080939178944283489&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 21:49:39","HTML","","","",,,,,19,9.50,3,6,2,"… the α-position, probably due to the β-H elimination being a selective step in this system 51 . … DFT calculations were performed at the M06L/6-311+G(d,p)-SDD(for Ni)-SMD (THF)//B3LYP…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-023-01032-0&casa_token=oA3Z3HPm4nIAAAAA:s3nozBzxWeFGMnDui4ZJCWwbQIdyASGf-tbKSoZK6PfBmdP1y6OKZm3RMKEhuUFowyc9KMe64Vvwdoqb","https://scholar.google.com/scholar?q=related:YcMqcCj74BwJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"CF Liu, H Wang, RT Martin, H Zhao, O Gutierrez…","Olefin functionalization/isomerization enables stereoselective alkene synthesis",2021,"… catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00658-2&casa_token=uZhA5YmIEygAAAAA:XwVeoUPbDFlY0o-dwCOoFc8Rwd1bW9sNzAFKbWstaaVyZpq57cqQem6blsSbqqxU_CgcDPZFkw2ehq4S","https://scholar.google.com/scholar?cites=13822411865091468549&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 21:49:39","HTML","","","",,,,,50,12.50,8,6,4,"… Finally, reductive elimination of IV facilitated by sodium tert-… Finally, irreversible reductive elimination regenerates the … Taken together, these DFT results reveal the crucial roles …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00658-2&casa_token=uZhA5YmIEygAAAAA:XwVeoUPbDFlY0o-dwCOoFc8Rwd1bW9sNzAFKbWstaaVyZpq57cqQem6blsSbqqxU_CgcDPZFkw2ehq4S","https://scholar.google.com/scholar?q=related:Be3rZVsS078J:scholar.google.com/&scioq=source:%22nature+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
138,"J Zhao, S Ji, C Guo, H Li, J Dong, P Guo, D Wang…","A heterogeneous iridium single-atom-site catalyst for highly regioselective carbenoid O–H bond insertion",2021,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00637-7&casa_token=ffQ1IVd_7HMAAAAA:DD9AAxhP7WWaCnVuOkRpfFAD6l2hC_toLF1E1IABjd_2-qe-L7GDOSU8AlIf9EMxAcyiF1VZz-1y7-V_","https://scholar.google.com/scholar?cites=9781346388209730986&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 21:49:39","HTML","","","",,,,,138,34.50,17,8,4,"… Notably, a selective O–H insertion of glycosides has been reported by Tang and co-workers; however, density-functional theory (DFT) calculations suggest that site selectivity and …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-021-00637-7&casa_token=ffQ1IVd_7HMAAAAA:DD9AAxhP7WWaCnVuOkRpfFAD6l2hC_toLF1E1IABjd_2-qe-L7GDOSU8AlIf9EMxAcyiF1VZz-1y7-V_","https://scholar.google.com/scholar?q=related:qoVKXrdSvocJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"TD Tan, JMI Serviano, X Luo, PC Qian, PL Holland…","Congested C(sp3)-rich architectures enabled by iron-catalysed conjunctive alkylation",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01113-8%25E2%2580%25A6&casa_token=wUbNyoeDUEoAAAAA:z2yYFvrjnUv9NZLls989ShqXaiC0JJt4VhvTcHB5iuelEezK8rwoJQXUq6XcQ0_acL5Srk3--5mMhZ2f","https://scholar.google.com/scholar?cites=16681609105627825473&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 21:49:39","HTML","","","",,,,,13,13.00,2,6,1,"… such as alkylmetal C β -hydride elimination 5 , which further … Our DFT studies on the formation of the minor alkene product … within the accuracy level possible via DFT, and that TST may …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01113-8%25E2%2580%25A6&casa_token=wUbNyoeDUEoAAAAA:z2yYFvrjnUv9NZLls989ShqXaiC0JJt4VhvTcHB5iuelEezK8rwoJQXUq6XcQ0_acL5Srk3--5mMhZ2f","https://scholar.google.com/scholar?q=related:QUXePhn7gOcJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"LW Qi, T Rogge, KN Houk, Y Lu","Iridium nitrenoid-enabled arene C− H functionalization",2024,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01207-3&casa_token=28FdAdTgxKUAAAAA:7RdlQ_omatNnNAh43bdm2pOuLcNeZETvBWK1sTrXTO3W_0g7tpAjqIGivpymndEkUs-Bx05P70oNkMCN","https://scholar.google.com/scholar?cites=14859780959679724852&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 21:49:39","HTML","","","",,,,,5,5.00,1,4,1,"… Further experiments and density functional theory (DFT) … , the N–O reductive elimination of the iridium complex and nitrene … We also performed DFT calculations on the reaction of …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-024-01207-3&casa_token=28FdAdTgxKUAAAAA:7RdlQ_omatNnNAh43bdm2pOuLcNeZETvBWK1sTrXTO3W_0g7tpAjqIGivpymndEkUs-Bx05P70oNkMCN","https://scholar.google.com/scholar?q=related:NL3SZQ2MOM4J:scholar.google.com/&scioq=source:%22nature+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
64,"J Vercammen, M Bocus, S Neale, A Bugaev…","Shape-selective C–H activation of aromatics to biarylic compounds using molecular palladium in zeolites",2020,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-00533-6&casa_token=2VpQ8bZpXJ0AAAAA:Nb3En07JVDmRYTpmg1vfW_sSVBLL_HLzu3R9QbKOq-Pf0EBAJbM7thft-5OPOYU0E_aBOeohZtnxpUP4","https://scholar.google.com/scholar?cites=8042589842451369616&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 21:49:39","HTML","","","",,,,,64,12.80,13,5,5,"… The excellent catalytic stability of H-Beta is further … , whereas the static DFT calculations afforded adsorption free … and the hydrogen prevent a β-hydride elimination 26,27 . We thus …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-00533-6&casa_token=2VpQ8bZpXJ0AAAAA:Nb3En07JVDmRYTpmg1vfW_sSVBLL_HLzu3R9QbKOq-Pf0EBAJbM7thft-5OPOYU0E_aBOeohZtnxpUP4","https://scholar.google.com/scholar?q=related:kI56qdkEnW8J:scholar.google.com/&scioq=source:%22nature+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"J Zheng, J Jongcharoenkamol, BBC Peters, J Guhl…","Iridium-catalysed enantioselective formal deoxygenation of racemic alcohols via asymmetric hydrogenation",2019,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0375-7&casa_token=I4lystUJONsAAAAA:yBTK2eQpoNH6r0INkKrptHZ2sSBFakXvJOml8OEbT8DKO9Upc-q4g-uesSHic56Saw5aZdBwoj3EXH-Z","https://scholar.google.com/scholar?cites=1055411105066356127&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 21:49:39","HTML","","","",,,,,22,3.67,4,5,6,"… Mechanistic studies indicate an Ir-mediated elimination of … catalyst was identified by density functional theory using the B3LYP-… be formed via β-hydride elimination. Before the β-hydride …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-019-0375-7&casa_token=I4lystUJONsAAAAA:yBTK2eQpoNH6r0INkKrptHZ2sSBFakXvJOml8OEbT8DKO9Upc-q4g-uesSHic56Saw5aZdBwoj3EXH-Z","https://scholar.google.com/scholar?q=related:n4176c6SpQ4J:scholar.google.com/&scioq=source:%22nature+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
58,"X Yu, H Zhao, S Xi, Z Chen, X Wang, L Wang…","Site-selective alkene borylation enabled by synergistic hydrometallation and borometallation",2020,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-0470-9&casa_token=49mGJy2mdvQAAAAA:5WsZh_GcZd_K3G1AdVF2SeYRXXNZo4D53mDNhFuR1q7f8vRGlAQymcdrL2kdHs4zlJD81p4XRaisy4QI","https://scholar.google.com/scholar?cites=14124441278079106564&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 21:49:39","HTML","","","",,,,,58,11.60,8,7,5,"… i across alkene ii, followed by β-H elimination to afford the putative iron-hydride species iv … of reversible and consecutive olefin insertion/β-H elimination 30 steps or by HAT 32 (see …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-0470-9&casa_token=49mGJy2mdvQAAAAA:5WsZh_GcZd_K3G1AdVF2SeYRXXNZo4D53mDNhFuR1q7f8vRGlAQymcdrL2kdHs4zlJD81p4XRaisy4QI","https://scholar.google.com/scholar?q=related:BP7EBoIYBMQJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"T von Münchow, NK Pandit, S Dana, P Boos…","Enantioselective C–H annulations enabled by either nickel-or cobalt-electrocatalysed C–H activation for catalyst-controlled chemodivergence",2025,"Nature Catalysis","nature.com","https://www.nature.com/articles/s41929-025-01306-9","https://scholar.google.com/scholar?cites=13930496127118736252&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 21:49:39","","","","",,,,,1,1.00,0,5,1,"… elimination, the cobalt electrocatalysis furnishes the carboacylation product through a nucleophilic addition/elimination … ) level of theory to acquire density functional theory (DFT)-derived …","https://www.nature.com/articles/s41929-025-01306-9.pdf","https://scholar.google.com/scholar?q=related:fPvdsWsQU8EJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
46,"SY Hong, D Kim, S Chang","Catalytic access to carbocation intermediates via nitrenoid transfer leading to allylic lactams",2021,"Nature Catalysis","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-00558-x&casa_token=QbVyD0epEdUAAAAA:DngUSMILeG5ag2SPTk3s_b9qw235yX2oVdIREkUmfHBNlkRzyPGtWdo5E3CFo86-rAtQtSG9wgqZXvou","https://scholar.google.com/scholar?cites=16208598712138924509&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 21:49:39","HTML","","","",,,,,46,11.50,15,3,4,"… bond towards the regiocontrolled elimination of carbocations … of ability to control the key elimination process. In fact, both … kcal mol –1 using density functional theory (DFT) methods), …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41929-020-00558-x&casa_token=QbVyD0epEdUAAAAA:DngUSMILeG5ag2SPTk3s_b9qw235yX2oVdIREkUmfHBNlkRzyPGtWdo5E3CFo86-rAtQtSG9wgqZXvou","https://scholar.google.com/scholar?q=related:3QHl36aC8OAJ:scholar.google.com/&scioq=source:%22nature+catalysis%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
