Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
166,"K Liao, YF Yang, Y Li, JN Sanders, KN Houk…","Design of catalysts for site-selective and enantioselective functionalization of non-activated primary C–H bonds",2018,"… chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-018-0087-7&casa_token=tEa8Sv0VXjEAAAAA:e1sZ5GKzwODalVK78jtQhrZsC84IVR_snerUNduS1Ip1VDBmSoWD5Nq91M38r6WTo6e7qP3hnSTNe143","https://scholar.google.com/scholar?cites=17657882462818175652&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 18:40:27","HTML","","","",,,,,166,23.71,28,6,7,"… a, ONIOM partitioning of the catalyst, with the atoms inside the purple rectangle modelled with density functional theory and the atoms outside modelled with the universal force field (…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-018-0087-7&casa_token=tEa8Sv0VXjEAAAAA:e1sZ5GKzwODalVK78jtQhrZsC84IVR_snerUNduS1Ip1VDBmSoWD5Nq91M38r6WTo6e7qP3hnSTNe143","https://scholar.google.com/scholar?q=related:pIrgYYtmDfUJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
86,"J Zhu, J Wang, G Dong","Catalytic activation of unstrained C (aryl)–C (aryl) bonds in 2, 2′-biphenols",2019,"Nature chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-018-0157-x&casa_token=YT40NjDZUVQAAAAA:Rlww5VJMaGItXzH3a79DBZL4YyHQFC9XmTdtrmWFyfWgP5zKqbwNqGMej7AvLH1rStP6v4NtYcf3AVpm","https://scholar.google.com/scholar?cites=18294063142241568155&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 18:40:27","HTML","","","",,,,,86,14.33,29,3,6,"… Supplementary Section 14 gives the computed activation energies from the DFT study. b, Stoichiometric Rh−Cl-mediated transformations in the absence of H 2 afforded a trace amount …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-018-0157-x&casa_token=YT40NjDZUVQAAAAA:Rlww5VJMaGItXzH3a79DBZL4YyHQFC9XmTdtrmWFyfWgP5zKqbwNqGMej7AvLH1rStP6v4NtYcf3AVpm","https://scholar.google.com/scholar?q=related:mwXgc4CR4f0J:scholar.google.com/&scioq=source:%22nature+chemistry%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
247,"G Xue, R De Hont, E Münck, L Que Jr","Million-fold activation of the [Fe2(µ-O)2] diamond core for C–H bond cleavage",2010,"Nature chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.586.pdf&casa_token=7r6cdf2-VHgAAAAA:IIuT5r2OUjsd77U9UhsUMVrX7AwfBetMIyUIDh_qO6YLpCwQUQ5ZfJ35KWYmyeGRx80zDBfgumrBC4QN","https://scholar.google.com/scholar?cites=12709827189018473556&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 18:40:27","PDF","","","",,,,,247,16.47,62,4,15,"… (EXAFS) studies, the high-valent oxidant in sMMO called Q has been proposed to have a [Fe2(mO)2] diamond core9, a notion supported by subsequent density functional theory (DFT) …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.586.pdf&casa_token=7r6cdf2-VHgAAAAA:IIuT5r2OUjsd77U9UhsUMVrX7AwfBetMIyUIDh_qO6YLpCwQUQ5ZfJ35KWYmyeGRx80zDBfgumrBC4QN","https://scholar.google.com/scholar?q=related:VDQMJn1gYrAJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
205,"GB Boursalian, WS Ham, AR Mazzotti, T Ritter","Charge-transfer-directed radical substitution enables para-selective C–H functionalization",2016,"Nature chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2529&casa_token=In2mtefTcEkAAAAA:OaB8Pfi-DxM1919OZwt84lYL2KwQA6gvC6gD2J4trf9_4_ZmefukXuRVwhHqyq2VDkchNJ255llppZVH","https://scholar.google.com/scholar?cites=4859293450045486782&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 18:40:27","HTML","","","",,,,,205,22.78,51,4,9,"… -assisted aromatic C–H functionalization reactions with … of arene or work only on activated arenes, and the origin of their … 12.4 eV, calculated by density functional theory (DFT). The high …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2529&casa_token=In2mtefTcEkAAAAA:OaB8Pfi-DxM1919OZwt84lYL2KwQA6gvC6gD2J4trf9_4_ZmefukXuRVwhHqyq2VDkchNJ255llppZVH","https://scholar.google.com/scholar?q=related:vvZXraWtb0MJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
169,"SE Denmark, E Hartmann, DJP Kornfilt, H Wang","Mechanistic, crystallographic, and computational studies on the catalytic, enantioselective sulfenofunctionalization of alkenes",2014,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2109&casa_token=zHLBnorujhcAAAAA:WtZ8Pg2Se8GqqCafNkoeJFEADkwfFY0LtCw29vpN0JBk7-rRvM37toax8JJTXHgi3yj5ZOO7jqygWjY5","https://scholar.google.com/scholar?cites=8657386557280321422&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 18:40:27","HTML","","","",,,,,169,15.36,42,4,11,"… those from density functional theory (DFT) analysis and suggest that a more subtle effect may be operative. As shown in Table 3, H-TS-major1 possesses the lowest activation energy, …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2109&casa_token=zHLBnorujhcAAAAA:WtZ8Pg2Se8GqqCafNkoeJFEADkwfFY0LtCw29vpN0JBk7-rRvM37toax8JJTXHgi3yj5ZOO7jqygWjY5","https://scholar.google.com/scholar?q=related:jn_vfTQ3JXgJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
160,"J Ye, Z Shi, T Sperger, Y Yasukawa, C Kingston…","Remote C−H alkylation and C−C bond cleavage enabled by an in situ generated palladacycle",2017,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2631&casa_token=8HU-h8W23moAAAAA:zE-yjgZIHyutn3Kvy62q6DdyVNx9Ljc9ExDUELidMFf09ZIxAiSIfpzy43m6jp9UvdmEpjqtvt7uev2a","https://scholar.google.com/scholar?cites=12884145374419897374&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 18:40:27","HTML","","","",,,,,160,20.00,27,6,8,"… C−H activation, an alternative approach is to utilize a transient DG that can be generated in situ and departs the molecule after the C−H activation … of density functional theory (DFT) …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2631&casa_token=8HU-h8W23moAAAAA:zE-yjgZIHyutn3Kvy62q6DdyVNx9Ljc9ExDUELidMFf09ZIxAiSIfpzy43m6jp9UvdmEpjqtvt7uev2a","https://scholar.google.com/scholar?q=related:HkzKdPStzbIJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
36,"SM Guo, S Huh, M Coehlo, L Shen, G Pieters…","AC–H activation-based enantioselective synthesis of lower carbo[n]helicenes",2023,"… chemistry","nature.com","https://www.nature.com/articles/s41557-023-01174-5","https://scholar.google.com/scholar?cites=7592750348386832188&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 18:40:27","","","","",,,,,36,18.00,6,6,2,"… Density functional theory (DFT) calculations have shed light on a complex mechanistic pathway in which both the C–H activation and reductive elimination steps have an impact on the …","https://www.nature.com/articles/s41557-023-01174-5.pdf","https://scholar.google.com/scholar?q=related:PA_StzbeXmkJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"MLG Sansores-Paredes, M Lutz, ME Moret","Cooperative H2 activation at a nickel(0)–olefin centre",2024,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-023-01380-1&casa_token=Emx0Myl-CEkAAAAA:tonX7Hq5URxuZh3eiI6WDylo9DMauKWAzBAMG0mfiuGJJUc4C7PPDxAfgV6Hi0oQVe1UbZ0A9q4VbbNu","https://scholar.google.com/scholar?cites=10276020346859274254&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 18:40:27","HTML","","","",,,,,19,19.00,6,3,1,"… Density functional theory calculations performed on a slightly truncated model support a concerted activation pathway (Fig. 3a). Slightly endergonic (7.5 kcal mol –1 ) exchange of N 2 …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-023-01380-1&casa_token=Emx0Myl-CEkAAAAA:tonX7Hq5URxuZh3eiI6WDylo9DMauKWAzBAMG0mfiuGJJUc4C7PPDxAfgV6Hi0oQVe1UbZ0A9q4VbbNu","https://scholar.google.com/scholar?q=related:DsA7jw_Cm44J:scholar.google.com/&scioq=source:%22nature+chemistry%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
104,"G Kumar, L Tibbitts, J Newell, B Panthi…","Evaluating differences in the active-site electronics of supported Au nanoparticle catalysts using Hammett and DFT studies",2018,"… chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2911&casa_token=wRWm-1L1jCgAAAAA:ikP0D4nep901GtwzK5f-zmVEaURkMykNqTBY6sbWPPrieqP3QKExwlY6LUKGZkpkGcIKmeAdluEpNJqD","https://scholar.google.com/scholar?cites=15527093924223205238&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 18:40:27","HTML","","","",,,,,104,14.86,21,5,7,"… This provides internal consistency between the experimental TOF–ρ obs correlation and the DFT correlations between particle charge, activation barrier and Hammett slope. Collectively…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2911&casa_token=wRWm-1L1jCgAAAAA:ikP0D4nep901GtwzK5f-zmVEaURkMykNqTBY6sbWPPrieqP3QKExwlY6LUKGZkpkGcIKmeAdluEpNJqD","https://scholar.google.com/scholar?q=related:dj9zc6hRe9cJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
603,"MD Marcinkowski, MT Darby, J Liu, JM Wimble…","Pt/Cu single-atom alloys as coke-resistant catalysts for efficient C–H activation",2018,"… chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2915&casa_token=88Cd_VJKlmMAAAAA:cro8qBhv6ywWb4P-pVMFCXdePaX9-woNqN6tRQ8HWSUujwSHsCxjTH7wh2shO4iisVyHXCDMDAZgw1QR","https://scholar.google.com/scholar?cites=2950632700313585927&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 18:40:27","HTML","","","",,,,,603,86.14,121,5,7,"… Using Pt/Cu single-atom alloys (SAAs), we examine C–H activation in a number … density functional theory (DFT) we calculate the adsorption energy of CH x fragments and the activation …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2915&casa_token=88Cd_VJKlmMAAAAA:cro8qBhv6ywWb4P-pVMFCXdePaX9-woNqN6tRQ8HWSUujwSHsCxjTH7wh2shO4iisVyHXCDMDAZgw1QR","https://scholar.google.com/scholar?q=related:B8nXzM7A8igJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
