Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
97,"R Garrison Kinney, J Tjutrins, GM Torres, NJ Liu, ...","A general approach to intermolecular carbonylation of arene C–H bonds to ketones through catalytic aroyl triflate formation",2018,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2903&casa_token=biZRNDpN0OcAAAAA:WrrYN54J9rb93kcD8pTk1GKvcG6KFLMznmN-ucOHTxMm0l64XTTdPMKp4riioY2EDut1sgJG4olNpG2O","https://scholar.google.com/scholar?cites=5790446177602944560&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 02:20:27","HTML","","","",,,,,97,13.86,19,5,7,"… by carbonylations typically requires coupling with pre-synthesized organometallic agents 27 . In considering these issues, we questioned if metal catalysed carbonylations … carbonylation …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2903&casa_token=biZRNDpN0OcAAAAA:WrrYN54J9rb93kcD8pTk1GKvcG6KFLMznmN-ucOHTxMm0l64XTTdPMKp4riioY2EDut1sgJG4olNpG2O","https://scholar.google.com/scholar?q=related:ML4Kkx7MW1AJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
70,"D Reiter, R Holzner, A Porzelt, P Frisch, S Inoue","Silylated silicon–carbonyl complexes as mimics of ubiquitous transition-metal carbonyls",2020,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-020-00555-4&casa_token=KXkGXEmLqaMAAAAA:vxdEcmNw2Vm6KwSAnAmyihzTB1bGilo5RS4tDrHGwgXAbubByi6J323bdTHUMI8XfEJZ78F00hjcSGZa","https://scholar.google.com/scholar?cites=8452470738115206407&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 02:20:27","HTML","","","",,,,,70,14.00,14,5,5,"… Phosphaketene B and silicon–carbonyl complex C were obtained via direct carbonylation of … other silyl cyanides and the results of our DFT calculations: Analysis calculated for C 25 H …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-020-00555-4&casa_token=KXkGXEmLqaMAAAAA:vxdEcmNw2Vm6KwSAnAmyihzTB1bGilo5RS4tDrHGwgXAbubByi6J323bdTHUMI8XfEJZ78F00hjcSGZa","https://scholar.google.com/scholar?q=related:B529a1o1TXUJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
96,"C Ganesamoorthy, J Schoening, C Wölper, L Song, ...","A silicon–carbonyl complex stable at room temperature",2020,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-020-0456-x&casa_token=aJ-xDuU-dTgAAAAA:iYhmVwkvdTXVTQnJmgrClf2SPWiqot3P8MOV5RDM5lJSCU15dJOjaeLGj20KBaytLndeww3gacY35GtT","https://scholar.google.com/scholar?cites=7916508711970683896&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 02:20:27","HTML","","","",,,,,96,19.20,19,5,5,"… Here, we show the synthesis, single-crystal X-ray structure, and density functional theory … 3 )] 2 ), which was obtained by direct carbonylation of the electron-rich silylene intermediate [L(…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-020-0456-x&casa_token=aJ-xDuU-dTgAAAAA:iYhmVwkvdTXVTQnJmgrClf2SPWiqot3P8MOV5RDM5lJSCU15dJOjaeLGj20KBaytLndeww3gacY35GtT","https://scholar.google.com/scholar?q=related:-DtM5roW3W0J:scholar.google.com/&scioq=source:%22nature+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"TC Jankins, WC Bell, Y Zhang, ZY Qin, JS Chen, ...","Low-valent tungsten redox catalysis enables controlled isomerization and carbonylative functionalization of alkenes",2022,"… chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-022-00951-y&casa_token=y3JFrXKu-mYAAAAA:mEG00GpMVVB9LBS2vHP6yNm2rzpOHhLxlMfErm4AVk1HUGHQ14Ssk-Dk4sZ4JncW41112EC2WGFC15-y","https://scholar.google.com/scholar?cites=5599559268522047820&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 02:20:27","HTML","","","",,,,,37,12.33,6,6,3,"… isomerization and tandem carbonylation process could be … hypothesis that the carbonylation proceeds through the … labelling experiments and density functional theory (DFT) calculations…","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-022-00951-y&casa_token=y3JFrXKu-mYAAAAA:mEG00GpMVVB9LBS2vHP6yNm2rzpOHhLxlMfErm4AVk1HUGHQ14Ssk-Dk4sZ4JncW41112EC2WGFC15-y","https://scholar.google.com/scholar?q=related:TLkAq3yhtU0J:scholar.google.com/&scioq=source:%22nature+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
141,"H Li, K Dong, H Jiao, H Neumann, R Jackstell, ...","The scope and mechanism of palladium-catalysed Markovnikov alkoxycarbonylation of alkenes",2016,"… chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2586&casa_token=5Wg2ap838pUAAAAA:SooG8z3w0gzo1UMEVgdLgumRfASuWMonNxBxyBlTnkRnqZ0PjOl7gFdWcL5EgGL0nAxxVC42Lab02-l9","https://scholar.google.com/scholar?cites=17714497966925508857&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 02:20:27","HTML","","","",,,,,141,15.67,24,6,9,"… a fundamental type of carbonylation reaction and constitute … rationalized by density functional theory computation that … Based on our long-standing interest in carbonylation reactions, …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2586&casa_token=5Wg2ap838pUAAAAA:SooG8z3w0gzo1UMEVgdLgumRfASuWMonNxBxyBlTnkRnqZ0PjOl7gFdWcL5EgGL0nAxxVC42Lab02-l9","https://scholar.google.com/scholar?q=related:-XD5pAuK1vUJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"Z Wu, J Meng, H Liu, Y Li, X Zhang, W Zhang","Multi-site programmable functionalization of alkenes via controllable alkene isomerization",2023,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-023-01209-x&casa_token=Pr-nu-FjXkYAAAAA:X0YUBD_kJaqyCaq8zAjqNQhhaJgmPhxXexzIRiwst5iGbfw3DtN7pC_8uoQoZZuP4TANK2OzbZwSNkAH","https://scholar.google.com/scholar?cites=3867249340209500180&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 02:20:27","HTML","","","",,,,,22,11.00,4,6,2,"Direct and selective functionalization of hydrocarbon chains is a fundamental problem in synthetic chemistry. Conventional functionalization of C=C double bonds and C(sp 3 )–H bonds …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-023-01209-x&casa_token=Pr-nu-FjXkYAAAAA:X0YUBD_kJaqyCaq8zAjqNQhhaJgmPhxXexzIRiwst5iGbfw3DtN7pC_8uoQoZZuP4TANK2OzbZwSNkAH","https://scholar.google.com/scholar?q=related:FBANDck6qzUJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"AD Marchese, B Mirabi, CE Johnson, M Lautens","Reversible C–C bond formation using palladium catalysis",2022,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-022-00898-0&casa_token=OPHDEWzFy2oAAAAA:eox0oKCk8Gu0SnU0Zvj_6CozkDYCseo6KcykCCKieQ-n3NYuFjAxfbeQOhSE4dJCe8BTWj1EvdEfdx-V","https://scholar.google.com/scholar?cites=9907579899896699420&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 02:20:27","HTML","","","",,,,,31,10.33,8,4,3,"… We then turned to density functional theory (DFT) to study the energetic landscape of this reaction (Fig. 4a; see the Supplementary Information for computational details; representative …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-022-00898-0&casa_token=OPHDEWzFy2oAAAAA:eox0oKCk8Gu0SnU0Zvj_6CozkDYCseo6KcykCCKieQ-n3NYuFjAxfbeQOhSE4dJCe8BTWj1EvdEfdx-V","https://scholar.google.com/scholar?q=related:HJokJW3LfokJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"W Unkrig, M Schmitt, D Kratzert, D Himmel, ...","Synthesis and characterization of crystalline niobium and tantalum carbonyl complexes at room temperature",2020,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-020-0487-3&casa_token=HiNESDpA8HAAAAAA:17A56oJzwB0N46avUSWyl1c999xYxO6mcpZr1nD6EG83XiJ7XuveY3rUy8f86qT8f1ESDA1GB3CC42DW","https://scholar.google.com/scholar?cites=16421162926251242524&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 02:20:27","HTML","","","",,,,,41,8.20,8,5,5,"… by the oxidation of [M(CO) 6 ] – with 2Ag + [Al(OR F ) 4 ] – (R F , C(CF 3 ) 3 ) under a CO atmosphere; their experimental characterization was supported by density functional theory …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-020-0487-3&casa_token=HiNESDpA8HAAAAAA:17A56oJzwB0N46avUSWyl1c999xYxO6mcpZr1nD6EG83XiJ7XuveY3rUy8f86qT8f1ESDA1GB3CC42DW","https://scholar.google.com/scholar?q=related:HPQEqq2w4-MJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
174,"XP Fu, XS Xue, XY Zhang, YL Xiao, S Zhang, ...","Controllable catalytic difluorocarbene transfer enables access to diversified fluoroalkylated arenes",2019,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-019-0331-9&casa_token=_10LJn_RJKEAAAAA:VABr3L8UKQUuuAv-Ll0dcTGGlzhaZ7pb1VRcH6m1GliV9gMWYLctgB-vno5X51MTYYaVJ4OigpASEMKP","https://scholar.google.com/scholar?cites=1146756643310704180&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 02:20:27","HTML","","","",,,,,174,29.00,29,6,6,"… 7) and DFT calculations further identified that the carbonylation reaction occurs after the … Collectively, the experimental observations and DFT calculations are consistent with the …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-019-0331-9&casa_token=_10LJn_RJKEAAAAA:VABr3L8UKQUuuAv-Ll0dcTGGlzhaZ7pb1VRcH6m1GliV9gMWYLctgB-vno5X51MTYYaVJ4OigpASEMKP","https://scholar.google.com/scholar?q=related:NJZaYBcZ6g8J:scholar.google.com/&scioq=source:%22nature+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"ZJ Lv, KA Eisenlohr, R Naumann, T Reuter, ...","Triplet carbenes with transition-metal substituents",2024,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-024-01597-8&casa_token=0c2pbwSCaDgAAAAA:Y79WvuF4MQ6e-Avnies9ogTucrJUQew__XxDLVZLPbDMYtembLmpBvfeZRgLyoF_uwJVLssYlkw2uu0f","https://scholar.google.com/scholar?cites=3461098409902651246&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 02:20:27","HTML","","","",,,,,8,8.00,2,5,1,"… C–H insertion and carbonylation. Bond analysis reveals … is excellently reproduced by density functional theory (DFT) for … DFT excellently reproduces the M‒C bond lengths for the …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-024-01597-8&casa_token=0c2pbwSCaDgAAAAA:Y79WvuF4MQ6e-Avnies9ogTucrJUQew__XxDLVZLPbDMYtembLmpBvfeZRgLyoF_uwJVLssYlkw2uu0f","https://scholar.google.com/scholar?q=related:brfqhqpKCDAJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+carbonylation+dft&hl=en&as_sdt=0,5&as_vis=1"
