Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
18,"X Li, T Yang, J Li, X Li, P Chen, Z Lin, G Liu","Regio-and enantioselective remote dioxygenation of internal alkenes",2023,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-023-01192-3&casa_token=xC9imoVFL6IAAAAA:Fm5dhVP8d1z9FHoFVC9VgOAG_FkBUPiqj-qYXpzzL8dGJ4aFSx7zdzB4pJKxCKgUJT6xcvNvH5Sbs4HT","https://scholar.google.com/scholar?cites=10058793992944470360&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 01:45:44","HTML","","","",,,,,18,9.00,3,7,2,"… DFT calculation results regarding palladium migrations can be understood as follows: (1) palladium migration … The experiments and DFT calculation data supporting the findings of this …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-023-01192-3&casa_token=xC9imoVFL6IAAAAA:Fm5dhVP8d1z9FHoFVC9VgOAG_FkBUPiqj-qYXpzzL8dGJ4aFSx7zdzB4pJKxCKgUJT6xcvNvH5Sbs4HT","https://scholar.google.com/scholar?q=related:WMlJwtcDmIsJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
68,"CX Ye, X Shen, S Chen, E Meggers","Stereocontrolled 1, 3-nitrogen migration to access chiral α-amino acids",2022,"Nature chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-022-00895-3&casa_token=bfjT55CKrGUAAAAA:BrKHbZm4ETq-2owX7e04mWNsYNjm6v_KQfFcFiu_ecRXuJL-_GHL1U2YoCxY5Sq-9earzdEDZra5EDAK","https://scholar.google.com/scholar?cites=17090042469435875872&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 01:45:44","HTML","","","",,,,,68,22.67,17,4,3,"… We performed density functional theory (DFT) calculations to elucidate the reaction … Indeed, the DFT calculations are consistent with this picture. Stepwise displacement of two …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-022-00895-3&casa_token=bfjT55CKrGUAAAAA:BrKHbZm4ETq-2owX7e04mWNsYNjm6v_KQfFcFiu_ecRXuJL-_GHL1U2YoCxY5Sq-9earzdEDZra5EDAK","https://scholar.google.com/scholar?q=related:IKIQOxQHLO0J:scholar.google.com/&scioq=source:%22nature+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
150,"J Wang, R Li, Z Dong, P Liu, G Dong","Complementary site-selectivity in arene functionalization enabled by overcoming the ortho constraint in palladium/norbornene catalysis",2018,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-018-0074-z&casa_token=-y9BaJQyNgwAAAAA:7Ru62Hh37LnBOMn7BI74sWUiViuXAZHmwlgm9nyXoM5gL5VanDJfhW-L4SFKC2IpF2t0UAuPyIiBacum","https://scholar.google.com/scholar?cites=7988678681715555126&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 01:45:44","HTML","","","",,,,,150,21.43,30,5,7,"… density functional theory (DFT) was performed (Fig. 4c). The key TSs for the second C–H metallation, β-carbon elimination and migratory insertion … the initial migratory insertion step, see …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-018-0074-z&casa_token=-y9BaJQyNgwAAAAA:7Ru62Hh37LnBOMn7BI74sWUiViuXAZHmwlgm9nyXoM5gL5VanDJfhW-L4SFKC2IpF2t0UAuPyIiBacum","https://scholar.google.com/scholar?q=related:NjtkaO983W4J:scholar.google.com/&scioq=source:%22nature+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"AD Marchese, B Mirabi, CE Johnson, M Lautens","Reversible C–C bond formation using palladium catalysis",2022,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-022-00898-0&casa_token=UL3K4ULcktcAAAAA:oZ5e-BUvXEozPcxRccRMvWSHvKUbDjWuaN5z2dJlIiKP80aRYtoEHOxzcQsUnOlw0ANToaEkdC9sNn9x","https://scholar.google.com/scholar?cites=9907579899896699420&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 01:45:44","HTML","","","",,,,,31,10.33,8,4,3,"… Swapping faces of the olefin allows for the migratory insertion … We then turned to density functional theory (DFT) to study the … Migratory insertion of this complex (TS 4–5, ΔG ‡ = 8.3 kcal …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-022-00898-0&casa_token=UL3K4ULcktcAAAAA:oZ5e-BUvXEozPcxRccRMvWSHvKUbDjWuaN5z2dJlIiKP80aRYtoEHOxzcQsUnOlw0ANToaEkdC9sNn9x","https://scholar.google.com/scholar?q=related:HJokJW3LfokJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
160,"J Ye, Z Shi, T Sperger, Y Yasukawa, C Kingston…","Remote C−H alkylation and C−C bond cleavage enabled by an in situ generated palladacycle",2017,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2631&casa_token=D1uwGSpw2gAAAAAA:SdMzlDNiEA_frwligcaBK_Vxbvle9y01Z8e-scFW_3vuCQTODzi8ZmEy1LIUxRUfH2X0fV_pSRZT-mlZ","https://scholar.google.com/scholar?cites=12884145374419897374&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 01:45:44","HTML","","","",,,,,160,20.00,27,6,8,"… The aryl migration was found to proceed through a sequential C−C bond cleavage, insertion … β-carbon elimination/re-insertion versus dearomative aryl migration are illustrated; the latter …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nchem.2631&casa_token=D1uwGSpw2gAAAAAA:SdMzlDNiEA_frwligcaBK_Vxbvle9y01Z8e-scFW_3vuCQTODzi8ZmEy1LIUxRUfH2X0fV_pSRZT-mlZ","https://scholar.google.com/scholar?q=related:HkzKdPStzbIJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"TC Jankins, WC Bell, Y Zhang, ZY Qin, JS Chen…","Low-valent tungsten redox catalysis enables controlled isomerization and carbonylative functionalization of alkenes",2022,"… chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-022-00951-y&casa_token=hvLcZlMiFqgAAAAA:WIaseCQgqEmRhvp5Ej7yuO7-w7A36hKBqwyXlko8dN8DQjANUk7j1AD_MwmTU6b-_rrnvE70H3y1lG8r","https://scholar.google.com/scholar?cites=5599559268522047820&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 01:45:44","HTML","","","",,,,,37,12.33,6,6,3,"… facile nature of migratory insertion and reductive … density functional theory (DFT) calculations. To test the feasibility of tungsten undergoing N–H oxidative addition and W(II)–H insertion …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-022-00951-y&casa_token=hvLcZlMiFqgAAAAA:WIaseCQgqEmRhvp5Ej7yuO7-w7A36hKBqwyXlko8dN8DQjANUk7j1AD_MwmTU6b-_rrnvE70H3y1lG8r","https://scholar.google.com/scholar?q=related:TLkAq3yhtU0J:scholar.google.com/&scioq=source:%22nature+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
83,"PW Antoni, C Golz, JJ Holstein, DA Pantazis…","Isolation and reactivity of an elusive diazoalkene",2021,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-021-00675-5&casa_token=WUvFYW2Hgz0AAAAA:T81zO_ixkyzSz6wM2k-ZmaTGZ2rVB4TOhFxH87kkPUDTbf_K2yJzPo4g7xcUuU7zq4NQOT6iCZVjD9eA","https://scholar.google.com/scholar?cites=12520604299345700733&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 01:45:44","HTML","","","",,,,,83,20.75,17,5,4,"… We benchmarked the small system 2 S as well as the full system 2 and obtained the best density functional theory (DFT) results at the BP86/def2-TZVPP and BLYP/def2-TZVPP levels of …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-021-00675-5&casa_token=WUvFYW2Hgz0AAAAA:T81zO_ixkyzSz6wM2k-ZmaTGZ2rVB4TOhFxH87kkPUDTbf_K2yJzPo4g7xcUuU7zq4NQOT6iCZVjD9eA","https://scholar.google.com/scholar?q=related:fae680Ufwq0J:scholar.google.com/&scioq=source:%22nature+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"S Aggarwal, A Vu, DB Eremin, R Persaud, VV Fokin","Arenes participate in 1, 3-dipolar cycloaddition with in situ-generated diazoalkenes",2023,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-023-01188-z&casa_token=nUVMryCaZ6wAAAAA:pUytncXCqmYvTwU5kEFEt5-CfIuMe4GRzjA9NfPA4GGzL3RmuC1daZvp0eW6b0yG7kRfYDRee2b8tM-T","https://scholar.google.com/scholar?cites=12752719900971191837&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 01:45:44","HTML","","","",,,,,12,6.00,2,5,2,"… Density functional theory calculations DFT calculations provided further insights into the mechanism of the discovered transformation (Fig. 3). Using model substrates, lithium …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-023-01188-z&casa_token=nUVMryCaZ6wAAAAA:pUytncXCqmYvTwU5kEFEt5-CfIuMe4GRzjA9NfPA4GGzL3RmuC1daZvp0eW6b0yG7kRfYDRee2b8tM-T","https://scholar.google.com/scholar?q=related:HU5x4S7D-rAJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
147,"C Hervieu, MS Kirillova, T Suárez, M Müller…","Asymmetric, visible light-mediated radical sulfinyl-Smiles rearrangement to access all-carbon quaternary stereocentres",2021,"Nature Chemistry","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-021-00668-4&casa_token=-YsimrEe9y0AAAAA:Tghdc7iWIOSxma0emheXNE1Sl5Px0XUyLFD0zU2lvQDrw7GhQMDyKek5GsQ-7BnsenQ68LvUke7nVZh4","https://scholar.google.com/scholar?cites=4812564514720383919&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 01:45:44","HTML","","","",,,,,147,36.75,29,5,4,"… The sulfinamido group not only directs the 1,4-migration of the aryl moiety onto the α-carbon of the amide, which thus governs its absolute configuration, but also functions as a traceless …","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41557-021-00668-4&casa_token=-YsimrEe9y0AAAAA:Tghdc7iWIOSxma0emheXNE1Sl5Px0XUyLFD0zU2lvQDrw7GhQMDyKek5GsQ-7BnsenQ68LvUke7nVZh4","https://scholar.google.com/scholar?q=related:rwOPlu2pyUIJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"ME Doleschal, A Kostenko, JY Liu, S Inoue","Isolation of a NHC-stabilized heavier nitrile and its conversion into an isonitrile analogue",2024,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-024-01618-6","https://scholar.google.com/scholar?cites=5338268891744217312&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 01:45:44","HTML","","","",,,,,2,2.00,1,4,1,"… Regarding this matter, density functional theory (DFT) studies suggest the implementation of electronegative and sterically bulky ligand systems 28,29 . The parent heavier isocyanide …","https://www.nature.com/articles/s41557-024-01618-6","https://scholar.google.com/scholar?q=related:4KjuD0ZXFUoJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
