Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
110,"Z Xia, V Corcé, F Zhao, C Przybylski, A Espagne, ...","Photosensitized oxidative addition to gold(i) enables alkynylative cyclization of o-alkylnylphenols with iodoalkynes",2019,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-019-0295-9","https://scholar.google.com/scholar?cites=7462851340372538874&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 15:32:42","HTML","","","",,,,,110,18.33,18,6,6,"… The well-established oxidative addition–reductive … some reluctance to undergo oxidative addition unless special sets … via triplet sensitization—the oxidative addition of an alkynyl iodide …","https://www.nature.com/articles/s41557-019-0295-9","https://scholar.google.com/scholar?q=related:-vVzEsFfkWcJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"CN Pierson, JF Hartwig","Mapping the mechanisms of oxidative addition in cross-coupling reactions catalysed by phosphine-ligated Ni (0)",2024,"Nature chemistry","nature.com","https://www.nature.com/articles/s41557-024-01451-x","https://scholar.google.com/scholar?cites=17255946042923346079&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 15:32:42","HTML","","","",,,,,13,13.00,7,2,1,"… Here we show that the oxidative addition of aryl halides to Ni(0) ligated by monophosphines … using density functional theory (DFT). Nelson and Maseras computed the oxidative addition …","https://www.nature.com/articles/s41557-024-01451-x","https://scholar.google.com/scholar?q=related:n-jAB4Bvee8J:scholar.google.com/&scioq=source:%22nature+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
140,"K Shin, Y Park, MH Baik, S Chang","Iridium-catalysed arylation of C–H bonds enabled by oxidatively induced reductive elimination",2018,"Nature Chemistry","nature.com","https://www.nature.com/articles/nchem.2900","https://scholar.google.com/scholar?cites=17868238456558530321&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 15:32:42","HTML","","","",,,,,140,20.00,35,4,7,"… applicable to many reactions involving oxidative additions and reductive eliminations. … To better understand these results, density functional theory (DFT) calculations were carried out …","https://www.nature.com/articles/nchem.2900","https://scholar.google.com/scholar?q=related:ES8lzTS8-PcJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
69,"Y Jin, Y Jing, C Li, M Li, W Wu, Z Ke, H Jiang","Palladium-catalysed selective oxidative amination of olefins with Lewis basic amines",2022,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-022-01023-x","https://scholar.google.com/scholar?cites=16737333316485000827&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 15:32:42","HTML","","","",,,,,69,23.00,10,7,3,"… Enlightened by the experimental observations, density functional theory (DFT) studies were … that the addition of 2,6-DMBQ initiated the reaction of dipropylamine with allylbenzene. DFT …","https://www.nature.com/articles/s41557-022-01023-x","https://scholar.google.com/scholar?q=related:ey5mIPnzRugJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
179,"E Mirzakulova, R Khatmullin, J Walpita, T Corrigan, ...","Electrode-assisted catalytic water oxidation by a flavin derivative",2012,"… chemistry","nature.com","https://www.nature.com/articles/nchem.1439","https://scholar.google.com/scholar?cites=17783067323953994167&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 15:32:42","HTML","","","",,,,,179,13.77,36,5,13,"… Here we describe the electrochemical experiments that showed the catalytic behaviour of Et-Fl + towards water oxidation, and density functional theory (DFT) calculations aimed at …","https://www.nature.com/articles/nchem.1439","https://scholar.google.com/scholar?q=related:t1kiLYMlyvYJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
59,"E Lu, BE Atkinson, AJ Wooles, JT Boronski, ...","Back-bonding between an electron-poor, high-oxidation-state metal and poor π-acceptor ligand in a uranium(v)–dinitrogen complex",2019,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-019-0306-x","https://scholar.google.com/scholar?cites=7608043554447883765&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 15:32:42","HTML","","","",,,,,59,9.83,12,5,6,"… 5) exhibits a broad ν(N 2 ) absorption centred at ~1,940 cm −1 , which compares reasonably well to a computed ν(N 2 ) value of 2,038 cm −1 from a density functional theory (DFT) …","https://www.nature.com/articles/s41557-019-0306-x","https://scholar.google.com/scholar?q=related:9f2Quk0zlWkJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
71,"BS Billow, TJ McDaniel, AL Odom","Quantifying ligand effects in high-oxidation-state metal catalysis",2017,"Nature Chemistry","nature.com","https://www.nature.com/articles/nchem.2843","https://scholar.google.com/scholar?cites=6369317185919618834&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 15:32:42","HTML","","","",,,,,71,8.88,24,3,8,"… In an attempt to obtain a more precise value for the phenylimide LDP, we resorted to density functional theory (DFT) calculations fit to experimental values, which provided an estimated …","https://www.nature.com/articles/nchem.2843","https://scholar.google.com/scholar?q=related:Eo-HCDxcZFgJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
1032,"L Falivene, Z Cao, A Petta, L Serra, A Poater, R Oliva, ...","Towards the online computer-aided design of catalytic pockets",2019,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-019-0319-5","https://scholar.google.com/scholar?cites=8137334174344440165&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 15:32:42","HTML","","","",,,,,1032,172.00,147,7,6,"… Steric maps based on the density functional theory (DFT)-optimized structures of three related palladium complexes 1–3. Only the ligands in red have been considered in the definition …","https://www.nature.com/articles/s41557-019-0319-5","https://scholar.google.com/scholar?q=related:ZWlycFGe7XAJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
78,"MJ Trenerry, CM Wallen, TR Brown, SV Park, ...","Spontaneous N2 formation by a diruthenium complex enables electrocatalytic and aerobic oxidation of ammonia",2021,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-021-00797-w","https://scholar.google.com/scholar?cites=3694965226625282150&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 15:32:42","HTML","","","",,,,,78,19.50,16,5,4,"… According to density functional theory (DFT) calculations, complex 8 uses this lone pair in a delocalized, three-centre π interaction extending across the amido nitrogen atom and both …","https://www.nature.com/articles/s41557-021-00797-w","https://scholar.google.com/scholar?q=related:ZrBr_ksnRzMJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
262,"CA Mesa, L Francas, KR Yang, P Garrido-Barros, ...","Multihole water oxidation catalysis on haematite photoanodes revealed by operando spectroelectrochemistry and DFT",2020,"… chemistry","nature.com","https://www.nature.com/articles/s41557-019-0347-1","https://scholar.google.com/scholar?cites=3274375155751527873&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 15:32:42","HTML","","","",,,,,262,52.40,52,5,5,"… law analysis of water oxidation on metal oxide … density functional theory (DFT) calculations of a simple molecular analogue for one of these oxides to propose a model for water oxidation …","https://www.nature.com/articles/s41557-019-0347-1","https://scholar.google.com/scholar?q=related:wSXvE9vqcC0J:scholar.google.com/&scioq=source:%22nature+chemistry%22+oxidative+addition+dft&hl=en&as_sdt=0,5&as_vis=1"
