Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
409,"H Huang, S Banerjee, K Qiu, P Zhang, O Blacque…","Targeted photoredox catalysis in cancer cells",2019,"… chemistry","nature.com","https://www.nature.com/articles/s41557-019-0328-4","https://scholar.google.com/scholar?cites=13524724408938623712&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 22:07:12","","","","",,,,,409,68.17,68,6,6,"… Our photoredox catalytic approach recognizes two key … The X-ray structure and DFT calculations show formation of the trans … Our DFT calculations reveal the formation of ‘clamped’ …","https://hal.science/hal-02307337v1/file/Targeted%20photoredox%20catalysis%20in%20cancer%20cells.pdf","https://scholar.google.com/scholar?q=related:4HLXXzF5sbsJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
92,"NES Tay, KA Ryu, JL Weber, AK Olow, DC Cabanero…","Targeted activation in localized protein environments via deep red photoredox catalysis",2023,"… chemistry","nature.com","https://www.nature.com/articles/s41557-022-01057-1","https://scholar.google.com/scholar?cites=5665626281202741739&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 22:07:12","","","","",,,,,92,46.00,15,6,2,"… Computational modelling of aryl azide activation via DR photoredox catalysis We next carried out density functional theory (DFT) calculations to elucidate the potential mechanism for …","https://pmc.ncbi.nlm.nih.gov/articles/PMC9840673/pdf/nihms-1837639.pdf","https://scholar.google.com/scholar?q=related:6_E0wRVZoE4J:scholar.google.com/&scioq=source:%22nature+chemistry%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
293,"J Li, J Chen, R Sang, WS Ham, MB Plutschack…","Photoredox catalysis with aryl sulfonium salts enables site-selective late-stage fluorination",2020,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-019-0353-3","https://scholar.google.com/scholar?cites=18234490715926293997&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 22:07:12","","","","",,,,,293,58.60,49,6,5,"… Photoredox catalysis, especially in combination with transition metal catalysis, can produce … Yet the redox potentials of common photoredox catalysts are not sufficient to reduce most …","","https://scholar.google.com/scholar?q=related:7e3xFrLsDf0J:scholar.google.com/&scioq=source:%22nature+chemistry%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"NR East, R Naumann, C Förster, C Ramanan…","Oxidative two-state photoreactivity of a manganese (IV) complex using near-infrared light",2024,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-024-01446-8","https://scholar.google.com/scholar?cites=13103817278241624988&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 22:07:12","","","","",,,,,25,25.00,5,5,1,"… To characterize the nature of the emissive state, we performed DFT calculations on the lowest-… The partial recovery of [Mn(dgpy) 2 ] 4+ together with the slow photoredox reaction of the …","https://research.vu.nl/ws/portalfiles/portal/367796346/Oxidative_two-state_photoreactivity_of_a_manganese_IV_complex_using_near-infrared_light.pdf","https://scholar.google.com/scholar?q=related:nNM3N2Mc2rUJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
164,"KF Biegasiewicz, SJ Cooper, MA Emmanuel…","Catalytic promiscuity enabled by photoredox catalysis in nicotinamide-dependent oxidoreductases",2018,"… chemistry","nature.com","https://www.nature.com/articles/s41557-018-0059-y","https://scholar.google.com/scholar?cites=8884055140009450256&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 22:07:12","","","","",,,,,164,23.43,41,4,7,"… Photoredox catalysis has proved adept at expanding the synthetic repertoire of existing … Here we show that photoredox catalysts can be used to enable new catalytic function in …","https://www.academia.edu/download/92885809/s41557-018-0059-y20221023-1-1p2r2hl.pdf","https://scholar.google.com/scholar?q=related:EBs_gRSBSnsJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
47,"JD Earley, A Zieleniewska, HH Ripberger, NY Shin…","Ion-pair reorganization regulates reactivity in photoredox catalysts",2022,"… chemistry","nature.com","https://www.nature.com/articles/s41557-022-00911-6","https://scholar.google.com/scholar?cites=10257601090894472076&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 22:07:12","","","","",,,,,47,15.67,9,5,3,"… d 6 metals are promising photoredox catalysts, using light to … controls the reactivity of a photoredox catalyst, [Ir[dF(CF 3 )ppy] … factor that modulates reactivity in ionic photoredox catalysts. …","https://www.osti.gov/servlets/purl/1863582","https://scholar.google.com/scholar?q=related:jKNsVthRWo4J:scholar.google.com/&scioq=source:%22nature+chemistry%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"W Fan, Y Cui, B Zhan, Y Chen, L Bao, Y Liang…","Biomimetic 1, 2-amino migration via photoredox catalysis",2025,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-025-01775-2","https://scholar.google.com/scholar?cites=2868254248918406300&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 22:07:12","HTML","","","",,,,,1,1.00,0,7,1,"… Here we present a biomimetic 1,2-amino migration accomplished through the synergistic combination of biocatalytic mechanism and photoredox catalysis. This platform enables the …","https://www.nature.com/articles/s41557-025-01775-2","https://scholar.google.com/scholar?q=related:nFRJ8AoWzicJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
110,"Z Xia, V Corcé, F Zhao, C Przybylski, A Espagne…","Photosensitized oxidative addition to gold(i) enables alkynylative cyclization of o-alkylnylphenols with iodoalkynes",2019,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-019-0295-9","https://scholar.google.com/scholar?cites=7462851340372538874&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 22:07:12","","","","",,,,,110,18.33,18,6,6,"… Thus, replacing aryl diazoniums with alkynyl iodide partners in our recent dual photoredox/… this energy transfer, time-dependent density functional theory calculations were carried out. …","https://hal.sorbonne-universite.fr/hal-02282216/file/Xia%20et%20al.%20-%202019%20-%20Photosensitized%20oxidative%20addition%20to%20gold%28%20i%20%29%20en%20%281%29.pdf","https://scholar.google.com/scholar?q=related:-vVzEsFfkWcJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
243,"Y Jiang, C Wang, CR Rogers, MS Kodaimati…","Regio-and diastereoselective intermolecular [2+ 2] cycloadditions photocatalysed by quantum dots",2019,"… chemistry","nature.com","https://www.nature.com/articles/s41557-019-0344-4","https://scholar.google.com/scholar?cites=101794371853175100&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 22:07:12","","","","",,,,,243,40.50,49,5,6,"… triplet excited states of 1 and 22 calculated using time-dependent density functional theory. … Prier, CK, Rankic, DA &MacMillan, DWC Visible light photoredox catalysis with transition …","https://pmc.ncbi.nlm.nih.gov/articles/PMC6820707/pdf/nihms-1538536.pdf","https://scholar.google.com/scholar?q=related:PElxHnGlaQEJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Z Lu, J Putziger, S Lin","Light-activated hypervalent iodine agents enable diverse aliphatic C–H functionalization",2025,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-025-01749-4","https://scholar.google.com/scholar?cites=7674169155435700731&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 22:07:12","","","","",,,,,1,1.00,0,3,1,"… co-workers employed an acridinium photoredox catalyst and phosphate salt to homolytically … Density functional theory calculations predicted a mean I–N bond energy of 20 kcal mol −1 , …","https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/665755b321291e5d1d8dfdbf/original/a-light-activated-hypervalent-iodine-agent-enables-diverse-aliphatic-ch-functionalization.pdf","https://scholar.google.com/scholar?q=related:-yEB-C8ggGoJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
