Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"PRJ McGonigal, A Bismillah","Control of dynamic sp3-C stereochemistry",2023,"Nature Chemistry","eprints.whiterose.ac.uk","https://eprints.whiterose.ac.uk/198543/1/s41557_023_01156_7.pdf","",136,"2025-05-05 18:13:57","PDF","","","",,,,,0,0.00,0,2,2,"… by DFT and observed in the solid state. The 9-BB cage undergoes dynamic diastereomeric … 2c) by first subjecting 3to reductive amination with (S)-1-phenylethylamine to afford a mixture …","https://eprints.whiterose.ac.uk/198543/1/s41557_023_01156_7.pdf","https://scholar.google.com/scholar?q=related:UDrgNC_CkHAJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
140,"K Shin, Y Park, MH Baik, S Chang","Iridium-catalysed arylation of C–H bonds enabled by oxidatively induced reductive elimination",2018,"Nature Chemistry","nature.com","https://www.nature.com/articles/nchem.2900","https://scholar.google.com/scholar?cites=17868238456558530321&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 18:13:57","","","","",,,,,140,20.00,35,4,7,"… late portion of the catalytic cycle where reductive elimination gives the desired carbon–aryl bond. … Density functional theory calculations indicate that the barrier to reductive elimination is …","https://pr.ibs.re.kr/bitstream/8788114/4651/1/nchem.2900.pdf","https://scholar.google.com/scholar?q=related:ES8lzTS8-PcJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
212,"WJ Wolf, MS Winston, FD Toste","Exceptionally fast carbon–carbon bond reductive elimination from gold(III)",2014,"Nature chemistry","nature.com","https://www.nature.com/articles/nchem.1822","https://scholar.google.com/scholar?cites=2641656689174387153&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 18:13:57","","","","",,,,,212,19.27,71,3,11,"… Furthermore, electrochemical studies and density functional theory calculations suggest that aurophilic interactions reduce the oxidation potential of bimetallic Au(I) species relative to …","https://pmc.ncbi.nlm.nih.gov/articles/PMC3970324/pdf/nihms550330.pdf","https://scholar.google.com/scholar?q=related:0RnGQMMMqSQJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"TC Jankins, WC Bell, Y Zhang, ZY Qin, JS Chen…","Low-valent tungsten redox catalysis enables controlled isomerization and carbonylative functionalization of alkenes",2022,"… chemistry","nature.com","https://www.nature.com/articles/s41557-022-00951-y","https://scholar.google.com/scholar?cites=5599559268522047820&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 18:13:57","","","","",,,,,37,12.33,6,6,3,"… as oxidative addition and reductive elimination. Despite these … of migratory insertion and reductive elimination at seven-… experiments and density functional theory (DFT) calculations. …","https://pmc.ncbi.nlm.nih.gov/articles/PMC9674112/pdf/nihms-1843984.pdf","https://scholar.google.com/scholar?q=related:TLkAq3yhtU0J:scholar.google.com/&scioq=source:%22nature+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"AD Marchese, B Mirabi, CE Johnson, M Lautens","Reversible C–C bond formation using palladium catalysis",2022,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-022-00898-0","https://scholar.google.com/scholar?cites=9907579899896699420&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 18:13:57","","","","",,,,,31,10.33,8,4,3,"… of performing the C–I reductive elimination 47 , we identified a palladium-catalysed β-carbon … We then turned to density functional theory (DFT) to study the energetic landscape of this …","https://www.researchsquare.com/article/rs-426770/latest.pdf","https://scholar.google.com/scholar?q=related:HJokJW3LfokJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
141,"PL Arnold, SM Mansell, L Maron, D McKay","Spontaneous reduction and C–H borylation of arenes mediated by uranium(III) disproportionation",2012,"Nature Chemistry","nature.com","https://www.nature.com/articles/nchem.1392","https://scholar.google.com/scholar?cites=14064178912264171954&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 18:13:57","","","","",,,,,141,10.85,35,4,13,"… be made using the harsh, reductive Friedel–Crafts procedure, … Density functional theory (DFT) calculations on highly … DFT calculations on the potential modes of reactivity for a range …","https://www.researchgate.net/profile/Laurent-Maron/publication/229556132_Spontaneous_reduction_and_C-H_borylation_of_arenes_mediated_by_uraniumIII_disproportionation/links/542a96b70cf27e39fa8eb38d/Spontaneous-reduction-and-C-H-borylation-of-arenes-mediated-by-uraniumIII-disproportionation.pdf","https://scholar.google.com/scholar?q=related:srELmzQALsMJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
293,"J Li, J Chen, R Sang, WS Ham, MB Plutschack…","Photoredox catalysis with aryl sulfonium salts enables site-selective late-stage fluorination",2020,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-019-0353-3","https://scholar.google.com/scholar?cites=18234490715926293997&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 18:13:57","","","","",,,,,293,58.60,49,6,5,"… reductive elimination from Ni(iii) (refs 8,9,10 ) (Fig. 1a). For carbon–fluorine reductive elimination, … (4 · ), as calculated by density functional theory (Fig. 3e and Supplementary Table 30). …","","https://scholar.google.com/scholar?q=related:7e3xFrLsDf0J:scholar.google.com/&scioq=source:%22nature+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"Y Park, S Kim, L Tian, H Zhong, GD Scholes…","Visible light enables catalytic formation of weak chemical bonds with molecular hydrogen",2021,"Nature chemistry","nature.com","https://www.nature.com/articles/s41557-021-00732-z","https://scholar.google.com/scholar?cites=8527793189744598612&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 18:13:57","","","","",,,,,50,12.50,8,6,4,"… with the estimation of BDFEs from density functional theory (DFT) calculations, where the N–… photoinduced C–H reductive coupling of Ir2 (ref. ). The DFT calculations estimated the free …","https://www.osti.gov/servlets/purl/1807690","https://scholar.google.com/scholar?q=related:VN64ULnOWHYJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"GM Richardson, T Rajeshkumar, FM Burke…","Four-electron reduction of benzene by a samarium(ii)-alkyl without the addition of external reducing agents",2025,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-024-01688-6","https://scholar.google.com/scholar?cites=11103378731163910920&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 18:13:57","","","","",,,,,4,4.00,1,4,1,"… Density functional theory (DFT) calculations for the putative organic radical product [CH(SiMe 3 ) 2 ] • (Supplementary Information) predicted g = 2.0026 and A iso = −42 MHz for the …","","https://scholar.google.com/scholar?q=related:CAOntSAgF5oJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
165,"NI Saper, A Ohgi, DW Small, K Semba, Y Nakao…","Nickel-catalysed anti-Markovnikov hydroarylation of unactivated alkenes with unactivated arenes facilitated by non-covalent interactions",2020,"… chemistry","nature.com","https://www.nature.com/articles/s41557-019-0409-4","https://scholar.google.com/scholar?cites=14799568922764588827&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 18:13:57","","","","",,,,,165,33.00,28,6,5,"… , and the rate-limiting step was shown to be reductive elimination to form the C–C bond. Density functional theory calculations, combined with second-generation absolutely localized …","https://pmc.ncbi.nlm.nih.gov/articles/PMC11723504/","https://scholar.google.com/scholar?q=related:GzdLFoahYs0J:scholar.google.com/&scioq=source:%22nature+chemistry%22+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
