Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"J Zhu, R Zhang, G Dong","Orthogonal cross-coupling through intermolecular metathesis of unstrained C (aryl)–C (aryl) single bonds",2021,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-021-00757-4","https://scholar.google.com/scholar?cites=15424019726061282453&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-05 15:49:10","HTML","","","",,,,,13,3.25,4,3,4,"… insights on further optimization, density functional theory (DFT) calculations were conducted. … This was further supported by DFT calculations on the meta tert-butyl-substituted substrate …","https://www.nature.com/articles/s41557-021-00757-4","https://scholar.google.com/scholar?q=related:lSSAjDggDdYJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
96,"FL Wang, CJ Yang, JR Liu, NY Yang, XY Dong…","Mechanism-based ligand design for copper-catalysed enantioconvergent C(sp3)–C(sp) cross-coupling of tertiary electrophiles with alkynes",2022,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-022-00954-9","https://scholar.google.com/scholar?cites=6653521983218297191&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-05 15:49:10","HTML","","","",,,,,96,32.00,16,6,3,"… We next performed DFT calculations to understand the reaction mechanism and the origins of enantioselectivity. The DFT-computed free energy changes of the operative catalytic cycle …","https://www.nature.com/articles/s41557-022-00954-9","https://scholar.google.com/scholar?q=related:Z6n66v0OVlwJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"YF Cheng, ZL Yu, Y Tian, JR Liu, HT Wen, NC Jiang…","Cu-catalysed enantioselective radical heteroatomic S–O cross-coupling",2023,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-022-01102-z","https://scholar.google.com/scholar?cites=12529025300251464113&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-05 15:49:10","HTML","","","",,,,,33,16.50,5,7,2,"… We next explored the reaction mechanism and origins of enantioselectivity with density functional theory (DFT) calculations, using diol A-1 and sulfonyl chloride S-1 as model substrates …","https://www.nature.com/articles/s41557-022-01102-z","https://scholar.google.com/scholar?q=related:sdFeAyEK4K0J:scholar.google.com/&scioq=source:%22nature+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Y Cho, YH Chang, KP Quirion, ZH Strong, ZJ Dubey…","Aryl halide cross-coupling via formate-mediated transfer hydrogenation",2025,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-024-01729-0","https://scholar.google.com/scholar?cites=4793271825181959962&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-05 15:49:10","HTML","","","",,,,,1,1.00,0,6,1,"… At this stage, DFT calculations were used to discriminate … This result is consistent with previous DFT calculations by … Our DFT calculations indicate that the dimeric oxidative …","https://www.nature.com/articles/s41557-024-01729-0","https://scholar.google.com/scholar?q=related:GufbQ1QfhUIJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
152,"T Thaler, B Haag, A Gavryushin, K Schober…","Highly diastereoselective Csp3–Csp2 Negishi cross-coupling with 1,2-, 1,3- and 1,4-substituted cycloalkylzinc compounds",2010,"Nature Chemistry","nature.com","https://www.nature.com/articles/nchem.505.pdf","https://scholar.google.com/scholar?cites=12256872339880175648&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-05 15:49:10","PDF","","","",,,,,152,10.13,30,5,15,"… 17a (5 equiv.) also led to the cross-coupling product 18a with … (as shown by density functional theory (DFT) calculations, … to verify our mechanistic proposal, we used DFT to carry out a …","https://www.nature.com/articles/nchem.505.pdf","https://scholar.google.com/scholar?q=related:IGjeE3QoGaoJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
113,"H Wang, H Jung, F Song, S Zhu, Z Bai, D Chen…","Nitrene-mediated intermolecular N–N coupling for efficient synthesis of hydrazides",2021,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-021-00650-0","https://scholar.google.com/scholar?cites=3174081391186298551&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-05 15:49:10","HTML","","","",,,,,113,28.25,16,7,4,"… The mechanism of this N–N coupling reaction under the Ir-catalysed conditions was probed by both control experiments and density functional theory (DFT) calculations. As shown in Fig…","https://www.nature.com/articles/s41557-021-00650-0","https://scholar.google.com/scholar?q=related:t0bWUTWaDCwJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"R Nolla-Saltiel, ZT Ariki, S Schiele, J Alpin, Y Tahara…","Enantiospecific cross-coupling of cyclic alkyl sulfones",2024,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-024-01594-x","https://scholar.google.com/scholar?cites=8005490481991383922&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-05 15:49:10","HTML","","","",,,,,4,4.00,1,6,1,"… To obtain further insight into the retention of the enantiomeric excess, we carried out density functional theory (DFT) and coupled cluster (CCSD) calculations of the S N 2′-type C–SO 2 …","https://www.nature.com/articles/s41557-024-01594-x","https://scholar.google.com/scholar?q=related:cvvdry03GW8J:scholar.google.com/&scioq=source:%22nature+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"CN Pierson, JF Hartwig","Mapping the mechanisms of oxidative addition in cross-coupling reactions catalysed by phosphine-ligated Ni (0)",2024,"Nature chemistry","nature.com","https://www.nature.com/articles/s41557-024-01451-x","https://scholar.google.com/scholar?cites=17255946042923346079&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-05 15:49:10","HTML","","","",,,,,13,13.00,7,2,1,"… These disparate findings inspired additional studies, including computations using density functional theory (DFT). Nelson and Maseras computed the oxidative addition of aryl halides …","https://www.nature.com/articles/s41557-024-01451-x","https://scholar.google.com/scholar?q=related:n-jAB4Bvee8J:scholar.google.com/&scioq=source:%22nature+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
38,"Y Tian, XT Li, JR Liu, J Cheng, A Gao, NY Yang, Z Li…","A general copper-catalysed enantioconvergent C(sp3)–S cross-coupling via biomimetic radical homolytic substitution",2024,"Nature Chemistry","nature.com","https://www.nature.com/articles/s41557-023-01385-w","https://scholar.google.com/scholar?cites=3567032579105097748&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-05 15:49:10","HTML","","","",,,,,38,38.00,5,8,1,"… density functional theory (DFT) studies in a model system revealed that the coupling of a … desired radical C(sp 3 )–S cross-coupling amidst a number of other competing processes. …","https://www.nature.com/articles/s41557-023-01385-w","https://scholar.google.com/scholar?q=related:FAjOUzulgDEJ:scholar.google.com/&scioq=source:%22nature+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"M Zhou, J Tsien, R Dykstra, JME Hughes, BK Peters…","Alkyl sulfinates as cross-coupling partners for programmable and stereospecific installation of C(sp3) bioisosteres",2023,"… chemistry","nature.com","https://www.nature.com/articles/s41557-023-01150-z","https://scholar.google.com/scholar?cites=3457310851295721449&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-05 15:49:10","HTML","","","",,,,,20,10.00,3,6,2,"… C(sp 3 )–C(sp 2 ) cross-coupling, thereby allowing for programmable and stereospecific … of this sulfur chemistry reveal a ligand-coupling trend under alkyl Grignard activation via the …","https://www.nature.com/articles/s41557-023-01150-z","https://scholar.google.com/scholar?q=related:6beV0ebV-i8J:scholar.google.com/&scioq=source:%22nature+chemistry%22+cross+coupling+dft&hl=en&as_sdt=0,5&as_vis=1"
