Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
196,"JR Cabrero-Antonino, R Adam, V Papa…","Homogeneous and heterogeneous catalytic reduction of amides and related compounds using molecular hydrogen",2020,"… Communications","nature.com","https://www.nature.com/articles/s41467-020-17588-5","https://scholar.google.com/scholar?cites=9498285169873909435&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 00:50:42","HTML","","","",,,,,196,39.20,49,4,5,"… heterogeneous catalysts or, to a lesser extent, with homogeneous catalysts under acidic … homogeneous catalysts in basic media. In fact, in an interesting discrete Fourier transform (DFT) …","https://www.nature.com/articles/s41467-020-17588-5","https://scholar.google.com/scholar?q=related:u_axtQmw0IMJ:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"J Zhang, W Hu, B Qian, H Li, B Sudduth…","Tuning hydrogenation chemistry of Pd-based heterogeneous catalysts by introducing homogeneous-like ligands",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-39478-2","https://scholar.google.com/scholar?cites=5697391494237627909&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 00:50:42","HTML","","","",,,,,43,21.50,7,6,2,"… In homogeneous catalysis, coordinative ligands have … density functional theory (DFT) modeling revealed that the Pd is coordinated with an alkenyl type of ligand forming homogeneous-…","https://www.nature.com/articles/s41467-023-39478-2","https://scholar.google.com/scholar?q=related:BaZdwGAzEU8J:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"I Cano, A Weilhard, C Martin, J Pinto, RW Lodge…","Blurring the boundary between homogenous and heterogeneous catalysis using palladium nanoclusters with dynamic surfaces",2021,"… Communications","nature.com","https://www.nature.com/articles/s41467-021-25263-6","https://scholar.google.com/scholar?cites=5979721892449199935&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 00:50:42","HTML","","","",,,,,24,6.00,4,6,4,"… of both heterogeneous and homogeneous catalysts. Here we … Density functional theory (DFT) modelling confirmed that the … DFT modelling also shows that for [C 4 C 1 Im][NTf 2 ] the cis- …","https://www.nature.com/articles/s41467-021-25263-6","https://scholar.google.com/scholar?q=related:P6cPF2E9_FIJ:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
152,"ZW Chen, J Li, P Ou, JE Huang, Z Wen…","Unusual Sabatier principle on high entropy alloy catalysts for hydrogen evolution reactions",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-44261-4","https://scholar.google.com/scholar?cites=12428440052907560362&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 00:50:42","HTML","","","",,,,,152,152.00,25,6,1,"… Herein, by density functional theory calculations, we discovered an unusual Sabatier … The HAADF-EDS elemental maps demonstrate the homogeneously distributed elements in the …","https://www.nature.com/articles/s41467-023-44261-4","https://scholar.google.com/scholar?q=related:qs3KIWGweqwJ:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
49,"Y Liu, Z Liu, Y Hui, L Wang, J Zhang, X Yi…","Rhodium nanoparticles supported on silanol-rich zeolites beyond the homogeneous Wilkinson's catalyst for hydroformylation of olefins",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-38181-6","https://scholar.google.com/scholar?cites=1765408030538890239&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 00:50:42","HTML","","","",,,,,49,24.50,7,7,2,"… catalysts for olefin hydroformylation are highly desired but suffer from poor activity compared with homogeneous catalysts… was performed by density functional theory (DFT) calculations, …","https://www.nature.com/articles/s41467-023-38181-6","https://scholar.google.com/scholar?q=related:_3vkD0D9fxgJ:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
998,"RP Ye, J Ding, W Gong, MD Argyle, Q Zhong…","CO2 hydrogenation to high-value products via heterogeneous catalysis",2019,"… communications","nature.com","https://www.nature.com/articles/s41467-019-13638-9","https://scholar.google.com/scholar?cites=14353897873625517189&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 00:50:42","HTML","","","",,,,,998,166.33,166,6,6,"… photochemical hydrogenation 19 ; homogeneous and heterogeneous catalysts 20 ; and by … Density functional theory (DFT) calculations have shown that different catalysts activate CO …","https://www.nature.com/articles/s41467-019-13638-9","https://scholar.google.com/scholar?q=related:hQyv2xBKM8cJ:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"B Fan, M Jiang, G Wang, Y Zhao, B Mei, J Han…","Elucidation of hemilabile-coordination-induced tunable regioselectivity in single-site Rh-catalyzed heterogeneous hydroformylation",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-51281-1","https://scholar.google.com/scholar?cites=9505402235919520119&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 00:50:42","HTML","","","",,,,,10,10.00,1,7,1,"… -state NMR experiments combined with DFT calculations explain the dynamic evolution of … in homogeneous catalysis, but rarely discussed in heterogeneous catalysis probably due to …","https://www.nature.com/articles/s41467-024-51281-1","https://scholar.google.com/scholar?q=related:d9Evx_j46YMJ:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"S Shi, P Yang, C Dun, W Zheng, JJ Urban…","Selective hydrogenation via precise hydrogen bond interactions on catalytic scaffolds",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-36015-z","https://scholar.google.com/scholar?cites=1147367504989561500&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 00:50:42","HTML","","","",,,,,27,13.50,5,6,2,"… of various substrates, and density functional theory (DFT) calculations, we demonstrate a … -OH is hydrophilic with a water contact angle of 33 and disperses homogeneously in water. …","https://www.nature.com/articles/s41467-023-36015-z","https://scholar.google.com/scholar?q=related:nKK6sapE7A8J:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
78,"S Feng, X Song, Y Liu, X Lin, L Yan, S Liu…","In situ formation of mononuclear complexes by reaction-induced atomic dispersion of supported noble metal nanoparticles",2019,"… communications","nature.com","https://www.nature.com/articles/s41467-019-12965-1","https://scholar.google.com/scholar?cites=10337519836438671198&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 00:50:42","HTML","","","",,,,,78,13.00,11,7,6,"… and homogeneous catalysts, providing an ideal model to understand the catalytic mechanism … For the modeling of DFT calculation, we chose carbonyl and ether as the anchored site for …","https://www.nature.com/articles/s41467-019-12965-1","https://scholar.google.com/scholar?q=related:Xi97TYU_do8J:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"V Liao, M Cohen, Y Wang, DG Vlachos","Deducing subnanometer cluster size and shape distributions of heterogeneous supported catalysts",2023,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-023-37664-w","https://scholar.google.com/scholar?cites=9393865912516516982&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 00:50:42","HTML","","","",,,,,11,5.50,3,4,2,"… of homogeneous catalysts have also served as molecular analogs to mononuclear metal active sites of SA catalysts … We utilize first-principles density-functional theory (DFT) calculations …","https://www.nature.com/articles/s41467-023-37664-w","https://scholar.google.com/scholar?q=related:dpwyz0a3XYIJ:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
86,"M Trincado, V Sinha, RE Rodriguez-Lugo…","Homogeneously catalysed conversion of aqueous formaldehyde to H2 and carbonate",2017,"… communications","nature.com","https://www.nature.com/articles/ncomms14990","https://scholar.google.com/scholar?cites=18049283117779368110&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-06 00:50:42","HTML","","","",,,,,86,10.75,22,4,8,"… catalysts is well developed 4 , limited progress has thus far been made with homogeneous catalysts … As such, we focussed our DFT study on these neutral species. We chose simplified …","https://www.nature.com/articles/ncomms14990","https://scholar.google.com/scholar?q=related:rrixzV3ve_oJ:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"J Zhao, R Urrego-Ortiz, N Liao, F Calle-Vallejo…","Rationally designed Ru catalysts supported on TiN for highly efficient and stable hydrogen evolution in alkaline conditions",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-50691-5","https://scholar.google.com/scholar?cites=2992412480672868247&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-05-06 00:50:42","HTML","","","",,,,,26,26.00,5,5,1,"… We used DFT calculations to shed light into the enhancing effect of the TiN support on the catalytic activity of Ru. Details of the calculations are presented in “methods” section and the …","https://www.nature.com/articles/s41467-024-50691-5","https://scholar.google.com/scholar?q=related:l6fz80svhykJ:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"L Guo, K Zhuge, S Yan, S Wang, J Zhao…","Defect-driven nanostructuring of low-nuclearity Pt-Mo ensembles for continuous gas-phase formic acid dehydrogenation",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-42759-5","https://scholar.google.com/scholar?cites=8493572022169476726&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-05-06 00:50:42","HTML","","","",,,,,20,10.00,3,6,2,"… Our DB-FTIR experiments and DFT modeling studies demonstrated the cooperative catalysis … The catalysts were mixed homogeneously with KBr at the mass ratio of 1:20, and then …","https://www.nature.com/articles/s41467-023-42759-5","https://scholar.google.com/scholar?q=related:dp6b18A633UJ:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
87,"Z Liu, F Huang, M Peng, Y Chen, X Cai, L Wang…","Tuning the selectivity of catalytic nitriles hydrogenation by structure regulation in atomically dispersed Pd catalysts",2021,"… communications","nature.com","https://www.nature.com/articles/s41467-021-26542-y","https://scholar.google.com/scholar?cites=12473877886545924522&as_sdt=2005&sciodt=0,5&hl=en",14,"2025-05-06 00:50:42","HTML","","","",,,,,87,21.75,12,7,4,"… However, separating the homogeneous catalysts from the product mixture is … out density functional theory (DFT) calculations to elucidate the different mechanisms of the two Pd catalysts …","https://www.nature.com/articles/s41467-021-26542-y","https://scholar.google.com/scholar?q=related:qpErL9kdHK0J:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
241,"MJ Craig, G Coulter, E Dolan, J Soriano-López…","Universal scaling relations for the rational design of molecular water oxidation catalysts with near-zero overpotential",2019,"… communications","nature.com","https://www.nature.com/articles/s41467-019-12994-w","https://scholar.google.com/scholar?cites=5202361606270198565&as_sdt=2005&sciodt=0,5&hl=en",15,"2025-05-06 00:50:42","HTML","","","",,,,,241,40.17,48,5,6,"… by the superior performance of certain homogeneous catalysts for which turnover frequency … molecular OER catalysts depicted in Fig. 2. With this aim, we employed DFT calculations at …","https://www.nature.com/articles/s41467-019-12994-w","https://scholar.google.com/scholar?q=related:JaPdTlGAMkgJ:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"S Jung, C Pizzolitto, P Biasi, PJ Dauenhauer…","Programmable catalysis by support polarization: elucidating and breaking scaling relations",2023,"… communications","nature.com","https://www.nature.com/articles/s41467-023-43641-0","https://scholar.google.com/scholar?cites=12553107449674971890&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-05-06 00:50:42","HTML","","","",,,,,15,7.50,3,5,2,"… . However, the magnitude of the homogeneous electric field required for substantial change … Periodic density functional theory (DFT) calculations were performed with a customized …","https://www.nature.com/articles/s41467-023-43641-0","https://scholar.google.com/scholar?q=related:8rovXbeYNa4J:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
253,"H Rong, S Ji, J Zhang, D Wang, Y Li","Synthetic strategies of supported atomic clusters for heterogeneous catalysis",2020,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-020-19571-6","https://scholar.google.com/scholar?cites=10183359534897702723&as_sdt=2005&sciodt=0,5&hl=en",17,"2025-05-06 00:50:42","HTML","","","",,,,,253,50.60,51,5,5,"… strategy is advantageous as the metal species is homogeneous from the beginning to the end. … dual-metal catalysts were stable in an accelerated durability test with 50,000 cycles. DFT …","https://www.nature.com/articles/s41467-020-19571-6","https://scholar.google.com/scholar?q=related:QyeqEYuPUo0J:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
62,"Z Chen, Z Liu, X Xu","Dynamic evolution of the active center driven by hemilabile coordination in Cu/CeO2 single-atom catalyst",2023,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-023-38307-w","https://scholar.google.com/scholar?cites=1122426524604504590&as_sdt=2005&sciodt=0,5&hl=en",18,"2025-05-06 00:50:42","HTML","","","",,,,,62,31.00,21,3,2,"… of homogeneous catalysts 9,10 , although the common strategies to improve the catalytic activity and selectivity in homogeneous catalysis … , we employed density functional theory (DFT) …","https://www.nature.com/articles/s41467-023-38307-w","https://scholar.google.com/scholar?q=related:DhqHLfqokw8J:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
76,"Z Xie, Y Xu, M Xie, X Chen, JH Lee, E Stavitski…","Reactions of CO2 and ethane enable CO bond insertion for production of C3 oxygenates",2020,"… Communications","nature.com","https://www.nature.com/articles/s41467-020-15849-x","https://scholar.google.com/scholar?cites=9142766262504140331&as_sdt=2005&sciodt=0,5&hl=en",19,"2025-05-06 00:50:42","HTML","","","",,,,,76,15.20,11,7,5,"… traditional homogeneous hydroformylation catalysis, … catalysts supported on a high surface area MCM-41 substrate. Finally, in-situ characterizations and density functional theory (DFT) …","https://www.nature.com/articles/s41467-020-15849-x","https://scholar.google.com/scholar?q=related:Ky78rHmh4X4J:scholar.google.com/&scioq=source:%22nature+communications%22+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
