Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
326,"L Kuai, Z Chen, S Liu, E Kan, N Yu, Y Ren…","Titania supported synergistic palladium single atoms and nanoparticles for room temperature ketone and aldehydes hydrogenation",2020,"… communications","nature.com","https://www.nature.com/articles/s41467-019-13941-5","https://scholar.google.com/scholar?cites=10768963952023764395&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 01:21:06","HTML","","","",,,,,326,65.20,47,7,5,"… dissociation by the density functional theory (DFT) calculation … method (B97-D) for DFT-D correction were considered for all … The DFT results show η 1 (O) mode is chosen on both Pd 1 /…","https://www.nature.com/articles/s41467-019-13941-5","https://scholar.google.com/scholar?q=related:q_1cb6gLc5UJ:scholar.google.com/&scioq=source:%22nature+communications%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"S Shi, P Yang, C Dun, W Zheng, JJ Urban…","Selective hydrogenation via precise hydrogen bond interactions on catalytic scaffolds",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-36015-z","https://scholar.google.com/scholar?cites=1147367504989561500&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 01:21:06","HTML","","","",,,,,27,13.50,5,6,2,"… density functional theory (DFT) calculations, we demonstrate a substrate-specific H bond that not only affects the substrate adsorption but also regulates the hydrogenation … of ketones (…","https://www.nature.com/articles/s41467-023-36015-z","https://scholar.google.com/scholar?q=related:nKK6sapE7A8J:scholar.google.com/&scioq=source:%22nature+communications%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
11,"K Li, WQ Wu, Y Lin, H Shi","Asymmetric hydrogenation of 1, 1-diarylethylenes and benzophenones through a relay strategy",2023,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-023-37882-2","https://scholar.google.com/scholar?cites=277879957423660501&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 01:21:06","HTML","","","",,,,,11,5.50,3,4,2,"… To our delight, an array of diaryl ketones were suitable for this alternative method, providing … -catalyzed hydrogenation, we performed additional density functional theory calculations. …","https://www.nature.com/articles/s41467-023-37882-2","https://scholar.google.com/scholar?q=related:1R1wWFk62wMJ:scholar.google.com/&scioq=source:%22nature+communications%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
87,"A Ramirez, X Gong, M Caglayan, SAF Nastase…","Selectivity descriptors for the direct hydrogenation of CO2 to hydrocarbons during zeolite-mediated bifunctional catalysis",2021,"… communications","nature.com","https://www.nature.com/articles/s41467-021-26090-5","https://scholar.google.com/scholar?cites=448734107737715168&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 01:21:06","HTML","","","",,,,,87,21.75,17,5,4,"… The combination of metal-based catalysts and zeolites in the gas phase hydrogenation of … with a highly active Fe-based catalyst in the hydrogenation of CO 2 to olefins, aromatics, and …","https://www.nature.com/articles/s41467-021-26090-5","https://scholar.google.com/scholar?q=related:4PFOIks5OgYJ:scholar.google.com/&scioq=source:%22nature+communications%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"Y Liu, T Ma, Z Guo, L Zhou, G Liu, Y He, L Ma…","Asymmetric α-benzylation of cyclic ketones enabled by concurrent chemical aldol condensation and biocatalytic reduction",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-44452-z","https://scholar.google.com/scholar?cites=1751186786900360240&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 01:21:06","HTML","","","",,,,,12,12.00,2,8,1,"… ketones. To achieve this, we develop a pair of enantiocomplementary ERs capable of reducing α-arylidene cyclic ketones, … Molecular docking and density functional theory (DFT) studies …","https://www.nature.com/articles/s41467-023-44452-z","https://scholar.google.com/scholar?q=related:MLyNwBp3TRgJ:scholar.google.com/&scioq=source:%22nature+communications%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
22,"BBC Peters, J Zheng, N Birke, T Singh…","Iridium-catalyzed enantioconvergent hydrogenation of trisubstituted olefins",2022,"… Communications","nature.com","https://www.nature.com/articles/s41467-022-28003-6","https://scholar.google.com/scholar?cites=8547784618676438792&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 01:21:06","HTML","","","",,,,,22,7.33,4,5,3,"… enones 1al and 1am were both hydrogenated in 99% ee as mixtures … ketone side-chain were also evaluated and hydrogenation of ethyl, i-propyl, i-butyl, and phenyl substituted ketone …","https://www.nature.com/articles/s41467-022-28003-6","https://scholar.google.com/scholar?q=related:CMfBlNLUn3YJ:scholar.google.com/&scioq=source:%22nature+communications%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
134,"Q Meng, M Hou, H Liu, J Song, B Han","Synthesis of ketones from biomass-derived feedstock",2017,"Nature Communications","nature.com","https://www.nature.com/articles/ncomms14190","https://scholar.google.com/scholar?cites=11118938476880999515&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 01:21:06","HTML","","","",,,,,134,16.75,27,5,8,"… cyclohexanone on the catalyst and inhibit its hydrogenation to cyclohexanol, especially at higher anisole concentration. Thus, the DFT calculation can explain the phenomenon why the …","https://www.nature.com/articles/ncomms14190","https://scholar.google.com/scholar?q=related:WzTqUaJnTpoJ:scholar.google.com/&scioq=source:%22nature+communications%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"T Wang, J Sha, M Sabbe, P Sautet, M Pera-Titus…","Identification of active catalysts for the acceptorless dehydrogenation of alcohols to carbonyls",2021,"… Communications","nature.com","https://www.nature.com/articles/s41467-021-25214-1","https://scholar.google.com/scholar?cites=8174407676108146852&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 01:21:06","HTML","","","",,,,,43,10.75,7,6,4,"… alcohol dehydrogenation into aldehydes and ketones, it is of great … a DFT-based micro-kinetic study to predict the activity of transition metals for alcohol dehydrogenation into ketones. …","https://www.nature.com/articles/s41467-021-25214-1","https://scholar.google.com/scholar?q=related:pAint3hUcXEJ:scholar.google.com/&scioq=source:%22nature+communications%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"B Li, Z Wang, Y Luo, H Wei, J Chen, D Liu…","Nickel-catalyzed asymmetric hydrogenation for the preparation of α-substituted propionic acids",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-49801-0","https://scholar.google.com/scholar?cites=6775810415153356372&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 01:21:06","HTML","","","",,,,,10,10.00,1,7,1,"… The reaction mechanism has been investigated via experiments and DFT (Density Functional Theory) calculations, which indicate that the protonolysis of the C-Ni bond of the key …","https://www.nature.com/articles/s41467-024-49801-0","https://scholar.google.com/scholar?q=related:VJ6bPKyDCF4J:scholar.google.com/&scioq=source:%22nature+communications%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
93,"M Guo, S Jayakumar, M Luo, X Kong, C Li, H Li…","The promotion effect of π-π interactions in Pd NPs catalysed selective hydrogenation",2022,"… Communications","nature.com","https://www.nature.com/articles/s41467-022-29299-0","https://scholar.google.com/scholar?cites=7224915922977989775&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 01:21:06","HTML","","","",,,,,93,31.00,13,7,3,"… COFs without pyrene in the hydrogenation of aromatic ketones/aldehydes, quinolines and … DFT calculation results show that the energy barrier of O addition step of AP hydrogenation …","https://www.nature.com/articles/s41467-022-29299-0","https://scholar.google.com/scholar?q=related:j6QqscAORGQJ:scholar.google.com/&scioq=source:%22nature+communications%22+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
