Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
42,"Z Chen, Z Liu, X Xu","Accurate descriptions of molecule-surface interactions in electrocatalytic CO2 reduction on the copper surfaces",2023,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-023-36695-7","https://scholar.google.com/scholar?cites=14775849502140520175&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 01:43:35","HTML","","","",,,,,42,21.00,14,3,2,"… Density functional theory (DFT) has been the method of … equilibrium and onset potentials for CO 2 RR to CO on Au, Ag, … GGA scheme to study the electrocatalytic CO 2 RR to CO on Cu(…","https://www.nature.com/articles/s41467-023-36695-7","https://scholar.google.com/scholar?q=related:79a3HdZcDs0J:scholar.google.com/&scioq=source:%22nature+communications%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"S Ringe","The importance of a charge transfer descriptor for screening potential CO2 reduction electrocatalysts",2023,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-023-37929-4","https://scholar.google.com/scholar?cites=5461019771005854818&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 01:43:35","HTML","","","",,,,,54,27.00,54,1,2,"… Density Functional Theory (DFT) has become in particular in heterogeneous surface … workflow for deriving an electric double layer-corrected CO 2 RR to CO activity volcano, in this work …","https://www.nature.com/articles/s41467-023-37929-4","https://scholar.google.com/scholar?q=related:YmQwSoxwyUsJ:scholar.google.com/&scioq=source:%22nature+communications%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
74,"X Qin, HA Hansen, K Honkala, MM Melander","Cation-induced changes in the inner- and outer-sphere mechanisms of electrocatalytic CO2 reduction",2023,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-023-43300-4","https://scholar.google.com/scholar?cites=12209174496489458696&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 01:43:35","HTML","","","",,,,,74,37.00,19,4,2,"… CO 2 RR via constrained density functional theory molecular dynamics (cDFT-MD) and slow-growth DFT-MD (SG-DFT-… outer-sphere pathways of CO 2 RR, offering substantial insights …","https://www.nature.com/articles/s41467-023-43300-4","https://scholar.google.com/scholar?q=related:CEwDgISzb6kJ:scholar.google.com/&scioq=source:%22nature+communications%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
61,"DH Mok, H Li, G Zhang, C Lee, K Jiang…","Data-driven discovery of electrocatalysts for CO2 reduction using active motifs-based machine learning",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-43118-0","https://scholar.google.com/scholar?cites=7645419196904935215&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 01:43:35","HTML","","","",,,,,61,30.50,10,6,2,"… Here, by merging pre-developed ML model and a CO 2 RR selectivity map, we establish … selectivity of CO 2 RR for 465 binary combinations without performing any DFT calculations and …","https://www.nature.com/articles/s41467-023-43118-0","https://scholar.google.com/scholar?q=related:L494nkD8GWoJ:scholar.google.com/&scioq=source:%22nature+communications%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"Y Yao, T Shi, W Chen, J Wu, Y Fan, Y Liu, L Cao…","A surface strategy boosting the ethylene selectivity for CO2 reduction and in situ mechanistic insights",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-45704-2","https://scholar.google.com/scholar?cites=14462896664484531385&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 01:43:35","HTML","","","",,,,,45,45.00,6,8,1,"… CO 2 RR to ethylene through surface-modified Cu-based catalysts and deepens insights into the mechanism of CO 2 RR … DFT calculations combined with literature research. Based on …","https://www.nature.com/articles/s41467-024-45704-2","https://scholar.google.com/scholar?q=related:uUzIfeOHtsgJ:scholar.google.com/&scioq=source:%22nature+communications%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
128,"H Shen, H Jin, H Li, H Wang, J Duan, Y Jiao…","Acidic CO2-to-HCOOH electrolysis with industrial-level current on phase engineered tin sulfide",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-38497-3","https://scholar.google.com/scholar?cites=3290236216106441092&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 01:43:35","HTML","","","",,,,,128,64.00,18,7,2,"… the coverage of CO 2 RR reaction intermediates is a … potential to optimize the CO 2 RR intermediates coverage under … were analyzed by density functional theory (DFT) calculations. The …","https://www.nature.com/articles/s41467-023-38497-3","https://scholar.google.com/scholar?q=related:hFkm-GdEqS0J:scholar.google.com/&scioq=source:%22nature+communications%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
166,"W Ren, X Tan, J Qu, S Li, J Li, X Liu, SP Ringer…","Isolated copper–tin atomic interfaces tuning electrocatalytic CO2 conversion",2021,"… communications","nature.com","https://www.nature.com/articles/s41467-021-21750-y","https://scholar.google.com/scholar?cites=5265280072082016369&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 01:43:35","HTML","","","",,,,,166,41.50,21,8,4,"… Electrocatalytic CO 2 reduction reaction (CO 2 RR) offers a … The control over the selectivity of CO 2 RR is a major … Density functional theory (DFT) simulations reveal the crucial …","https://www.nature.com/articles/s41467-021-21750-y","https://scholar.google.com/scholar?q=related:cUhkM1QIEkkJ:scholar.google.com/&scioq=source:%22nature+communications%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
116,"J Dong, Y Liu, J Pei, H Li, S Ji, L Shi, Y Zhang…","Continuous electroproduction of formate via CO2 reduction on local symmetry-broken single-atom catalysts",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-42539-1","https://scholar.google.com/scholar?cites=14685400775726197976&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 01:43:35","HTML","","","",,,,,116,58.00,15,8,2,"… reaction pathways for CO 2 reduction reaction (CO 2 RR) with high activity and selectivity 40 . … were carried out in the framework of density functional theory (DFT) as implemented in the …","https://www.nature.com/articles/s41467-023-42539-1","https://scholar.google.com/scholar?q=related:2Oxn7TIGzcsJ:scholar.google.com/&scioq=source:%22nature+communications%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
113,"J Yin, J Jin, Z Yin, L Zhu, X Du, Y Peng, P Xi…","The built-in electric field across FeN/Fe3N interface for efficient electrochemical reduction of CO2 to CO",2023,"… Communications","nature.com","https://www.nature.com/articles/s41467-023-37360-9","https://scholar.google.com/scholar?cites=8133563319548358822&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 01:43:35","HTML","","","",,,,,113,56.50,14,8,2,"… Our study presents an interface design strategy for improving CO 2 RR catalysis efficiency. … We used the density functional theory (DFT) to further investigate the FeN/Fe 3 N structure (Fig…","https://www.nature.com/articles/s41467-023-37360-9","https://scholar.google.com/scholar?q=related:prDT47444HAJ:scholar.google.com/&scioq=source:%22nature+communications%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
61,"G Zhang, T Wang, M Zhang, L Li, D Cheng…","Selective CO2 electroreduction to methanol via enhanced oxygen bonding",2022,"… communications","nature.com","https://www.nature.com/articles/s41467-022-35450-8","https://scholar.google.com/scholar?cites=9031965416385675304&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 01:43:35","HTML","","","",,,,,61,20.33,10,6,3,"… (CO 2 RR) driven by renewable electricity is a promising technology to realize carbon neutrality 1,2 . To improve the selectivity of CO 2 RR, it … Density functional theory (DFT) calculations …","https://www.nature.com/articles/s41467-022-35450-8","https://scholar.google.com/scholar?q=related:KABIW7H8V30J:scholar.google.com/&scioq=source:%22nature+communications%22+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
