Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"BH Jhun, J Jang, S Lee, EJ Cho, Y You","Efficient photoredox catalysis in C–C cross-coupling reactions by two-coordinated Au (I) complex",2024,"Nature communications","nature.com","https://www.nature.com/articles/s41467-024-50979-6","https://scholar.google.com/scholar?cites=9287275511763804354&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 01:29:49","","","","",,,,,1,1.00,0,5,1,"… Herein, we report the strong photoredox catalytic reactivity and … to date, underscoring its exceptional photoredox ability (see Fig. 2 … Time-dependent density functional theory (TD–DFT) …","https://www.nature.com/articles/s41467-024-50979-6.pdf","https://scholar.google.com/scholar?q=related:wqDdMd8H44AJ:scholar.google.com/&scioq=source:%22nature+communications%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"T Zeng, Y He, Y Li, L Wang, Q Hu, Y Li, Z Wei…","Photoredox cobalt-catalyzed asymmetric desymmetric reductive coupling of cyclobutenes with alkynes",2025,"… Communications","nature.com","https://www.nature.com/articles/s41467-025-58315-2","",2,"2025-05-06 01:29:49","","","","",,,,,0,0.00,0,8,1,"… of 3DPA2FBN to close the photoredox catalytic cycle. HE •+ or … density functional theory (DFT) calculations were performed to distinguish between the two proposed catalytic cycles. DFT …","https://www.nature.com/articles/s41467-025-58315-2.pdf","https://scholar.google.com/scholar?q=related:Ta_G6YIZTO8J:scholar.google.com/&scioq=source:%22nature+communications%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
42,"L Ge, C Zhang, C Pan, DX Wang, DY Liu, ZQ Li…","Photoredox-catalyzed C–C bond cleavage of cyclopropanes for the formation of C(sp3)–heteroatom bonds",2022,"… Communications","nature.com","https://www.nature.com/articles/s41467-022-33602-4","https://scholar.google.com/scholar?cites=3677803328261143492&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 01:29:49","","","","",,,,,42,14.00,6,7,3,"… DFT calculation to study the frontier molecular orbitals of cation radical of some representative substrates. The DFT … Supplementary Discussion for more details of the DFT calculation). …","https://www.nature.com/articles/s41467-022-33602-4.pdf","https://scholar.google.com/scholar?q=related:xDvBJqQuCjMJ:scholar.google.com/&scioq=source:%22nature+communications%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
104,"H Chen, W Fan, XA Yuan, S Yu","Site-selective remote C(sp3)–H heteroarylation of amides via organic photoredox catalysis",2019,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-019-12722-4","https://scholar.google.com/scholar?cites=8875663933195827858&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 01:29:49","","","","",,,,,104,17.33,26,4,6,"… )–H heteroarylation of amides under organic photoredox conditions. This approach provides a … DFT calculations explain and can predict the site-selectivity and reactivity of this reaction. …","https://www.nature.com/articles/s41467-019-12722-4.pdf","https://scholar.google.com/scholar?q=related:kjria1KxLHsJ:scholar.google.com/&scioq=source:%22nature+communications%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
13,"W Jeon, Y Kwon, MS Kwon","Highly efficient dual photoredox/copper catalyzed atom transfer radical polymerization achieved through mechanism-driven photocatalyst design",2024,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-024-49509-1","https://scholar.google.com/scholar?cites=7921130648910638525&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 01:29:49","","","","",,,,,13,13.00,4,3,1,"… Atom transfer radical polymerization (ATRP) with dual photoredox/copper catalysis combines the advantages of photo-ATRP and photoredox-mediated ATRP, utilizing visible light and …","https://www.nature.com/articles/s41467-024-49509-1.pdf","https://scholar.google.com/scholar?q=related:vS3Hc1uC7W0J:scholar.google.com/&scioq=source:%22nature+communications%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
80,"Y Kwon, J Lee, Y Noh, D Kim, Y Lee, C Yu…","Formation and degradation of strongly reducing cyanoarene-based radical anions towards efficient radical anion-mediated photoredox catalysis",2023,"… communications","nature.com","https://www.nature.com/articles/s41467-022-35774-5","https://scholar.google.com/scholar?cites=4827533861717901772&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 01:29:49","","","","",,,,,80,40.00,11,7,2,"… of PC •‒ in actual photoredox-mediated reactions, a … for the highly efficient photoredox catalyzed dehalogenation of aryl/… cyanoarene-based PC •‒ in photoredox-mediated reactions. …","https://www.nature.com/articles/s41467-022-35774-5.pdf","https://scholar.google.com/scholar?q=related:zIHdSHjY_kIJ:scholar.google.com/&scioq=source:%22nature+communications%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
47,"Y Guo, C Pei, RM Koenigs","A combined experimental and theoretical study on the reactivity of nitrenes and nitrene radical anions",2022,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-021-27687-6","https://scholar.google.com/scholar?cites=1501761730388670991&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 01:29:49","","","","",,,,,47,15.67,16,3,3,"… (TD)-DFT methods to rationalize the photochemical reaction of iminoiodinane 1a and DFT methods for … Subsequent reduction by the oxidized state of the photoredox catalyst furnishes a …","https://www.nature.com/articles/s41467-021-27687-6.pdf","https://scholar.google.com/scholar?q=related:D7oXTVZU1xQJ:scholar.google.com/&scioq=source:%22nature+communications%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
59,"GM Cao, XL Hu, LL Liao, SS Yan, L Song…","Visible-light photoredox-catalyzed umpolung carboxylation of carbonyl compounds with CO2",2021,"… communications","nature.com","https://www.nature.com/articles/s41467-021-23447-8","https://scholar.google.com/scholar?cites=8242810327852927823&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 01:29:49","","","","",,,,,59,14.75,10,6,4,"… We envisioned the photoredox-catalyzed umpolung functionalization of carbonyl groups by using the Lewis acidic chlorosilane as an activating/protecting groups (Fig. 1b). …","https://www.nature.com/articles/s41467-021-23447-8.pdf","https://scholar.google.com/scholar?q=related:T0uYJlJYZHIJ:scholar.google.com/&scioq=source:%22nature+communications%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
24,"L Wang, C Lin, Q Chong, Z Zhang, F Meng","Photoredox cobalt-catalyzed regio-, diastereo-and enantioselective propargylation of aldehydes via propargyl radicals",2023,"Nature Communications","nature.com","https://www.nature.com/articles/s41467-023-40488-3","https://scholar.google.com/scholar?cites=15949388640336285181&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 01:29:49","","","","",,,,,24,12.00,5,5,2,"… , we further carried out density functional theory (DFT) calculations to investigate the … DFT calculations showed that 2 TS2 top-RR , the TS leading to the experimentally observed …","https://www.nature.com/articles/s41467-023-40488-3.pdf","https://scholar.google.com/scholar?q=related:_Q3lA3ecV90J:scholar.google.com/&scioq=source:%22nature+communications%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"X Jiang, Y Lan, Y Hao, K Jiang, J He, J Zhu…","Iron photocatalysis via Brønsted acid-unlocked ligand-to-metal charge transfer",2024,"… Communications","nature.com","https://www.nature.com/articles/s41467-024-50507-6","https://scholar.google.com/scholar?cites=16635794613047922218&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 01:29:49","","","","",,,,,19,19.00,3,7,1,"Reforming sustainable 3d-metal-based visible light catalytic platforms for inert bulk chemical activation is highly desirable. Herein, we demonstrate the use of a Brønsted acid to unlock …","https://www.nature.com/articles/s41467-024-50507-6.pdf","https://scholar.google.com/scholar?q=related:Kg4Ucw833uYJ:scholar.google.com/&scioq=source:%22nature+communications%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
139,"L Guo, F Song, S Zhu, H Li, L Chu","syn-Selective alkylarylation of terminal alkynes via the combination of photoredox and nickel catalysis",2018,"Nature communications","nature.com","https://www.nature.com/articles/s41467-018-06904-9","https://scholar.google.com/scholar?cites=10281557987819475424&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-05-06 01:29:49","HTML","","","",,,,,139,19.86,28,5,7,"… Here we describe an intermolecular, regio- and syn-stereoselective alkylarylation of terminal alkynes with tertiary alkyl oxalates via photoredox-Ni dual catalysis. This catalytic protocol, …","https://www.nature.com/articles/s41467-018-06904-9","https://scholar.google.com/scholar?q=related:4FGPEYRur44J:scholar.google.com/&scioq=source:%22nature+communications%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
